PC,pc_rank_by_variance,explained_variance_ratio,cumulative_explained_variance,top_loading_rank,meta_feature,loading,abs_loading
PC1,1,0.2745084942238163,0.2745084942238163,1,feat_entropy_binned_mean,0.2943138780326433,0.2943138780326433
PC1,1,0.2745084942238163,0.2745084942238163,2,earlyshift_batch__hellinger_mean,0.28971367360550143,0.28971367360550143
PC1,1,0.2745084942238163,0.2745084942238163,3,feat_skew_median,-0.25252021084692083,0.25252021084692083
PC1,1,0.2745084942238163,0.2745084942238163,4,feat_zero_frac_mean,-0.24851805327864776,0.24851805327864776
PC1,1,0.2745084942238163,0.2745084942238163,5,feat_max_median,0.2394844005210902,0.2394844005210902
PC1,1,0.2745084942238163,0.2745084942238163,6,earlyshift_batch__ks_q3,0.23700465934716453,0.23700465934716453
PC1,1,0.2745084942238163,0.2745084942238163,7,earlyshift_batch__ks_median,0.2287637772255344,0.2287637772255344
PC1,1,0.2745084942238163,0.2745084942238163,8,earlyshift_batch__kl_q1,0.22794724849295966,0.22794724849295966
PC1,1,0.2745084942238163,0.2745084942238163,9,feat_std_min,0.20027442011131602,0.20027442011131602
PC1,1,0.2745084942238163,0.2745084942238163,10,landmark__logreg_acc,0.19432722606500247,0.19432722606500247
PC2,2,0.23405625201060298,0.5085647462344193,1,feat_skew_q1,-0.3021284826332825,0.3021284826332825
PC2,2,0.23405625201060298,0.5085647462344193,2,feat_mean_mean,0.2980429562199881,0.2980429562199881
PC2,2,0.23405625201060298,0.5085647462344193,3,n_features,0.29099904112695874,0.29099904112695874
PC2,2,0.23405625201060298,0.5085647462344193,4,mi_feat_to_label_min,0.2466479619985678,0.2466479619985678
PC2,2,0.23405625201060298,0.5085647462344193,5,max_abs_corr,0.24651135005236188,0.24651135005236188
PC2,2,0.23405625201060298,0.5085647462344193,6,feat_skew_min,-0.24460480536015045,0.24460480536015045
PC2,2,0.23405625201060298,0.5085647462344193,7,feat_kurt_q1,0.24113600766371757,0.24113600766371757
PC2,2,0.23405625201060298,0.5085647462344193,8,landmark__1nn_acc,0.24091257409418754,0.24091257409418754
PC2,2,0.23405625201060298,0.5085647462344193,9,feat_kurt_min,0.2295177985433212,0.2295177985433212
PC2,2,0.23405625201060298,0.5085647462344193,10,feat_std_q3,0.21869213587438366,0.21869213587438366
PC3,3,0.15997085292473834,0.6685355991591576,1,mi_feat_to_label_q1,0.38424649024793855,0.38424649024793855
PC3,3,0.15997085292473834,0.6685355991591576,2,n_classes,0.380433959776813,0.380433959776813
PC3,3,0.15997085292473834,0.6685355991591576,3,landmark__dt_depth5_acc,-0.34487275414638185,0.34487275414638185
PC3,3,0.15997085292473834,0.6685355991591576,4,feat_mean_q1,0.2553096873701158,0.2553096873701158
PC3,3,0.15997085292473834,0.6685355991591576,5,feat_kurt_q1,0.2468996882121719,0.2468996882121719
PC3,3,0.15997085292473834,0.6685355991591576,6,landmark__gnb_acc,0.23825728008959374,0.23825728008959374
PC3,3,0.15997085292473834,0.6685355991591576,7,class_entropy_norm,0.23324988269953303,0.23324988269953303
PC3,3,0.15997085292473834,0.6685355991591576,8,feat_min_max,-0.19540984926464383,0.19540984926464383
PC3,3,0.15997085292473834,0.6685355991591576,9,earlyshift_batch__ks_std,0.1861578232502219,0.1861578232502219
PC3,3,0.15997085292473834,0.6685355991591576,10,earlyshift_batch__ks_q3,-0.1839705714820223,0.1839705714820223
PC4,4,0.1301528583155303,0.798688457474688,1,tree__n_nodes,0.3495669627906352,0.3495669627906352
PC4,4,0.1301528583155303,0.798688457474688,2,feat_entropy_binned_max,-0.3004726893088184,0.3004726893088184
PC4,4,0.1301528583155303,0.798688457474688,3,feat_max_min,0.28799876775568783,0.28799876775568783
PC4,4,0.1301528583155303,0.798688457474688,4,feat_std_min,0.25874646563334674,0.25874646563334674
PC4,4,0.1301528583155303,0.798688457474688,5,feat_entropy_binned_std,-0.2443448122277504,0.2443448122277504
PC4,4,0.1301528583155303,0.798688457474688,6,landmark__1nn_acc,-0.23383709671378067,0.23383709671378067
PC4,4,0.1301528583155303,0.798688457474688,7,landmark__logreg_acc,-0.21706940183188453,0.21706940183188453
PC4,4,0.1301528583155303,0.798688457474688,8,feat_kurt_min,0.20173978380516663,0.20173978380516663
PC4,4,0.1301528583155303,0.798688457474688,9,feat_max_median,0.18291707961399048,0.18291707961399048
PC4,4,0.1301528583155303,0.798688457474688,10,max_abs_corr,0.1777979974611154,0.1777979974611154
PC5,5,0.10092272240603432,0.8996111798807223,1,feat_min_max,0.35693194623656377,0.35693194623656377
PC5,5,0.10092272240603432,0.8996111798807223,2,feat_min_mean,0.3457845026446066,0.3457845026446066
PC5,5,0.10092272240603432,0.8996111798807223,3,min_class_count,-0.3338967966277627,0.3338967966277627
PC5,5,0.10092272240603432,0.8996111798807223,4,x_pca_k_for_95pct,0.33214980111004067,0.33214980111004067
PC5,5,0.10092272240603432,0.8996111798807223,5,class_entropy_norm,-0.3261403669178694,0.3261403669178694
PC5,5,0.10092272240603432,0.8996111798807223,6,max_abs_corr,0.23459324074130614,0.23459324074130614
PC5,5,0.10092272240603432,0.8996111798807223,7,mi_feat_to_label_min,-0.22738062486814062,0.22738062486814062
PC5,5,0.10092272240603432,0.8996111798807223,8,earlyshift_batch__kl_q3,-0.22181832516459268,0.22181832516459268
PC5,5,0.10092272240603432,0.8996111798807223,9,feat_entropy_binned_std,-0.2043553188271839,0.2043553188271839
PC5,5,0.10092272240603432,0.8996111798807223,10,tree__n_nodes,-0.17135696233083014,0.17135696233083014
