PC,pc_rank_by_variance,explained_variance_ratio,cumulative_explained_variance,top_loading_rank,meta_feature,loading,abs_loading
PC1,1,0.276650240572779,0.276650240572779,1,feat_entropy_binned_mean,0.28643085232687526,0.28643085232687526
PC1,1,0.276650240572779,0.276650240572779,2,earlyshift_batch__hellinger_mean,0.2690388319589599,0.2690388319589599
PC1,1,0.276650240572779,0.276650240572779,3,feat_skew_median,-0.26389025317299747,0.26389025317299747
PC1,1,0.276650240572779,0.276650240572779,4,feat_zero_frac_mean,-0.26276832141270723,0.26276832141270723
PC1,1,0.276650240572779,0.276650240572779,5,earlyshift_batch__ks_q3,0.25060232375938873,0.25060232375938873
PC1,1,0.276650240572779,0.276650240572779,6,feat_max_median,0.2379418514048876,0.2379418514048876
PC1,1,0.276650240572779,0.276650240572779,7,earlyshift_batch__ks_median,0.20384803104517538,0.20384803104517538
PC1,1,0.276650240572779,0.276650240572779,8,feat_std_min,0.20128936465655675,0.20128936465655675
PC1,1,0.276650240572779,0.276650240572779,9,x_pca_skewness_first_pc,-0.19387180123993716,0.19387180123993716
PC1,1,0.276650240572779,0.276650240572779,10,x_pca_kurtosis_first_pc,-0.18944305171028503,0.18944305171028503
PC2,2,0.1834274836869228,0.4600777242597018,1,n_features,0.32827523394918695,0.32827523394918695
PC2,2,0.1834274836869228,0.4600777242597018,2,feat_mean_mean,0.30514452520237983,0.30514452520237983
PC2,2,0.1834274836869228,0.4600777242597018,3,max_abs_corr,0.292427067804533,0.292427067804533
PC2,2,0.1834274836869228,0.4600777242597018,4,feat_skew_min,-0.2333372778765403,0.2333372778765403
PC2,2,0.1834274836869228,0.4600777242597018,5,feat_kurt_min,0.2321073345689043,0.2321073345689043
PC2,2,0.1834274836869228,0.4600777242597018,6,x_pca_skewness_first_pc,0.23122714071399136,0.23122714071399136
PC2,2,0.1834274836869228,0.4600777242597018,7,feat_std_q3,0.224175573762632,0.224175573762632
PC2,2,0.1834274836869228,0.4600777242597018,8,feat_skew_q1,-0.2222578727425136,0.2222578727425136
PC2,2,0.1834274836869228,0.4600777242597018,9,earlyshift_batch__ks_std,-0.2197849570825619,0.2197849570825619
PC2,2,0.1834274836869228,0.4600777242597018,10,feat_entropy_binned_std,-0.2072430114310202,0.2072430114310202
PC3,3,0.1730280832430164,0.6331058075027182,1,n_classes,0.32205856070892963,0.32205856070892963
PC3,3,0.1730280832430164,0.6331058075027182,2,feat_kurt_q1,0.312836212720307,0.312836212720307
PC3,3,0.1730280832430164,0.6331058075027182,3,tree__n_nodes,-0.29562719171412316,0.29562719171412316
PC3,3,0.1730280832430164,0.6331058075027182,4,landmark__1nn_acc,0.2843013632824372,0.2843013632824372
PC3,3,0.1730280832430164,0.6331058075027182,5,mi_feat_to_label_q1,0.2806052792978054,0.2806052792978054
PC3,3,0.1730280832430164,0.6331058075027182,6,landmark__dt_depth5_acc,-0.27816643237890937,0.27816643237890937
PC3,3,0.1730280832430164,0.6331058075027182,7,mi_feat_to_label_min,0.2533976247857279,0.2533976247857279
PC3,3,0.1730280832430164,0.6331058075027182,8,landmark__logreg_acc,0.19202845201519095,0.19202845201519095
PC3,3,0.1730280832430164,0.6331058075027182,9,landmark__gnb_acc,0.19013560185117764,0.19013560185117764
PC3,3,0.1730280832430164,0.6331058075027182,10,imbalance_ratio,-0.17860242504366097,0.17860242504366097
PC4,4,0.12427246585908693,0.7573782733618051,1,class_entropy_norm,-0.30375868017095325,0.30375868017095325
PC4,4,0.12427246585908693,0.7573782733618051,2,feat_entropy_binned_max,0.2900704667272319,0.2900704667272319
PC4,4,0.12427246585908693,0.7573782733618051,3,feat_min_max,0.2827376212375962,0.2827376212375962
PC4,4,0.12427246585908693,0.7573782733618051,4,x_pca_k_for_95pct,0.268581230092999,0.268581230092999
PC4,4,0.12427246585908693,0.7573782733618051,5,x_pca_kurtosis_first_pc,-0.2619474166488984,0.2619474166488984
PC4,4,0.12427246585908693,0.7573782733618051,6,tree__n_nodes,-0.24391817817845174,0.24391817817845174
PC4,4,0.12427246585908693,0.7573782733618051,7,feat_kurt_min,-0.23500912564258192,0.23500912564258192
PC4,4,0.12427246585908693,0.7573782733618051,8,feat_max_min,-0.23401279189630983,0.23401279189630983
PC4,4,0.12427246585908693,0.7573782733618051,9,landmark__logreg_acc,0.23155239860265484,0.23155239860265484
PC4,4,0.12427246585908693,0.7573782733618051,10,feat_std_min,-0.1983613563811105,0.1983613563811105
PC5,5,0.10438277031845951,0.8617610436802646,1,feat_min_mean,-0.32064590050866953,0.32064590050866953
PC5,5,0.10438277031845951,0.8617610436802646,2,max_abs_corr,-0.2921950749378621,0.2921950749378621
PC5,5,0.10438277031845951,0.8617610436802646,3,feat_entropy_binned_std,0.2920681594227295,0.2920681594227295
PC5,5,0.10438277031845951,0.8617610436802646,4,feat_mean_mean,0.2519318164468664,0.2519318164468664
PC5,5,0.10438277031845951,0.8617610436802646,5,x_pca_k_for_95pct,-0.2261417432472636,0.2261417432472636
PC5,5,0.10438277031845951,0.8617610436802646,6,feat_skew_q1,-0.20668275245197779,0.20668275245197779
PC5,5,0.10438277031845951,0.8617610436802646,7,min_class_count,0.2047355231399674,0.2047355231399674
PC5,5,0.10438277031845951,0.8617610436802646,8,feat_max_min,-0.20332696521142796,0.20332696521142796
PC5,5,0.10438277031845951,0.8617610436802646,9,earlyshift_batch__kl_q3,0.20089053585919878,0.20089053585919878
PC5,5,0.10438277031845951,0.8617610436802646,10,feat_min_max,-0.19987823552287376,0.19987823552287376
