PC,pc_rank_by_variance,explained_variance_ratio,cumulative_explained_variance,top_loading_rank,meta_feature,loading,abs_loading
PC1,1,0.2512438062949776,0.2512438062949776,1,feat_std_min,0.2968682580075373,0.2968682580075373
PC1,1,0.2512438062949776,0.2512438062949776,2,feat_std_q3,0.2730113519489025,0.2730113519489025
PC1,1,0.2512438062949776,0.2512438062949776,3,landmark__1nn_acc,0.2678349252899937,0.2678349252899937
PC1,1,0.2512438062949776,0.2512438062949776,4,landmark__logreg_acc,0.2633335239974593,0.2633335239974593
PC1,1,0.2512438062949776,0.2512438062949776,5,n_features,0.2627262483344657,0.2627262483344657
PC1,1,0.2512438062949776,0.2512438062949776,6,earlyshift_batch__ks_median,0.25983879263592463,0.25983879263592463
PC1,1,0.2512438062949776,0.2512438062949776,7,feat_mean_mean,0.25751812561017134,0.25751812561017134
PC1,1,0.2512438062949776,0.2512438062949776,8,earlyshift_batch__kl_q1,0.23878291666548232,0.23878291666548232
PC1,1,0.2512438062949776,0.2512438062949776,9,feat_max_min,-0.21855872023161202,0.21855872023161202
PC1,1,0.2512438062949776,0.2512438062949776,10,feat_entropy_binned_mean,0.21568657610377892,0.21568657610377892
PC2,2,0.22202467726698683,0.47326848356196444,1,x_pca_skewness_first_pc,0.315961695678196,0.315961695678196
PC2,2,0.22202467726698683,0.47326848356196444,2,landmark__gnb_acc,-0.27881140623634026,0.27881140623634026
PC2,2,0.22202467726698683,0.47326848356196444,3,earlyshift_batch__ks_std,-0.27173918459519536,0.27173918459519536
PC2,2,0.22202467726698683,0.47326848356196444,4,feat_zero_frac_mean,0.25145246991857534,0.25145246991857534
PC2,2,0.22202467726698683,0.47326848356196444,5,feat_entropy_binned_max,-0.2501227586362295,0.2501227586362295
PC2,2,0.22202467726698683,0.47326848356196444,6,x_pca_kurtosis_first_pc,0.24202254444823,0.24202254444823
PC2,2,0.22202467726698683,0.47326848356196444,7,feat_entropy_binned_mean,-0.23906558864747415,0.23906558864747415
PC2,2,0.22202467726698683,0.47326848356196444,8,earlyshift_batch__hellinger_mean,-0.22982158090633503,0.22982158090633503
PC2,2,0.22202467726698683,0.47326848356196444,9,feat_skew_median,0.21993667511491818,0.21993667511491818
PC2,2,0.22202467726698683,0.47326848356196444,10,feat_mean_q1,-0.19606489139754785,0.19606489139754785
PC3,3,0.1911942175314161,0.6644627010933806,1,landmark__dt_depth5_acc,-0.350513779349822,0.350513779349822
PC3,3,0.1911942175314161,0.6644627010933806,2,n_classes,0.3480206098326925,0.3480206098326925
PC3,3,0.1911942175314161,0.6644627010933806,3,mi_feat_to_label_q1,0.29439800963702517,0.29439800963702517
PC3,3,0.1911942175314161,0.6644627010933806,4,feat_kurt_q1,0.28778423905055983,0.28778423905055983
PC3,3,0.1911942175314161,0.6644627010933806,5,tree__n_nodes,-0.23958840844303206,0.23958840844303206
PC3,3,0.1911942175314161,0.6644627010933806,6,feat_skew_median,0.22930873820185194,0.22930873820185194
PC3,3,0.1911942175314161,0.6644627010933806,7,class_entropy_norm,0.20979017558225085,0.20979017558225085
PC3,3,0.1911942175314161,0.6644627010933806,8,earlyshift_batch__ks_q3,-0.208435609952668,0.208435609952668
PC3,3,0.1911942175314161,0.6644627010933806,9,feat_skew_q1,0.1954404506909763,0.1954404506909763
PC3,3,0.1911942175314161,0.6644627010933806,10,feat_mean_q1,0.1893472037275594,0.1893472037275594
PC4,4,0.11774500210403278,0.7822077031974134,1,x_pca_k_for_95pct,0.300501970829432,0.300501970829432
PC4,4,0.11774500210403278,0.7822077031974134,2,feat_min_mean,0.28182471971595824,0.28182471971595824
PC4,4,0.11774500210403278,0.7822077031974134,3,feat_skew_q1,0.2790332212705159,0.2790332212705159
PC4,4,0.11774500210403278,0.7822077031974134,4,feat_min_max,0.2617654798790608,0.2617654798790608
PC4,4,0.11774500210403278,0.7822077031974134,5,earlyshift_batch__kl_q1,0.254664144845859,0.254664144845859
PC4,4,0.11774500210403278,0.7822077031974134,6,class_entropy_norm,-0.22875192161876506,0.22875192161876506
