PC,pc_rank_by_variance,explained_variance_ratio,cumulative_explained_variance,top_loading_rank,meta_feature,loading,abs_loading
PC1,1,0.30273577254228157,0.30273577254228157,1,earlyshift_batch__ks_q3,0.26654621488990204,0.26654621488990204
PC1,1,0.30273577254228157,0.30273577254228157,2,feat_entropy_binned_mean,0.2597830998766454,0.2597830998766454
PC1,1,0.30273577254228157,0.30273577254228157,3,feat_skew_median,-0.24909989638768962,0.24909989638768962
PC1,1,0.30273577254228157,0.30273577254228157,4,earlyshift_batch__hellinger_mean,0.22706649049465558,0.22706649049465558
PC1,1,0.30273577254228157,0.30273577254228157,5,feat_max_median,0.22234026003410567,0.22234026003410567
PC1,1,0.30273577254228157,0.30273577254228157,6,feat_zero_frac_mean,-0.21919024250580327,0.21919024250580327
PC1,1,0.30273577254228157,0.30273577254228157,7,x_pca_skewness_first_pc,-0.21557182714099932,0.21557182714099932
PC1,1,0.30273577254228157,0.30273577254228157,8,feat_mean_q1,0.19793259697557125,0.19793259697557125
PC1,1,0.30273577254228157,0.30273577254228157,9,earlyshift_batch__ks_std,0.19656641448530307,0.19656641448530307
PC1,1,0.30273577254228157,0.30273577254228157,10,x_pca_kurtosis_first_pc,-0.1936645966861988,0.1936645966861988
PC2,2,0.2120165273900055,0.5147522999322871,1,max_abs_corr,0.2792951032259991,0.2792951032259991
PC2,2,0.2120165273900055,0.5147522999322871,2,earlyshift_batch__kl_q1,0.2786991749222556,0.2786991749222556
PC2,2,0.2120165273900055,0.5147522999322871,3,landmark__1nn_acc,0.26036147105006363,0.26036147105006363
PC2,2,0.2120165273900055,0.5147522999322871,4,feat_entropy_binned_std,-0.25637517156428513,0.25637517156428513
PC2,2,0.2120165273900055,0.5147522999322871,5,feat_kurt_min,0.25284598806732894,0.25284598806732894
PC2,2,0.2120165273900055,0.5147522999322871,6,feat_mean_mean,0.24901011035853457,0.24901011035853457
PC2,2,0.2120165273900055,0.5147522999322871,7,feat_std_q3,0.24129668348061514,0.24129668348061514
PC2,2,0.2120165273900055,0.5147522999322871,8,earlyshift_batch__ks_median,0.24023537631320416,0.24023537631320416
PC2,2,0.2120165273900055,0.5147522999322871,9,landmark__logreg_acc,0.23403886149221678,0.23403886149221678
PC2,2,0.2120165273900055,0.5147522999322871,10,n_features,0.23397101493378464,0.23397101493378464
PC3,3,0.15487291463311698,0.669625214565404,1,feat_skew_q1,0.325733682218506,0.325733682218506
PC3,3,0.15487291463311698,0.669625214565404,2,tree__n_nodes,-0.3229729650140577,0.3229729650140577
PC3,3,0.15487291463311698,0.669625214565404,3,n_classes,0.30506813328888466,0.30506813328888466
PC3,3,0.15487291463311698,0.669625214565404,4,feat_kurt_q1,0.2995970752646268,0.2995970752646268
PC3,3,0.15487291463311698,0.669625214565404,5,feat_skew_min,0.2942607184134741,0.2942607184134741
PC3,3,0.15487291463311698,0.669625214565404,6,landmark__gnb_acc,0.25407169590151796,0.25407169590151796
PC3,3,0.15487291463311698,0.669625214565404,7,landmark__dt_depth5_acc,-0.2352447431544933,0.2352447431544933
PC3,3,0.15487291463311698,0.669625214565404,8,feat_entropy_binned_max,0.22374899809130874,0.22374899809130874
PC3,3,0.15487291463311698,0.669625214565404,9,mi_feat_to_label_min,0.2011356341856043,0.2011356341856043
PC3,3,0.15487291463311698,0.669625214565404,10,x_pca_skewness_first_pc,-0.19460146586243363,0.19460146586243363
PC4,4,0.12311594895695596,0.79274116352236,1,feat_max_min,0.32062094897262516,0.32062094897262516
PC4,4,0.12311594895695596,0.79274116352236,2,feat_mean_q1,0.2916739771360446,0.2916739771360446
PC4,4,0.12311594895695596,0.79274116352236,3,n_features,-0.2734966147405135,0.2734966147405135
PC4,4,0.12311594895695596,0.79274116352236,4,class_entropy_norm,0.24196594385680742,0.24196594385680742
PC4,4,0.12311594895695596,0.79274116352236,5,feat_entropy_binned_max,-0.2409393168313207,0.2409393168313207
PC4,4,0.12311594895695596,0.79274116352236,6,feat_std_min,0.23840825450124156,0.23840825450124156
PC4,4,0.12311594895695596,0.79274116352236,7,landmark__logreg_acc,-0.2356695563015138,0.2356695563015138
PC4,4,0.12311594895695596,0.79274116352236,8,landmark__dt_depth5_acc,-0.23001391172158628,0.23001391172158628
PC4,4,0.12311594895695596,0.79274116352236,9,landmark__1nn_acc,-0.21481263827674377,0.21481263827674377
PC4,4,0.12311594895695596,0.79274116352236,10,feat_mean_mean,-0.19646930844775537,0.19646930844775537
PC5,5,0.10552408650334748,0.8982652500257075,1,x_pca_k_for_95pct,-0.3803311204301653,0.3803311204301653
PC5,5,0.10552408650334748,0.8982652500257075,2,feat_min_mean,-0.3703605597400173,0.3703605597400173
PC5,5,0.10552408650334748,0.8982652500257075,3,feat_min_max,-0.3473148629593894,0.3473148629593894
PC5,5,0.10552408650334748,0.8982652500257075,4,class_entropy_norm,0.3259167583205887,0.3259167583205887
PC5,5,0.10552408650334748,0.8982652500257075,5,min_class_count,0.2652347027249621,0.2652347027249621
PC5,5,0.10552408650334748,0.8982652500257075,6,max_abs_corr,-0.2633930561960712,0.2633930561960712
PC5,5,0.10552408650334748,0.8982652500257075,7,feat_entropy_binned_std,0.20426220409904192,0.20426220409904192
PC5,5,0.10552408650334748,0.8982652500257075,8,earlyshift_batch__kl_q3,0.19430273050610863,0.19430273050610863
PC5,5,0.10552408650334748,0.8982652500257075,9,feat_zero_frac_mean,-0.1819667622791435,0.1819667622791435
PC5,5,0.10552408650334748,0.8982652500257075,10,feat_mean_mean,0.18059751149606573,0.18059751149606573
PC6,6,0.0583660025396225,0.95663125256533,1,imbalance_ratio,-0.3959570131928348,0.3959570131928348
PC6,6,0.0583660025396225,0.95663125256533,2,earlyshift_batch__kl_q3,0.31530697600833374,0.31530697600833374
PC6,6,0.0583660025396225,0.95663125256533,3,feat_entropy_binned_max,-0.26770893967768356,0.26770893967768356
PC6,6,0.0583660025396225,0.95663125256533,4,feat_min_max,0.26366938440552334,0.26366938440552334
PC6,6,0.0583660025396225,0.95663125256533,5,feat_max_min,-0.24604388433931318,0.24604388433931318
PC6,6,0.0583660025396225,0.95663125256533,6,feat_std_min,-0.23406230682527704,0.23406230682527704
PC6,6,0.0583660025396225,0.95663125256533,7,feat_std_q3,-0.22535063835124505,0.22535063835124505
PC6,6,0.0583660025396225,0.95663125256533,8,x_pca_kurtosis_first_pc,0.20636911232361932,0.20636911232361932
PC6,6,0.0583660025396225,0.95663125256533,9,feat_min_mean,0.20415821509472515,0.20415821509472515
PC6,6,0.0583660025396225,0.95663125256533,10,mi_feat_to_label_min,-0.19832499042826146,0.19832499042826146
