Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.52,8,1,3243,10.0,20,0.001
Completed,0.55,12,1971,2938,3.104,4,0.266
Completed,0.6,46,4319,561,6.313,11,0.777
Completed,0.59,14,4402,3352,8.824,13,0.945
Completed,0.54,34,1731,651,0.589,1,0.465
Completed,0.58,10,3338,1797,4.975,8,0.702
Completed,0.6,51,2976,1049,9.733,12,0.346
Completed,0.54,8,1483,4834,9.558,6,0.865
Completed,0.56,14,4031,3956,3.525,16,0.424
Completed,0.53,11,2336,1255,7.064,9,0.911
Completed,0.58,8,1175,3441,1.658,12,0.658
Completed,0.51,12,2616,1151,7.677,5,0.179
Completed,0.53,6,2568,3810,6.774,8,0.968
Completed,0.61,21,1147,1442,2.64,19,0.489
Completed,0.51,5,2208,3626,8.641,2,0.238
Completed,0.51,14,4780,2586,4.518,12,0.551
Completed,0.59,8,3368,3167,0.889,5,0.4
Completed,0.52,6,2961,3666,0.987,8,0.991
Completed,0.6,14,4782,2034,7.518,15,0.557
Completed,0.53,7,1850,4572,3.054,4,0.422
Completed,0.57,5,2009,1468,1.577,2,0.254
Completed,0.56,7,3999,3928,6.486,11,0.646
Completed,0.57,30,3436,520,4.973,7,0.839
Completed,0.58,7,108,2983,9.417,16,0.202
Completed,0.51,9,454,2341,4.077,13,0.919
Completed,0.54,8,3699,4803,8.986,1,0.056
Completed,0.52,4,2274,3211,6.917,6,0.594
Completed,0.72,5581,1486,106,8.414,9,0.7
Completed,0.56,16,4501,2644,3.486,19,0.337
Completed,0.51,7,2602,1657,5.019,4,0.146
Completed,0.7,2291,3477,75,9.801,8,0.736
Completed,0.55,11,3091,2103,6.072,14,0.38
Completed,0.74,1241,3997,57,7.646,13,0.752
Completed,0.71,228,3312,64,8.922,1,0.505
Completed,0.56,23,3680,1277,10.0,10,0.127
Completed,0.78,707,4072,27,1.872,5,0.63
Completed,0.68,5503,329,94,9.201,20,0.772
Completed,0.73,184,3517,56,10.0,14,0.999
Completed,0.72,4172,5000,116,10.0,13,0.813
Completed,0.71,1410,3593,135,10.0,6,0.21
Completed,0.74,127,3035,48,10.0,3,0.917
Completed,0.59,157,1,61,6.947,11,0.96
Completed,0.72,150,4713,91,5.957,20,0.999
Completed,0.75,186,3377,38,1.854,1,0.999
Completed,0.72,3955,3656,141,10.0,19,0.588
Completed,0.75,5886,4252,36,3.455,16,0.536
Completed,0.75,132,2859,46,6.339,1,0.594
Completed,0.54,14,1207,2733,10.0,20,0.001
Completed,0.52,2315,5000,1,10.0,1,0.459
Completed,0.81,49,23,9,3.53,18,0.699
Completed,0.72,171,3791,61,10.0,1,0.999
Completed,0.68,21,180,146,10.0,1,0.922
Completed,0.68,2989,3025,133,10.0,10,0.591
Completed,0.52,1959,5000,1,10.0,9,0.14
Completed,0.71,414,1172,64,0.001,1,0.053
Completed,0.56,14,3284,1290,5.974,1,0.001
Completed,0.6,1850,1,48,6.872,4,0.209
Completed,0.72,5018,2292,56,0.719,13,0.584
Completed,0.73,141,2852,39,5.796,8,0.984
Completed,0.84,1520,567,1,2.512,20,0.971
Completed,0.82,311,590,10,4.613,20,0.825
Completed,0.52,2029,38,1,0.866,20,0.305
Completed,0.84,1023,2379,1,0.096,14,0.999
Completed,0.8,1277,1195,12,5.355,20,0.52
Completed,0.52,1883,2198,1,1.054,13,0.001
Completed,0.84,2910,1094,1,1.172,20,0.876
Completed,0.75,92,2595,52,4.977,19,0.999
Completed,0.67,35,2861,241,8.728,1,0.093
Completed,0.52,11,4400,2289,2.322,4,0.001
Completed,0.79,27,1,1,0.001,20,0.733
Completed,0.84,3158,1288,1,3.956,20,0.999
Completed,0.71,1591,4561,121,1.815,5,0.001
Completed,0.79,25,1,1,1.641,20,0.601
Completed,0.82,1422,958,4,1.31,20,0.423
Completed,0.83,3516,3293,1,0.307,8,0.931
Completed,0.74,22,2004,6,2.077,20,0.999
Completed,0.69,173,1875,182,5.328,2,0.001
Completed,0.85,700,2201,1,0.001,14,0.467
Completed,0.71,4444,3320,56,1.414,5,0.001
Completed,0.67,4299,2223,154,5.884,19,0.974
Completed,0.84,3770,1530,1,1.52,14,0.828
Completed,0.74,4374,4339,60,0.454,9,0.593
Completed,0.54,15,5000,1869,10.0,1,0.999
Completed,0.54,5,1,1388,10.0,1,0.999
Completed,0.54,13,4883,5000,0.001,20,0.999
Completed,0.52,5,1,3463,10.0,1,0.001
Completed,0.54,12,5000,5000,0.001,20,0.001
Completed,0.55,10,5000,3688,10.0,20,0.001
Completed,0.59,19,5000,1414,0.001,1,0.999
Completed,0.53,6,1152,5000,0.001,1,0.999
Completed,0.52,8,1,3913,0.001,20,0.001
Completed,0.85,1572,2538,1,0.001,1,0.818
Completed,0.52,5,1,3937,10.0,1,0.001
Completed,0.53,7,5000,4547,0.001,1,0.999
Completed,0.56,7,5000,3480,10.0,1,0.001
Completed,0.85,712,194,1,0.001,1,0.999
Completed,0.54,8,5000,5000,10.0,5,0.999
Completed,0.53,12,5000,2604,10.0,1,0.999
Completed,0.53,13,5000,4539,10.0,20,0.999
Completed,0.53,11,1,5000,10.0,20,0.999
Completed,0.56,8,5000,2979,10.0,1,0.001
Completed,0.53,4,1,3840,0.001,1,0.001
Completed,0.56,11,5000,3194,0.001,20,0.001
Completed,0.52,5,1,1537,0.001,1,0.999
Completed,0.53,4,1,1098,10.0,1,0.999
Completed,0.52,7,1,2986,0.001,20,0.999
Completed,0.54,12,1627,4508,10.0,20,0.001
Completed,0.52,4,1,2893,10.0,1,0.999
Completed,0.52,4,1,3770,10.0,10,0.001
Completed,0.53,9,1,5000,0.001,20,0.001
Completed,0.58,19,5000,1403,10.0,1,0.999
Completed,0.52,4,1,2883,10.0,1,0.001
Completed,0.58,22,1126,622,0.001,1,0.999
Completed,0.58,19,1387,938,0.001,1,0.999
Completed,0.84,4304,1638,1,7.027,1,0.999
Completed,0.63,45,1975,423,0.001,1,0.999
Completed,0.86,322,2074,1,0.001,1,0.999
Completed,0.54,11,2365,631,10.0,1,0.999
Completed,0.53,6,1,5000,10.0,12,0.999
Completed,0.62,29,4529,719,0.001,1,0.999
Completed,0.85,436,2094,1,0.001,20,0.999
Completed,0.56,8,5000,3123,0.001,1,0.001
Completed,0.54,48,5000,5000,0.001,11,0.999
Completed,0.57,21,5000,3416,10.0,20,0.999
Completed,0.59,10,5000,3330,10.0,11,0.001
Completed,0.52,4,1,946,0.001,1,0.999
Completed,0.54,10,5000,5000,10.0,13,0.001
Completed,0.57,24,1,191,0.001,1,0.999
Completed,0.53,8,1,5000,0.001,15,0.999
Completed,0.54,8,5000,5000,0.001,1,0.001
Completed,0.52,6,1,3686,10.0,14,0.999
Completed,0.52,6,1,3937,0.001,14,0.999
Completed,0.55,8,5000,3731,0.001,12,0.999
Completed,0.84,2911,1033,1,0.001,1,0.999
