Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.73,2,3947,2159,10.0,3,0.999
Completed,0.74,1,1871,3730,9.711,1,0.977
Completed,0.73,179,2818,379,4.761,2,0.001
Completed,0.73,11,2835,4716,4.901,16,0.034
Completed,0.73,6891,3501,2487,5.202,10,0.001
Completed,0.74,402,4223,168,4.642,9,0.001
Completed,0.73,1,1,297,9.729,3,0.999
Completed,0.73,172,4893,1,1.821,4,0.353
Completed,0.72,1,810,5000,9.448,6,0.999
Completed,0.73,1,4176,3135,0.872,1,0.731
Completed,0.73,219,2921,1,4.439,18,0.001
Completed,0.74,37,3459,233,4.86,6,0.047
Completed,0.73,38,2355,934,5.579,3,0.795
Completed,0.75,217,2768,170,4.461,13,0.058
Completed,0.73,3,2575,3461,5.134,9,0.531
Completed,0.74,606,3214,627,9.579,6,0.711
Completed,0.73,1,4437,4313,7.23,7,0.317
Completed,0.75,11,4960,1154,1.385,2,0.556
Completed,0.74,421,1271,1742,3.863,6,0.145
Completed,0.73,13,2881,4676,9.074,18,0.819
Completed,0.73,1436,1998,3908,0.81,9,0.083
Completed,0.72,1803,173,557,8.733,12,0.295
Completed,0.73,2,4271,3325,3.33,4,0.748
Completed,0.73,2,131,3242,1.828,8,0.757
Completed,0.73,651,2036,2220,8.981,14,0.616
Completed,0.73,1,3639,3904,4.347,1,0.412
Completed,0.73,2,3067,1698,0.981,4,0.347
Completed,0.73,6,1552,4388,5.771,12,0.673
Completed,0.73,4048,4637,1978,2.825,13,0.845
Completed,0.73,1,1234,4122,7.614,5,0.175
Completed,0.74,209,1597,145,0.383,16,0.449
Completed,0.74,2,3703,2327,2.262,4,0.323
Completed,0.73,22,2625,3779,10.0,17,0.587
Completed,0.73,1,2030,1688,6.172,1,0.488
Completed,0.74,57,1525,159,7.179,15,0.804
Completed,0.73,1,657,1790,1.057,4,0.522
Completed,0.74,3,5000,1151,0.001,1,0.999
Completed,0.73,139,476,1792,5.47,5,0.645
Completed,0.75,29,2989,199,1.636,8,0.524
Completed,0.73,1,2319,1171,0.001,1,0.446
Completed,0.75,13,1508,186,3.603,8,0.999
Completed,0.74,7,759,147,3.736,4,0.594
Completed,0.73,52,2057,188,4.395,15,0.937
Completed,0.74,2,3698,1174,3.233,1,0.484
Completed,0.74,59,1344,174,5.115,20,0.827
Completed,0.75,433,3519,205,3.781,20,0.326
Completed,0.74,5,1684,3741,10.0,10,0.726
Completed,0.74,32,1501,165,4.851,12,0.788
Completed,0.73,7,1,143,10.0,13,0.999
Completed,0.73,5,2041,94,3.032,8,0.775
Completed,0.72,1,2266,4318,0.001,1,0.948
Completed,0.73,4,128,166,3.126,7,0.999
Completed,0.74,3,4343,1009,1.718,1,0.435
Completed,0.72,65,1552,34,8.88,13,0.598
Completed,0.74,13,1016,113,2.919,7,0.961
Completed,0.72,1,456,3764,10.0,6,0.612
Completed,0.71,776,2081,1119,0.001,6,0.468
Completed,0.74,2,4866,1201,3.03,1,0.469
Completed,0.75,3,4637,1126,3.181,1,0.321
Completed,0.75,142,2371,196,5.464,19,0.404
Completed,0.74,2,3600,1199,0.001,1,0.518
Completed,0.75,4,4994,1115,0.23,1,0.213
Completed,0.74,10,2171,165,7.156,13,0.999
Completed,0.75,51,1170,224,2.214,20,0.999
Completed,0.73,8,3122,4210,10.0,14,0.999
Completed,0.73,9,2259,3634,10.0,12,0.371
Completed,0.73,1,3457,3659,10.0,1,0.809
Completed,0.73,14,3141,4496,0.001,17,0.999
Completed,0.73,8,1588,4247,10.0,14,0.001
Completed,0.73,3,2891,4244,10.0,10,0.999
Completed,0.73,1,2791,4521,0.001,6,0.999
Completed,0.73,2,2641,4263,0.001,9,0.534
Completed,0.73,12,2796,4367,0.001,16,0.999
Completed,0.73,8,2494,4263,10.0,14,0.134
Completed,0.74,895,2715,305,4.328,8,0.917
Completed,0.74,3,4615,1045,0.761,2,0.54
Completed,0.73,1,2060,4302,0.001,8,0.999
Completed,0.72,7,3325,3678,10.0,11,0.684
Completed,0.72,1,2636,4313,10.0,1,0.84
Completed,0.73,1,2806,4413,0.001,6,0.999
Completed,0.74,10,3036,150,7.538,1,0.001
Completed,0.73,13,1718,3689,6.825,13,0.999
Completed,0.74,855,2966,197,10.0,20,0.001
Completed,0.74,1,1738,3763,4.815,1,0.999
Completed,0.73,1,5000,4782,0.001,1,0.179
Completed,0.75,7,4710,1130,10.0,1,0.001
Completed,0.73,2,1680,1733,0.001,1,0.001
Completed,0.75,3,4448,1123,7.47,1,0.132
Completed,0.73,1,2303,4081,6.858,4,0.799
Completed,0.75,7,1296,239,10.0,1,0.999
Completed,0.74,6,2843,181,0.001,1,0.13
Completed,0.74,16,3078,181,7.769,20,0.342
Completed,0.74,1,1838,3769,6.485,5,0.875
Completed,0.74,38,2849,163,6.999,8,0.209
Completed,0.73,2,3832,3680,10.0,8,0.999
Completed,0.73,1,2165,4261,10.0,1,0.174
Completed,0.75,35,2526,146,7.067,20,0.899
Completed,0.75,9,1170,247,6.765,1,0.999
Completed,0.73,6960,1201,241,0.001,7,0.529
Completed,0.74,317,3547,142,8.28,20,0.08
Completed,0.74,1447,3593,175,0.001,17,0.999
Completed,0.73,3,2063,211,0.001,1,0.001
Completed,0.73,1,1742,3655,3.069,1,0.999
Completed,0.73,1,2027,1849,0.001,1,0.001
Completed,0.75,8,4338,1127,6.383,1,0.001
Completed,0.73,1,1797,3863,6.323,1,0.999
Completed,0.75,26,1206,260,10.0,17,0.999
Completed,0.72,1,2295,1360,7.759,1,0.837
Completed,0.74,24,3562,154,10.0,20,0.999
Completed,0.75,2722,3358,173,0.001,20,0.548
Completed,0.73,1,4531,5000,0.001,1,0.074
Completed,0.72,1,2475,4005,6.426,1,0.999
Completed,0.73,9,3330,4819,7.321,13,0.001
Completed,0.74,12,1515,251,0.001,1,0.651
Completed,0.73,1,1721,4774,6.822,3,0.519
Completed,0.74,4,4256,1144,5.977,1,0.999
Completed,0.72,1,2322,4775,6.657,5,0.19
Completed,0.73,2,1098,1325,5.027,1,0.72
Completed,0.73,18,1504,4675,0.001,20,0.629
Completed,0.73,1,2672,5000,5.298,2,0.001
Completed,0.73,3,1279,4592,7.69,9,0.999
Completed,0.73,1,436,4639,6.325,4,0.999
Completed,0.74,16,4345,169,0.001,1,0.999
Completed,0.75,12,2494,150,10.0,12,0.999
Completed,0.74,1,3529,4659,5.633,5,0.001
Completed,0.74,2,2833,1180,6.847,1,0.167
Completed,0.74,4104,1431,264,0.001,6,0.644
Completed,0.73,1,3035,4894,6.29,7,0.001
Completed,0.74,52,1387,233,1.831,15,0.999
Completed,0.73,1,250,2192,0.416,6,0.854
Completed,0.73,2,1822,2420,0.001,6,0.001
Completed,0.74,2,4339,2314,0.017,6,0.008
Completed,0.75,90,2598,160,0.539,9,0.001
Completed,0.75,302,3415,210,6.588,14,0.51
Completed,0.75,60,3041,221,8.297,8,0.682
Completed,0.75,1074,2609,174,8.75,16,0.001
Completed,0.73,1,325,2314,0.018,6,0.001
Completed,0.73,12,4444,4801,7.245,15,0.001
Completed,0.73,23,1152,4700,0.001,19,0.725
Completed,0.74,198,4929,1109,10.0,5,0.785
Completed,0.74,7,1057,293,0.778,1,0.477
Completed,0.74,15,1,1,0.001,13,0.364
Completed,0.73,5624,4073,4079,5.794,17,0.001
Completed,0.74,13,3764,4610,7.101,16,0.001
Completed,0.75,244,2570,136,8.079,17,0.01
