Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.55,0,306,1103,3.921,10,0.768
Completed,0.55,0,4591,3356,5.302,12,0.275
Completed,0.55,0,2682,4505,5.57,7,0.724
Completed,0.55,0,547,2017,4.058,20,0.25
Completed,0.55,0,1976,3512,9.358,3,0.456
Completed,0.55,19,4838,980,0.273,14,0.945
Completed,0.55,0,4524,4091,9.907,19,0.33
Completed,0.55,0,2287,1574,0.815,6,0.823
Completed,0.55,0,234,2580,6.122,14,0.6
Completed,0.58,2,2994,117,4.602,1,0.123
Completed,0.55,0,3659,3310,1.576,4,0.184
Completed,0.55,2402,821,793,7.545,11,0.662
Completed,0.55,0,1702,4924,2.864,9,0.885
Completed,0.55,0,3861,2461,6.26,16,0.392
Completed,0.55,188,2172,553,4.524,4,0.56
Completed,0.55,0,4067,2262,1.885,6,0.254
Completed,0.55,0,4014,4734,0.966,2,0.52
Completed,0.55,0,1872,2261,9.444,15,0.016
Completed,0.55,0,649,3267,4.753,7,0.285
Completed,0.55,5023,3509,759,5.66,20,0.806
Completed,0.55,0,2844,2703,8.018,17,0.992
Completed,0.55,0,4215,2654,4.158,2,0.57
Completed,0.55,0,2740,2421,7.91,11,0.862
Completed,0.55,0,932,4207,4.708,13,0.728
Completed,0.55,0,613,1995,0.429,14,0.505
Completed,0.55,0,1346,3012,6.676,4,0.798
Completed,0.55,0,1313,2153,9.402,8,0.115
Completed,0.55,0,3275,4952,0.756,12,0.624
Completed,0.57,6,4926,34,7.003,1,0.823
Completed,0.55,0,483,2852,3.15,18,0.314
Completed,0.55,4277,789,689,1.361,17,0.42
Completed,0.55,0,3345,1448,8.244,9,0.536
Completed,0.57,139,5000,1,7.293,1,0.511
Completed,0.55,0,4574,5000,0.001,18,0.596
Completed,0.57,156,5000,1,7.322,1,0.701
Completed,0.57,2,3383,121,5.823,1,0.741
Completed,0.55,0,1,159,0.001,1,0.999
Completed,0.55,0,914,2850,10.0,1,0.999
Completed,0.55,0,588,1023,10.0,1,0.999
Completed,0.55,0,1,232,10.0,1,0.999
Completed,0.57,7,5000,132,0.001,3,0.001
Completed,0.55,112,1147,1,10.0,5,0.001
Completed,0.57,155,4751,1,10.0,1,0.999
Completed,0.55,0,5000,1069,10.0,6,0.999
Completed,0.55,0,1,966,0.001,1,0.001
Completed,0.55,0,853,4739,10.0,20,0.001
Completed,0.55,41,921,547,0.001,1,0.001
Completed,0.55,6,5000,845,0.001,1,0.001
Completed,0.55,0,4119,4050,0.001,17,0.559
Completed,0.55,0,2649,2407,0.001,1,0.739
Completed,0.55,0,4838,3090,0.001,20,0.584
Completed,0.57,2,4212,135,6.79,1,0.237
Completed,0.55,0,131,5000,0.001,15,0.555
Completed,0.58,3,4052,121,6.822,1,0.792
Completed,0.57,147,5000,1,6.223,13,0.999
Completed,0.55,0,4783,5000,10.0,1,0.7
Completed,0.55,131,4902,1,5.701,12,0.256
Completed,0.56,1,3329,267,5.709,1,0.767
Completed,0.57,135,4785,1,8.216,1,0.612
Completed,0.55,0,311,4024,0.001,1,0.721
Completed,0.55,0,717,3826,10.0,19,0.585
Completed,0.55,0,1,4526,0.001,19,0.601
Completed,0.57,5,4990,61,7.121,1,0.319
Completed,0.55,0,3083,4904,10.0,18,0.589
Completed,0.58,5,3904,74,6.977,6,0.999
Completed,0.57,75,4143,124,10.0,9,0.429
Completed,0.56,20,4597,90,6.858,16,0.912
Completed,0.57,6,3477,89,0.312,9,0.887
Completed,0.57,7,4811,111,8.783,9,0.64
Completed,0.56,3,2567,99,7.651,6,0.652
Completed,0.55,0,319,2327,3.404,1,0.675
Completed,0.55,0,5000,4811,10.0,14,0.535
Completed,0.55,0,1,5000,0.001,19,0.552
Completed,0.55,0,4673,5000,10.0,20,0.595
Completed,0.56,1,4183,410,6.22,1,0.549
Completed,0.55,0,4111,2661,10.0,1,0.742
Completed,0.56,20,4602,48,4.818,15,0.278
Completed,0.55,0,4788,3895,0.001,1,0.696
Completed,0.55,0,169,5000,10.0,18,0.613
Completed,0.55,53,4605,1,6.891,1,0.432
Completed,0.57,173,4756,157,7.238,18,0.074
Completed,0.57,96,4944,128,8.792,19,0.414
Completed,0.56,680,4561,408,4.493,10,0.536
Completed,0.57,7,4561,78,8.912,11,0.999
Completed,0.57,7,4246,76,9.428,10,0.999
Completed,0.57,15,4837,138,6.516,6,0.361
Completed,0.57,8,4972,113,3.057,20,0.641
Completed,0.57,6,4575,87,6.371,9,0.987
Completed,0.57,4,4950,94,7.202,5,0.846
Completed,0.56,4,506,79,6.552,8,0.738
Completed,0.57,4,5000,101,3.62,6,0.908
Completed,0.57,36,4645,127,8.036,7,0.473
Completed,0.57,26,4529,140,1.574,15,0.437
Completed,0.58,4,4933,118,5.841,4,0.501
Completed,0.57,3,4955,104,4.153,4,0.707
Completed,0.57,7,4149,83,4.895,11,0.999
Completed,0.57,6,4867,38,4.252,1,0.999
Completed,0.58,2,4780,128,9.193,1,0.5
Completed,0.56,10,5000,178,0.001,16,0.359
Completed,0.56,181,5000,213,0.001,12,0.001
