Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.91,0,2128,4146,3.837,15,0.914
Completed,0.91,0,1930,1832,7.063,9,0.252
Completed,0.91,0,4224,4289,1.728,16,0.741
Completed,0.91,0,2592,1243,7.523,4,0.829
Completed,0.91,0,1216,3631,3.455,11,0.164
Completed,0.9,7,238,233,0.967,14,0.048
Completed,0.91,0,3572,2767,5.014,1,0.961
Completed,0.91,0,2994,3809,8.874,18,0.183
Completed,0.91,0,977,4698,3.614,6,0.633
Completed,0.91,0,2311,564,8.836,19,0.155
Completed,0.91,0,3543,1171,5.638,11,0.467
Completed,0.91,0,1166,3182,3.893,5,0.84
Completed,0.91,0,2382,4668,6.355,20,0.652
Completed,0.91,0,2226,2383,0.816,4,0.433
Completed,0.91,1,2988,145,4.16,10,0.571
Completed,0.91,0,433,3096,5.998,16,0.198
Completed,0.91,0,1651,4110,3.458,1,0.261
Completed,0.91,0,3999,3020,4.797,7,0.854
Completed,0.91,0,2817,2475,5.876,13,0.701
Completed,0.91,0,836,4863,0.57,1,0.309
Completed,0.91,0,482,1464,3.058,3,0.426
Completed,0.91,0,3171,3999,8.385,11,0.568
Completed,0.91,0,4577,2062,4.257,19,0.625
Completed,0.91,0,1576,4684,9.536,6,0.385
Completed,0.91,0,1448,765,4.534,2,0.683
Completed,0.91,0,4706,3153,9.255,15,0.323
Completed,0.91,0,3367,1354,0.013,7,0.231
Completed,0.91,0,4280,2791,1.334,3,0.37
Completed,0.91,0,1676,469,8.196,14,0.992
Completed,0.91,0,1318,4281,2.283,19,0.404
Completed,0.91,0,4017,1294,7.876,8,0.78
Completed,0.91,0,4180,1611,9.799,3,0.093
Completed,0.91,0,3493,3601,10.0,20,0.001
Completed,0.91,48,3286,1,6.754,1,0.001
Completed,0.91,0,5000,5000,3.162,1,0.001
Completed,0.91,0,3861,5000,10.0,20,0.999
Completed,0.91,0,4160,5000,0.001,1,0.999
Completed,0.91,75,3325,1,10.0,20,0.001
Completed,0.92,277,1581,1,10.0,1,0.999
Completed,0.93,345,4115,1,10.0,1,0.999
Completed,0.91,0,3162,5000,6.583,20,0.001
Completed,0.91,0,1549,5000,9.825,20,0.001
Completed,0.9,1,1,1,10.0,1,0.999
Completed,0.91,0,1962,5000,0.001,1,0.999
Completed,0.9,1,1,1,7.57,15,0.999
Completed,0.91,0,5000,4957,10.0,20,0.999
Completed,0.91,0,778,5000,3.973,1,0.999
Completed,0.93,203,3213,1,5.545,1,0.635
Completed,0.91,0,2544,4721,3.451,1,0.27
Completed,0.91,0,2424,5000,0.001,1,0.001
Completed,0.91,0,2969,2603,5.531,1,0.001
Completed,0.91,0,1871,5000,10.0,1,0.999
Completed,0.93,324,4258,1,10.0,20,0.999
Completed,0.91,0,3369,5000,10.0,1,0.001
Completed,0.91,0,5000,5000,7.327,20,0.001
Completed,0.92,149,2920,1,3.753,1,0.999
Completed,0.91,0,1634,5000,6.712,20,0.553
Completed,0.91,0,2083,5000,5.835,1,0.001
Completed,0.91,32,3823,10,8.898,11,0.764
Completed,0.91,47,3312,5,7.067,9,0.668
Completed,0.91,11,2636,12,7.341,19,0.686
Completed,0.91,0,1,4409,8.211,9,0.001
Completed,0.91,0,5000,4611,5.61,8,0.001
Completed,0.92,59,2359,1,10.0,10,0.586
Completed,0.92,49,5000,7,6.412,1,0.999
Completed,0.92,20,3281,12,10.0,14,0.763
Completed,0.91,0,5000,4659,5.464,7,0.999
Completed,0.91,0,1,4528,7.853,14,0.999
Completed,0.91,0,1,4138,8.033,13,0.001
Completed,0.91,0,583,4776,7.044,13,0.999
Completed,0.91,25,4326,14,6.977,10,0.999
Completed,0.91,0,5000,4167,7.379,12,0.001
Completed,0.91,60,3990,1,8.148,10,0.354
Completed,0.91,0,1,4453,2.669,1,0.001
Completed,0.91,0,5000,3835,0.001,1,0.001
Completed,0.91,0,5000,4122,5.649,9,0.999
Completed,0.91,0,143,4319,7.988,20,0.999
Completed,0.92,14,2798,11,10.0,20,0.712
Completed,0.91,0,5000,2894,2.61,1,0.001
Completed,0.91,0,317,4299,6.599,11,0.001
Completed,0.91,0,1,4361,0.001,1,0.304
Completed,0.91,0,1605,4784,4.119,1,0.999
Completed,0.91,0,5000,4073,10.0,20,0.999
Completed,0.91,0,5000,3851,7.535,10,0.001
Completed,0.93,337,5000,1,9.231,8,0.999
Completed,0.91,0,5000,4731,9.993,20,0.001
Completed,0.91,0,1403,4160,5.11,6,0.001
Completed,0.92,259,3685,1,2.719,1,0.586
Completed,0.91,0,2489,1721,10.0,20,0.999
Completed,0.91,0,5000,1490,9.143,12,0.999
Completed,0.91,0,3059,525,4.609,1,0.642
Completed,0.91,0,2993,1488,4.594,1,0.582
Completed,0.91,0,5000,5000,0.001,1,0.597
