Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.04,5,1004,6,740,str('KL'),3,str('stdev'),0.331,57
Completed,0.05,4,714,13,3428,str('KL'),1,str('stdev'),0.073,29
Completed,0.04,5,4414,1,1117,str('H'),2,str('tstat'),0.554,66
Completed,0.04,4,3207,16,4331,str('KL'),2,str('tstat'),0.867,85
Completed,0.08,4,1902,9,1483,str('H'),1,str('stdev'),0.257,22
Completed,0.04,6,1422,18,252,str('H'),1,str('tstat'),0.925,58
Completed,0.04,4,2769,7,3019,str('KL'),2,str('stdev'),0.451,46
Completed,0.04,3,3914,10,2464,str('H'),2,str('stdev'),0.128,5
Completed,0.04,8,256,3,4537,str('KL'),1,str('tstat'),0.746,93
Completed,0.06,2,1429,12,1013,str('KL'),3,str('tstat'),0.433,63
Completed,0.06,3,3706,14,2135,str('H'),3,str('tstat'),0.3,32
Completed,0.06,3,2919,14,2529,str('H'),3,str('tstat'),0.071,69
Completed,0.06,3,2177,14,1381,str('KL'),1,str('stdev'),0.584,42
Completed,0.06,3,889,14,3897,str('H'),2,str('stdev'),0.914,87
Completed,0.06,3,1778,14,4297,str('KL'),3,str('stdev'),0.012,27
Completed,0.06,4,3147,14,551,str('H'),1,str('tstat'),0.522,52
Completed,0.06,2,3598,12,2809,str('H'),3,str('stdev'),0.631,90
Completed,0.04,4,2743,3,3233,str('H'),2,str('stdev'),0.942,26
Completed,0.04,4,3940,19,1272,str('KL'),2,str('stdev'),0.635,25
Completed,0.04,3,1119,10,3790,str('KL'),2,str('tstat'),0.936,29
Completed,0.04,4,4927,4,1648,str('H'),3,str('stdev'),0.439,67
Completed,0.04,4,3631,18,3453,str('KL'),2,str('stdev'),0.14,84
Completed,0.04,5,2433,6,755,str('H'),3,str('tstat'),0.734,22
Completed,0.04,5,1661,15,1907,str('H'),1,str('stdev'),0.069,58
Completed,0.08,4,2822,9,4844,str('KL'),3,str('tstat'),0.558,45
Completed,0.05,4,4174,13,379,str('H'),3,str('tstat'),0.863,6
Completed,0.04,4,2083,16,2872,str('KL'),3,str('tstat'),0.473,77
Completed,0.04,4,3436,10,105,str('H'),1,str('stdev'),0.903,14
