Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.5,1121,4094,1,1442,str('KL'),2,str('tstat'),0.298,33
Completed,0.51,986,3145,9,4960,str('H'),3,str('tstat'),0.103,22
Completed,0.43,1146,1442,2,942,str('KL'),2,str('stdev'),0.542,52
Completed,0.55,602,3508,5,1584,str('H'),1,str('stdev'),0.321,34
Completed,0.54,595,1857,5,2965,str('KL'),2,str('tstat'),0.23,36
Completed,0.55,551,3381,5,1039,str('H'),3,str('stdev'),0.897,83
Completed,0.56,897,3916,5,5000,str('KL'),1,str('tstat'),0.713,1
Completed,0.56,771,2604,5,366,str('KL'),2,str('stdev'),0.72,1
Completed,0.56,799,4342,5,3912,str('KL'),1,str('stdev'),0.668,5
Completed,0.55,549,867,5,2084,str('H'),3,str('tstat'),0.455,51
Completed,0.55,607,585,5,4592,str('H'),2,str('tstat'),0.008,25
Completed,0.54,682,4688,5,1445,str('KL'),1,str('stdev'),0.869,71
Completed,0.55,576,3061,5,3527,str('H'),3,str('stdev'),0.564,43
Completed,0.55,2402,2163,5,439,str('KL'),1,str('tstat'),0.309,91
Completed,0.55,570,2375,5,4368,str('H'),1,str('stdev'),0.393,13
Completed,0.56,738,2726,5,2451,str('KL'),2,str('tstat'),0.733,67
Completed,0.55,885,4340,5,3948,str('H'),2,str('stdev'),0.456,99
Completed,0.5,1024,3594,0,668,str('H'),1,str('tstat'),0.371,72
Completed,0.48,1159,3880,8,2933,str('KL'),3,str('tstat'),0.038,83
Completed,0.45,223,932,3,1793,str('H'),2,str('stdev'),0.601,39
Completed,0.5,1465,502,8,540,str('H'),2,str('tstat'),0.22,58
Completed,0.48,225,4699,3,4190,str('KL'),1,str('stdev'),0.659,14
Completed,0.55,575,2539,5,1920,str('H'),3,str('stdev'),0.994,28
Completed,0.5,963,2197,4,4758,str('H'),3,str('stdev'),0.079,85
Completed,0.5,1219,2021,6,867,str('H'),1,str('stdev'),0.339,35
Completed,0.5,1242,2779,1,4405,str('KL'),2,str('tstat'),0.774,92
Completed,0.52,1228,4984,9,1675,str('H'),2,str('tstat'),0.564,56
Completed,0.5,284,432,3,2977,str('KL'),3,str('stdev'),0.004,24
Completed,0.49,1449,628,8,4220,str('KL'),1,str('tstat'),0.629,81
Completed,0.48,891,3929,4,427,str('H'),3,str('stdev'),0.194,49
Completed,0.52,1225,1377,9,3515,str('H'),2,str('tstat'),0.696,17
Completed,0.55,596,1107,5,2580,str('H'),3,str('stdev'),0.862,89
Completed,0.5,1245,1778,8,1479,str('H'),1,str('stdev'),0.446,13
Completed,0.49,313,3512,3,2626,str('KL'),3,str('tstat'),0.885,68
Completed,0.56,1163,3803,5,983,str('H'),1,str('tstat'),0.706,79
Completed,0.5,1124,852,1,4992,str('KL'),2,str('stdev'),0.142,49
Completed,0.5,1353,578,6,3749,str('KL'),1,str('tstat'),0.522,54
Completed,0.5,1005,4779,0,2231,str('H'),3,str('stdev'),0.083,24
Completed,0.5,1201,2613,8,3869,str('KL'),3,str('stdev'),0.264,38
Completed,0.5,6983,2129,4,231,str('H'),1,str('tstat'),0.827,93
Completed,0.55,648,2421,5,4144,str('H'),2,str('tstat'),0.588,43
Completed,0.43,1835,2867,2,504,str('KL'),1,str('stdev'),0.025,88
Completed,0.53,1414,4447,9,3398,str('H'),1,str('stdev'),0.314,74
Completed,0.43,1157,207,2,1879,str('KL'),3,str('tstat'),0.752,4
Completed,0.56,2625,1184,7,631,str('KL'),2,str('stdev'),0.379,99
Completed,0.5,910,4174,4,4641,str('H'),3,str('tstat'),0.943,29
Completed,0.5,1203,3219,6,1751,str('KL'),1,str('tstat'),0.656,18
Completed,0.5,1031,1524,0,2900,str('H'),2,str('stdev'),0.217,63
Completed,0.56,1016,1296,7,464,str('KL'),3,str('tstat'),0.061,20
Completed,0.5,1036,3350,0,4266,str('H'),2,str('stdev'),0.621,52
Completed,0.55,1059,4261,7,2156,str('KL'),3,str('stdev'),0.787,90
Completed,0.5,847,1000,4,3194,str('H'),1,str('tstat'),0.352,33
Completed,0.52,1237,101,9,4451,str('H'),1,str('stdev'),0.969,66
Completed,0.5,219,4611,3,904,str('KL'),2,str('tstat'),0.409,9
