Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.58,559,3623,0.58,0.193,1,2975,1182
Completed,0.84,12705,35,0.983,0.18,563,3,1125
Completed,0.8,11842,597,0.113,0.043,7,1488,95
Failed,,,696,0.33,0.311,222,2178,3535
Failed,,,4248,0.595,0.632,4305,3703,465
Failed,,,2042,0.221,0.292,3995,3288,4316
Failed,,,4802,0.832,0.517,1668,1151,2094
Failed,,,2649,0.298,0.162,2917,167,391
Failed,,,523,0.63,0.904,245,2304,3207
Failed,,,1200,0.423,0.73,720,1785,4667
Failed,,,3130,0.505,0.461,3692,531,1744
Failed,,,4110,0.096,0.846,2443,1735,663
Failed,,,1546,0.957,0.088,4470,2989,2935
Failed,,,1585,0.326,0.807,3324,1069,3472
Failed,,,3994,0.742,0.002,1015,3205,127
Failed,,,3715,0.154,0.675,4765,2441,2476
Failed,,,692,0.79,0.391,2074,304,3935
Failed,,,94,0.029,0.248,1299,832,2573
Failed,,,3000,0.915,0.943,4291,2085,1026
Failed,,,4977,0.135,0.731,83,4000,3174
Failed,,,3796,0.777,0.792,647,4692,4996
Failed,,,1107,0.045,0.142,4807,681,1817
Failed,,,1945,0.65,0.589,1321,2001,1172
Failed,,,2996,0.416,0.469,2904,3528,2984
Failed,,,2765,0.968,0.504,4622,1389,3664
Failed,,,2333,0.234,0.43,1166,2928,482
Failed,,,865,0.587,0.862,2777,4089,2494
Failed,,,4193,0.353,0.196,1740,71,4309
Failed,,,4573,0.746,0.265,2423,1237,2537
Failed,,,328,0.45,0.676,3344,4644,683
Failed,,,1483,0.869,0.125,601,3302,1365
Failed,,,3459,0.073,0.941,3937,2422,4509
Failed,,,3728,0.814,0.385,1504,3865,889
Failed,,,1333,0.113,0.548,3043,452,2787
Failed,,,2358,0.975,0.989,3728,856,4141
Failed,,,2291,0.345,0.32,965,26,2875
Failed,,,4534,0.707,0.622,3296,2265,722
Failed,,,3015,0.173,0.198,2046,3467,1802
Failed,,,138,0.755,0.985,4715,1228,4610
Failed,,,638,0.048,0.625,4242,1576,3150
Failed,,,3710,0.88,0.433,1268,2947,449
Failed,,,4057,0.47,0.765,2519,1961,2153
Failed,,,1619,0.582,0.052,493,591,4258
Failed,,,1502,0.201,0.835,1716,2621,4971
Failed,,,4097,0.867,0.107,4025,381,1441
Failed,,,3203,0.278,0.711,275,927,966
Failed,,,1225,0.665,0.472,2965,3166,2632
Failed,,,489,0.403,0.143,3743,2810,3994
Failed,,,2585,0.54,0.915,748,1439,2417
Failed,,,4807,0.076,0.28,4497,672,68
Failed,,,2095,0.992,0.536,2493,2043,3529
Failed,,,1968,0.108,0.076,2657,1191,2342
Failed,,,4875,0.96,0.865,349,3328,3754
Failed,,,2732,0.434,0.44,4099,2342,3612
Failed,,,440,0.51,0.743,1408,206,297
Failed,,,961,0.31,0.886,1882,520,1366
Failed,,,3369,0.634,0.173,4874,1774,4730
Failed,,,4341,0.232,0.505,1124,2975,2714
Failed,,,1317,0.836,0.312,3132,1722,1195
Failed,,,1825,0.439,0.591,4661,3191,521
Failed,,,3755,0.614,0.351,2334,1054,3388
Failed,,,3486,0.017,0.956,3584,288,4174
Failed,,,921,0.91,0.227,912,2424,1923
Failed,,,167,0.141,0.401,137,2129,795
Failed,,,2927,0.786,0.658,3109,876,3113
Failed,,,4523,0.315,0.022,1860,1422,4525
Failed,,,2399,0.738,0.795,3886,2675,1571
Failed,,,2459,0.17,0.692,3251,617,1975
Failed,,,4389,0.774,0.499,1245,1878,4119
Failed,,,2871,0.372,0.824,4995,2862,3323
Failed,,,306,0.696,0.11,2001,1600,583
Failed,,,782,0.496,0.253,1528,1312,1701
Failed,,,3542,0.572,0.556,4218,3442,4392
Failed,,,3889,0.046,0.139,467,2238,2971
Failed,,,1764,0.898,0.927,2778,109,936
Failed,,,1334,0.252,0.209,3765,2015,164
Failed,,,4241,0.676,0.982,1741,754,3742
Failed,,,3347,0.204,0.339,2991,1518,3894
Failed,,,1056,0.849,0.595,15,2779,2199
Failed,,,345,0.08,0.769,794,3086,1139
Failed,,,2753,0.973,0.04,3463,957,2767
Failed,,,4975,0.376,0.653,2213,409,4792
Failed,,,1951,0.551,0.413,4543,2539,1301
Failed,,,2117,0.408,0.952,606,1694,2535
Failed,,,4711,0.52,0.239,2634,3057,1055
Failed,,,2568,0.111,0.563,1384,1854,1539
Failed,,,589,0.942,0.371,4356,490,4864
Failed,,,1124,0.235,0.011,4831,126,3511
Failed,,,3219,0.817,0.798,2160,2372,79
Failed,,,4191,0.283,0.382,3410,3356,2437
Failed,,,1480,0.645,0.684,1081,1110,3966
Failed,,,1675,0.014,0.468,2377,2702,4620
Failed,,,3918,0.929,0.723,4384,1339,1783
Failed,,,3650,0.466,0.081,634,791,695
Failed,,,772,0.603,0.853,3627,2154,2896
Failed,,,3,0.34,0.524,2852,2509,4347
Failed,,,3076,0.728,0.285,159,263,2058
Failed,,,4673,0.139,0.897,3910,1028,343
Failed,,,2234,0.805,0.169,1602,3274,3249
Failed,,,2265,0.395,0.503,4313,1206,1276
Failed,,,4662,0.533,0.305,1350,3452,4817
Failed,,,3065,0.069,0.887,2600,2248,2781
Failed,,,745,0.193,0.443,1029,585,2254
Failed,,,3659,0.86,0.748,3385,1950,3841
Failed,,,3928,0.271,0.073,2135,2934,3679
Failed,,,1648,0.657,0.86,4778,1569,227
Failed,,,1453,0.057,0.019,3641,3152,861
Failed,,,4200,0.887,0.79,698,906,3044
Failed,,,3229,0.478,0.404,4448,358,4435
Failed,,,1096,0.59,0.663,2391,2604,1658
Failed,,,621,0.354,0.957,1606,2032,589
Failed,,,2558,0.715,0.234,3983,668,3317
Failed,,,4701,0.18,0.589,234,1433,4084
Failed,,,2149,0.763,0.345,2856,2797,2009
Failed,,,1924,0.15,0.757,1986,206,3233
Failed,,,4985,0.794,0.052,4932,2334,358
Failed,,,2763,0.322,0.632,1182,3318,2081
Failed,,,317,0.746,0.435,3236,1189,4323
Failed,,,1086,0.447,0.202,2773,1697,2960
Failed,,,3336,0.621,0.989,394,2958,630
Failed,,,4230,0.025,0.315,4145,1755,1730
Failed,,,1365,0.919,0.619,1523,493,4674
Failed,,,1795,0.302,0.275,59,2417,3922
Failed,,,3878,0.626,0.533,3024,287,2482
Failed,,,3532,0.225,0.148,1774,1053,152
Failed,,,813,0.828,0.918,3810,3182,3438
Failed,,,278,0.1,0.717,4598,2657,4899
Failed,,,2880,0.953,0.474,2237,1396,1504
Failed,,,4398,0.427,0.828,3488,849,1051
Failed,,,2432,0.501,0.106,848,2110,2540
Failed,,,2410,0.087,0.377,1481,1600,3584
Failed,,,4493,0.981,0.682,4104,2854,15
Failed,,,2897,0.385,0.015,354,1868,2353
Failed,,,178,0.559,0.801,2730,614,4058
Failed,,,913,0.26,0.569,3196,84,2606
Failed,,,3515,0.684,0.372,1139,2220,991
Failed,,,3783,0.212,0.945,4889,3422,1455
Failed,,,1816,0.856,0.239,1945,1286,4956
Failed,,,1309,0.489,0.89,887,2773,4263
Failed,,,4369,0.564,0.168,3530,1517,2148
Failed,,,3398,0.037,0.53,2280,751,415
Failed,,,953,0.89,0.287,4637,2005,3183
Failed,,,452,0.162,0.085,3853,2521,4536
Failed,,,2701,0.765,0.856,1815,385,1875
Failed,,,4845,0.364,0.463,3065,931,766
Failed,,,1980,0.689,0.721,103,3067,2832
Failed,,,2087,0.333,0.136,4740,468,1635
Failed,,,4835,0.719,0.923,2099,1839,4462
Failed,,,2614,0.131,0.256,3349,3042,3061
Failed,,,481,0.797,0.561,990,1670,848
Failed,,,1236,0.007,0.824,528,1105,1907
Failed,,,3172,0.921,0.117,2562,3344,4189
