Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.63,4187,3452,0.907,0.822,30,2717,599
Completed,0.81,4166,367,0.733,0.083,285,2017,14
Completed,0.84,4979,2406,0.082,0.548,2755,154,2471
Completed,0.85,5413,278,0.681,0.211,1859,238,4985
Completed,0.52,18,1,0.999,0.999,1,3427,230
Completed,0.84,5867,1039,0.186,0.001,3987,1,3086
Completed,0.52,17,1,0.999,0.025,1,622,242
Completed,0.52,19,2311,0.999,0.999,1,1,172
Completed,0.59,4520,2037,0.617,0.705,201,572,614
Completed,0.83,12692,1521,0.107,0.942,1082,362,2273
Completed,0.84,3297,2298,0.392,0.856,945,74,578
Completed,0.66,5271,3931,0.101,0.535,330,3253,333
Completed,0.84,4360,2646,0.223,0.191,2517,31,4067
Completed,0.84,3562,544,0.925,0.518,577,45,3928
Completed,0.73,4754,2237,0.635,0.462,15,560,1044
Completed,0.52,19,1,0.999,0.999,1,5000,59
Completed,0.83,1156,1,0.999,0.001,1841,1,1
Completed,0.85,6996,3145,0.828,0.892,4146,20,2255
Completed,0.85,7069,1205,0.001,0.316,1428,57,2077
Completed,0.84,6044,2164,0.337,0.239,4056,190,1412
Completed,0.67,5175,612,0.451,0.407,397,4849,319
Completed,0.84,4562,419,0.609,0.826,3143,125,3338
Completed,0.79,2689,3843,0.817,0.959,196,1124,39
Completed,0.51,4351,2007,0.51,0.197,99,4174,624
Completed,0.71,1295,1306,0.977,0.575,25,4306,194
Completed,0.67,4886,4392,0.663,0.331,280,945,469
Completed,0.57,2461,1,0.999,0.843,185,2794,125
Completed,0.83,2541,1,0.999,0.999,477,144,115
Completed,0.52,19,5000,0.999,0.999,1,1,96
Completed,0.52,19,1,0.999,0.419,1,5000,101
Completed,0.52,18,1,0.999,0.999,1,2433,1
Completed,0.88,4375,10,0.869,0.387,4420,161,3064
Completed,0.81,11990,2343,0.951,0.975,472,938,4637
Completed,0.84,13154,1718,0.158,0.697,1046,178,2695
Completed,0.82,6551,2712,0.752,0.652,89,324,2011
Completed,0.76,11922,3336,0.107,0.927,805,813,45
Completed,0.84,6553,1108,0.325,0.951,3697,22,3202
Completed,0.82,9884,3610,0.974,0.204,400,2680,6
Completed,0.83,9464,1316,0.268,0.041,2222,134,3546
Completed,0.84,3622,544,0.982,0.206,122,47,4751
Completed,0.84,10374,1340,0.453,0.93,2363,174,904
Completed,0.84,8759,809,0.112,0.629,3146,84,91
Completed,0.84,9814,2308,0.578,0.484,4373,290,4255
Completed,0.84,11149,2696,0.348,0.13,907,571,1884
Completed,0.7,4855,3492,0.793,0.38,348,628,310
Completed,0.83,13571,4952,0.548,0.031,1946,156,457
Completed,0.86,8022,32,0.253,0.365,2854,394,3416
