Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.7,1772,2436,0.059,0.95,1744,371,229
Completed,0.71,1383,472,0.018,0.383,4782,3416,1908
Completed,0.71,1796,2347,0.501,0.7,1130,4435,637
Completed,0.71,2879,1079,0.646,0.196,1115,4499,1608
Completed,0.72,5422,4034,0.536,0.086,4028,1012,1919
Completed,0.71,4540,4855,0.36,0.389,4770,229,620
Completed,0.71,1417,2418,0.725,0.931,2329,4134,2785
Completed,0.7,1467,370,0.108,0.14,3486,3247,4302
Completed,0.72,2533,2845,0.994,0.681,966,2465,1513
Completed,0.7,694,2187,0.738,0.421,69,2993,981
Completed,0.71,2059,721,0.805,0.333,2665,3093,3160
Completed,0.7,701,44,0.2,0.497,680,1454,4357
Completed,0.71,639,2049,0.057,0.503,374,2609,5000
Completed,0.71,2315,1128,0.3,0.754,4180,2008,3028
Completed,0.71,4791,1573,0.93,0.048,328,378,3943
Completed,0.72,3524,4138,0.047,0.508,2885,3972,1738
Completed,0.74,715,2005,0.232,0.479,833,844,3523
Completed,0.71,1515,310,0.224,0.73,4033,4160,2247
Completed,0.71,4855,4323,0.882,0.449,2488,1481,2846
Completed,0.72,5429,4596,0.216,0.018,1354,2260,4613
Completed,0.71,852,2034,0.822,0.538,3874,3353,2442
Completed,0.71,377,23,0.439,0.269,60,4341,935
Completed,0.72,1623,2549,0.585,0.786,2501,122,3731
Completed,0.72,3103,3109,0.091,0.365,4329,4974,2583
Completed,0.71,2388,556,0.947,0.814,1847,756,412
Completed,0.7,1457,2291,0.314,0.116,3043,1625,1402
Completed,0.72,4012,4807,0.71,0.564,486,2720,4198
Completed,0.72,3333,3751,0.379,0.901,680,3503,3348
Completed,0.71,5205,1316,0.521,0.419,3161,2097,1139
Completed,0.72,2789,829,0.155,0.649,1965,602,2043
Completed,0.71,2196,2754,0.485,0.229,2129,2630,2338
Completed,0.71,2020,558,0.542,0.135,2897,1860,1456
Completed,0.72,973,983,0.001,0.999,5000,5000,5000
Completed,0.7,2320,190,0.001,0.999,2915,1,1
Completed,0.73,10,2164,0.999,0.56,1,5000,3110
Completed,0.7,4307,181,0.001,0.999,5000,1,1
Completed,0.73,13,258,0.999,0.999,1,1,5000
Completed,0.73,10,995,0.001,0.999,1,5000,5000
Completed,0.73,10,2147,0.999,0.001,1,1,3375
Completed,0.73,10,2139,0.999,0.392,1,5000,4147
Completed,0.73,10,2145,0.999,0.999,1,5000,5000
Completed,0.73,11,206,0.001,0.999,1,5000,1237
Completed,0.73,11,210,0.999,0.999,1,5000,2426
Completed,0.73,11,143,0.999,0.627,1,2120,2027
Completed,0.71,955,163,0.001,0.999,3342,5000,2643
Completed,0.73,10,270,0.999,0.748,1,4637,1
Completed,0.73,10,233,0.001,0.999,1,4207,1
Completed,0.73,10,2121,0.999,0.999,1,2299,3588
Completed,0.73,10,133,0.999,0.001,1,914,438
Completed,0.73,9,119,0.636,0.999,1,4090,2803
Completed,0.73,10,2352,0.999,0.999,1,1,5000
Completed,0.73,10,2367,0.999,0.999,1,5000,5000
Completed,0.73,10,896,0.999,0.999,1,5000,5000
Completed,0.73,10,828,0.999,0.999,1,1,5000
Completed,0.73,10,478,0.999,0.999,1,1571,5000
Completed,0.73,10,1106,0.001,0.999,1,5000,5000
Completed,0.73,10,2374,0.001,0.001,1,1,5000
Completed,0.73,10,586,0.999,0.001,1,5000,5000
Completed,0.73,10,948,0.999,0.001,1,1,5000
Completed,0.73,10,2301,0.999,0.001,1,5000,5000
Completed,0.73,10,2360,0.001,0.999,1,5000,127
Completed,0.73,10,2312,0.999,0.001,1,1,3542
Completed,0.73,10,2550,0.001,0.999,1,1,5000
Completed,0.73,10,1043,0.999,0.999,1,1243,5000
Completed,0.73,11,547,0.999,0.001,1,5000,1085
Completed,0.73,10,2362,0.001,0.999,1,1,2285
Completed,0.73,10,4100,0.999,0.001,1,5000,1
Completed,0.73,10,2451,0.999,0.001,1,1,2859
Completed,0.73,10,1176,0.001,0.999,1,1,5000
Completed,0.73,10,401,0.999,0.001,1,1,3532
Completed,0.73,10,2380,0.001,0.001,1,5000,5000
Completed,0.73,10,2408,0.999,0.999,1,5000,3142
Completed,0.73,10,783,0.999,0.001,1,1,5000
Completed,0.73,10,4033,0.001,0.999,1,3028,1
Completed,0.73,10,2555,0.001,0.001,1,2712,5000
Completed,0.73,10,456,0.001,0.999,1,1,1
Completed,0.73,10,2586,0.999,0.999,1,5000,723
Completed,0.73,10,2428,0.001,0.999,1,5000,1497
Completed,0.73,11,4249,0.001,0.325,1,2081,1
Completed,0.73,10,4141,0.999,0.999,1,1,1
Completed,0.73,10,4778,0.999,0.999,1,5000,1
Completed,0.73,10,1621,0.999,0.999,1,1051,5000
Completed,0.73,10,4942,0.001,0.001,1,4574,1
Completed,0.73,10,1653,0.001,0.001,1,4015,1986
Completed,0.73,12,3565,0.999,0.001,1,5000,1
Completed,0.73,10,3044,0.999,0.999,1,1,1480
Completed,0.73,10,3396,0.001,0.999,1,865,5000
Completed,0.73,10,1544,0.999,0.001,1,5000,5000
Completed,0.73,10,3174,0.999,0.001,1,3131,1560
Completed,0.73,9,4140,0.001,0.999,1,5000,5000
Completed,0.73,10,1593,0.001,0.999,1,5000,5000
Completed,0.73,10,4140,0.001,0.001,1,1,1
Completed,0.73,10,3014,0.001,0.999,1,1,5000
Completed,0.73,10,4798,0.001,0.999,1,1,5000
Completed,0.73,10,5000,0.999,0.999,1,2838,3861
Completed,0.71,3707,4166,0.999,0.999,41,1211,1
Completed,0.73,10,3767,0.999,0.001,1,1,5000
Completed,0.73,10,1588,0.999,0.999,1,1239,1
Completed,0.73,10,4475,0.999,0.001,1,1,1
Completed,0.73,10,4647,0.999,0.001,1,5000,5000
Completed,0.73,10,2977,0.999,0.001,1,5000,5000
Completed,0.71,4814,4143,0.001,0.001,21,2095,3074
Completed,0.71,6827,4162,0.747,0.001,40,1535,5000
Completed,0.71,2053,826,0.999,0.999,60,1,5000
Completed,0.72,1663,4137,0.001,0.999,19,3193,1429
Completed,0.73,9,4674,0.999,0.999,1,1,4936
Completed,0.71,1238,2503,0.999,0.999,26,1,1
Completed,0.72,4887,4920,0.999,0.999,27,5000,445
Completed,0.71,366,2034,0.001,0.001,21,2906,2711
Completed,0.73,10,1827,0.001,0.001,1,1507,5000
Completed,0.72,2019,1111,0.89,0.999,269,1614,4789
Completed,0.71,1873,476,0.241,0.999,854,2118,4142
Completed,0.71,1170,2133,0.887,0.999,358,3902,4314
Completed,0.72,3544,1801,0.899,0.999,259,3155,4786
Completed,0.71,2442,931,0.241,0.999,838,3694,2933
Completed,0.73,11,1313,0.808,0.028,1,4510,236
Completed,0.73,10,1896,0.023,0.001,1,3524,1
Completed,0.73,10,1853,0.777,0.001,1,2287,1
Completed,0.71,473,99,0.912,0.558,17,4981,4994
Completed,0.72,2031,1002,0.892,0.999,331,4118,4916
Completed,0.73,11,514,0.976,0.001,1,4673,695
Completed,0.73,10,1427,0.762,0.175,1,3928,612
Completed,0.72,3023,3468,0.882,0.999,241,1304,4698
Completed,0.73,4712,1949,0.891,0.708,216,1678,4098
Completed,0.72,2846,1373,0.888,0.999,90,2622,3202
Completed,0.7,1399,325,0.884,0.001,181,2801,4302
Completed,0.72,2356,1113,0.899,0.999,184,991,4867
Completed,0.73,14,844,0.655,0.549,1,4303,2409
Completed,0.72,1130,2416,0.879,0.999,291,4652,4527
Completed,0.72,2785,1058,0.902,0.458,387,4617,4837
Completed,0.71,1435,208,0.235,0.999,800,4911,2442
Completed,0.71,1121,267,0.229,0.999,874,1975,3149
Completed,0.71,1515,518,0.881,0.575,352,4904,4116
Completed,0.73,11,1434,0.87,0.714,1,4984,4173
Completed,0.71,1038,2448,0.898,0.999,112,2441,4459
Completed,0.73,10,978,0.611,0.999,1,4882,2607
Completed,0.73,11,1530,0.977,0.001,1,4401,194
Completed,0.71,3390,1146,0.778,0.999,105,4860,408
Completed,0.73,10,1102,0.818,0.001,1,734,1096
Completed,0.73,10,1868,0.638,0.184,1,1187,1109
Completed,0.73,11,3767,0.999,0.991,1,2736,3714
Completed,0.73,12,2854,0.999,0.594,1,2212,2706
Completed,0.73,10,613,0.001,0.999,1,3614,2848
Completed,0.73,10,1228,0.999,0.001,1,1580,3106
Completed,0.73,10,5000,0.999,0.246,1,1774,4535
Completed,0.71,2923,3523,0.001,0.999,1443,1,1
Completed,0.7,1458,2507,0.001,0.999,1461,1,1
Completed,0.71,2995,3310,0.001,0.999,1365,1,1
Completed,0.73,10,3771,0.001,0.999,1,4455,4361
Completed,0.71,2416,3484,0.001,0.999,1286,1,1
Completed,0.73,10,5000,0.001,0.155,1,5000,5000
Completed,0.71,2856,3106,0.999,0.999,1372,1,1885
Completed,0.71,4342,3569,0.999,0.221,1426,1,852
Completed,0.73,10,4552,0.999,0.98,1,5000,1
Completed,0.7,1368,261,0.999,0.999,1509,1,1
Completed,0.71,6324,3528,0.999,0.194,1535,1,2957
Completed,0.71,3419,1174,0.001,0.001,4888,3954,5000
Completed,0.71,2764,2988,0.999,0.001,1599,5000,3598
Completed,0.71,1448,2361,0.999,0.999,1418,5000,2602
Completed,0.73,10,4910,0.999,0.001,1,3450,2469
Completed,0.7,1195,2326,0.999,0.999,1448,1,4116
Completed,0.71,3420,3361,0.001,0.999,1240,1,3505
Completed,0.71,932,623,0.001,0.999,1458,2881,1988
Completed,0.73,10,1192,0.029,0.999,1,1462,4791
Completed,0.71,5174,1990,0.85,0.999,3718,1040,2033
Completed,0.73,10,3393,0.634,0.999,1,2226,3213
Completed,0.73,11,3815,0.966,0.001,1,1830,3582
Completed,0.73,10,4474,0.787,0.001,1,225,966
Completed,0.73,10,4606,0.935,0.999,1,284,4249
Completed,0.73,10,2191,0.971,0.001,1,2327,1573
Completed,0.73,10,104,0.635,0.001,1,1299,1458
Completed,0.71,4448,1569,0.999,0.001,1713,2545,4209
Completed,0.72,1353,349,0.813,0.999,3718,3493,3607
Completed,0.73,10,3701,0.039,0.999,1,359,913
Completed,0.72,916,2013,0.792,0.999,3729,2405,2136
Completed,0.73,10,5000,0.999,0.001,1,3776,3094
Completed,0.73,10,2844,0.439,0.001,1,4716,1247
Completed,0.75,398,1,0.999,0.001,4391,343,834
