Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.91,150,4603,0.287,0.663,3835,4348,121
Completed,0.91,8,3982,0.602,0.997,4642,4570,1747
Completed,0.93,7,2031,0.483,0.045,1014,9,4538
Completed,0.91,8,315,0.752,0.513,2935,1966,3070
Completed,0.9,3,1,0.29,0.001,1065,1,3705
Completed,0.91,8,2171,0.581,0.645,3290,3149,774
Completed,0.91,150,3810,0.458,0.318,2308,1421,2943
Completed,0.92,198,4443,0.649,0.031,1873,2497,3946
Completed,0.91,9,1550,0.281,0.95,2532,2936,2359
Completed,0.91,14,3223,0.696,0.563,884,1325,478
Completed,0.91,8,1955,0.354,0.797,3095,586,4310
Completed,0.91,8,1528,0.804,0.7,3421,1150,3256
Completed,0.91,8,3842,0.537,0.975,3799,2646,1849
Completed,0.91,8,870,0.224,0.436,1441,1431,4579
Completed,0.92,317,3998,0.212,0.121,145,9,3346
Completed,0.91,17,2111,0.895,0.169,1787,3027,807
Completed,0.91,9,4902,0.388,0.89,1406,4240,4870
Completed,0.91,8,173,0.327,0.393,4756,3327,3306
Completed,0.91,8,2486,0.908,0.921,1697,4036,4301
Completed,0.91,7,4123,0.037,0.095,2669,765,2130
Completed,0.92,13,1109,0.986,0.484,708,4741,268
Completed,0.91,8,2902,0.114,0.562,4893,532,3683
Completed,0.91,64,2742,0.555,0.409,3111,4179,2675
Completed,0.91,8,634,0.437,0.612,1270,1181,1130
Completed,0.91,140,1711,0.83,0.082,4466,1729,1497
Completed,0.91,8,4917,0.208,0.878,1150,3458,4954
Completed,0.91,8,4293,0.898,0.711,374,2627,3180
Completed,0.91,8,2343,0.03,0.259,4011,2187,391
Completed,0.91,6,1990,0.045,0.001,762,1,4647
Completed,0.91,8,1118,0.551,0.826,2067,4527,4551
Completed,0.91,8,1765,0.688,0.836,545,1320,2409
Completed,0.91,115,1397,0.659,0.366,510,1077,3575
Completed,0.91,8,1421,0.973,0.62,3540,5000,1396
Completed,0.91,9,2021,0.483,0.095,1980,5000,4902
Completed,0.92,544,1920,0.477,0.015,514,3403,572
Completed,0.91,8,1,0.103,0.999,660,4439,3280
Completed,0.91,8,1,0.096,0.999,474,903,784
Completed,0.92,160,1843,0.475,0.001,1747,4494,1466
Completed,0.92,481,1967,0.478,0.101,4494,3118,1
Completed,0.91,8,1149,0.999,0.684,421,1227,2185
Completed,0.91,287,1927,0.481,0.001,3194,1,972
Completed,0.91,8,1,0.1,0.813,4358,250,2754
Completed,0.91,8,1218,0.985,0.611,2358,1516,5000
Completed,0.91,9,2172,0.473,0.001,4175,4770,2369
Completed,0.91,11,1095,0.999,0.701,575,4582,2630
Completed,0.91,8,941,0.553,0.901,1806,4338,3032
Completed,0.91,8,1238,0.999,0.484,3898,2914,4097
Completed,0.91,8,1,0.093,0.999,2461,3917,3147
Completed,0.91,8,1250,0.978,0.638,638,5000,4999
Completed,0.92,242,1654,0.973,0.643,2297,17,3608
Completed,0.91,8,2147,0.654,0.999,1876,4811,3493
Completed,0.91,168,1981,0.482,0.001,2570,4011,470
Completed,0.91,507,1922,0.478,0.001,2126,2294,1
Completed,0.91,8,78,0.094,0.948,4288,219,3833
Completed,0.92,51,2845,0.119,0.024,1896,3252,54
Completed,0.91,9,2157,0.48,0.001,4485,515,1139
Completed,0.91,9,2151,0.486,0.001,3733,4973,3679
Completed,0.91,8,1156,0.994,0.524,3833,2957,2452
Completed,0.91,9,2184,0.434,0.001,2102,472,5000
Completed,0.91,39,2430,0.356,0.001,2037,686,2676
Completed,0.91,1,2170,0.57,0.001,1,380,5000
Completed,0.91,7,3034,0.001,0.001,1122,3628,273
Completed,0.91,184,4708,0.548,0.384,3592,4942,3806
Completed,0.92,137,3581,0.373,0.001,4809,599,4614
Completed,0.91,8,2102,0.393,0.223,1840,315,5000
Completed,0.91,8,1747,0.51,0.577,1110,2877,4824
Completed,0.91,1,1297,0.56,0.516,1,4960,4108
Completed,0.91,8,1508,0.427,0.331,4739,5000,1475
Completed,0.91,9,2115,0.45,0.001,998,894,1388
Completed,0.91,57,2637,0.622,0.001,2779,484,5000
Completed,0.91,11,2837,0.28,0.074,4309,5000,315
Completed,0.91,8,5000,0.639,0.567,4741,3285,5000
Completed,0.91,44,2538,0.361,0.001,4386,849,316
