Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.58,1959,11,0.857,0.948,1827,3098,2768
Completed,0.53,10605,2310,0.878,0.574,3627,1931,4245
Completed,0.53,5478,168,0.663,0.914,3302,1016,3333
Completed,0.53,10045,470,0.691,0.965,2553,4637,2360
Completed,0.53,3510,133,0.636,0.579,215,2196,2183
Completed,0.53,6897,341,0.35,0.108,1826,2559,1748
Completed,0.73,757,1,0.313,0.526,1125,4278,1044
Completed,0.72,1738,1,0.414,0.999,2761,5000,2549
Completed,0.54,3169,2061,0.197,0.795,3181,3534,3304
Completed,0.53,5292,263,0.866,0.189,4289,1348,2509
Completed,0.54,5544,291,0.001,0.423,736,4438,467
Completed,0.53,5988,179,0.706,0.999,2653,3115,2105
Completed,0.72,1101,1,0.93,0.977,4982,3901,2339
Completed,0.73,724,1,0.193,0.508,682,4999,424
Completed,0.72,1033,1,0.999,0.961,1552,5000,2481
Completed,0.72,795,1,0.001,0.502,1907,4801,1071
Completed,0.54,6698,279,0.341,0.976,351,5000,898
Completed,0.53,3789,2157,0.942,0.396,598,4714,4713
Completed,0.55,3000,46,0.481,0.806,2217,4851,1291
Completed,0.53,6412,2235,0.458,0.306,2978,1082,787
Completed,0.55,2567,37,0.552,0.555,366,3345,39
Completed,0.72,638,1,0.559,0.493,1221,5000,1100
Completed,0.72,763,1,0.571,0.49,2473,5000,2208
Completed,0.53,5850,2165,0.999,0.529,906,3503,460
Completed,0.55,2951,49,0.6,0.392,3030,4976,701
Completed,0.72,844,1,0.999,0.914,4177,2412,605
Completed,0.72,879,1,0.999,0.551,661,4909,3769
Completed,0.72,724,1,0.001,0.57,1203,4872,4510
Completed,0.72,821,1,0.001,0.374,5000,1,4936
Completed,0.54,5098,2638,0.001,0.084,70,5000,3216
Completed,0.53,4387,117,0.709,0.979,3682,4872,178
Completed,0.55,14060,2715,0.807,0.599,2790,2965,2239
Completed,0.54,5842,2130,0.912,0.04,2388,73,2199
Completed,0.53,4894,2120,0.063,0.967,4164,2836,3668
Completed,0.54,6735,203,0.867,0.049,865,4321,3944
Completed,0.54,3404,67,0.441,0.779,4849,679,1075
Completed,0.53,7147,2256,0.284,0.656,1670,4082,2240
Completed,0.53,4726,126,0.678,0.66,2947,4955,477
Completed,0.54,3628,2059,0.823,0.596,3672,1528,2918
Completed,0.54,3740,2081,0.362,0.076,973,1239,4928
Completed,0.54,4440,110,0.14,0.138,564,2754,2217
Completed,0.58,1666,13,0.565,0.617,4839,4982,3195
Completed,0.53,5210,2163,0.072,0.426,1705,2708,3936
Completed,0.56,3948,2033,0.597,0.14,1247,1347,4534
Completed,0.53,6435,120,0.104,0.817,3109,963,2543
Completed,0.53,7127,157,0.96,0.013,335,3963,1122
Completed,0.53,6999,2206,0.832,0.27,4409,1129,2172
Completed,0.53,7103,2249,0.035,0.894,1021,1997,519
Completed,0.53,4151,116,0.78,0.443,1463,2164,4836
Completed,0.53,4331,2109,0.271,0.514,4574,529,3079
Completed,0.53,5523,2135,0.811,0.8,2553,4168,3677
Completed,0.54,3426,66,0.302,0.243,670,3144,4184
Completed,0.54,6642,260,0.635,0.922,3365,1784,2139
Completed,0.53,6015,2285,0.169,0.36,3429,371,3735
Completed,0.55,3128,40,0.891,0.782,4084,517,1605
Completed,0.53,4594,2112,0.402,0.23,2226,2185,1097
Completed,0.54,3152,2083,0.922,0.461,498,3156,499
Completed,0.53,2894,92,0.432,0.528,3624,4146,2257
Completed,0.53,6665,209,0.504,0.333,1086,930,3922
Completed,0.53,8912,460,0.076,0.536,3208,2533,4947
Completed,0.52,5875,2221,0.562,0.297,823,4057,2806
Completed,0.53,14301,665,0.373,0.377,4911,260,2943
Completed,0.53,4457,145,0.666,0.172,4039,1015,4283
Completed,0.53,6170,246,0.451,0.841,2001,3863,1881
Completed,0.53,3433,2084,0.938,0.084,4537,2730,364
Completed,0.56,14340,2920,0.145,0.68,427,611,4199
Completed,0.55,14192,2610,0.611,0.052,2484,3380,4707
Completed,0.53,9800,2390,0.289,0.717,2554,1124,1028
Completed,0.55,10401,557,0.792,0.458,246,2335,1373
Completed,0.56,12086,490,0.256,0.112,1676,3661,2484
Completed,0.54,11470,2485,0.759,0.868,4296,4794,269
Completed,0.54,13072,2519,0.091,0.395,751,1912,3938
Completed,0.53,6079,2185,0.484,0.487,3459,1390,855
Completed,0.53,5343,196,0.972,0.743,1236,180,1742
Completed,0.55,2932,40,0.13,0.259,2961,4981,4417
Completed,0.53,6841,2281,0.108,0.134,2252,64,3570
Completed,0.53,9006,369,0.596,0.878,4950,1510,3831
Completed,0.53,8394,320,0.384,0.313,1085,877,3354
