Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.06,2200,745,0.003,0.869,1,3925,2811
Completed,0.06,1861,886,0.072,0.853,1,4670,2160
Failed,,,802,0.026,0.623,2715,2886,67
Failed,,,4,0.716,0.8,3729,3561,2017
Failed,,,2673,0.217,0.014,823,2137,2831
Failed,,,4115,0.824,0.676,3781,1054,3919
Failed,,,691,0.681,0.764,1096,2307,4436
Failed,,,2887,0.05,0.036,2578,3214,1113
Failed,,,4376,0.932,0.678,1572,4612,2252
Failed,,,1575,0.299,0.402,4601,1222,3294
Failed,,,2200,0.825,0.239,4158,130,4374
Failed,,,3751,0.444,0.961,2169,4145,80
Failed,,,3512,0.577,0.325,3683,3060,1556
Failed,,,65,0.193,0.595,145,1529,2896
Failed,,,338,0.973,0.272,2382,3580,3658
Failed,,,3162,0.359,0.555,3790,1989,1889
Failed,,,4103,0.724,0.17,343,885,842
Failed,,,1925,0.108,0.875,3329,4998,4707
Failed,,,1299,0.076,0.137,4970,3747,3501
Failed,,,3955,0.575,0.923,2081,1973,1347
Failed,,,2813,0.465,0.262,2522,1181,560
Failed,,,488,0.964,0.55,428,4519,4599
Failed,,,974,0.278,0.867,663,3803,2796
Failed,,,3616,0.776,0.065,3537,499,2363
Failed,,,4441,0.136,0.742,1848,1271,640
Failed,,,2103,0.635,0.439,3954,3011,4208
Failed,,,1938,0.184,0.891,286,878,2193
Failed,,,4606,0.683,0.165,3016,4840,2649
Failed,,,3471,0.295,0.517,2223,3424,4373
Failed,,,1119,0.794,0.29,4477,2274,783
Failed,,,321,0.479,0.097,4085,1594,1492
Failed,,,2980,0.978,0.839,1365,2710,3664
Failed,,,3807,0.122,0.472,3405,4106,4449
Failed,,,3164,0.526,0.32,587,1418,4780
Failed,,,1063,0.551,0.41,25,171,4801
Failed,,,2637,0.187,0.639,3650,4261,902
Failed,,,4789,0.804,0.028,2058,2867,1985
Failed,,,1361,0.434,0.803,4117,1254,3721
Failed,,,1986,0.937,0.587,4645,2344,3929
Failed,,,4165,0.324,0.364,1683,3332,368
Failed,,,3262,0.691,0.969,2611,4415,1748
Failed,,,438,0.071,0.2,1217,950,2551
Failed,,,88,0.851,0.929,1266,3943,3391
Failed,,,3534,0.472,0.147,4906,537,2314
Failed,,,3890,0.604,0.501,795,1639,1207
Failed,,,2339,0.22,0.295,2877,2530,4495
Failed,,,1714,0.652,0.065,3364,3620,2842
Failed,,,4515,0.024,0.858,467,2105,1457
Failed,,,2909,0.905,0.494,3836,691,23
Failed,,,712,0.271,0.71,2495,4723,4273
Failed,,,874,0.91,0.181,2736,1422,1302
Failed,,,3050,0.296,0.895,1092,3015,2999
Failed,,,4686,0.662,0.251,4461,4117,4118
Failed,,,1865,0.046,0.544,1867,7,180
Failed,,,2490,0.579,0.815,1895,1104,2471
Failed,,,4061,0.214,0.11,4279,4589,3235
Failed,,,3676,0.83,0.744,168,3173,4652
Failed,,,249,0.463,0.461,3506,2206,1051
Failed,,,599,0.744,0.659,4023,2688,523
Failed,,,3404,0.113,0.389,2308,1779,3773
Failed,,,4335,0.994,0.776,3235,383,2707
Failed,,,2138,0.361,0.054,596,3771,1591
Failed,,,4990,0.947,0.358,577,1307,3193
Failed,,,1561,0.315,0.565,3251,2823,2355
Failed,,,2187,0.809,0.793,2991,3288,309
Failed,,,4365,0.429,0.003,683,2398,4144
Failed,,,3374,0.56,0.645,4716,984,3117
Failed,,,550,0.178,0.431,1458,4391,1338
Failed,,,278,0.895,0.7,1018,503,2100
Failed,,,3725,0.28,0.469,2813,3968,3450
Failed,,,4012,0.647,0.864,1807,2574,4906
Failed,,,2461,0.029,0.087,4524,1586,641
Failed,,,1836,0.595,0.305,4237,2051,1712
Failed,,,4637,0.229,0.526,1935,3664,2744
Failed,,,3099,0.846,0.141,3449,4747,3903
Failed,,,903,0.478,0.908,223,657,551
Failed,,,761,0.836,0.451,4861,2981,2587
Failed,,,2939,0.456,0.719,1313,1447,1867
Failed,,,4485,0.589,0.116,2827,51,394
Failed,,,1665,0.204,0.836,848,4063,4058
Failed,,,2290,0.669,0.554,395,4535,3606
Failed,,,3861,0.039,0.276,3434,1148,1943
Failed,,,3563,0.921,0.889,2428,2230,797
Failed,,,137,0.286,0.159,3901,3139,4750
Failed,,,409,0.504,0.959,3617,1755,4301
Failed,,,3213,0.141,0.246,55,2722,153
Failed,,,203,0.563,0.445,4594,1377,1376
Failed,,,4969,0.351,0.792,2201,3635,3110
Failed,,,3319,0.922,0.129,2583,4206,4775
Failed,,,1833,0.149,0.608,621,845,884
Failed,,,1891,0.769,0.957,852,106,1990
Failed,,,2910,0.053,0.306,3440,4864,3684
Failed,,,3818,0.721,0.642,1339,2896,4216
Failed,,,1081,0.442,0.124,4357,2035,285
Failed,,,906,0.954,0.704,3403,3265,949
Failed,,,4267,0.242,0.061,1050,1787,4568
Failed,,,2772,0.532,0.895,3773,1059,2551
Failed,,,2380,0.257,0.369,1772,3953,1795
Failed,,,1343,0.627,0.191,2159,4454,376
Failed,,,3457,0.411,0.546,4787,477,3956
Failed,,,4522,0.862,0.383,32,2288,3149
Failed,,,377,0.085,0.855,3011,2682,2353
Failed,,,476,0.829,0.029,1457,752,3854
Failed,,,4618,0.118,0.734,4083,4260,548
Failed,,,3670,0.656,0.336,735,3581,2330
Failed,,,1560,0.382,0.925,3713,1470,3399
Failed,,,4747,0.128,0.358,4410,2831,142
