Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.69,270,1446,4029,0.121,24,0.005
Completed,0.69,386,4520,4529,0.983,38,0.25
Completed,0.74,641,1907,1880,0.051,13,0.025
Completed,0.71,297,811,2768,0.454,17,0.25
Completed,0.7,398,4511,3743,0.175,20,0.01
Completed,0.78,990,563,469,0.983,36,0.05
Completed,0.69,371,1644,4885,0.512,44,0.005
Completed,0.74,662,3399,1608,0.33,3,0.1
Completed,0.71,493,3627,2879,0.704,5,0.01
Completed,0.65,196,223,4198,0.109,32,0.005
Completed,0.73,662,4713,2475,0.798,23,0.05
Completed,0.69,1058,3847,4471,0.264,29,0.05
Completed,0.75,603,1228,1499,0.579,14,0.1
Completed,0.67,209,2310,3151,0.925,9,0.025
Completed,0.8,4395,2737,177,0.234,49,0.001
Completed,0.69,244,2501,3286,0.958,48,0.25
Completed,0.7,237,3042,3909,0.857,47,0.1
Completed,0.71,381,4873,3346,0.771,43,0.05
Completed,0.81,1796,1242,150,0.381,7,0.005
Completed,0.64,144,2196,4250,0.25,25,0.025
Completed,0.73,430,3566,2295,0.609,26,0.01
Completed,0.71,358,3223,3106,0.083,29,0.25
Completed,0.68,289,862,4646,0.934,10,0.05
Completed,0.75,901,4590,1275,0.295,40,0.01
Completed,0.7,361,3919,3806,0.506,5,0.001
Completed,0.69,185,283,2153,0.148,47,0.01
Completed,0.7,317,1281,3439,0.484,36,0.1
Completed,0.69,223,2714,3634,0.435,13,0.01
Completed,0.78,1586,1486,448,0.794,37,0.25
Completed,0.62,166,77,3923,0.582,45,0.1
Completed,0.73,571,3849,1958,0.192,7,0.001
Completed,0.7,258,733,2971,0.893,16,0.05
Completed,0.8,3358,1872,130,0.06,1,0.01
Completed,0.74,519,2410,852,0.001,7,0.05
Completed,0.73,409,1017,1883,0.999,50,0.25
Completed,0.7,281,2456,1930,0.999,50,0.1
Completed,0.81,5017,1938,80,0.001,25,0.01
Completed,0.74,811,4297,1621,0.999,14,0.05
Completed,0.69,296,3492,4705,0.999,50,0.1
Completed,0.71,350,1264,3352,0.999,29,0.005
Completed,0.76,1134,1394,735,0.425,31,0.01
Completed,0.71,498,5000,3214,0.001,1,0.1
Completed,0.79,1830,2277,137,0.001,17,0.001
Completed,0.76,2187,1076,806,0.001,48,0.05
Completed,0.73,414,1208,2200,0.001,39,0.1
Completed,0.69,850,1580,4512,0.001,42,0.01
Completed,0.78,1342,3091,405,0.624,1,0.05
Completed,0.73,543,3241,2116,0.999,50,0.025
Completed,0.69,326,1511,4813,0.999,18,0.1
Completed,0.58,262,2067,1,0.001,1,0.001
Completed,0.71,473,3234,3224,0.001,40,0.05
Completed,0.78,777,2361,423,0.067,15,0.01
Completed,0.73,354,2885,2088,0.894,26,0.001
Completed,0.75,1028,1832,1340,0.435,21,0.01
Completed,0.74,1928,2431,937,0.001,26,0.001
Completed,0.78,2441,1714,348,0.001,22,0.05
Completed,0.77,2095,1806,452,0.001,13,0.025
Completed,0.71,531,4867,3178,0.999,48,0.025
Completed,0.72,789,4912,2346,0.999,10,0.25
Completed,0.7,301,2073,376,0.999,7,0.1
Completed,0.7,285,2548,2484,0.808,49,0.001
Completed,0.77,1672,4267,448,0.999,1,0.01
Completed,0.66,424,2026,329,0.237,7,0.1
Completed,0.69,404,2073,447,0.306,7,0.01
Completed,0.71,3092,2890,2138,0.001,49,0.001
Completed,0.77,1717,2593,577,0.001,27,0.05
Completed,0.71,1034,3930,3299,0.001,32,0.001
Completed,0.76,1080,3262,1207,0.001,25,0.05
Completed,0.75,1308,4394,952,0.442,1,0.05
Completed,0.78,2061,3727,469,0.324,13,0.1
Completed,0.79,1458,2598,368,0.999,31,0.1
Completed,0.77,689,2335,432,0.279,1,0.1
Completed,0.79,1274,573,446,0.343,1,0.1
Completed,0.68,225,597,3886,0.4,30,0.001
Completed,0.64,193,2150,3042,0.057,33,0.1
Completed,0.69,656,2509,2543,0.001,31,0.005
Completed,0.73,747,4234,2001,0.999,21,0.01
Completed,0.71,379,3360,3182,0.999,26,0.005
Completed,0.75,1549,4495,874,0.001,22,0.025
Completed,0.73,542,3471,2019,0.999,13,0.001
Completed,0.71,436,2078,342,0.999,1,0.25
Completed,0.72,546,2112,337,0.615,1,0.01
Completed,0.67,170,2362,3937,0.228,25,0.01
Completed,0.73,400,3103,2202,0.999,16,0.001
Completed,0.7,396,3992,3887,0.366,23,0.25
Completed,0.71,402,3494,2969,0.503,23,0.025
Completed,0.79,1663,2720,322,0.737,1,0.1
Completed,0.71,377,1734,3202,0.364,37,0.025
Completed,0.73,376,2692,1607,0.999,39,0.025
Completed,0.79,1511,3227,323,0.999,32,0.01
Completed,0.77,1939,2488,379,0.001,22,0.01
Completed,0.7,433,4505,3636,0.009,10,0.001
Completed,0.8,1863,2711,278,0.999,35,0.025
Completed,0.78,1433,3052,407,0.999,29,0.005
Completed,0.72,504,4114,2706,0.999,30,0.001
Completed,0.81,1728,2616,218,0.999,34,0.05
Completed,0.75,1264,1946,1170,0.999,39,0.05
Completed,0.78,827,2401,403,0.999,21,0.01
Completed,0.74,973,4656,1644,0.999,33,0.025
Completed,0.73,702,4913,2116,0.999,8,0.05
Completed,0.72,604,1865,2443,0.999,42,0.025
Completed,0.75,1155,4257,1321,0.999,1,0.05
Completed,0.69,3230,4635,3767,0.001,50,0.001
Completed,0.71,645,2294,1486,0.001,38,0.025
Completed,0.69,240,2254,1465,0.999,36,0.05
Completed,0.69,423,4434,4043,0.166,1,0.005
Completed,0.74,504,3115,1726,0.999,32,0.05
Completed,0.79,2046,3468,254,0.001,19,0.025
Completed,0.74,570,1091,1487,0.999,44,0.005
Completed,0.71,284,351,1564,0.999,50,0.05
Completed,0.71,471,2068,270,0.999,33,0.01
Completed,0.69,297,3274,4114,0.999,31,0.005
Completed,0.72,572,4058,2803,0.999,27,0.005
Completed,0.69,404,5000,4109,0.999,1,0.001
Completed,0.71,441,4340,3515,0.999,6,0.01
Completed,0.79,1210,719,339,0.999,27,0.01
Completed,0.71,382,4653,3425,0.999,28,0.01
Completed,0.78,2099,1763,331,0.999,24,0.005
Completed,0.75,873,3697,1498,0.999,33,0.05
Completed,0.65,197,99,1413,0.42,50,0.005
Completed,0.7,334,1279,3525,0.999,50,0.01
Completed,0.68,3808,1508,5000,0.001,50,0.001
Completed,0.71,433,3363,2604,0.001,1,0.1
Completed,0.71,451,3981,2997,0.999,20,0.1
Completed,0.79,1657,3042,369,0.999,25,0.05
Completed,0.78,1925,4140,355,0.999,22,0.01
Completed,0.74,620,2158,353,0.999,30,0.25
Completed,0.78,1818,3909,359,0.999,21,0.25
Completed,0.75,463,2575,1069,0.999,28,0.025
Completed,0.59,137,2014,3664,0.999,15,0.001
Completed,0.69,212,2521,3629,0.213,28,0.005
Completed,0.74,1271,4616,1527,0.001,21,0.005
Completed,0.62,156,126,3907,0.999,38,0.01
Completed,0.71,473,4791,3566,0.331,1,0.05
Completed,0.69,412,4770,4814,0.001,23,0.005
Completed,0.7,473,4414,3697,0.999,50,0.05
Completed,0.76,991,1373,1057,0.999,29,0.1
Completed,0.68,342,3727,5000,0.999,50,0.01
Completed,0.7,360,4352,3852,0.999,1,0.1
Completed,0.68,300,5000,4987,0.999,4,0.1
Completed,0.69,446,2340,2235,0.999,24,0.1
Completed,0.75,1507,1773,1108,0.001,28,0.025
Completed,0.69,343,4349,4828,0.999,25,0.25
Completed,0.7,467,1833,3851,0.571,50,0.05
Completed,0.69,355,5000,4714,0.999,1,0.01
Completed,0.7,307,904,3041,0.591,50,0.025
Completed,0.7,289,2854,2813,0.001,35,0.05
Completed,0.72,324,853,2668,0.999,50,0.025
Completed,0.66,244,2295,3903,0.001,24,0.005
Completed,0.73,446,732,1619,0.67,41,0.1
Completed,0.71,377,2842,2693,0.999,50,0.05
Completed,0.68,251,620,4087,0.999,50,0.1
Completed,0.67,220,678,4694,0.001,50,0.25
Completed,0.66,313,2354,4046,0.001,46,0.025
Completed,0.7,404,2903,3399,0.001,30,0.005
Completed,0.7,452,4824,3717,0.999,13,0.05
Completed,0.68,277,3479,5000,0.001,10,0.1
Completed,0.69,412,4220,4008,0.999,17,0.01
Completed,0.71,284,1103,3677,0.999,35,0.025
Completed,0.69,325,1767,4315,0.001,1,0.1
Completed,0.69,413,5000,4344,0.999,1,0.25
Completed,0.78,1860,1526,391,0.999,1,0.25
Completed,0.72,397,1143,2361,0.999,1,0.001
Completed,0.69,264,788,4070,0.001,40,0.1
Completed,0.78,1678,1657,413,0.999,35,0.025
Completed,0.69,408,4288,4376,0.999,1,0.001
Completed,0.65,226,231,3705,0.999,1,0.001
Completed,0.74,739,4996,1459,0.999,34,0.05
Completed,0.75,1166,2000,1439,0.999,48,0.1
Completed,0.74,486,743,1382,0.999,46,0.025
Completed,0.69,452,4618,4139,0.001,1,0.025
Completed,0.71,363,5000,3401,0.143,30,0.25
Completed,0.74,682,1445,1725,0.999,50,0.05
Completed,0.79,2290,1858,278,0.999,50,0.01
Completed,0.76,598,611,965,0.999,1,0.005
Completed,0.79,1205,621,345,0.999,1,0.01
Completed,0.74,573,3760,1759,0.999,1,0.001
Completed,0.7,394,4510,4295,0.999,50,0.005
Completed,0.73,610,1509,2019,0.999,1,0.1
Completed,0.79,1597,623,380,0.999,1,0.25
Completed,0.58,167,1,1787,0.999,5,0.1
Completed,0.67,253,520,4850,0.999,50,0.1
Completed,0.75,437,605,993,0.999,1,0.25
Completed,0.76,555,646,935,0.999,1,0.01
Completed,0.76,976,1510,983,0.999,1,0.025
Completed,0.67,203,2642,4877,0.001,6,0.025
Completed,0.58,301,1504,1,0.001,1,0.001
Completed,0.79,1478,653,322,0.999,1,0.1
Completed,0.78,1934,4018,351,0.999,1,0.05
Completed,0.69,356,1797,4000,0.999,1,0.025
Completed,0.78,1450,3640,319,0.999,1,0.05
Completed,0.69,258,1005,4032,0.999,1,0.001
Completed,0.7,345,1201,3455,0.999,20,0.25
Completed,0.7,328,3257,3520,0.999,1,0.001
Completed,0.68,249,1195,5000,0.001,29,0.025
Completed,0.58,210,1,4102,0.001,2,0.001
Completed,0.72,520,3615,2644,0.999,50,0.001
Completed,0.78,1786,1762,407,0.999,1,0.01
Completed,0.7,220,876,3648,0.001,1,0.1
Completed,0.7,337,1595,3647,0.525,1,0.001
Completed,0.7,445,1078,2903,0.001,35,0.1
Completed,0.76,1010,787,925,0.001,1,0.05
Completed,0.69,332,804,3656,0.999,3,0.001
Completed,0.76,759,678,891,0.999,1,0.1
Completed,0.73,510,1119,2051,0.999,1,0.001
Completed,0.71,914,3157,2841,0.001,50,0.025
Completed,0.69,389,4414,4850,0.001,50,0.05
Completed,0.69,243,3299,4895,0.999,1,0.05
Completed,0.81,2696,3293,131,0.999,1,0.005
Completed,0.74,852,3983,1870,0.999,1,0.25
Completed,0.68,271,897,5000,0.999,1,0.05
Completed,0.74,558,1104,1779,0.999,26,0.025
Completed,0.79,1731,650,247,0.001,1,0.1
Completed,0.7,301,1326,4167,0.999,40,0.001
Completed,0.72,389,1240,2567,0.999,23,0.05
Completed,0.8,1760,3241,252,0.999,1,0.005
Completed,0.71,332,1491,3415,0.469,24,0.1
Completed,0.71,394,1397,3047,0.75,30,0.25
Completed,0.68,330,3011,4797,0.001,1,0.01
Completed,0.81,2201,2732,162,0.999,50,0.005
Completed,0.79,1666,3278,245,0.999,1,0.25
Completed,0.73,556,1859,2089,0.441,50,0.005
Completed,0.69,269,1239,3955,0.464,13,0.1
Completed,0.76,666,2828,880,0.999,1,0.25
Completed,0.79,3160,1817,179,0.001,50,0.01
Completed,0.74,541,1022,1623,0.999,24,0.01
Completed,0.76,731,3217,951,0.999,1,0.05
Completed,0.71,407,1524,2987,0.114,14,0.05
Completed,0.73,395,1088,2007,0.999,23,0.05
Completed,0.72,429,1067,2490,0.999,20,0.01
Completed,0.76,558,801,1027,0.999,1,0.01
Completed,0.71,447,3803,3089,0.999,48,0.05
