Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.73,4,4123,4512,0.144,6,0.05
Completed,0.72,3,392,3301,0.54,40,0.025
Completed,0.73,5,1202,2658,0.856,19,0.05
Completed,0.73,4,3473,3184,0.61,24,0.25
Completed,0.73,4,544,1450,0.325,38,0.05
Completed,0.73,3,2322,4629,0.198,34,0.25
Completed,0.74,8,1805,1049,0.34,38,0.025
Completed,0.73,4,4327,4143,0.666,25,0.25
Completed,0.73,6,2644,1491,0.778,2,0.005
Completed,0.73,3,132,3399,0.231,37,0.25
Completed,0.73,4,893,2461,0.529,9,0.01
Completed,0.73,4,3366,3053,0.481,29,0.05
Completed,0.74,88,4816,81,0.09,46,0.01
Completed,0.73,3,2333,4486,0.915,17,0.1
Completed,0.74,7,1939,1672,0.174,14,0.01
Completed,0.74,6,4428,3519,0.813,50,0.05
Completed,0.72,76,4313,83,0.99,4,0.005
Completed,0.74,6,3852,2738,0.549,21,0.05
Completed,0.75,10,3125,401,0.88,7,0.025
Completed,0.73,3,588,4801,0.115,33,0.1
Completed,0.75,8,1037,738,0.63,11,0.1
Completed,0.73,5,3536,3838,0.364,27,0.01
Completed,0.74,5,4652,1801,0.192,48,0.05
Completed,0.72,3,2184,3704,0.799,16,0.001
Completed,0.75,7,2421,267,0.041,19,0.25
Completed,0.74,4,4884,4612,0.96,45,0.1
Completed,0.74,5,3142,2272,0.609,31,0.005
Completed,0.73,3,649,2930,0.405,8,0.001
Completed,0.72,4,201,1368,0.858,35,0.005
Completed,0.73,10,2732,3210,0.155,3,0.025
Completed,0.73,73,13,5000,0.219,19,0.005
Completed,0.75,10,4792,720,0.674,26,0.25
Completed,0.73,48,1910,116,0.472,1,0.25
Completed,0.73,49,1973,111,0.471,1,0.1
Completed,0.73,3,908,5000,0.619,20,0.005
Completed,0.75,9,2775,408,0.544,1,0.1
Completed,0.73,3,2506,4673,0.529,19,0.005
Completed,0.73,296,38,4426,0.008,17,0.005
Completed,0.72,134,499,3760,0.088,17,0.005
Completed,0.74,11,3001,302,0.562,1,0.05
Completed,0.73,134,2086,2938,0.074,18,0.005
Completed,0.73,3,1,5000,0.703,20,0.05
Completed,0.73,3,1342,4558,0.372,19,0.005
Completed,0.73,38,1088,72,0.413,1,0.1
Completed,0.73,3,3265,4945,0.484,19,0.005
Completed,0.73,203,3333,4583,0.141,19,0.005
Completed,0.74,8,1016,490,0.465,1,0.25
Completed,0.75,6,2759,663,0.541,1,0.25
Completed,0.73,86,732,5000,0.001,22,0.005
Completed,0.75,7,3357,829,0.667,1,0.1
Completed,0.74,5,5000,2117,0.898,9,0.05
Completed,0.73,26,201,4901,0.001,19,0.05
Completed,0.73,264,1714,4194,0.001,18,0.005
Completed,0.73,35,2600,57,0.496,2,0.25
Completed,0.73,3,943,5000,0.999,20,0.005
Completed,0.73,17,1413,4963,0.001,21,0.005
Completed,0.74,10,905,319,0.508,1,0.1
Completed,0.75,6,3610,1281,0.76,6,0.05
Completed,0.74,12,3228,525,0.863,16,0.1
Completed,0.74,12,3572,602,0.819,15,0.025
Completed,0.74,11,3269,757,0.751,5,0.25
Completed,0.73,4,540,4575,0.714,50,0.005
Completed,0.74,7,1393,1039,0.605,18,0.05
Completed,0.74,7,377,588,0.707,3,0.005
Completed,0.74,12,1818,578,0.72,2,0.005
Completed,0.74,6,898,1247,0.686,5,0.05
Completed,0.73,4,3725,4582,0.65,1,0.25
Completed,0.73,5,4464,4417,0.682,1,0.01
Completed,0.75,14,1971,802,0.689,13,0.005
Completed,0.74,5,2358,617,0.769,3,0.1
