Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.55,1,2732,785,0.466,47,0.1
Completed,0.55,0,3003,3236,0.766,45,0.01
Completed,0.55,5,1767,1906,0.255,24,0.025
Completed,0.55,0,1051,4040,0.183,6,0.005
Completed,0.57,3,4807,213,0.67,29,0.05
Completed,0.55,0,3863,4713,0.436,8,0.001
Completed,0.55,1,120,1044,0.915,35,0.1
Completed,0.55,0,2065,3012,0.523,43,0.01
Completed,0.55,0,3329,1837,0.005,15,0.25
Completed,0.55,0,3243,2859,0.579,14,0.025
Completed,0.55,1,1996,1688,0.068,41,0.05
Completed,0.55,0,187,4867,0.495,37,0.005
Completed,0.55,0,3595,4132,0.701,18,0.1
Completed,0.55,1,2437,456,0.733,45,0.25
Completed,0.55,0,4845,3106,0.556,38,0.25
Completed,0.55,1,1536,883,0.879,7,0.025
Completed,0.55,0,4473,3876,0.712,33,0.005
Completed,0.55,1,2420,464,0.214,41,0.05
Completed,0.55,0,400,3614,0.349,32,0.05
Completed,0.55,0,4213,2438,0.859,11,0.25
Completed,0.55,0,4463,2646,0.098,31,0.01
Completed,0.55,6,1140,50,0.726,5,0.001
Completed,0.55,0,1680,3394,0.833,24,0.1
Completed,0.55,0,2933,2070,0.315,47,0.01
Completed,0.55,0,2585,4463,0.889,50,0.005
Completed,0.55,1,1399,631,0.402,21,0.001
Completed,0.55,0,787,2795,0.037,2,0.25
Completed,0.55,0,4608,1470,0.548,29,0.1
Completed,0.55,0,3952,1193,0.983,9,0.01
Completed,0.55,0,4875,3882,0.247,26,0.005
Completed,0.55,0,1004,4615,0.576,5,0.005
Completed,0.55,0,5000,3715,0.768,5,0.05
Completed,0.55,1,1,249,0.999,50,0.025
Completed,0.55,1,1,315,0.999,49,0.05
Completed,0.55,0,4948,2222,0.036,42,0.001
Completed,0.57,3,5000,209,0.999,1,0.025
Completed,0.55,0,3132,3052,0.818,7,0.001
Completed,0.55,0,843,2529,0.964,11,0.001
Completed,0.55,0,2869,3907,0.423,19,0.001
Completed,0.57,2,2321,214,0.999,50,0.025
Completed,0.55,0,2000,4311,0.001,18,0.001
Completed,0.55,1,4040,1442,0.457,4,0.25
Completed,0.55,0,5000,2896,0.999,20,0.001
Completed,0.55,0,2425,4095,0.465,35,0.001
Completed,0.57,3,5000,210,0.999,1,0.25
Completed,0.55,0,1148,3293,0.001,1,0.001
Completed,0.55,0,3921,2057,0.999,25,0.25
Completed,0.55,0,4313,2498,0.001,13,0.025
Completed,0.55,0,2426,2467,0.001,32,0.001
Completed,0.55,0,874,3333,0.001,49,0.001
Completed,0.55,0,750,2990,0.001,46,0.001
Completed,0.55,1,1,280,0.999,50,0.025
Completed,0.55,0,1448,2649,0.999,38,0.001
Completed,0.57,3,5000,198,0.999,50,0.025
Completed,0.55,0,4719,1525,0.001,1,0.001
Completed,0.55,0,1183,4380,0.001,19,0.25
Completed,0.55,0,4813,3502,0.999,50,0.001
Completed,0.55,0,2795,1340,0.001,1,0.001
Completed,0.57,3,1730,318,0.999,43,0.1
Completed,0.56,1,2310,252,0.999,50,0.1
Completed,0.55,1,1,713,0.001,42,0.05
Completed,0.55,1,2552,491,0.999,50,0.025
Completed,0.55,0,1,3092,0.999,16,0.05
Completed,0.55,2,1368,450,0.999,50,0.1
Completed,0.55,1,2038,326,0.999,1,0.25
Completed,0.57,4,4385,162,0.999,50,0.1
Completed,0.56,4,3916,283,0.999,50,0.25
Completed,0.55,0,1,3974,0.999,50,0.01
Completed,0.56,2,3179,287,0.999,1,0.1
Completed,0.56,2,1782,377,0.999,1,0.025
Completed,0.56,2,3168,276,0.999,1,0.025
Completed,0.56,2,3225,237,0.999,50,0.025
Completed,0.55,0,1,1545,0.999,1,0.25
Completed,0.57,5,5000,149,0.999,50,0.025
Completed,0.55,0,5000,3260,0.001,50,0.005
Completed,0.55,0,1,4696,0.001,50,0.025
Completed,0.55,0,1,2204,0.999,1,0.05
Completed,0.56,2,2965,309,0.999,1,0.01
Completed,0.55,0,3514,4083,0.999,1,0.025
Completed,0.57,4,4312,241,0.999,1,0.025
Completed,0.56,2,2543,318,0.999,50,0.025
Completed,0.55,1,1,977,0.999,1,0.025
Completed,0.55,0,1,2623,0.999,50,0.01
Completed,0.55,0,1,4176,0.999,50,0.1
Completed,0.55,0,5000,4642,0.999,50,0.25
Completed,0.55,0,1,3768,0.001,1,0.25
Completed,0.55,2,2280,340,0.999,1,0.01
Completed,0.55,0,1,2600,0.001,50,0.005
Completed,0.55,0,1,5000,0.001,1,0.1
Completed,0.56,2,2446,312,0.999,50,0.1
Completed,0.55,0,1,2165,0.001,50,0.005
Completed,0.55,0,1,4566,0.999,1,0.001
Completed,0.55,0,3278,3689,0.999,50,0.025
Completed,0.56,2,3653,261,0.999,50,0.1
Completed,0.55,0,1,3047,0.999,50,0.1
Completed,0.55,0,3465,4756,0.999,1,0.01
Completed,0.55,1,1,1448,0.001,50,0.001
Completed,0.55,0,1,1956,0.999,50,0.001
Completed,0.55,0,1,4267,0.001,1,0.005
Completed,0.57,3,4206,260,0.999,50,0.1
Completed,0.55,0,5000,4348,0.999,50,0.01
Completed,0.55,0,2135,3548,0.999,50,0.01
Completed,0.55,0,1,1808,0.999,1,0.01
Completed,0.55,1,2248,347,0.999,1,0.005
Completed,0.55,0,1,4325,0.999,50,0.025
Completed,0.56,2,4338,340,0.999,50,0.025
Completed,0.55,0,5000,4289,0.001,1,0.005
Completed,0.55,0,5000,3549,0.001,50,0.005
Completed,0.56,2,1699,339,0.999,50,0.025
Completed,0.55,0,5000,3072,0.001,1,0.05
Completed,0.55,0,1,3842,0.001,50,0.005
Completed,0.55,1,5000,1191,0.001,50,0.005
Completed,0.56,2,3485,351,0.999,50,0.025
Completed,0.56,2,3866,271,0.999,50,0.025
Completed,0.57,3,1989,322,0.999,50,0.025
Completed,0.55,0,5000,4604,0.001,1,0.1
Completed,0.55,0,1,5000,0.999,50,0.25
Completed,0.55,0,1,2611,0.999,1,0.025
Completed,0.57,3,4963,203,0.999,50,0.1
Completed,0.55,0,1,3662,0.999,50,0.001
Completed,0.55,0,1,2332,0.999,1,0.1
Completed,0.55,0,5000,2683,0.001,50,0.025
Completed,0.57,4,5000,237,0.999,50,0.1
Completed,0.55,0,1,2586,0.001,1,0.1
Completed,0.55,0,1,3230,0.999,1,0.005
Completed,0.55,0,1,3145,0.999,1,0.025
Completed,0.55,0,1,3977,0.999,1,0.05
Completed,0.55,0,5000,3115,0.999,1,0.01
Completed,0.55,0,5000,2156,0.999,1,0.005
Completed,0.55,0,1,4001,0.001,50,0.025
Completed,0.55,0,3965,2349,0.999,50,0.1
Completed,0.55,0,5000,3917,0.999,1,0.025
Completed,0.56,2,2970,430,0.999,50,0.1
Completed,0.56,4,1998,354,0.001,50,0.025
Completed,0.55,0,5000,4742,0.001,50,0.001
Completed,0.55,0,5000,3161,0.999,50,0.001
Completed,0.55,0,5000,4688,0.999,50,0.025
Completed,0.55,0,1,1380,0.999,50,0.1
Completed,0.58,4,5000,170,0.999,50,0.025
Completed,0.57,3,4164,252,0.999,50,0.025
Completed,0.55,0,5000,3734,0.001,1,0.025
Completed,0.55,1,5000,1483,0.999,50,0.01
Completed,0.55,1,1,1224,0.999,1,0.25
Completed,0.55,0,3626,5000,0.999,1,0.005
Completed,0.57,3,4062,295,0.999,50,0.05
Completed,0.56,2,3807,389,0.999,50,0.1
Completed,0.55,0,5000,2827,0.999,50,0.1
Completed,0.56,2,2685,341,0.999,50,0.05
Completed,0.55,1,2169,384,0.999,50,0.005
Completed,0.55,0,5000,3979,0.999,50,0.001
Completed,0.55,0,1,1704,0.999,1,0.005
Completed,0.55,0,5000,1391,0.999,1,0.005
Completed,0.55,0,1,4644,0.999,1,0.01
Completed,0.55,0,1,3452,0.999,1,0.01
Completed,0.55,0,2631,2793,0.001,1,0.005
Completed,0.55,0,5000,1857,0.999,50,0.005
Completed,0.55,0,687,2246,0.001,1,0.001
Completed,0.55,0,5000,2651,0.001,50,0.005
Completed,0.55,0,2528,2690,0.999,50,0.025
Completed,0.56,2,1791,389,0.999,50,0.1
Completed,0.55,1,1864,1333,0.999,50,0.1
Completed,0.56,2,2681,371,0.999,50,0.05
Completed,0.55,0,1,3532,0.999,1,0.025
Completed,0.55,0,2503,3747,0.999,1,0.1
Completed,0.55,0,2209,5000,0.001,50,0.25
Completed,0.55,0,1,2729,0.999,50,0.05
Completed,0.55,0,1884,3485,0.999,1,0.005
Completed,0.55,0,1,5000,0.999,50,0.025
Completed,0.55,0,1,4426,0.001,1,0.05
Completed,0.55,0,3521,4341,0.999,1,0.1
Completed,0.56,2,3577,412,0.999,50,0.1
Completed,0.55,0,2552,2021,0.999,1,0.005
Completed,0.57,3,3509,302,0.999,50,0.1
Completed,0.55,0,5000,5000,0.001,50,0.01
Completed,0.55,0,1,3261,0.001,50,0.025
Completed,0.56,2,1705,401,0.999,50,0.1
Completed,0.57,4,4585,229,0.999,50,0.1
Completed,0.55,0,1905,4777,0.999,50,0.1
Completed,0.56,2,1249,394,0.999,50,0.05
Completed,0.55,0,5000,1757,0.999,1,0.1
Completed,0.55,0,1,2360,0.999,1,0.005
Completed,0.55,0,5000,3575,0.001,50,0.25
Completed,0.55,0,5000,4166,0.001,50,0.005
Completed,0.55,0,1,2969,0.001,50,0.01
Completed,0.55,0,5000,4453,0.999,1,0.001
Completed,0.55,0,3898,3068,0.001,50,0.005
Completed,0.55,0,3203,1773,0.999,1,0.001
Completed,0.55,0,3835,4557,0.999,1,0.005
Completed,0.55,0,5000,2289,0.999,50,0.005
Completed,0.55,1,5000,1172,0.999,1,0.1
Completed,0.55,0,2867,3744,0.999,50,0.25
Completed,0.55,0,1,1968,0.999,1,0.005
Completed,0.56,2,2983,288,0.999,50,0.1
Completed,0.55,0,1,3388,0.999,50,0.25
Completed,0.55,0,5000,3352,0.001,1,0.001
Completed,0.58,5,5000,132,0.999,50,0.05
Completed,0.55,0,5000,5000,0.001,1,0.001
Completed,0.55,0,3843,3943,0.001,50,0.01
Completed,0.57,2,3578,309,0.999,50,0.025
Completed,0.55,1,1,1599,0.999,50,0.005
Completed,0.57,7,5000,89,0.999,50,0.05
Completed,0.55,0,1,4833,0.999,1,0.25
Completed,0.57,7,5000,96,0.999,50,0.1
Completed,0.55,0,4625,4854,0.001,50,0.025
Completed,0.57,3,1881,320,0.999,1,0.05
Completed,0.55,0,5000,4435,0.999,50,0.1
Completed,0.55,0,5000,2982,0.999,50,0.025
Completed,0.55,0,1,2942,0.999,1,0.01
Completed,0.58,4,5000,129,0.999,50,0.05
Completed,0.58,5,5000,127,0.999,50,0.025
Completed,0.55,1,1,1312,0.999,1,0.005
Completed,0.56,2,987,331,0.999,1,0.1
Completed,0.58,6,5000,112,0.999,50,0.05
Completed,0.55,0,2925,2996,0.999,1,0.05
Completed,0.58,6,5000,124,0.999,50,0.025
Completed,0.55,0,5000,4186,0.999,1,0.025
Completed,0.58,5,5000,136,0.999,50,0.025
Completed,0.55,0,1,2093,0.999,1,0.1
Completed,0.55,1,5000,1333,0.001,50,0.05
Completed,0.58,5,5000,120,0.999,50,0.025
Completed,0.55,0,1,3046,0.001,1,0.005
Completed,0.58,5,5000,113,0.999,50,0.025
Completed,0.55,0,5000,2222,0.001,50,0.1
Completed,0.57,2,1996,318,0.999,50,0.1
Completed,0.55,0,5000,1354,0.999,1,0.025
Completed,0.55,0,4348,2478,0.999,1,0.025
Completed,0.55,0,1,3751,0.001,50,0.1
Completed,0.55,0,5000,3502,0.001,50,0.025
Completed,0.55,0,4568,2809,0.001,1,0.1
Completed,0.57,3,4724,237,0.999,50,0.025
Completed,0.55,0,5000,3841,0.001,50,0.1
Completed,0.55,1,744,634,0.999,50,0.1
Completed,0.58,6,5000,107,0.999,50,0.025
Completed,0.58,6,5000,104,0.999,50,0.025
Completed,0.58,4,5000,183,0.999,50,0.025
Completed,0.57,4,4926,221,0.999,50,0.025
Completed,0.56,2,3047,295,0.999,50,0.025
Completed,0.56,2,2742,296,0.999,50,0.005
Completed,0.55,0,5000,3221,0.999,1,0.025
Completed,0.57,5,5000,168,0.999,50,0.025
Completed,0.55,0,2358,4885,0.999,1,0.1
Completed,0.55,0,1,2512,0.001,50,0.025
Completed,0.55,0,1,4137,0.001,50,0.25
Completed,0.57,5,5000,165,0.999,50,0.05
Completed,0.55,1,2306,301,0.999,50,0.05
Completed,0.55,0,5000,2539,0.999,1,0.005
Completed,0.57,5,5000,160,0.999,50,0.025
Completed,0.55,0,1,4416,0.001,1,0.1
Completed,0.55,2,1990,599,0.999,50,0.1
Completed,0.58,4,5000,143,0.999,50,0.025
Completed,0.57,3,4269,267,0.999,50,0.025
Completed,0.55,2,5000,589,0.999,50,0.025
Completed,0.56,2,1178,312,0.999,50,0.025
Completed,0.55,0,2814,3352,0.001,50,0.25
Completed,0.55,0,2242,4241,0.001,1,0.025
Completed,0.57,2,692,322,0.999,50,0.1
Completed,0.55,0,1345,2845,0.999,50,0.025
Completed,0.55,0,2865,4879,0.999,1,0.025
Completed,0.55,0,1,3835,0.001,1,0.1
Completed,0.56,2,1104,315,0.999,50,0.1
Completed,0.55,1,1,660,0.999,50,0.1
Completed,0.57,3,5000,212,0.999,50,0.025
Completed,0.56,2,3538,285,0.999,50,0.1
Completed,0.55,0,1,4466,0.999,50,0.025
Completed,0.55,0,1,2984,0.001,50,0.025
Completed,0.55,0,1,1307,0.999,1,0.025
Completed,0.55,0,2546,2025,0.001,1,0.1
Completed,0.55,1,282,317,0.999,50,0.025
Completed,0.55,0,1,3384,0.001,1,0.1
Completed,0.55,0,1,4680,0.001,1,0.025
Completed,0.55,0,2724,5000,0.001,50,0.1
Completed,0.55,0,4570,5000,0.999,50,0.1
Completed,0.55,0,1556,2758,0.001,50,0.1
Completed,0.55,0,1,3951,0.999,1,0.001
Completed,0.55,0,5000,2587,0.001,1,0.001
Completed,0.55,0,2384,2544,0.999,1,0.1
Completed,0.57,3,4377,258,0.999,50,0.025
Completed,0.56,2,380,313,0.999,50,0.1
Completed,0.55,0,1,1817,0.999,1,0.1
Completed,0.55,0,2198,5000,0.999,1,0.05
Completed,0.55,1,1,1278,0.001,50,0.025
Completed,0.56,2,2857,292,0.999,50,0.025
Completed,0.57,2,602,314,0.999,1,0.025
Completed,0.55,0,1496,3817,0.999,1,0.025
Completed,0.55,0,5000,3216,0.001,50,0.1
Completed,0.55,0,1,4575,0.999,1,0.025
Completed,0.55,1,1,318,0.999,1,0.1
Completed,0.57,1,2556,297,0.999,50,0.1
Completed,0.55,0,1905,4134,0.001,50,0.1
Completed,0.55,1,5000,1370,0.999,1,0.1
Completed,0.55,1,1,697,0.999,50,0.025
Completed,0.55,0,1,2080,0.999,50,0.01
Completed,0.55,0,3009,4086,0.001,50,0.025
Completed,0.55,0,1,4725,0.001,50,0.05
Completed,0.57,3,4572,256,0.999,50,0.025
Completed,0.57,2,2546,295,0.999,1,0.1
Completed,0.55,0,1,2901,0.999,1,0.005
Completed,0.55,0,5000,3111,0.001,50,0.025
Completed,0.55,0,5000,3690,0.001,1,0.1
Completed,0.55,0,1,5000,0.001,50,0.01
Completed,0.55,0,349,4592,0.999,50,0.25
Completed,0.57,3,4000,261,0.999,1,0.1
Completed,0.55,0,1768,4355,0.999,50,0.01
Completed,0.55,0,2406,2238,0.999,50,0.01
Completed,0.55,0,1,3990,0.999,50,0.005
Completed,0.55,0,1,4821,0.999,50,0.1
Completed,0.57,2,3247,274,0.999,50,0.025
Completed,0.55,0,2693,3139,0.001,1,0.025
Completed,0.55,0,5000,1543,0.999,50,0.25
Completed,0.55,0,4233,2977,0.999,1,0.25
Completed,0.55,0,2146,3248,0.999,50,0.025
Completed,0.56,2,2675,289,0.999,1,0.1
Completed,0.57,4,5000,156,0.999,50,0.025
Completed,0.55,1,3183,1421,0.999,50,0.025
Completed,0.55,0,4557,2916,0.001,1,0.25
Completed,0.55,0,2484,2507,0.999,50,0.1
Completed,0.55,0,1,2178,0.001,50,0.25
Completed,0.57,2,1960,301,0.999,1,0.1
Completed,0.55,0,1,5000,0.001,1,0.025
Completed,0.55,0,2475,1250,0.999,1,0.005
Completed,0.57,5,5000,153,0.999,1,0.025
Completed,0.55,0,1,2432,0.001,50,0.05
Completed,0.57,3,4386,242,0.999,50,0.1
Completed,0.55,0,5000,4351,0.999,1,0.025
Completed,0.55,0,5000,4413,0.001,50,0.25
Completed,0.55,0,1,4794,0.001,1,0.025
Completed,0.55,0,5000,1708,0.001,1,0.005
Completed,0.56,2,515,314,0.999,1,0.1
Completed,0.55,0,1,2559,0.999,50,0.25
Completed,0.55,0,5000,2572,0.001,1,0.01
Completed,0.55,0,310,4248,0.001,50,0.025
Completed,0.55,0,5000,3868,0.999,50,0.01
Completed,0.55,0,699,5000,0.001,1,0.005
Completed,0.55,0,3099,4888,0.001,1,0.25
Completed,0.55,0,1,2605,0.001,1,0.001
Completed,0.55,0,4030,4095,0.001,1,0.1
Completed,0.55,0,5000,4028,0.001,50,0.1
Completed,0.55,0,1,3514,0.999,50,0.005
Completed,0.55,0,1,2480,0.999,1,0.01
Completed,0.55,0,1,5000,0.001,50,0.05
Completed,0.55,0,1,2211,0.001,50,0.1
