Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.72,4,3073,2672,0.734,0.321
Completed,0.73,9,1970,1569,0.172,0.541
Completed,0.7,2,162,4000,0.988,0.228
Completed,0.71,5,4323,1288,0.512,0.734
Completed,0.71,5,4460,3237,0.903,0.606
Completed,0.7,4,583,2444,0.466,0.265
Completed,0.72,3,2213,4409,0.631,0.949
Completed,0.69,6,2672,1117,0.195,0.171
Completed,0.69,4,3474,4326,0.329,0.045
Completed,0.7,3,1203,4940,0.403,0.583
Completed,0.71,7,1584,1885,0.695,0.147
Completed,0.64,4,3294,3612,0.133,0.988
Completed,0.71,5,3209,2122,0.868,0.449
Completed,0.69,5,1833,3517,0.306,0.665
Completed,0.67,4,3923,4689,0.035,0.759
Completed,0.73,73,1414,116,0.766,0.827
Completed,0.69,4,719,2999,0.074,0.388
Completed,0.73,15,3830,713,0.964,0.303
Completed,0.71,5,4943,3753,0.572,0.427
Completed,0.66,6,90,483,0.012,0.71
Completed,0.68,2,2032,2581,0.829,0.022
Completed,0.64,3,2843,1811,0.267,0.866
Completed,0.7,3,2580,4636,0.804,0.642
Completed,0.7,4,2453,1051,0.368,0.488
Completed,0.69,3,333,3308,0.535,0.798
Completed,0.71,7,4542,2222,0.098,0.082
Completed,0.72,6,4094,2923,0.489,0.204
Completed,0.67,3,784,1505,0.926,0.923
Completed,0.7,8,4801,2214,0.333,0.261
Completed,0.72,12,5000,1104,0.911,0.389
Completed,0.72,9,1642,1456,0.801,0.362
Completed,0.69,4,141,520,0.439,0.268
Completed,0.71,6,5000,2977,0.999,0.001
Completed,0.73,12,4725,1317,0.846,0.001
Completed,0.73,10,3103,718,0.45,0.379
Completed,0.69,7,4609,2488,0.277,0.29
Completed,0.73,13,1507,689,0.999,0.355
Completed,0.72,8,2586,563,0.44,0.001
Completed,0.72,8,5000,2045,0.369,0.344
Completed,0.73,17,5000,751,0.999,0.418
Completed,0.68,3,915,5000,0.999,0.001
Completed,0.64,3,43,2650,0.999,0.001
Completed,0.74,11,4810,1474,0.826,0.466
Completed,0.65,3,54,2687,0.27,0.001
Completed,0.68,2,1,716,0.999,0.525
Completed,0.68,2,3222,1050,0.999,0.898
Completed,0.72,7,3084,1014,0.999,0.449
Completed,0.69,2,1,1721,0.999,0.505
Completed,0.71,4,1565,2286,0.999,0.712
Completed,0.66,4,1697,3636,0.999,0.001
Completed,0.71,2,4230,520,0.999,0.999
Completed,0.68,3,1,2005,0.999,0.78
Completed,0.71,2,1,4678,0.999,0.306
Completed,0.71,5,3124,1069,0.999,0.623
Completed,0.72,5,4525,3777,0.999,0.001
Completed,0.71,2,1,3469,0.999,0.201
Completed,0.71,8,3036,862,0.999,0.347
Completed,0.69,2,2416,5000,0.999,0.047
Completed,0.67,4,1724,4077,0.999,0.001
Completed,0.71,2,3069,1111,0.999,0.999
Completed,0.74,3,2939,2404,0.999,0.912
Completed,0.69,4,3851,2527,0.999,0.79
Completed,0.72,5,5000,3891,0.001,0.001
Completed,0.72,2,2055,2410,0.999,0.451
Completed,0.72,2,1,668,0.999,0.396
Completed,0.68,2,1,1806,0.999,0.222
Completed,0.69,4,1604,4019,0.999,0.302
Completed,0.68,4,1809,4421,0.001,0.001
Completed,0.67,2,1,859,0.999,0.001
Completed,0.71,2,1315,2141,0.999,0.999
Completed,0.69,2,2001,3107,0.999,0.001
Completed,0.7,5,4991,97,0.999,0.999
Completed,0.69,6,5000,2856,0.999,0.371
Completed,0.7,15,5000,915,0.999,0.399
Completed,0.71,4,2501,1024,0.999,0.479
Completed,0.68,3,2155,2801,0.999,0.435
Completed,0.74,11,5000,989,0.999,0.562
Completed,0.69,3,2454,1031,0.999,0.63
Completed,0.72,7,3626,1834,0.999,0.179
Completed,0.7,7,2841,952,0.999,0.474
Completed,0.68,5,5000,3331,0.999,0.267
Completed,0.73,14,5000,929,0.999,0.226
Completed,0.73,6,5000,2558,0.371,0.001
Completed,0.72,11,3413,833,0.999,0.001
Completed,0.72,13,5000,971,0.374,0.323
Completed,0.71,7,3294,1660,0.999,0.313
Completed,0.66,5,1565,1106,0.999,0.673
Completed,0.7,4,2507,2323,0.999,0.354
Completed,0.71,5,3977,3979,0.999,0.4
Completed,0.72,11,3344,831,0.999,0.448
Completed,0.71,2,5000,319,0.999,0.999
Completed,0.72,8,4279,1881,0.999,0.28
Completed,0.71,6,5000,2820,0.999,0.591
Completed,0.69,5,3010,1878,0.999,0.149
Completed,0.73,26,5000,545,0.999,0.22
Completed,0.71,3,4667,449,0.999,0.999
Completed,0.7,4,2813,1245,0.999,0.713
Completed,0.73,28,5000,442,0.999,0.001
Completed,0.65,3,5000,1902,0.999,0.894
Completed,0.73,20,5000,583,0.487,0.285
Completed,0.72,16,5000,810,0.999,0.001
Completed,0.72,3,2725,1267,0.999,0.81
Completed,0.67,4,5000,4532,0.206,0.001
Completed,0.73,18,5000,662,0.727,0.327
Completed,0.73,35,3243,205,0.541,0.001
Completed,0.73,31,5000,395,0.47,0.001
Completed,0.71,8,5000,1987,0.999,0.001
Completed,0.69,4,2354,853,0.999,0.001
Completed,0.74,17,5000,698,0.999,0.235
Completed,0.69,5,2550,868,0.999,0.155
Completed,0.71,2,1,765,0.999,0.999
Completed,0.72,7,2768,850,0.999,0.212
Completed,0.73,19,5000,605,0.999,0.365
Completed,0.73,10,3302,794,0.999,0.293
Completed,0.72,20,5000,603,0.999,0.007
Completed,0.69,4,2686,2215,0.999,0.001
Completed,0.71,2,4721,559,0.999,0.999
Completed,0.71,7,2715,786,0.39,0.001
Completed,0.64,2,1,773,0.999,0.689
Completed,0.71,4,3217,2996,0.001,0.001
Completed,0.7,2,4577,1349,0.999,0.997
Completed,0.69,6,3058,1633,0.999,0.001
Completed,0.71,3,3320,2714,0.999,0.923
Completed,0.72,3,2664,2513,0.999,0.928
Completed,0.72,3,3243,3118,0.999,0.918
Completed,0.72,2,3160,2057,0.999,0.927
Completed,0.68,3,2932,3112,0.293,0.924
Completed,0.69,3,2205,2583,0.999,0.485
