Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.59,21,1699,1963,0.356,0.225
Completed,0.56,8,349,3702,0.854,0.82
Completed,0.71,125,3522,157,0.084,0.377
Completed,0.55,9,3185,4819,0.771,0.183
Completed,0.55,9,129,1313,0.04,0.611
Completed,0.56,15,1285,3023,0.547,0.465
Completed,0.6,45,4456,924,0.268,0.771
Completed,0.57,16,3895,3348,0.216,0.978
Completed,0.64,55,1934,604,0.971,0.285
Completed,0.51,7,739,3889,0.473,0.638
Completed,0.58,12,2507,2239,0.713,0.068
Completed,0.49,7,2718,3940,0.03,0.859
Completed,0.57,13,513,2792,0.763,0.403
Completed,0.61,21,475,942,0.187,0.766
Completed,0.59,17,4505,3748,0.793,0.285
Completed,0.63,13,3009,2303,0.347,0.575
Completed,0.54,8,1,1440,0.86,0.717
Completed,0.53,13,913,2426,0.781,0.431
Completed,0.53,6,2063,3238,0.289,0.523
Completed,0.68,84,3985,319,0.525,0.218
Completed,0.58,20,4674,2899,0.958,0.034
Completed,0.65,41,1462,662,0.23,0.727
Completed,0.55,6,273,4846,0.731,0.319
Completed,0.63,23,3290,1516,0.456,0.89
Completed,0.57,15,3734,3499,0.642,0.677
Completed,0.72,63,523,131,0.422,0.122
Completed,0.56,11,1828,4363,0.914,0.955
Completed,0.56,24,4845,2087,0.147,0.278
Completed,0.57,16,4284,4668,0.339,0.473
Completed,0.59,13,2477,1787,0.598,0.794
Completed,0.57,14,1133,2550,0.098,0.13
Completed,0.57,13,4755,4101,0.581,0.546
Completed,0.46,8,1,882,0.999,0.001
Completed,0.54,7,2163,5000,0.999,0.001
Completed,0.55,10,1715,3979,0.001,0.232
Completed,0.64,15,2115,374,0.999,0.001
Completed,0.53,11,2796,3952,0.999,0.248
Completed,0.53,15,5000,5000,0.001,0.999
Completed,0.53,12,5000,5000,0.001,0.001
Completed,0.56,9,5000,4134,0.999,0.001
Completed,0.54,10,5000,5000,0.999,0.001
Completed,0.52,7,4534,5000,0.999,0.999
Completed,0.61,19,395,775,0.999,0.001
Completed,0.62,44,1642,653,0.999,0.001
Completed,0.59,47,4500,34,0.999,0.999
