Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.91,0,3710,4606,0.889,0.711
Completed,0.91,0,34,932,0.164,0.447
Completed,0.91,0,4847,1151,0.091,0.215
Completed,0.91,0,2460,2577,0.841,0.801
Completed,0.91,0,4771,2131,0.507,0.846
Completed,0.91,0,4565,4372,0.791,0.26
Completed,0.91,0,3575,2672,0.795,0.767
Completed,0.91,0,4118,1274,0.411,0.398
Completed,0.91,0,3686,479,0.266,0.314
Completed,0.91,0,2159,2604,0.637,0.632
Completed,0.91,0,4755,2682,0.507,0.564
Completed,0.91,0,2315,944,0.257,0.417
Completed,0.91,0,242,4978,0.977,0.998
Completed,0.91,0,2690,1404,0.228,0.024
Completed,0.91,0,3327,3867,0.386,0.151
Completed,0.91,0,931,2441,0.636,0.861
Completed,0.91,6,1838,35,0.562,0.93
Completed,0.91,0,743,4704,0.401,0.163
Completed,0.91,0,4415,2945,0.441,0.612
Completed,0.91,0,1678,3800,0.208,0.798
Completed,0.91,0,2358,2479,0.322,0.897
Completed,0.91,0,3331,4437,0.708,0.079
Completed,0.91,0,575,3577,0.939,0.268
Completed,0.91,0,4295,3609,0.311,0.08
Completed,0.91,0,3951,1836,0.571,0.38
Completed,0.91,0,1557,4473,0.322,0.606
Completed,0.91,0,1044,828,0.912,0.057
Completed,0.91,0,3450,2879,0.163,0.954
Completed,0.91,0,141,1513,0.425,0.345
Completed,0.91,0,2554,4775,0.674,0.634
Completed,0.91,0,3149,2312,0.953,0.504
Completed,0.91,0,2185,2306,0.02,0.281
Completed,0.91,0,4941,2264,0.698,0.74
Completed,0.91,0,2364,3963,0.448,0.28
Completed,0.91,1,76,84,0.785,0.823
Completed,0.91,0,2621,3697,0.037,0.16
Completed,0.91,0,3239,1239,0.32,0.046
Completed,0.91,0,628,2626,0.569,0.943
Completed,0.91,0,1777,1425,0.165,0.394
Completed,0.91,0,4357,4726,0.914,0.62
Completed,0.91,0,4037,407,0.219,0.92
Completed,0.91,0,1472,3395,0.966,0.07
Completed,0.91,0,968,1941,0.297,0.519
Completed,0.91,0,3525,4265,0.548,0.496
Completed,0.91,0,2960,1729,0.831,0.366
Completed,0.91,0,361,4404,0.081,0.655
Completed,0.91,0,2044,936,0.683,0.2
Completed,0.91,0,4636,2948,0.435,0.784
Completed,0.91,0,4497,729,0.975,0.435
Completed,0.91,0,1950,3053,0.226,0.584
Completed,0.91,0,490,1619,0.509,0.002
Completed,0.91,0,3065,4607,0.259,0.976
Completed,0.91,0,3733,2070,0.106,0.849
Completed,0.91,0,1151,4081,0.854,0.139
Completed,0.91,0,1254,595,0.38,0.711
Completed,0.91,0,3863,3270,0.63,0.298
Completed,0.91,0,4149,1296,0.488,0.225
Completed,0.91,0,1594,4909,0.736,0.762
Completed,0.91,0,846,1051,0.028,0.336
Completed,0.91,0,3413,2751,0.778,0.672
Completed,0.91,1,2759,291,0.625,0.56
Completed,0.91,0,170,3592,0.374,0.458
Completed,0.91,0,2235,2373,0.89,0.875
Completed,0.91,0,4837,3760,0.143,0.103
Completed,0.91,17,4715,47,0.284,0.293
Completed,0.91,0,2279,3660,0.535,0.691
Completed,0.91,0,283,2301,0.201,0.148
Completed,0.91,0,2725,4000,0.949,0.873
Completed,0.91,0,3291,1542,0.67,0.987
Completed,0.91,0,890,4843,0.421,0.028
Completed,0.91,0,1706,1122,0.813,0.577
Completed,0.91,0,4115,2509,0.064,0.413
Completed,0.91,0,3810,1979,0.803,0.113
Completed,0.91,0,1386,4303,0.055,0.901
Completed,0.91,0,1176,369,0.712,0.451
Completed,0.91,0,3630,3357,0.461,0.537
Completed,0.91,0,3011,820,0.183,0.667
Completed,0.91,0,622,2832,0.933,0.316
Completed,0.91,0,1974,1844,0.334,0.771
Completed,0.91,0,4395,4520,0.582,0.249
Completed,0.91,0,4601,1656,0.016,0.594
Completed,0.91,0,2156,4644,0.764,0.383
Completed,0.91,0,406,691,0.47,0.965
Completed,0.91,0,2838,3016,0.719,0.053
Completed,0.91,0,3491,478,0.877,0.181
Completed,0.91,0,1080,3154,0.129,0.828
Completed,0.91,0,1516,2186,0.606,0.256
Completed,0.91,0,3915,4198,0.356,0.731
Completed,0.91,0,4254,1013,0.526,0.805
Completed,0.91,0,1802,2712,0.278,0.204
Completed,0.91,0,760,1334,0.989,0.63
Completed,0.91,0,3186,4948,0.239,0.357
Completed,0.91,0,2518,2488,0.397,0.469
Completed,0.91,0,100,3875,0.648,0.509
Completed,0.92,1,2496,176,0.12,0.093
Completed,0.91,0,4887,3476,0.867,0.926
Completed,0.91,0,4917,1759,0.377,0.061
Completed,0.91,0,2467,4434,0.625,0.957
Completed,0.91,0,90,891,0.109,0.376
Completed,0.91,0,2527,2903,0.859,0.601
Completed,0.91,0,3176,444,0.513,0.724
Completed,0.91,0,770,3432,0.262,0.263
Completed,0.91,0,1831,1899,0.97,0.835
Completed,0.91,0,4225,4223,0.223,0.173
Completed,0.91,0,3943,1193,0.895,0.35
Completed,0.91,0,1486,2580,0.146,0.638
Completed,0.91,0,1071,1456,0.62,0.212
Completed,0.91,0,3501,4757,0.371,0.797
Completed,0.91,0,2828,2220,0.025,0.934
Completed,0.91,0,415,3919,0.774,0.085
Completed,0.9,1,2186,123,0.491,0.501
Completed,0.91,0,4573,3736,0.741,0.477
Completed,0.91,2,4404,246,0.17,0.865
Completed,0.91,0,1964,3547,0.917,0.156
Completed,0.91,0,593,2403,0.315,0.699
Completed,0.91,0,3041,3790,0.566,0.285
Completed,0.91,0,3600,1254,0.782,0.421
Completed,0.91,0,1204,4867,0.032,0.569
Completed,0.91,0,1397,1089,0.701,0.02
Completed,0.91,0,3800,2788,0.453,0.995
Completed,0.91,0,4125,2101,0.68,0.545
Completed,0.91,0,1697,4113,0.43,0.444
Completed,0.91,0,860,549,0.834,0.893
Completed,0.91,0,3320,3224,0.086,0.121
Completed,0.91,0,2697,767,0.302,0.241
Completed,0.91,0,313,3091,0.551,0.779
Completed,0.91,0,2288,1576,0.214,0.324
Completed,0.91,0,4704,4564,0.963,0.659
Completed,0.91,0,4807,850,0.601,0.968
Completed,0.91,0,2264,2862,0.354,0.01
Completed,0.91,0,181,1799,0.882,0.591
Completed,0.91,0,2750,4475,0.132,0.428
Completed,0.91,0,3422,2016,0.473,0.306
Completed,0.91,0,835,4341,0.724,0.703
Completed,0.91,2,1565,326,0.013,0.131
Completed,0.91,0,4179,3314,0.76,0.857
Completed,0.91,0,3834,1496,0.123,0.68
Completed,0.91,0,1284,4797,0.871,0.329
Completed,0.91,0,1161,1154,0.394,0.754
Completed,0.91,0,3723,2540,0.643,0.232
Completed,0.92,91,3075,3,0.984,0.095
Completed,0.91,0,481,3617,0.236,0.883
Completed,0.91,0,1920,2339,0.53,0.466
Completed,0.91,0,4526,4038,0.281,0.552
Completed,0.91,0,4627,2444,0.816,0.168
Completed,0.91,0,2055,3831,0.069,0.815
Completed,0.91,1,390,206,0.667,0.272
Completed,0.91,0,2930,3506,0.417,0.748
Completed,0.91,0,3555,971,0.196,0.612
Completed,0.91,0,939,2670,0.946,0.402
Completed,0.91,0,1462,1372,0.289,0.95
Completed,0.91,0,4046,4985,0.537,0.038
Completed,0.91,0,4346,509,0.329,0.488
Completed,0.91,0,1786,3185,0.579,0.527
Completed,0.91,0,658,2141,0.188,0.078
Completed,0.91,0,3211,4152,0.935,0.912
Completed,0.91,0,2650,1695,0.715,0.792
Completed,0.91,0,46,4683,0.466,0.192
Completed,0.91,0,2355,648,0.8,0.647
Completed,0.91,0,4951,2972,0.051,0.374
Completed,0.91,0,4987,376,0.772,0.523
Completed,0.91,0,2396,3325,0.024,0.499
Completed,0.91,0,10,1967,0.743,0.916
Completed,0.91,0,2609,4330,0.493,0.065
Completed,0.91,0,3252,1866,0.152,0.203
Completed,0.91,0,694,4503,0.901,0.788
Completed,0.91,0,1746,784,0.365,0.362
Completed,0.91,0,4310,2835,0.614,0.651
Completed,0.91,0,4005,2269,0.253,0.827
Completed,0.91,0,1426,4007,0.504,0.164
Completed,0.91,4,980,74,0.233,0.736
Completed,0.91,0,3591,3648,0.98,0.277
Completed,0.91,0,2894,1105,0.638,0.398
Completed,0.91,0,349,2531,0.391,0.625
Completed,0.91,0,2091,1544,0.845,0.043
Completed,0.91,0,4668,4806,0.095,0.939
Completed,0.91,0,4485,1361,0.557,0.341
Completed,0.91,0,1884,4936,0.308,0.676
Completed,0.91,0,522,981,0.958,0.221
Completed,0.91,0,3111,2720,0.208,0.759
Completed,0.91,2,3687,178,0.428,0.879
Completed,0.91,0,1120,3440,0.678,0.107
Completed,0.91,0,1320,2471,0.088,0.556
Completed,0.91,0,3875,3897,0.836,0.455
Completed,0.91,0,4215,679,0.046,0.005
Completed,0.91,0,1606,3042,0.796,0.98
Completed,0.91,0,800,1663,0.439,0.431
Completed,0.91,0,3381,4613,0.688,0.579
Completed,0.91,0,2791,2150,0.908,0.715
Completed,0.91,0,217,4201,0.16,0.301
Completed,0.91,0,2223,500,0.576,0.844
Completed,0.91,0,4771,3137,0.325,0.135
Completed,0.91,0,4746,1928,0.25,0.448
Completed,0.91,0,2326,4292,0.998,0.534
Completed,0.91,1,271,414,0.267,0.118
Completed,0.91,0,2659,3363,0.517,0.905
Completed,0.91,0,3357,899,0.862,0.768
Completed,0.91,0,902,2950,0.113,0.245
Completed,0.91,0,1660,1750,0.653,0.671
Completed,0.91,0,4083,4387,0.404,0.32
Completed,0.92,6,3763,111,0.73,0.144
Completed,0.91,0,1355,3685,0.479,0.868
Completed,0.91,0,1242,2232,0.754,0.296
Completed,0.91,0,3643,3970,0.007,0.694
Completed,0.91,0,2999,1428,0.352,0.572
Completed,0.91,0,556,4689,0.599,0.409
Completed,0.91,0,2006,1222,0.134,0.991
Completed,0.91,0,4441,2648,0.884,0.031
Completed,0.91,0,4536,1020,0.456,0.626
Completed,0.91,0,2144,2758,0.705,0.353
Completed,0.91,0,452,1323,0.06,0.808
Completed,0.91,0,2870,4897,0.809,0.208
Completed,0.91,0,3459,2356,0.593,0.088
Completed,0.91,0,1034,3782,0.343,0.922
Completed,0.91,0,1528,294,0.922,0.473
Completed,0.91,0,3981,3555,0.174,0.512
Completed,0.91,0,4267,1626,0.944,0.962
Completed,0.91,0,1868,4575,0.194,0.049
Completed,0.91,0,728,716,0.539,0.598
Completed,0.91,0,3139,3080,0.291,0.388
Completed,0.91,0,2565,616,0.075,0.252
Completed,0.91,0,132,3253,0.822,0.728
Completed,0.91,0,2430,2033,0.411,0.185
Completed,0.91,0,4875,4084,0.662,0.832
Completed,0.91,0,4870,2047,0.997,0.318
Completed,0.91,0,2435,4097,0.247,0.67
Completed,0.91,0,127,613,0.518,0.243
Completed,0.91,0,2570,3250,0.27,0.766
Completed,0.91,0,3134,712,0.112,0.903
Completed,0.91,0,733,3076,0.859,0.116
Completed,0.91,0,1863,1640,0.405,0.532
Completed,0.91,0,4272,4589,0.656,0.446
Completed,0.91,2,3966,310,0.478,0.03
Completed,0.91,0,1543,3571,0.727,0.988
Completed,0.91,0,1019,2350,0.008,0.407
Completed,0.91,0,3474,3776,0.756,0.571
Completed,0.91,0,2856,1317,0.599,0.692
Completed,0.91,0,467,4891,0.349,0.295
Completed,0.91,0,2130,1036,0.885,0.867
Completed,0.91,0,4550,2774,0.137,0.142
Completed,0.91,0,4446,1218,0.704,0.514
Completed,0.91,0,2001,2644,0.454,0.475
Completed,0.91,0,561,1441,0.81,0.924
Completed,0.91,0,2994,4703,0.063,0.09
Completed,0.91,0,3647,2245,0.342,0.21
Completed,0.91,0,1237,3983,0.59,0.81
Completed,0.92,5,1360,107,0.175,0.355
Completed,0.91,0,3758,3681,0.924,0.628
Completed,0.91,0,4097,1744,0.193,0.834
Completed,0.91,0,1645,4381,0.941,0.187
Completed,0.91,0,917,915,0.292,0.73
Completed,0.91,0,3343,2966,0.542,0.254
Completed,0.91,0,2674,430,0.821,0.39
Completed,0.91,0,256,3379,0.072,0.6
Completed,0.91,0,2340,1922,0.662,0.052
Completed,0.91,0,4731,4286,0.413,0.964
Completed,0.91,2,4786,494,0.021,0.648
Completed,0.91,0,2209,3130,0.771,0.36
Completed,0.91,0,231,2166,0.496,0.786
Completed,0.91,0,2776,4216,0.744,0.201
Completed,0.91,0,3396,1679,0.898,0.064
Completed,0.91,0,785,4629,0.151,0.913
Completed,0.91,0,1621,673,0.617,0.497
Completed,0.91,0,4200,3036,0.366,0.521
Completed,0.91,0,3880,2468,0.501,0.938
Completed,0.91,0,1315,3893,0.252,0.041
Completed,0.91,1,1125,192,0.982,0.623
Completed,0.91,0,3682,3453,0.234,0.396
Completed,0.91,0,3116,995,0.388,0.275
Completed,0.91,0,517,2733,0.638,0.735
Completed,0.91,0,1888,1358,0.098,0.163
Completed,0.91,0,4480,4932,0.846,0.825
Completed,0.91,0,4653,1560,0.306,0.457
Completed,0.91,0,2106,4822,0.556,0.558
Completed,0.91,0,334,1099,0.211,0.109
Completed,0.91,0,2909,2525,0.958,0.881
Completed,0.91,7,3576,68,0.676,0.761
Completed,0.91,0,994,3642,0.428,0.223
Completed,0.91,0,1412,2285,0.839,0.678
Completed,0.91,0,4020,4023,0.089,0.343
Completed,0.91,0,4305,797,0.793,0.137
Completed,0.91,0,1750,2848,0.045,0.846
Completed,0.91,0,689,1862,0.69,0.303
Completed,0.91,0,3257,4499,0.44,0.717
Completed,0.91,0,2604,1963,0.158,0.581
Completed,0.91,0,15,4326,0.907,0.433
Completed,0.91,0,2391,389,0.328,0.982
Completed,0.91,0,4992,3338,0.577,0.007
Completed,0.91,0,4956,664,0.355,0.858
Completed,0.91,0,2350,2988,0.605,0.133
Completed,0.91,0,51,1689,0.131,0.706
Completed,0.91,0,2645,4677,0.879,0.308
Completed,0.91,0,3216,2134,0.725,0.43
Completed,0.91,0,653,4146,0.476,0.593
Completed,0.91,0,1792,525,0.758,0.011
Completed,0.91,0,4342,3201,0.009,0.971
Completed,0.91,0,4061,1385,0.873,0.554
Completed,0.91,0,1447,4999,0.126,0.468
Completed,0.91,0,953,967,0.642,0.884
Completed,0.91,0,3540,2666,0.391,0.097
Completed,0.89,2,2945,202,0.237,0.234
Completed,0.91,0,375,3503,0.987,0.757
Completed,0.91,0,2069,2457,0.279,0.331
Completed,0.91,0,4612,3844,0.527,0.681
Completed,0.91,0,4521,2333,0.07,0.036
Completed,0.91,0,1925,4032,0.819,0.949
Completed,0.91,10,476,19,0.415,0.4
Completed,0.91,0,3080,3633,0.664,0.61
Completed,0.91,0,3718,1169,0.947,0.746
Completed,0.91,0,1165,2556,0.199,0.27
Completed,0.91,0,1279,1490,0.536,0.813
Completed,0.91,0,3839,4791,0.286,0.166
Completed,0.91,2,4164,323,0.58,0.372
Completed,0.91,0,1580,3311,0.332,0.645
Completed,0.91,0,821,2030,0.934,0.19
Completed,0.91,0,3437,4354,0.184,0.79
Completed,0.91,0,2736,1813,0.467,0.91
Completed,0.91,0,195,4489,0.718,0.076
Completed,0.91,0,2249,847,0.049,0.525
Completed,0.91,0,4821,2858,0.796,0.486
Completed,0.91,0,4689,1572,0.628,0.175
Completed,0.91,0,2303,4560,0.378,0.838
Completed,0.91,0,298,781,0.855,0.265
Completed,0.91,0,2712,3105,0.107,0.725
Completed,0.91,0,3305,562,0.265,0.604
Completed,0.91,0,875,3238,0.514,0.377
Completed,0.91,0,1682,2097,0.22,0.959
Completed,0.91,0,4139,4109,0.969,0.063
Completed,0.91,0,3795,1082,0.149,0.479
Completed,0.91,0,1402,2782,0.896,0.503
Completed,0.91,0,1199,1270,0.368,0.086
Completed,0.91,0,3606,4883,0.619,0.937
Completed,0.91,0,3036,2419,0.777,0.799
Completed,0.91,0,598,3806,0.027,0.214
Completed,0.91,2,1959,240,0.738,0.64
Completed,0.91,0,4409,3541,0.49,0.352
Completed,0.91,0,4588,136,0.92,0.993
Completed,0.91,0,2172,3749,0.171,0.018
Completed,0.91,0,429,2216,0.563,0.567
Completed,0.91,0,2813,3916,0.314,0.419
Completed,0.91,0,3516,1453,0.036,0.284
Completed,0.91,0,1056,4754,0.783,0.696
Completed,0.91,0,1501,1207,0.45,0.154
Completed,0.91,0,3929,2593,0.7,0.863
