Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.84,106,1382,3780,0.015,0.381
Completed,0.92,233,1029,780,0.952,0.716
Completed,0.87,138,3490,2719,0.347,0.222
Completed,0.92,326,2661,456,0.223,0.055
Completed,0.86,115,3579,3477,0.146,0.001
Completed,0.88,144,3209,2230,0.146,0.001
Completed,0.92,432,4600,613,0.306,0.001
Completed,0.44,40,1,1638,0.76,0.963
Completed,0.85,101,4766,4760,0.193,0.001
Completed,0.72,67,5000,4073,0.495,0.999
Completed,0.76,52,561,4628,0.216,0.001
Completed,0.92,596,4795,617,0.755,0.592
Completed,0.4,35,1,3307,0.174,0.001
Completed,0.56,34,2031,5000,0.202,0.001
Completed,0.55,33,1,600,0.263,0.001
Completed,0.26,36,1,1722,0.999,0.999
Completed,0.89,4330,4152,121,0.867,0.359
Completed,0.86,125,1614,3340,0.449,0.829
Completed,0.86,107,636,1496,0.522,0.01
Completed,0.83,81,3253,4381,0.162,0.554
Completed,0.88,117,3049,2425,0.287,0.722
Completed,0.78,57,510,4082,0.896,0.216
Completed,0.67,38,2033,1067,0.075,0.879
Completed,0.88,165,4649,3014,0.742,0.433
Completed,0.91,205,4799,1708,0.047,0.126
Completed,0.67,46,2259,4917,0.654,0.687
Completed,0.7,51,278,3663,0.579,0.508
Completed,0.82,84,2426,1835,0.388,0.329
Completed,0.84,123,4886,4712,0.81,0.859
Completed,0.92,327,4406,1174,0.477,0.582
Completed,0.62,40,2022,2829,0.839,0.106
Completed,0.89,186,3764,2137,0.686,0.931
Completed,0.83,75,1357,5000,0.001,0.171
Completed,0.85,86,3822,5000,0.001,0.764
Completed,0.87,110,2788,2200,0.001,0.46
Completed,0.82,77,1356,5000,0.999,0.14
Completed,0.8,79,302,1906,0.437,0.44
Completed,0.89,3360,4522,71,0.588,0.951
Completed,0.8,53,2572,4352,0.001,0.724
Completed,0.84,97,1512,4005,0.999,0.642
Completed,0.69,49,547,4068,0.447,0.999
Completed,0.87,118,1411,3104,0.999,0.001
Completed,0.9,136,1464,2553,0.999,0.001
Completed,0.71,66,3540,2648,0.999,0.999
Completed,0.66,50,556,3102,0.999,0.999
Completed,0.76,49,406,4385,0.001,0.001
Completed,0.81,66,457,2495,0.999,0.001
Completed,0.85,75,385,1415,0.999,0.001
Completed,0.89,185,3816,2586,0.999,0.001
Completed,0.9,167,4575,2527,0.999,0.001
Completed,0.88,80,349,1036,0.31,0.001
Completed,0.86,119,4505,4253,0.999,0.001
Completed,0.76,52,460,4316,0.999,0.001
Completed,0.86,141,4808,3741,0.999,0.001
Completed,0.89,119,3915,3215,0.001,0.001
Completed,0.84,83,1438,4323,0.999,0.001
Completed,0.88,143,4314,3580,0.999,0.001
Completed,0.72,80,3967,1047,0.999,0.999
Completed,0.89,130,4894,3235,0.999,0.001
Completed,0.74,1008,906,3188,0.001,0.999
Completed,0.8,68,956,4323,0.999,0.001
Completed,0.76,66,5000,3738,0.999,0.999
Completed,0.78,1092,4657,3211,0.001,0.999
Completed,0.85,122,944,2936,0.999,0.001
Completed,0.65,39,337,4318,0.999,0.999
Completed,0.86,125,4961,3701,0.001,0.001
Completed,0.87,120,1499,3208,0.001,0.001
Completed,0.76,1191,4940,3638,0.001,0.999
Completed,0.92,304,5000,1045,0.999,0.001
Completed,0.86,100,3927,4333,0.999,0.001
Completed,0.88,575,3933,2876,0.001,0.999
Completed,0.74,82,1641,1084,0.999,0.999
Completed,0.69,49,220,4306,0.999,0.001
Completed,0.78,66,798,3850,0.001,0.001
Completed,0.81,66,937,4595,0.001,0.571
Completed,0.73,57,252,3854,0.001,0.001
Completed,0.79,69,2596,3137,0.519,0.001
Completed,0.77,60,392,3041,0.561,0.001
Completed,0.89,144,824,1297,0.136,0.494
