Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.61,138,4951,4613,1714,0.191
Completed,0.58,31,4767,1688,4816,0.203
Completed,0.58,33,1232,927,1416,0.896
Completed,0.58,34,1936,4801,4939,0.364
Completed,0.6,200,3938,1965,662,0.589
Completed,0.61,324,4939,3977,1886,0.728
Completed,0.58,33,1687,1774,3702,0.444
Completed,0.58,101,201,2509,180,0.785
Completed,0.58,34,3140,336,4145,0.01
Completed,0.61,119,3533,4544,397,0.388
Completed,0.58,38,595,2379,3932,0.656
Completed,0.62,360,1298,3194,2461,0.066
Completed,0.58,34,4551,980,3144,0.856
Completed,0.58,33,4331,3070,4408,0.967
Completed,0.58,33,2329,244,1185,0.235
Completed,0.63,217,844,4195,2657,0.518
Completed,0.69,1794,4826,3935,3783,0.739
Completed,0.58,31,267,498,4942,0.87
Completed,0.61,182,3152,2997,1457,0.288
Completed,0.58,43,1796,1434,2310,0.166
Completed,0.64,149,3073,700,68,0.654
Completed,0.62,192,701,1470,587,0.052
Completed,0.58,33,2500,2842,3334,0.71
Completed,0.58,34,4169,17,2338,0.494
Completed,0.59,174,4380,3436,1074,0.324
Completed,0.58,33,1460,1222,4609,0.598
Completed,0.59,134,443,4458,1863,0.132
Completed,0.58,32,3675,2293,2547,0.914
Completed,0.61,201,3283,2751,1292,0.543
Completed,0.58,31,50,578,3109,0.253
Completed,0.58,110,1848,3891,851,0.969
Completed,0.58,33,2533,1399,1661,0.309
Completed,0.59,174,2977,4704,2389,0.921
Completed,0.58,41,995,1907,3268,0.155
Completed,0.58,93,2167,3656,389,0.622
Completed,0.58,33,3838,830,4042,0.332
Completed,0.58,31,4712,2607,2808,0.47
Completed,0.58,31,1792,395,1616,0.702
Completed,0.58,31,150,4035,4495,0.044
Completed,0.61,220,3382,1871,1155,0.752
Completed,0.58,35,3614,3252,4910,0.631
Completed,0.64,319,382,1078,750,0.415
Completed,0.6,183,1555,4641,2867,0.823
Completed,0.62,257,4476,2437,1559,0.099
Completed,0.58,140,4070,4137,285,0.211
Completed,0.58,30,2400,1302,4133,0.993
Completed,0.62,244,758,2972,2016,0.276
Completed,0.58,33,2740,186,3637,0.55
Completed,0.61,117,2590,2901,865,0.018
Completed,0.58,40,899,115,4712,0.809
Completed,0.59,118,2229,4363,1360,0.467
Completed,0.56,37,4230,1529,2981,0.735
Completed,0.69,2555,4646,4400,4254,0.566
Completed,0.6,140,1394,2196,94,0.357
Completed,0.58,31,533,3337,3446,0.888
Completed,0.58,46,3473,1163,2138,0.156
Completed,0.65,608,3241,3794,3381,0.285
Completed,0.58,30,301,1630,2189,0.51
Completed,0.58,48,1631,2692,3842,0.228
Completed,0.58,40,4882,480,503,0.944
Completed,0.59,164,3999,3586,1737,0.864
Completed,0.58,32,1997,759,2616,0.089
Completed,0.58,102,1136,4931,963,0.68
Completed,0.58,41,2826,2133,4615,0.397
Completed,0.59,123,2857,4018,1222,0.507
Completed,0.58,31,1108,1815,4445,0.291
Completed,0.6,246,1966,2624,1703,0.946
Completed,0.58,32,4027,450,2699,0.223
Completed,0.58,42,4910,3595,3975,0.085
Completed,0.67,315,1601,808,440,0.867
Completed,0.58,196,273,4765,3182,0.402
Completed,0.58,33,3272,1928,2498,0.676
Completed,0.58,31,3503,3028,3743,0.797
Completed,0.58,35,505,203,1927,0.031
Completed,0.58,33,1364,4080,4181,0.746
Completed,0.62,130,4674,1284,216,0.456
Completed,0.59,140,4258,4663,1452,0.344
Completed,0.58,31,2199,2498,2956,0.576
Completed,0.6,119,871,3230,702,0.17
Completed,0.58,41,2620,1016,4980,0.877
Completed,0.62,230,2790,3321,2051,0.411
Completed,0.58,35,711,1107,3555,0.636
Completed,0.58,102,2349,4417,27,0.102
Completed,0.58,37,4117,2251,4304,0.818
Completed,0.62,263,4523,4303,3068,0.988
Completed,0.66,513,1504,1507,1251,0.213
Completed,0.58,37,335,2962,4779,0.556
Completed,0.58,37,3664,137,814,0.273
Completed,0.65,896,3432,4987,4567,0.144
Completed,0.58,145,102,2151,1032,0.935
Completed,0.63,287,1742,3529,2509,0.342
Completed,0.58,40,4760,742,1826,0.609
Completed,0.61,107,3886,2714,550,0.69
Completed,0.58,31,2117,541,3773,0.48
Completed,0.61,194,947,3771,2296,0.764
Completed,0.58,34,3027,1569,3292,0.033
Completed,0.58,35,3123,2566,4097,0.265
Completed,0.71,549,1042,353,249,0.532
Completed,0.6,689,2057,3920,3596,0.19
Completed,0.58,32,3824,1757,1975,0.98
Completed,0.59,104,4815,4823,709,0.842
Completed,0.58,31,1799,2026,4869,0.109
Completed,0.58,154,2,3693,1523,0.644
Completed,0.58,33,3333,866,2831,0.435
Completed,0.61,129,3726,4178,1574,0.056
Completed,0.58,34,395,1343,2765,0.773
Completed,0.59,132,1410,3086,1118,0.488
Completed,0.58,32,4427,300,4458,0.713
Completed,0.58,32,4217,3133,3231,0.602
Completed,0.58,31,2450,958,2352,0.318
Completed,0.64,506,654,4605,4000,0.911
Completed,0.58,106,2735,2401,347,0.136
Completed,0.61,173,2563,4515,2653,0.669
Completed,0.63,320,815,2311,1774,0.378
Completed,0.58,32,2298,3379,4657,0.843
Completed,0.68,616,4359,1204,1005,0.077
Completed,0.62,341,4579,2865,2231,0.247
Completed,0.58,31,1268,78,3423,0.955
Completed,0.6,99,567,4244,540,0.298
Completed,0.58,32,3564,1409,3880,0.53
Completed,0.59,98,3171,3471,135,0.901
Completed,0.58,44,174,644,4295,0.177
Completed,0.58,153,1656,4889,2174,0.584
Completed,0.58,33,4967,2092,3482,0.368
Completed,0.58,32,3966,3830,4748,0.447
Completed,0.62,205,1905,1667,901,0.722
Completed,0.58,33,1204,2812,3022,0.008
Completed,0.58,32,2951,599,1401,0.79
Completed,0.58,33,2942,4612,4786,0.067
Completed,0.6,135,1174,2447,782,0.853
Completed,0.67,998,1876,3281,3060,0.384
Completed,0.58,33,3956,1068,1283,0.663
Completed,0.6,118,4996,3001,19,0.52
Completed,0.58,35,1667,176,4335,0.308
Completed,0.58,149,182,4107,2058,0.96
Completed,0.58,32,3201,1311,3523,0.241
Completed,0.61,197,3594,3647,2269,0.362
Completed,0.58,35,576,859,3304,0.589
Completed,0.61,119,1278,4713,578,0.187
Completed,0.58,33,4608,1877,3761,0.891
Completed,0.62,216,4349,4045,2537,0.783
Completed,0.74,6150,2270,1842,1814,0.013
Completed,0.58,32,786,2597,4541,0.732
Completed,0.58,33,2554,424,1045,0.438
