Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.55,0,2337,551,1649,0.0
Completed,0.55,0,628,2392,717,0.189
Completed,0.55,0,2680,3805,2787,0.543
Completed,0.56,1,4392,520,1514,0.306
Completed,0.55,0,1446,3167,4522,0.957
Completed,0.57,5,1364,379,296,0.108
Completed,0.55,0,4627,3357,3226,0.627
Completed,0.55,0,2598,2257,2011,0.398
Completed,0.55,5,1774,1704,1672,0.611
Completed,0.55,0,2056,3348,236,0.922
Completed,0.55,0,4540,2197,768,0.563
Completed,0.55,0,23,4575,4275,0.324
Completed,0.55,0,1384,3963,3319,0.513
Completed,0.55,0,4760,3705,3988,0.784
Completed,0.55,0,913,2729,2484,0.236
Completed,0.55,0,2239,2007,4522,0.706
Completed,0.55,1,4775,1865,3478,0.628
Completed,0.55,0,4764,4678,4993,0.156
Completed,0.55,1,3008,1091,1178,0.884
Completed,0.55,0,1000,2801,2935,0.351
Completed,0.56,0,501,292,4369,0.417
Completed,0.55,0,3449,3562,2299,0.818
Completed,0.55,0,4247,2150,3564,0.082
Completed,0.55,0,863,3969,4004,0.868
Completed,0.55,0,130,1460,2600,0.927
Completed,0.55,0,3429,4728,921,0.339
Completed,0.56,1,3876,828,4626,0.577
Completed,0.55,0,2174,2870,1383,0.159
Completed,0.55,0,2431,2031,4769,0.255
Completed,0.55,1,4295,1230,467,0.81
Completed,0.55,0,1774,4490,1186,0.701
Completed,0.56,1,521,449,1,0.0
Completed,0.56,0,1353,387,1920,0.999
Completed,0.55,0,1335,231,2447,0.0
Completed,0.55,0,1353,192,2829,0.999
Completed,0.56,1,3600,525,2338,0.999
Completed,0.56,0,1315,317,2016,0.0
Completed,0.56,1,3625,565,4110,0.999
Completed,0.56,1,3594,619,1946,0.0
Completed,0.55,0,1376,91,2210,0.999
Completed,0.55,0,344,54,1702,0.999
Completed,0.55,0,1403,124,1083,0.0
Completed,0.55,0,3428,2619,2234,0.419
Completed,0.55,0,1389,227,3865,0.999
Completed,0.55,0,1,2349,2504,0.999
Completed,0.56,0,1329,486,2457,0.0
Completed,0.56,0,1404,501,3921,0.0
Completed,0.55,0,253,2976,2010,0.0
Completed,0.55,0,1338,26,4081,0.0
Completed,0.55,0,253,2977,3717,0.033
Completed,0.55,0,3430,2747,1069,0.999
Completed,0.55,0,5000,2707,2211,0.999
Completed,0.55,0,2564,3108,1903,0.0
Completed,0.56,0,1404,261,1742,0.999
Completed,0.55,0,3057,3489,3652,0.0
Completed,0.55,0,1396,51,2702,0.0
Completed,0.55,0,1,2023,2796,0.999
Completed,0.55,0,1856,3423,1724,0.999
Completed,0.56,1,5000,552,3845,0.168
Completed,0.56,1,5000,572,3040,0.474
Completed,0.56,1,5000,586,871,0.612
Completed,0.56,1,3436,483,3918,0.266
Completed,0.56,1,5000,570,745,0.999
Completed,0.56,1,5000,525,2111,0.277
Completed,0.56,1,1852,484,1011,0.207
Completed,0.56,1,5000,658,4138,0.275
Completed,0.56,2,5000,510,178,0.694
Completed,0.56,1,5000,600,3468,0.347
Completed,0.56,1,4810,557,2928,0.768
Completed,0.57,4,5000,584,470,0.476
Completed,0.57,2,5000,642,357,0.894
Completed,0.56,3,5000,591,1,0.396
Completed,0.56,1,4911,473,3782,0.41
Completed,0.56,1,5000,590,4867,0.999
Completed,0.56,2,4027,563,245,0.999
Completed,0.56,1,5000,520,4445,0.279
Completed,0.56,1,5000,587,2569,0.258
Completed,0.56,1,5000,532,3935,0.0
Completed,0.56,1,5000,533,5000,0.885
Completed,0.55,0,61,424,1004,0.2
Completed,0.56,1,1856,533,686,0.456
Completed,0.56,1,5000,555,3770,0.279
Completed,0.55,0,2982,498,3421,0.388
Completed,0.56,1,4962,719,3562,0.999
Completed,0.56,1,3636,570,1,0.795
Completed,0.56,1,4898,578,1,0.999
Completed,0.56,1,4423,565,605,0.853
Completed,0.56,1,3057,547,4296,0.234
Completed,0.55,0,1,364,2994,0.0
Completed,0.55,0,1,412,2563,0.999
Completed,0.56,1,5000,562,2410,0.999
Completed,0.55,0,5000,5000,1,0.0
Completed,0.55,0,1,5000,5000,0.999
Completed,0.55,0,5000,4052,5000,0.999
Completed,0.55,0,5000,3923,1,0.999
Completed,0.55,0,1,5000,1,0.0
Completed,0.55,0,5000,5000,5000,0.999
Completed,0.55,0,5000,3676,1,0.0
Completed,0.55,0,1,4236,5000,0.0
Completed,0.55,0,2660,5000,5000,0.999
Completed,0.56,0,5000,366,2554,0.999
Completed,0.55,0,1,4700,1,0.999
Completed,0.55,0,5000,5000,1,0.999
Completed,0.55,0,1,525,5000,0.999
Completed,0.55,0,5000,5000,2749,0.0
Completed,0.55,0,5000,3816,1829,0.0
Completed,0.55,0,1,4067,1,0.0
Completed,0.55,0,1,5000,4667,0.0
Completed,0.55,0,5000,3198,5000,0.0
Completed,0.55,0,1,537,99,0.999
Completed,0.55,0,1,4509,1,0.0
Completed,0.55,0,1,4463,2661,0.999
Completed,0.55,0,1,2123,5000,0.999
Completed,0.55,0,1,3370,5000,0.0
Completed,0.55,0,1,189,2694,0.0
Completed,0.55,0,1,4473,3068,0.0
Completed,0.55,0,5000,4236,1321,0.0
Completed,0.56,1,5000,644,1953,0.999
Completed,0.56,1,1910,430,3114,0.999
Completed,0.56,0,5000,259,3092,0.999
Completed,0.56,0,1108,410,2974,0.999
Completed,0.56,1,5000,547,1821,0.0
Completed,0.55,0,2153,461,3484,0.0
Completed,0.55,0,303,449,3068,0.0
Completed,0.56,0,2766,369,5000,0.999
Completed,0.56,1,5000,464,3044,0.999
Completed,0.56,0,3029,441,3086,0.999
Completed,0.56,1,5000,558,5000,0.0
Completed,0.55,0,5000,3436,5000,0.999
Completed,0.55,0,1,2573,5000,0.0
Completed,0.55,0,5000,2549,3882,0.0
Completed,0.55,0,1,262,2680,0.999
Completed,0.55,0,5000,99,3005,0.999
Completed,0.55,0,1,3624,1,0.999
Completed,0.56,1,5000,610,2914,0.0
Completed,0.55,0,5000,2658,5000,0.999
Completed,0.56,0,420,420,2066,0.999
Completed,0.56,0,5000,513,1589,0.999
Completed,0.56,0,5000,366,3374,0.0
Completed,0.55,0,920,448,3231,0.0
Completed,0.55,0,1,295,1480,0.999
Completed,0.55,0,5000,2060,4750,0.999
Completed,0.55,0,5000,3052,1,0.999
Completed,0.56,0,2437,415,3030,0.999
Completed,0.55,0,1,3467,1,0.0
Completed,0.55,0,5000,3899,5000,0.0
Completed,0.56,1,3447,482,2986,0.999
Completed,0.55,0,323,490,788,0.721
Completed,0.56,1,1766,520,820,0.751
Completed,0.55,0,1657,213,3320,0.273
Completed,0.55,0,1,344,3539,0.212
Completed,0.56,1,5000,565,2369,0.0
Completed,0.56,1,5000,311,1664,0.999
Completed,0.56,1,1874,463,4568,0.999
Completed,0.55,0,142,367,1505,0.0
Completed,0.56,1,1961,398,3268,0.305
Completed,0.55,0,1,3080,617,0.84
Completed,0.56,0,435,474,2958,0.454
Completed,0.55,0,1,721,814,0.7
Completed,0.55,0,1,398,652,0.796
Completed,0.56,1,5000,632,4465,0.999
Completed,0.55,0,16,468,4522,0.999
Completed,0.56,0,2750,541,836,0.77
Completed,0.55,0,1,2449,1040,0.0
Completed,0.55,0,5000,5000,3344,0.299
Completed,0.55,0,200,2631,4434,0.528
Completed,0.55,0,5000,145,1637,0.999
Completed,0.56,1,1073,555,844,0.745
Completed,0.55,0,1,298,868,0.707
Completed,0.55,0,5000,3581,456,0.033
Completed,0.56,1,5000,378,1712,0.748
Completed,0.55,1,3167,1785,806,0.716
Completed,0.55,0,405,2120,835,0.676
Completed,0.55,0,1,3913,3116,0.999
Completed,0.56,1,5000,564,1022,0.999
Completed,0.55,0,5000,2379,874,0.555
Completed,0.55,0,1,3577,4525,0.322
Completed,0.55,0,571,225,2730,0.441
Completed,0.55,0,564,206,3576,0.0
Completed,0.55,0,1748,4761,4745,0.576
Completed,0.55,0,1378,4759,273,0.529
Completed,0.55,0,1458,4282,3464,0.834
Completed,0.55,0,1686,4840,1695,0.297
Completed,0.55,0,785,5000,349,0.313
Completed,0.55,0,995,5000,4590,0.711
Completed,0.55,0,1158,4456,1548,0.562
Completed,0.55,0,662,3196,809,0.28
Completed,0.55,0,676,4666,442,0.0
Completed,0.55,0,1497,4166,1404,0.798
Completed,0.55,0,2146,5000,2488,0.464
Completed,0.55,0,2911,4391,1393,0.737
Completed,0.56,1,1307,576,1162,0.0
Completed,0.55,0,1417,3874,4924,0.526
Completed,0.56,0,580,272,2060,0.603
Completed,0.55,0,1163,4700,3604,0.719
Completed,0.55,0,1440,4256,1054,0.999
Completed,0.55,0,1571,3863,870,0.999
Completed,0.55,0,1613,4217,4635,0.844
Completed,0.55,0,1480,5000,1160,0.999
Completed,0.55,0,2248,4871,4474,0.977
Completed,0.55,0,616,4775,3765,0.435
Completed,0.55,0,1351,4093,2117,0.999
Completed,0.55,0,1713,4864,4167,0.092
Completed,0.55,0,1621,2576,3233,0.0
Completed,0.55,0,2200,389,2255,0.999
Completed,0.56,0,1571,396,2983,0.0
Completed,0.55,0,1,2886,5000,0.999
Completed,0.55,0,1,320,1,0.999
Completed,0.55,0,5000,3674,1518,0.999
Completed,0.56,0,670,356,2739,0.0
Completed,0.56,0,3144,427,2300,0.999
Completed,0.56,0,2155,327,2338,0.999
Completed,0.55,0,5000,4570,1477,0.999
Completed,0.56,0,1179,445,5000,0.999
Completed,0.55,0,5000,4581,3475,0.999
Completed,0.55,0,2897,513,5000,0.999
Completed,0.55,0,2836,477,3138,0.0
Completed,0.55,0,2967,3159,1,0.999
Completed,0.55,0,1,365,2385,0.0
Completed,0.56,0,1284,342,2868,0.0
Completed,0.55,0,5000,3068,2357,0.999
Completed,0.55,0,1,1858,4401,0.0
Completed,0.56,0,1789,448,5000,0.999
Completed,0.55,0,1,2665,1,0.999
