Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.91,0,2960,1433,3134,0.569
Completed,0.91,0,158,2549,2270,0.729
Completed,0.91,0,5000,5000,1,0.999
Completed,0.91,0,1,5000,1,0.999
Completed,0.91,0,2974,4616,1917,0.12
Completed,0.91,0,3700,1961,922,0.226
Completed,0.91,0,1097,3943,3403,0.955
Completed,0.91,0,1787,1122,1323,0.304
Completed,0.91,0,4407,2392,4277,0.258
Completed,0.91,0,4192,1441,1398,0.508
Completed,0.91,0,2165,3438,2602,0.337
Completed,0.91,0,4219,4196,4857,0.278
Completed,0.91,0,1581,4543,1882,0.714
Completed,0.91,0,1229,240,1585,0.335
Completed,0.91,0,2631,4805,2882,0.505
Completed,0.91,0,292,1167,3007,0.848
Completed,0.91,0,4231,759,2073,0.936
Completed,0.91,0,1971,4215,1795,0.55
Completed,0.91,0,151,772,3563,0.21
Completed,0.91,0,2558,2711,1084,0.971
Completed,0.91,0,4340,2908,3802,0.503
Completed,0.91,0,3971,1705,1673,0.912
Completed,0.91,0,1524,4902,4156,0.144
Completed,0.91,0,886,202,1118,0.616
Completed,0.91,0,3283,3282,3597,0.315
Completed,0.91,0,2760,934,4789,0.468
Completed,0.91,0,2234,74,2776,0.701
Completed,0.91,0,3854,203,4340,0.809
Completed,0.91,0,1025,1300,3221,0.547
Completed,0.91,0,4885,4015,2587,0.919
Completed,0.91,0,1767,3250,2924,0.433
Completed,0.91,0,3494,3778,4639,0.714
Completed,0.91,0,5000,4265,1,0.0
Completed,0.91,0,1,4222,5000,0.0
Completed,0.91,0,5000,1319,5000,0.681
Completed,0.91,0,1136,5000,1,0.999
Completed,0.91,0,5000,4235,5000,0.999
Completed,0.91,0,1,2626,5000,0.0
Completed,0.91,0,3899,4599,5000,0.999
Completed,0.91,0,3180,4286,1,0.999
Completed,0.91,0,3921,447,1,0.588
Completed,0.91,0,2941,5000,5000,0.681
Completed,0.91,0,3829,5000,1,0.999
Completed,0.91,0,5000,877,1,0.399
Completed,0.91,0,2663,3982,5000,0.999
Completed,0.91,0,4694,1355,274,0.584
Completed,0.91,0,1062,4278,1,0.0
Completed,0.91,0,1913,3774,5000,0.0
Completed,0.91,0,4683,3402,1,0.999
Completed,0.91,0,1249,2321,1,0.0
Completed,0.91,0,1,2903,1,0.0
Completed,0.91,0,966,1646,5000,0.0
Completed,0.91,0,5000,4178,5000,0.0
Completed,0.91,0,5000,509,733,0.489
Completed,0.91,0,595,5000,3343,0.728
Completed,0.91,0,5000,1312,2201,0.0
Completed,0.91,0,5000,723,5000,0.0
Completed,0.91,0,1,5000,1305,0.999
Completed,0.91,0,574,2142,5000,0.695
Completed,0.91,0,5000,4906,3263,0.733
Completed,0.91,0,5000,4113,3396,0.0
Completed,0.91,0,1,5000,5000,0.363
Completed,0.91,0,1,3991,1515,0.999
Completed,0.91,0,1,2389,2549,0.0
Completed,0.91,0,5000,2132,2920,0.0
Completed,0.91,0,1,688,1456,0.0
Completed,0.91,0,5000,4230,1,0.691
Completed,0.91,0,1,3270,247,0.719
Completed,0.91,0,5000,2801,1783,0.0
Completed,0.91,0,546,490,1067,0.475
Completed,0.91,0,171,1491,3302,0.0
Completed,0.91,0,1216,4116,1,0.495
Completed,0.91,0,303,1767,5000,0.999
Completed,0.91,0,5000,3492,3114,0.0
Completed,0.91,0,454,4561,4859,0.757
Completed,0.91,0,577,19,4685,0.843
Completed,0.91,0,4816,144,3700,0.817
Completed,0.91,0,1765,10,863,0.795
Completed,0.91,0,4942,62,668,0.113
Completed,0.91,0,4724,4876,3996,0.881
Completed,0.91,0,768,4543,132,0.868
Completed,0.91,0,4651,4050,4907,0.227
Completed,0.91,0,314,4978,723,0.238
Completed,0.91,0,238,115,503,0.802
Completed,0.91,0,315,305,4873,0.111
Completed,0.91,0,271,3783,23,0.836
Completed,0.91,0,743,1039,70,0.806
Completed,0.91,0,4655,4291,4747,0.099
Completed,0.91,0,4542,261,1415,0.793
Completed,0.91,0,1,4844,5000,0.512
Completed,0.91,0,219,2843,184,0.131
Completed,0.91,0,234,1716,102,0.109
Completed,0.91,0,4545,5000,4626,0.531
Completed,0.91,0,724,4751,4831,0.893
Completed,0.92,76,4287,94,93,0.293
Completed,0.91,0,64,221,938,0.2
Completed,0.91,0,492,4384,4605,0.264
Completed,0.91,0,593,58,4976,0.315
Completed,0.91,0,4852,265,4761,0.11
Completed,0.91,0,4894,4435,112,0.237
Completed,0.91,0,4663,1618,4870,0.132
