Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.07,703,1240,2069,1049,0.395
Completed,0.18,2001,5000,1660,1482,0.872
Completed,0.19,2201,5000,1856,1668,0.888
Completed,0.05,1162,711,4554,3550,0.214
Completed,0.13,1274,4983,1212,812,0.596
Completed,0.06,650,4202,4205,2183,0.749
Completed,0.06,91,241,7,4765,0.069
Completed,0.05,679,2327,3249,310,0.977
Completed,0.05,660,2899,4393,884,0.37
Completed,0.06,99,499,17,3548,0.835
Completed,0.06,98,4781,1299,4980,0.74
Completed,0.06,104,4017,2507,2534,0.614
Completed,0.06,103,643,3809,3963,0.963
Completed,0.05,954,2900,3772,2583,0.966
Completed,0.06,105,1659,432,2435,0.703
Completed,0.06,95,4384,1017,3034,0.11
Completed,0.06,93,257,2318,4066,0.467
Completed,0.06,94,1544,431,478,0.351
Completed,0.06,91,1021,3439,4460,0.696
Completed,0.06,93,4673,2014,2346,0.111
Completed,0.07,708,3888,2781,1215,0.231
Completed,0.06,101,556,1744,3172,0.583
Completed,0.05,574,2017,4986,1842,0.494
Completed,0.06,93,3368,2213,2884,0.328
Completed,0.06,566,3584,4722,390,0.03
Completed,0.06,91,2111,755,2808,0.662
Completed,0.06,108,3380,680,1611,0.492
Completed,0.06,95,3594,3738,4225,0.059
Completed,0.05,697,1772,4961,2874,0.393
Completed,0.06,730,4653,4373,2282,0.799
Completed,0.06,110,1950,1247,4617,0.267
Completed,0.1,1721,4454,3731,3319,0.794
Completed,0.04,535,1,5000,3061,0.999
Completed,0.22,3668,2677,1484,1401,0.999
Completed,0.16,2641,2956,1624,1481,0.0
Completed,0.06,97,1,3247,4834,0.999
Completed,0.19,3614,2493,1451,1367,0.0
Completed,0.15,1584,1755,1547,1264,0.0
Completed,0.09,2283,1351,5000,4605,0.376
Completed,0.07,719,4920,4916,2912,0.444
Completed,0.26,5186,2753,1501,1441,0.34
Completed,0.08,2576,3106,5000,4633,0.0
Completed,0.06,715,3815,5000,2962,0.999
Completed,0.16,1773,4122,1831,1596,0.0
Completed,0.08,1022,5000,5000,3973,0.857
Completed,0.05,338,1,5000,1240,0.0
Completed,0.06,544,5000,5000,1829,0.0
Completed,0.05,507,1,5000,2900,0.999
Completed,0.05,675,3328,5000,1516,0.999
Completed,0.05,752,2071,5000,1303,0.999
Completed,0.05,662,2552,5000,1355,0.999
Completed,0.06,676,1730,5000,1255,0.999
Completed,0.06,554,5000,5000,614,0.999
Completed,0.06,477,5000,5000,1489,0.999
Completed,0.05,293,1,5000,1,0.999
Completed,0.05,656,2676,5000,1407,0.999
Completed,0.08,1502,5000,5000,4335,0.999
Completed,0.06,556,5000,5000,1339,0.999
Completed,0.05,313,1,5000,128,0.0
Completed,0.05,814,3099,3479,1505,0.999
Completed,0.06,592,3692,5000,1585,0.999
Completed,0.07,919,5000,5000,3614,0.999
Completed,0.05,713,2898,5000,1595,0.0
Completed,0.05,1251,1,5000,4289,0.747
Completed,0.06,99,1,228,4029,0.036
Completed,0.09,1447,2747,1618,1345,0.999
Completed,0.06,91,3026,1225,1394,0.842
Completed,0.06,92,1,1211,1390,0.999
Completed,0.06,96,930,1676,1908,0.882
Completed,0.08,1235,2757,1645,1279,0.999
Completed,0.06,103,1,1210,1523,0.999
Completed,0.09,1252,3146,1649,1205,0.999
Completed,0.06,93,5000,1225,1368,0.587
Completed,0.11,1007,4296,1726,1267,0.999
Completed,0.13,2236,2754,1588,1410,0.999
Completed,0.06,101,5000,1245,1325,0.999
Completed,0.06,102,969,1204,1386,0.189
Completed,0.1,948,4794,1913,1380,0.999
Completed,0.06,102,5000,1121,1362,0.177
Completed,0.06,94,4548,1246,1485,0.972
Completed,0.06,95,1261,1728,1927,0.282
Completed,0.05,1082,2430,1708,1166,0.099
Completed,0.06,93,2293,1580,1713,0.999
Completed,0.06,91,1529,1202,1649,0.769
Completed,0.08,1333,2861,1626,1309,0.999
Completed,0.13,707,4993,1230,594,0.0
Completed,0.1,987,4852,2017,1421,0.999
Completed,0.06,102,1,1026,1412,0.646
Completed,0.06,102,2017,1624,1908,0.054
Completed,0.06,98,1427,1574,1842,0.999
Completed,0.09,898,4842,2125,1461,0.999
Completed,0.06,92,2003,1167,1394,0.999
Completed,0.06,103,3117,1014,1317,0.975
Completed,0.06,112,2843,1219,1427,0.248
Completed,0.1,883,4569,1983,1353,0.277
Completed,0.09,665,4556,1513,485,0.422
Completed,0.06,98,4535,1509,2347,0.566
Completed,0.06,104,4600,1514,4080,0.265
Completed,0.1,524,4550,1520,1,0.0
Completed,0.06,99,4518,1519,3119,0.15
Completed,0.06,100,4440,1507,2770,0.999
Completed,0.06,92,5000,1519,2622,0.039
Completed,0.1,735,4625,1508,753,0.999
Completed,0.06,92,4911,1525,4384,0.724
Completed,0.05,105,4014,1520,2927,0.999
Completed,0.06,96,5000,1538,3483,0.288
Completed,0.1,593,5000,1514,272,0.745
Completed,0.06,100,4390,1496,3682,0.421
Completed,0.06,118,4575,1506,4846,0.895
Completed,0.11,528,4058,1498,1,0.999
Completed,0.06,98,4021,1509,4705,0.183
Completed,0.06,94,4154,1509,2205,0.0
Completed,0.06,112,5000,1542,3918,0.0
Completed,0.06,104,3776,1516,4500,0.0
Completed,0.06,98,5000,1513,3225,0.835
Completed,0.06,96,4667,1515,5000,0.0
Completed,0.06,97,5000,1507,2842,0.0
Completed,0.06,92,4230,1496,4549,0.999
Completed,0.06,90,4956,1483,3798,0.999
Completed,0.09,818,4164,1516,674,0.061
Completed,0.06,102,4321,1474,2487,0.0
Completed,0.06,96,5000,1605,3435,0.0
Completed,0.06,100,5000,1585,2768,0.0
Completed,0.09,579,4257,1497,377,0.999
Completed,0.06,99,5000,1616,2582,0.0
Completed,0.19,2004,4286,1600,1420,0.999
Completed,0.06,94,5000,927,1733,0.141
Completed,0.06,97,5000,1022,1072,0.0
Completed,0.15,1544,4367,1619,1321,0.999
Completed,0.05,120,4155,3348,4631,0.836
Completed,0.06,99,1,1645,4516,0.999
Completed,0.06,98,4161,3195,4586,0.0
Completed,0.06,100,3122,1123,1960,0.779
Completed,0.11,958,4963,1311,646,0.999
Completed,0.06,101,2916,944,1697,0.117
Completed,0.09,497,3847,1662,11,0.999
Completed,0.06,95,5000,796,1957,0.999
Completed,0.06,95,4809,3241,4473,0.999
Completed,0.06,98,3416,697,1000,0.0
Completed,0.27,3389,4241,1626,1526,0.999
Completed,0.06,94,2732,713,1996,0.999
Completed,0.06,100,937,1671,4957,0.0
Completed,0.06,93,2369,1704,4453,0.999
Completed,0.06,100,4131,1131,2074,0.0
Completed,0.22,2636,1641,1571,1433,0.999
Completed,0.06,95,3081,3436,4764,0.842
Completed,0.06,96,4097,3274,4246,0.999
Completed,0.06,105,4900,632,1702,0.602
Completed,0.06,97,2533,620,2160,0.855
Completed,0.06,96,1,3534,4729,0.999
Completed,0.06,98,3689,3118,4649,0.0
Completed,0.06,96,3156,1005,1008,0.0
