Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.71,2,1507,3750,0.467,0.844
Completed,0.71,2,1407,3076,0.458,0.003
Completed,0.71,3,623,1674,0.95,0.779
Completed,0.71,2,3511,376,0.594,0.523
Completed,0.71,2,3282,1913,0.811,0.172
Completed,0.71,2,3214,4478,0.413,0.842
Completed,0.71,3,1860,2100,0.519,0.318
Completed,0.71,2,173,3198,0.012,0.587
Completed,0.71,2,4755,898,0.937,0.067
Completed,0.71,2,4194,2764,0.674,0.19
Completed,0.71,2,880,64,0.257,0.714
Completed,0.71,3,2401,3984,0.78,0.445
Completed,0.65,3,2526,1362,0.167,0.965
Completed,0.71,3,2938,3510,0.856,0.65
Completed,0.71,2,2146,1210,0.213,0.126
Completed,0.71,2,1138,4790,0.688,0.902
Completed,0.71,2,3780,2412,0.365,0.382
Completed,0.71,3,1636,4681,0.136,0.677
Completed,0.71,2,85,770,0.643,0.416
Completed,0.71,2,4998,3304,0.288,0.925
Completed,0.71,3,4263,189,0.043,0.798
Completed,0.71,2,655,2656,0.905,0.293
Completed,0.71,2,2313,1546,0.382,0.554
Completed,0.71,2,2771,3778,0.55,0.045
Completed,0.71,2,3026,1083,0.489,0.354
Completed,0.71,2,1901,3616,0.563,0.859
Completed,0.71,3,1069,2226,0.087,0.107
Completed,0.71,2,4005,4994,0.981,0.616
Completed,0.71,2,4548,1858,0.72,0.738
Completed,0.71,3,380,4090,0.334,0.234
Completed,0.71,2,4218,4136,0.345,0.9
Completed,0.71,2,3167,2046,0.894,0.332
Completed,0.71,2,2644,3743,0.713,0.883
Completed,0.71,2,304,3791,0.277,0.841
Completed,0.71,3,253,4062,0.05,0.947
Completed,0.71,2,2345,4566,0.845,0.888
Completed,0.71,2,358,4277,0.782,0.959
Completed,0.71,3,3888,1129,0.476,0.443
Completed,0.71,3,2082,2665,0.77,0.89
Completed,0.71,3,1230,25,0.627,0.494
Completed,0.71,3,3144,3724,0.412,0.728
Completed,0.71,3,115,2148,0.496,0.999
Completed,0.71,2,519,4920,0.497,0.492
Completed,0.71,2,4835,3357,0.378,0.466
Completed,0.71,2,2347,3236,0.568,0.756
Completed,0.71,2,3746,1561,0.606,0.457
Completed,0.71,3,2963,3786,0.226,0.724
Completed,0.71,2,1295,3445,0.469,0.411
Completed,0.71,2,4438,4906,0.465,0.33
Completed,0.71,2,4989,4267,0.466,0.345
Completed,0.71,2,4896,1172,0.895,0.433
Completed,0.71,2,1819,3212,0.263,0.769
Completed,0.71,2,1,1615,0.999,0.907
Completed,0.71,3,4937,3166,0.458,0.001
Completed,0.71,2,19,81,0.465,0.355
Completed,0.71,2,3907,436,0.128,0.307
Completed,0.71,3,27,4791,0.576,0.815
Completed,0.71,3,4741,1134,0.03,0.512
Completed,0.71,2,4301,4947,0.0,0.001
Completed,0.71,2,3790,43,0.975,0.001
Completed,0.71,2,1765,166,0.112,0.001
Completed,0.71,2,5000,5000,0.0,0.001
Completed,0.71,2,401,4954,0.945,0.001
Completed,0.71,2,4525,359,0.841,0.001
