Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.52,7,4270,362,0.685,0.576
Completed,0.52,7,2981,2737,0.208,0.13
Completed,0.52,7,2000,1291,0.972,0.961
Completed,0.52,7,2112,2592,0.36,0.467
Completed,0.52,6,2869,1458,0.562,0.625
Completed,0.52,7,4080,4145,0.04,0.072
Completed,0.52,7,2405,395,0.016,0.723
Completed,0.52,7,1225,3186,0.788,0.096
Completed,0.52,7,4167,2297,0.281,0.794
Completed,0.52,7,2419,4555,0.143,0.531
Completed,0.52,7,349,1609,0.953,0.571
Completed,0.52,7,4887,2596,0.46,0.255
Completed,0.52,7,2074,551,0.349,0.107
Completed,0.52,7,2536,3960,0.846,0.781
Completed,0.52,7,916,733,0.362,0.486
Completed,0.52,7,3850,4747,0.863,0.685
Completed,0.52,7,1663,2108,0.943,0.958
Completed,0.52,8,2599,765,0.908,0.315
Completed,0.52,7,3889,3628,0.449,0.885
Completed,0.52,7,901,513,0.774,0.77
Completed,0.52,7,498,4942,0.65,0.908
Completed,0.52,8,4526,996,0.417,0.25
Completed,0.52,7,3237,3368,0.94,0.553
Completed,0.52,6,1787,1923,0.237,0.355
Completed,0.52,7,1387,3932,0.879,0.17
Completed,0.52,7,3599,144,0.177,0.984
Completed,0.52,7,4888,3004,0.716,0.307
Completed,0.52,7,98,1714,0.481,0.598
Completed,0.52,7,1008,3458,0.109,0.705
Completed,0.52,6,4011,2482,0.842,0.391
Completed,0.52,7,4592,2750,0.185,0.887
Completed,0.52,7,710,4307,0.387,0.266
Completed,0.52,8,5000,1,0.11,0.737
Completed,0.52,7,5000,4922,0.577,0.001
Completed,0.52,7,1339,974,0.999,0.156
Completed,0.52,6,620,993,0.999,0.001
Completed,0.52,7,1294,15,0.124,0.74
Completed,0.52,7,3879,3877,0.777,0.001
Completed,0.52,7,5000,5000,0.396,0.552
Completed,0.52,7,4273,4635,0.999,0.214
Completed,0.52,8,1,5000,0.382,0.001
Completed,0.52,7,1212,4511,0.567,0.001
Completed,0.52,7,3887,2689,0.999,0.001
Completed,0.52,7,4478,4226,0.999,0.3
Completed,0.52,6,296,2231,0.458,0.597
Completed,0.52,6,3814,1024,0.999,0.813
Completed,0.52,6,131,31,0.095,0.742
Completed,0.52,7,3092,5000,0.0,0.39
Completed,0.52,6,4152,2260,0.41,0.698
Completed,0.52,6,1193,908,0.999,0.798
Completed,0.52,7,4856,3283,0.383,0.56
Completed,0.52,7,4495,4719,0.0,0.348
Completed,0.52,7,4008,897,0.999,0.244
Completed,0.52,7,1921,2690,0.999,0.402
Completed,0.52,6,4287,236,0.379,0.594
Completed,0.52,7,279,5000,0.922,0.333
Completed,0.52,6,1863,933,0.999,0.595
Completed,0.52,6,358,1,0.615,0.303
Completed,0.52,7,500,182,0.999,0.664
Completed,0.52,7,2043,1712,0.375,0.645
Completed,0.52,7,3161,51,0.632,0.001
Completed,0.52,6,210,623,0.865,0.697
Completed,0.52,7,385,2548,0.999,0.996
Completed,0.52,7,2691,4285,0.999,0.055
Completed,0.52,7,2638,1596,0.296,0.715
Completed,0.52,7,3895,2415,0.266,0.598
Completed,0.52,7,2987,4988,0.936,0.043
Completed,0.52,7,1950,159,0.528,0.692
Completed,0.52,6,3394,31,0.501,0.001
Completed,0.52,6,2159,1,0.648,0.086
Completed,0.52,6,515,279,0.707,0.644
Completed,0.52,7,2890,3903,0.999,0.117
Completed,0.52,7,53,4271,0.604,0.538
Completed,0.49,8,994,162,0.999,0.998
Completed,0.53,10,1,1835,0.999,0.999
Completed,0.52,7,4258,137,0.775,0.645
Completed,0.52,7,2473,3102,0.999,0.753
Completed,0.52,7,573,7,0.296,0.104
Completed,0.52,6,4157,1473,0.379,0.746
Completed,0.52,7,984,28,0.0,0.042
Completed,0.52,7,42,786,0.414,0.522
Completed,0.52,7,4332,4979,0.751,0.958
Completed,0.52,6,3892,256,0.999,0.646
Completed,0.52,6,321,841,0.286,0.727
Completed,0.52,6,2145,125,0.508,0.058
Completed,0.52,7,4739,2974,0.426,0.651
Completed,0.52,7,1496,165,0.685,0.064
Completed,0.52,6,2003,345,0.529,0.217
Completed,0.52,7,1673,9,0.107,0.898
Completed,0.52,7,4038,522,0.999,0.722
Completed,0.52,6,1040,1694,0.655,0.54
Completed,0.52,6,664,1082,0.387,0.682
Completed,0.52,6,4575,4,0.1,0.86
Completed,0.52,6,159,992,0.999,0.938
Completed,0.52,6,4804,1746,0.999,0.742
