Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.73,1,2089,2413,0.622,0.09
Completed,0.73,1,1400,2658,0.772,0.167
Completed,0.73,2,3192,1416,0.167,0.698
Completed,0.73,1,4500,4352,0.704,0.37
Completed,0.73,2,52,599,0.356,0.776
Completed,0.73,1,370,3398,0.633,0.67
Completed,0.73,1,4808,2141,0.302,0.203
Completed,0.73,1,3499,4907,0.826,0.873
Completed,0.73,1,1717,1159,0.238,0.281
Completed,0.73,1,2394,3922,0.4,0.483
Completed,0.73,1,3093,171,0.535,0.889
Completed,0.73,1,4286,3088,0.094,0.062
Completed,0.73,2,3411,1223,0.999,0.967
Completed,0.73,1,644,3337,0.253,0.443
Completed,0.73,2,935,4633,0.007,0.978
Completed,0.73,2,2422,1246,0.919,0.986
Completed,0.73,1,2576,2266,0.796,0.305
Completed,0.73,1,3213,607,0.554,0.817
Completed,0.73,1,1244,1845,0.97,0.593
Completed,0.73,1,984,2938,0.263,0.342
Completed,0.73,2,4192,1682,0.672,0.808
Completed,0.73,1,2884,3765,0.199,0.139
Completed,0.72,1,2332,16,0.865,0.73
Completed,0.73,1,1762,4752,0.528,0.529
Completed,0.73,1,3729,1001,0.408,0.122
Completed,0.73,1,4919,3235,0.963,0.95
Completed,0.73,1,607,1991,0.101,0.419
Completed,0.73,1,302,4193,0.878,0.026
Completed,0.72,1,4603,447,0.061,0.617
Completed,0.73,1,3410,2510,0.567,0.447
Completed,0.73,1,1452,1251,0.493,0.914
Completed,0.73,1,2777,3671,0.438,0.557
Completed,0.73,1,1518,4355,0.647,0.798
Completed,0.73,1,165,3782,0.688,0.944
Completed,0.73,1,4852,4715,0.999,0.563
Completed,0.73,1,1,3748,0.05,0.085
Completed,0.73,1,1,3120,0.851,0.392
Completed,0.73,1,5000,3703,0.051,0.356
Completed,0.73,1,2260,2960,0.726,0.607
Completed,0.73,1,5000,2536,0.999,0.378
Completed,0.73,1,5000,4020,0.999,0.587
