Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.91,0,2096,295,0.625,0.144
Completed,0.91,0,1956,2585,0.005,0.556
Completed,0.91,0,2485,4902,0.303,0.372
Completed,0.91,0,2337,2488,0.642,0.891
Completed,0.91,0,2920,871,0.852,0.739
Completed,0.91,0,3215,4233,0.573,0.526
Completed,0.91,0,1373,2723,0.924,0.873
Completed,0.91,0,4906,4887,0.956,0.193
Completed,0.91,0,1771,1098,0.238,0.591
Completed,0.91,0,508,3320,0.543,0.407
Completed,0.91,0,3604,2108,0.262,0.805
Completed,0.91,0,3961,275,0.74,0.044
Completed,0.91,0,2551,1710,0.508,0.164
Completed,0.91,0,1595,4696,0.706,0.294
Completed,0.91,0,4625,2523,0.675,0.646
Completed,0.91,0,276,4121,0.824,0.986
Completed,0.91,0,3429,330,0.106,0.356
Completed,0.91,0,3486,2352,0.716,0.669
Completed,0.91,0,3942,3346,0.209,0.248
Completed,0.91,0,89,818,0.809,0.793
Completed,0.91,0,857,2815,0.618,0.876
Completed,0.91,0,3309,133,0.982,0.477
Completed,0.91,0,4119,4179,0.473,0.929
Completed,0.91,0,617,1709,0.514,0.103
Completed,0.91,0,953,4663,0.822,0.192
Completed,0.91,0,4953,2113,0.158,0.77
Completed,0.91,0,2623,3732,0.666,0.318
Completed,0.91,0,1474,1203,0.314,0.644
Completed,0.91,0,1857,3915,0.741,0.869
Completed,0.91,0,2857,1464,0.278,0.168
Completed,0.91,0,4570,3005,0.772,0.745
Completed,0.91,0,3243,2765,0.355,0.816
Completed,0.91,0,2029,5000,0.999,0.999
Completed,0.91,0,3876,5000,0.999,0.472
Completed,0.91,0,4422,2307,0.0,0.999
Completed,0.91,0,3562,5000,0.0,0.001
Completed,0.91,0,1,5000,0.999,0.477
Completed,0.91,0,98,5000,0.447,0.999
Completed,0.91,0,3029,3481,0.999,0.001
Completed,0.91,0,5000,1,0.999,0.999
Completed,0.91,0,1,1459,0.0,0.999
Completed,0.91,0,3565,1,0.999,0.999
Completed,0.91,0,5000,1962,0.999,0.001
Completed,0.91,0,1,5000,0.0,0.41
Completed,0.91,0,1177,1,0.999,0.999
Completed,0.91,0,1,1,0.536,0.001
Completed,0.91,0,1580,5000,0.0,0.999
Completed,0.91,0,5000,5000,0.405,0.999
Completed,0.91,0,3181,1,0.0,0.999
Completed,0.91,0,5000,1,0.999,0.539
Completed,0.91,0,1,3572,0.999,0.001
Completed,0.91,0,5000,1,0.488,0.999
Completed,0.91,0,5000,3320,0.999,0.001
Completed,0.91,0,2641,1,0.999,0.001
Completed,0.91,0,4047,5000,0.999,0.999
Completed,0.91,0,1,1,0.591,0.999
Completed,0.91,0,1,3499,0.0,0.001
Completed,0.91,0,5000,2736,0.0,0.001
Completed,0.91,0,1,5000,0.285,0.001
Completed,0.91,0,151,355,0.318,0.999
Completed,0.91,0,1937,5000,0.999,0.001
Completed,0.91,0,5000,1,0.44,0.001
Completed,0.91,0,5000,3464,0.0,0.999
Completed,0.91,0,1257,1,0.999,0.001
Completed,0.91,0,4942,1290,0.0,0.999
Completed,0.91,0,5000,5000,0.367,0.001
Completed,0.91,0,1,5000,0.762,0.999
Completed,0.91,0,5000,5000,0.999,0.46
Completed,0.91,0,1,1,0.0,0.23
Completed,0.91,0,3681,1,0.0,0.088
Completed,0.91,0,2216,3355,0.999,0.999
Completed,0.91,0,3876,1,0.999,0.001
Completed,0.91,0,4061,4980,0.0,0.79
Completed,0.91,0,1,4097,0.999,0.999
Completed,0.91,0,4967,110,0.999,0.715
Completed,0.91,0,5000,1082,0.999,0.999
Completed,0.91,0,5000,3516,0.0,0.001
Completed,0.91,0,2966,1816,0.0,0.001
Completed,0.91,0,5000,1,0.718,0.001
Completed,0.91,0,5000,5000,0.0,0.409
Completed,0.91,0,1,1,0.735,0.001
Completed,0.91,0,5000,2427,0.594,0.999
Completed,0.91,0,5000,5000,0.999,0.201
Completed,0.91,0,1,1,0.999,0.297
Completed,0.91,0,860,5000,0.999,0.001
Completed,0.91,0,1,5000,0.0,0.726
Completed,0.91,0,1,1,0.0,0.728
Completed,0.91,0,5000,936,0.0,0.269
Completed,0.91,0,1,4199,0.0,0.999
Completed,0.91,0,4991,4501,0.726,0.001
Completed,0.91,0,280,716,0.306,0.001
Completed,0.91,0,5000,731,0.257,0.999
Completed,0.91,0,2419,1,0.999,0.001
Completed,0.91,0,726,119,0.0,0.001
Completed,0.91,0,492,5000,0.999,0.999
Completed,0.91,0,5000,3676,0.999,0.999
Completed,0.91,0,2100,1,0.0,0.999
Completed,0.91,0,2685,5000,0.0,0.001
Completed,0.91,0,5000,1,0.0,0.653
Completed,0.91,0,3946,4895,0.0,0.999
Completed,0.91,0,1,1077,0.999,0.001
Completed,0.91,0,1,2802,0.999,0.001
Completed,0.91,0,4143,1,0.0,0.286
Completed,0.91,0,1,1,0.257,0.001
Completed,0.91,0,85,5000,0.999,0.757
Completed,0.91,0,1,5000,0.999,0.234
Completed,0.91,0,3254,1,0.39,0.001
Completed,0.91,0,485,1,0.82,0.999
Completed,0.91,0,4878,5000,0.999,0.001
Completed,0.91,0,4622,4962,0.999,0.712
Completed,0.91,0,1,5000,0.194,0.999
Completed,0.91,0,3162,5000,0.999,0.999
Completed,0.91,0,2772,2094,0.999,0.001
Completed,0.91,0,1,3049,0.999,0.999
Completed,0.91,0,3501,123,0.499,0.999
Completed,0.91,0,2766,1,0.0,0.025
Completed,0.91,0,5000,2073,0.0,0.999
Completed,0.91,0,3247,1,0.0,0.001
Completed,0.91,0,5000,1,0.999,0.272
Completed,0.91,0,1,692,0.999,0.999
Completed,0.91,0,4400,4998,0.544,0.561
Completed,0.91,0,4976,847,0.999,0.001
Completed,0.91,0,1,3828,0.0,0.999
Completed,0.91,0,1,5000,0.0,0.254
Completed,0.91,0,5000,5000,0.0,0.206
