Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.48,31,1483,1214,0.0,0.521
Completed,0.37,19,1867,3975,0.605,0.894
Completed,0.34,16,3479,3662,0.858,0.611
Completed,0.32,11,150,209,0.319,0.17
Completed,0.45,29,2698,929,0.658,0.69
Completed,0.36,20,2023,1866,0.907,0.786
Completed,0.43,24,4302,1702,0.563,0.546
Completed,0.35,23,971,764,0.815,0.946
Completed,0.38,18,190,3515,0.639,0.867
Completed,0.35,16,4458,3827,0.887,0.654
Completed,0.35,21,1367,2645,0.945,0.439
Completed,0.37,21,2265,3338,0.451,0.66
Completed,0.32,12,2057,3320,0.512,0.283
Completed,0.43,28,3770,580,0.383,0.776
Completed,0.42,27,3094,4274,0.201,0.815
Completed,0.32,15,3405,2008,0.734,0.189
Completed,0.32,11,211,886,0.143,0.274
Completed,0.32,13,388,5000,0.791,0.295
Completed,0.45,27,4475,2659,0.239,0.969
Completed,0.37,30,1512,1182,0.859,0.464
Completed,0.4,28,118,4113,0.364,0.745
Completed,0.4,22,3639,277,0.978,0.545
Completed,0.41,25,794,4799,0.246,0.996
Completed,0.45,28,325,1901,0.303,0.825
Completed,0.38,26,4945,338,0.053,0.667
Completed,0.32,11,1419,3137,0.528,0.116
Completed,0.36,18,4558,4456,0.587,0.791
Completed,0.38,18,95,2893,0.837,0.699
Completed,0.38,25,1189,19,0.647,0.622
Completed,0.38,21,4089,2206,0.894,0.901
Completed,0.39,24,2090,2354,0.614,0.642
Completed,0.32,12,4968,2813,0.54,0.2
Completed,0.32,12,3233,2769,0.0,0.176
Completed,0.32,12,713,2709,0.617,0.001
Completed,0.32,12,3362,5000,0.0,0.336
Completed,0.32,11,4661,5000,0.593,0.001
Completed,0.49,32,3399,4108,0.0,0.45
Completed,0.35,21,1,1,0.5,0.513
Completed,0.5,30,2190,3764,0.009,0.999
Completed,0.32,11,3341,5000,0.054,0.19
Completed,0.32,11,2988,3649,0.0,0.294
Completed,0.5,33,3006,3143,0.0,0.59
Completed,0.35,20,1,1,0.496,0.395
Completed,0.36,18,3496,5000,0.571,0.389
Completed,0.51,30,2641,5000,0.0,0.999
Completed,0.32,13,719,1,0.356,0.001
Completed,0.51,30,3449,5000,0.0,0.457
Completed,0.32,11,24,1,0.467,0.234
Completed,0.36,21,4714,5000,0.419,0.616
Completed,0.32,11,3026,1878,0.356,0.319
Completed,0.4,22,4900,4983,0.277,0.613
Completed,0.51,32,1734,5000,0.0,0.827
Completed,0.35,21,126,21,0.999,0.648
Completed,0.51,31,5000,5000,0.0,0.612
Completed,0.32,11,3907,5000,0.505,0.001
Completed,0.44,30,1421,2058,0.0,0.999
Completed,0.35,21,5000,1,0.957,0.999
Completed,0.35,20,2557,1,0.989,0.999
Completed,0.37,21,3781,831,0.999,0.999
Completed,0.32,11,652,189,0.0,0.001
Completed,0.32,12,905,5000,0.608,0.001
Completed,0.32,12,608,1,0.491,0.157
Completed,0.32,14,1435,1,0.371,0.073
Completed,0.32,12,3622,4800,0.0,0.077
Completed,0.48,31,1386,2353,0.0,0.84
Completed,0.32,11,1,4344,0.999,0.234
Completed,0.32,11,1985,3605,0.0,0.001
Completed,0.39,22,4636,188,0.753,0.394
Completed,0.43,28,4397,5000,0.159,0.614
Completed,0.32,11,325,4881,0.0,0.329
