Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.72,13,981,5,0.31,0.746,290,EDFSMode.RANDOM
Completed,0.71,67,1773,51,0.975,0.474,481,EDFSMode.RANDOM
Completed,0.71,14,4765,48,0.163,0.989,769,EDFSMode.RANDOM
Completed,0.73,4949,4504,81,0.921,0.644,328,EDFSMode.RANDOM
Completed,0.72,12,1560,22,0.237,0.13,616,EDFSMode.RANDOM
Completed,0.72,22,768,75,0.54,0.9,815,EDFSMode.RANDOM
Completed,0.73,26,2776,28,0.355,0.386,189,EDFSMode.RANDOM
Completed,0.75,24,3365,58,0.087,0.258,262,EDFSMode.RANDOM
Completed,0.64,3408,99,42,0.775,0.772,988,EDFSMode.RANDOM
Completed,0.67,21,2140,88,0.439,0.015,684,EDFSMode.RANDOM
Completed,0.73,88,762,87,0.604,0.746,100,EDFSMode.RANDOM
Completed,0.72,7033,1152,99,0.848,0.284,653,EDFSMode.RANDOM
Completed,0.73,27,4096,69,0.397,0.867,583,EDFSMode.RANDOM
Completed,0.7,11,2249,21,0.346,0.203,246,EDFSMode.RANDOM
Completed,0.73,9,3657,47,0.096,0.279,942,EDFSMode.RANDOM
Completed,0.71,24,1229,51,0.732,0.633,504,EDFSMode.RANDOM
Completed,0.71,1933,1158,25,0.887,0.92,696,EDFSMode.RANDOM
Completed,0.73,20,2886,2,0.039,0.799,378,EDFSMode.RANDOM
Completed,0.73,24,3475,84,0.272,0.937,523,EDFSMode.RANDOM
Completed,0.68,44,483,18,0.585,0.422,698,EDFSMode.RANDOM
Completed,0.73,15,2289,9,0.999,0.499,198,EDFSMode.RANDOM
Completed,0.71,14,4615,96,0.088,0.939,839,EDFSMode.RANDOM
Completed,0.72,139,1821,82,0.828,0.213,526,EDFSMode.RANDOM
Completed,0.7,11,4237,17,0.465,0.824,906,EDFSMode.RANDOM
Completed,0.71,33,2913,62,0.578,0.26,775,EDFSMode.RANDOM
Completed,0.71,13,332,40,0.216,0.656,225,EDFSMode.RANDOM
Completed,0.69,318,312,88,0.509,0.782,657,EDFSMode.RANDOM
Completed,0.73,25,2701,10,0.131,0.177,109,EDFSMode.RANDOM
Completed,0.71,80,3906,68,0.759,0.737,411,EDFSMode.RANDOM
Completed,0.71,12,1292,34,0.38,0.351,790,EDFSMode.RANDOM
Completed,0.72,30,4754,45,0.637,0.622,492,EDFSMode.RANDOM
Completed,0.68,51,3037,96,0.624,0.232,915,EDFSMode.RANDOM
Completed,0.73,24,3443,76,0.115,0.205,250,EDFSMode.RANDOM
Completed,0.73,113,3585,57,0.999,0.999,108,EDFSMode.RANDOM
Completed,0.73,25,1579,38,0.241,0.262,242,EDFSMode.RANDOM
Completed,0.73,19,797,95,0.101,0.239,261,EDFSMode.RANDOM
Completed,0.68,6,2154,24,0.06,0.29,266,EDFSMode.RANDOM
Completed,0.73,354,2529,55,0.581,0.001,319,EDFSMode.RANDOM
Completed,0.73,30,4201,73,0.03,0.315,267,EDFSMode.RANDOM
Completed,0.72,28,1887,66,0.001,0.093,257,EDFSMode.RANDOM
Completed,0.74,40,3828,100,0.201,0.161,233,EDFSMode.RANDOM
Completed,0.72,27,3856,100,0.33,0.999,573,EDFSMode.RANDOM
