Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.74,1346,3227,81,0.001,0.001,782,EDFSMode.RANDOM
Completed,0.74,6358,1803,57,0.036,0.11,677,EDFSMode.RANDOM
Completed,0.73,3492,191,76,0.066,0.236,253,EDFSMode.RANDOM
Completed,0.78,4573,2760,71,0.057,0.68,258,EDFSMode.RANDOM
Completed,0.58,6466,5000,1,0.53,0.001,100,EDFSMode.RANDOM
Completed,0.79,2119,4437,100,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.59,245,4832,1,0.001,0.194,100,EDFSMode.RANDOM
Completed,0.79,1984,4336,59,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.58,6527,1,1,0.49,0.21,214,EDFSMode.RANDOM
Completed,0.81,1349,872,28,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.8,1863,3832,40,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.68,4102,2198,50,0.019,0.303,666,EDFSMode.RANDOM
Completed,0.58,255,1167,1,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.59,258,737,1,0.001,0.999,208,EDFSMode.RANDOM
Completed,0.62,244,979,1,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.6,275,1182,1,0.001,0.593,230,EDFSMode.RANDOM
Completed,0.59,241,908,1,0.001,0.276,100,EDFSMode.RANDOM
Completed,0.67,2298,3965,13,0.006,0.848,952,EDFSMode.RANDOM
Completed,0.73,2864,5000,100,0.001,0.129,1000,EDFSMode.RANDOM
Completed,0.72,3053,2898,100,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.8,2025,845,45,0.098,0.719,130,EDFSMode.RANDOM
Completed,0.6,253,3039,1,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.79,2199,1754,93,0.027,0.235,100,EDFSMode.RANDOM
Completed,0.59,1355,4094,1,0.094,0.001,100,EDFSMode.RANDOM
Completed,0.6,169,1,46,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.8,1459,1299,37,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.8,1369,851,50,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.8,1220,358,52,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.78,2203,4244,17,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.6,140,1,42,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.58,6911,3902,1,0.303,0.999,1000,EDFSMode.RANDOM
Completed,0.73,2369,3934,31,0.001,0.999,665,EDFSMode.RANDOM
Completed,0.58,5119,1182,2,0.137,0.559,102,EDFSMode.RANDOM
Completed,0.78,2096,1675,51,0.037,0.962,156,EDFSMode.RANDOM
