Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.75,105,4989,68,0.001,0.463,133,EDFSMode.RANDOM
Completed,0.62,88,3230,33,0.558,0.902,363,EDFSMode.RANDOM
Completed,0.56,51,1388,66,0.292,0.293,922,EDFSMode.RANDOM
Completed,0.58,117,2689,51,0.856,0.833,499,EDFSMode.RANDOM
Completed,0.58,16,530,7,0.403,0.019,985,EDFSMode.RANDOM
Completed,0.61,194,4869,99,0.638,0.662,413,EDFSMode.RANDOM
Completed,0.66,53,2705,37,0.092,0.282,189,EDFSMode.RANDOM
Completed,0.53,972,2034,67,0.824,0.897,755,EDFSMode.RANDOM
Completed,0.57,74,1345,47,0.526,0.841,555,EDFSMode.RANDOM
Completed,0.63,74,4175,17,0.963,0.606,451,EDFSMode.RANDOM
Completed,0.59,87,733,29,0.888,0.385,328,EDFSMode.RANDOM
Completed,0.57,37,3533,10,0.578,0.184,670,EDFSMode.RANDOM
Completed,0.59,85,1945,50,0.619,0.098,622,EDFSMode.RANDOM
Completed,0.59,21,2389,25,0.01,0.693,304,EDFSMode.RANDOM
Completed,0.58,189,4593,44,0.446,0.99,863,EDFSMode.RANDOM
Completed,0.58,212,3947,45,0.85,0.485,937,EDFSMode.RANDOM
Completed,0.56,31,3218,57,0.072,0.533,663,EDFSMode.RANDOM
Completed,0.57,39,133,23,0.674,0.135,508,EDFSMode.RANDOM
Completed,0.6,165,887,67,0.894,0.016,409,EDFSMode.RANDOM
Completed,0.6,28,2795,12,0.36,0.663,565,EDFSMode.RANDOM
Completed,0.6,1068,4407,88,0.564,0.366,811,EDFSMode.RANDOM
Completed,0.67,166,1326,34,0.183,0.966,190,EDFSMode.RANDOM
Completed,0.52,73,1828,60,0.533,0.724,963,EDFSMode.RANDOM
Completed,0.65,114,4999,19,0.213,0.077,236,EDFSMode.RANDOM
Completed,0.62,212,2838,83,0.991,0.905,468,EDFSMode.RANDOM
Completed,0.59,36,1001,40,0.262,0.304,758,EDFSMode.RANDOM
Completed,0.53,25,481,97,0.043,0.424,659,EDFSMode.RANDOM
Completed,0.64,82,3651,26,0.704,0.775,370,EDFSMode.RANDOM
Completed,0.66,50,2941,28,0.001,0.803,167,EDFSMode.RANDOM
Completed,0.61,122,5000,33,0.795,0.348,285,EDFSMode.RANDOM
Completed,0.57,84,2040,78,0.403,0.836,317,EDFSMode.RANDOM
Completed,0.61,46,2840,20,0.347,0.849,385,EDFSMode.RANDOM
Completed,0.66,25,433,1,0.082,0.668,241,EDFSMode.RANDOM
Completed,0.52,9,1,1,0.151,0.007,720,EDFSMode.RANDOM
Completed,0.72,88,3248,49,0.001,0.936,100,EDFSMode.RANDOM
Completed,0.57,8,2029,36,0.001,0.999,243,EDFSMode.RANDOM
Completed,0.68,99,2445,6,0.14,0.619,100,EDFSMode.RANDOM
Completed,0.52,4,1,1,0.118,0.001,905,EDFSMode.RANDOM
Completed,0.68,77,5000,44,0.001,0.999,200,EDFSMode.RANDOM
Completed,0.72,101,3512,87,0.001,0.562,100,EDFSMode.RANDOM
Completed,0.63,12,46,4,0.001,0.989,100,EDFSMode.RANDOM
Completed,0.59,44,5000,1,0.001,0.999,409,EDFSMode.RANDOM
Completed,0.7,2182,4776,31,0.84,0.374,100,EDFSMode.RANDOM
Completed,0.66,235,5000,68,0.899,0.362,263,EDFSMode.RANDOM
Completed,0.64,244,5000,100,0.728,0.127,321,EDFSMode.RANDOM
Completed,0.66,57,3529,1,0.001,0.972,207,EDFSMode.RANDOM
Completed,0.56,4,1,1,0.068,0.396,314,EDFSMode.RANDOM
Completed,0.69,78,1614,1,0.001,0.632,134,EDFSMode.RANDOM
Completed,0.48,4,1,1,0.001,0.001,739,EDFSMode.RANDOM
Completed,0.53,11,1,1,0.276,0.851,251,EDFSMode.RANDOM
Completed,0.62,61,5000,100,0.001,0.999,273,EDFSMode.RANDOM
Completed,0.63,58,5000,1,0.64,0.294,294,EDFSMode.RANDOM
Completed,0.56,7,1,61,0.001,0.999,212,EDFSMode.RANDOM
Completed,0.65,22,364,1,0.001,0.074,216,EDFSMode.RANDOM
Completed,0.54,4,1,1,0.001,0.001,841,EDFSMode.RANDOM
Completed,0.65,229,5000,100,0.491,0.001,380,EDFSMode.RANDOM
Completed,0.59,19,574,1,0.042,0.001,434,EDFSMode.RANDOM
Completed,0.69,151,3743,1,0.654,0.398,100,EDFSMode.RANDOM
Completed,0.65,52,5000,1,0.999,0.393,346,EDFSMode.RANDOM
Completed,0.64,58,4165,1,0.001,0.637,306,EDFSMode.RANDOM
Completed,0.65,268,3323,36,0.632,0.001,336,EDFSMode.RANDOM
Completed,0.71,78,2929,73,0.001,0.009,100,EDFSMode.RANDOM
Completed,0.7,4211,2875,56,0.543,0.009,100,EDFSMode.RANDOM
Completed,0.63,101,3769,29,0.152,0.001,310,EDFSMode.RANDOM
Completed,0.62,344,3342,41,0.832,0.001,319,EDFSMode.RANDOM
Completed,0.71,72,2742,100,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.65,47,3254,71,0.001,0.001,238,EDFSMode.RANDOM
Completed,0.58,222,3711,100,0.999,0.001,638,EDFSMode.RANDOM
Completed,0.68,6110,2890,52,0.999,0.108,100,EDFSMode.RANDOM
Completed,0.66,1251,3050,52,0.526,0.001,211,EDFSMode.RANDOM
Completed,0.62,121,3798,38,0.999,0.001,386,EDFSMode.RANDOM
Completed,0.7,84,2982,60,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.7,70,2694,67,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.62,135,3041,53,0.219,0.001,303,EDFSMode.RANDOM
Completed,0.69,996,3436,8,0.999,0.086,100,EDFSMode.RANDOM
Completed,0.72,75,2721,79,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.63,37,3373,59,0.001,0.001,403,EDFSMode.RANDOM
Completed,0.63,46,3436,69,0.001,0.001,341,EDFSMode.RANDOM
Completed,0.65,760,2943,45,0.999,0.001,292,EDFSMode.RANDOM
Completed,0.59,241,3614,96,0.999,0.001,563,EDFSMode.RANDOM
Completed,0.63,326,3672,48,0.662,0.187,312,EDFSMode.RANDOM
Completed,0.66,4500,2628,67,0.331,0.001,100,EDFSMode.RANDOM
Completed,0.64,36,2992,10,0.001,0.001,272,EDFSMode.RANDOM
Completed,0.6,44,3411,8,0.999,0.001,515,EDFSMode.RANDOM
