Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.55,2,646,49,0.779,0.044,514,EDFSMode.RANDOM
Completed,0.55,1,3185,66,0.153,0.951,616,EDFSMode.RANDOM
Completed,0.55,1,2699,38,0.379,0.753,674,EDFSMode.RANDOM
Completed,0.57,3,4032,42,0.071,0.148,138,EDFSMode.RANDOM
Completed,0.55,3,1045,75,0.49,0.792,482,EDFSMode.RANDOM
Completed,0.55,8,4888,3,0.713,0.054,920,EDFSMode.RANDOM
Completed,0.55,47,856,32,0.625,0.689,783,EDFSMode.RANDOM
Completed,0.55,83,596,76,0.935,0.56,973,EDFSMode.RANDOM
Completed,0.55,1,4088,48,0.142,0.289,543,EDFSMode.RANDOM
Completed,0.55,158,4242,80,0.684,0.766,719,EDFSMode.RANDOM
Completed,0.55,3,2066,65,0.762,0.66,422,EDFSMode.RANDOM
Completed,0.55,3,2877,56,0.279,0.315,903,EDFSMode.RANDOM
Completed,0.55,2,1808,21,0.549,0.586,444,EDFSMode.RANDOM
Completed,0.56,3,4731,71,0.241,0.502,308,EDFSMode.RANDOM
Completed,0.55,1,4297,5,0.264,0.877,441,EDFSMode.RANDOM
Completed,0.55,174,4107,85,0.931,0.471,790,EDFSMode.RANDOM
Completed,0.55,2,160,53,0.507,0.221,340,EDFSMode.RANDOM
Completed,0.55,4,1836,82,0.64,0.095,577,EDFSMode.RANDOM
Completed,0.55,1,126,35,0.174,0.627,891,EDFSMode.RANDOM
Completed,0.57,7,2587,56,0.799,0.348,127,EDFSMode.RANDOM
Completed,0.56,3,3385,47,0.542,0.421,291,EDFSMode.RANDOM
Completed,0.55,26,924,69,0.416,0.575,835,EDFSMode.RANDOM
Completed,0.55,42,2328,16,0.897,0.17,741,EDFSMode.RANDOM
Completed,0.56,1,4789,95,0.022,0.827,385,EDFSMode.RANDOM
Completed,0.55,95,4552,27,0.975,0.558,662,EDFSMode.RANDOM
Completed,0.55,1,2091,60,0.1,0.462,525,EDFSMode.RANDOM
Completed,0.56,2,1004,12,0.589,0.804,211,EDFSMode.RANDOM
Completed,0.55,12,3465,77,0.463,0.214,976,EDFSMode.RANDOM
Completed,0.55,5,2974,24,0.19,0.024,807,EDFSMode.RANDOM
Completed,0.56,6,513,91,0.815,0.988,263,EDFSMode.RANDOM
Completed,0.56,5,2755,1,0.803,0.001,284,EDFSMode.RANDOM
Completed,0.56,4,2372,98,0.282,0.701,166,EDFSMode.RANDOM
Completed,0.57,4,3997,74,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.57,9,4503,56,0.672,0.999,100,EDFSMode.RANDOM
Completed,0.57,18,5000,80,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.57,16,4184,82,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.57,11,1529,91,0.721,0.999,123,EDFSMode.RANDOM
Completed,0.57,3,4666,1,0.467,0.999,100,EDFSMode.RANDOM
Completed,0.57,303,5000,100,0.825,0.001,100,EDFSMode.RANDOM
Completed,0.57,10,4238,46,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.55,1,2063,13,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.57,4,4915,14,0.379,0.999,100,EDFSMode.RANDOM
Completed,0.57,4,4758,69,0.001,0.06,100,EDFSMode.RANDOM
Completed,0.57,4,5000,8,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.57,3,3915,1,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.57,3,4472,13,0.043,0.999,100,EDFSMode.RANDOM
Completed,0.57,9,2656,48,0.925,0.999,100,EDFSMode.RANDOM
Completed,0.57,8,3748,87,0.367,0.999,100,EDFSMode.RANDOM
Completed,0.55,5,1,92,0.723,0.001,1000,EDFSMode.RANDOM
Completed,0.58,244,3659,92,0.721,0.001,100,EDFSMode.RANDOM
Completed,0.57,3,2806,47,0.222,0.999,100,EDFSMode.RANDOM
Completed,0.57,10,5000,50,0.912,0.999,100,EDFSMode.RANDOM
Completed,0.57,6,5000,96,0.158,0.999,100,EDFSMode.RANDOM
Completed,0.57,5,5000,100,0.139,0.999,100,EDFSMode.RANDOM
Completed,0.57,15,1028,92,0.722,0.999,100,EDFSMode.RANDOM
Completed,0.57,288,4122,100,0.797,0.001,100,EDFSMode.RANDOM
Completed,0.57,3,4375,8,0.419,0.999,100,EDFSMode.RANDOM
Completed,0.57,2,3195,15,0.082,0.999,100,EDFSMode.RANDOM
Completed,0.57,6,5000,17,0.999,0.461,100,EDFSMode.RANDOM
Completed,0.56,18,2567,100,0.999,0.757,100,EDFSMode.RANDOM
Completed,0.56,4,5000,100,0.337,0.084,331,EDFSMode.RANDOM
Completed,0.56,7,2565,36,0.999,0.59,100,EDFSMode.RANDOM
Completed,0.57,3,3746,2,0.999,0.401,100,EDFSMode.RANDOM
Completed,0.56,17,2488,100,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.57,21,5000,100,0.999,0.594,100,EDFSMode.RANDOM
Completed,0.57,5,4284,11,0.793,0.386,100,EDFSMode.RANDOM
Completed,0.56,5,5000,100,0.349,0.256,244,EDFSMode.RANDOM
Completed,0.58,90,5000,100,0.514,0.001,100,EDFSMode.RANDOM
Completed,0.56,3,4982,100,0.33,0.001,380,EDFSMode.RANDOM
Completed,0.56,12,2322,57,0.999,0.664,100,EDFSMode.RANDOM
Completed,0.57,23,3130,100,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.58,28,5000,6,0.999,0.001,100,EDFSMode.RANDOM
Completed,0.57,15,4854,100,0.693,0.6,100,EDFSMode.RANDOM
Completed,0.57,6,4683,29,0.756,0.455,100,EDFSMode.RANDOM
Completed,0.56,17,2171,100,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.57,13,4197,47,0.999,0.593,100,EDFSMode.RANDOM
Completed,0.57,3,4548,1,0.999,0.478,100,EDFSMode.RANDOM
Completed,0.56,1,2181,1,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.56,5,4806,100,0.547,0.37,279,EDFSMode.RANDOM
Completed,0.57,21,4492,100,0.999,0.427,100,EDFSMode.RANDOM
Completed,0.57,9,4709,100,0.313,0.332,100,EDFSMode.RANDOM
Completed,0.56,3,2235,11,0.999,0.391,100,EDFSMode.RANDOM
Completed,0.58,5,4685,1,0.623,0.001,100,EDFSMode.RANDOM
Completed,0.57,2,2902,1,0.778,0.354,100,EDFSMode.RANDOM
Completed,0.56,3,4158,100,0.256,0.204,345,EDFSMode.RANDOM
Completed,0.57,4,4161,100,0.001,0.322,100,EDFSMode.RANDOM
Completed,0.57,3,4869,1,0.603,0.289,100,EDFSMode.RANDOM
Completed,0.57,3,4667,1,0.999,0.783,100,EDFSMode.RANDOM
Completed,0.56,1,4440,19,0.001,0.001,289,EDFSMode.RANDOM
Completed,0.57,2,5000,1,0.001,0.716,100,EDFSMode.RANDOM
Completed,0.57,4,5000,55,0.001,0.58,100,EDFSMode.RANDOM
Completed,0.56,1,4987,1,0.001,0.236,342,EDFSMode.RANDOM
Completed,0.56,5,5000,100,0.479,0.835,291,EDFSMode.RANDOM
