Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.91,4,1746,100,0.079,0.391,100,EDFSMode.RANDOM
Completed,0.91,3,1694,29,0.459,0.839,238,EDFSMode.RANDOM
Completed,0.91,5,4282,69,0.981,0.494,702,EDFSMode.RANDOM
Completed,0.91,0,3639,22,0.138,0.709,903,EDFSMode.RANDOM
Completed,0.91,4,1091,82,0.675,0.11,467,EDFSMode.RANDOM
Completed,0.91,1,37,10,0.779,0.144,364,EDFSMode.RANDOM
Completed,0.91,2,2740,100,0.288,0.551,801,EDFSMode.RANDOM
Completed,0.91,2,4633,40,0.57,0.274,579,EDFSMode.RANDOM
Completed,0.91,1,3011,15,0.963,0.774,900,EDFSMode.RANDOM
Completed,0.91,2,2455,39,0.535,0.858,951,EDFSMode.RANDOM
Completed,0.91,2,782,92,0.276,0.183,569,EDFSMode.RANDOM
Completed,0.91,4,1423,71,0.756,0.884,875,EDFSMode.RANDOM
Completed,0.91,0,1288,3,0.049,0.301,459,EDFSMode.RANDOM
Completed,0.91,4,1565,96,0.603,0.499,675,EDFSMode.RANDOM
Completed,0.91,0,3574,12,0.185,0.838,524,EDFSMode.RANDOM
Completed,0.91,8,4623,59,0.878,0.139,155,EDFSMode.RANDOM
Completed,0.91,1,1982,14,0.822,0.274,599,EDFSMode.RANDOM
Completed,0.91,3,3995,88,0.508,0.892,924,EDFSMode.RANDOM
Completed,0.91,1,3380,47,0.354,0.186,682,EDFSMode.RANDOM
Completed,0.91,6,637,62,0.829,0.524,245,EDFSMode.RANDOM
Completed,0.91,3,442,34,0.745,0.744,135,EDFSMode.RANDOM
Completed,0.91,1,3029,70,0.192,0.091,571,EDFSMode.RANDOM
Completed,0.91,1,4892,16,0.908,0.859,808,EDFSMode.RANDOM
Completed,0.92,4,1888,51,0.126,0.935,114,EDFSMode.RANDOM
Completed,0.91,1,2421,14,0.556,0.614,765,EDFSMode.RANDOM
Completed,0.91,0,4815,78,0.002,0.207,273,EDFSMode.RANDOM
Completed,0.91,2,2950,37,0.844,0.998,544,EDFSMode.RANDOM
Completed,0.91,3,104,62,0.649,0.332,334,EDFSMode.RANDOM
Completed,0.91,2,942,31,0.933,0.427,483,EDFSMode.RANDOM
Completed,0.91,2,4197,63,0.359,0.767,747,EDFSMode.RANDOM
Completed,0.91,1,2745,17,0.58,0.194,777,EDFSMode.RANDOM
Completed,0.91,4,1995,38,0.149,0.29,100,EDFSMode.RANDOM
Completed,0.91,0,1815,1,0.126,0.938,371,EDFSMode.RANDOM
Completed,0.91,0,4190,1,0.038,0.503,896,EDFSMode.RANDOM
Completed,0.91,0,3117,100,0.023,0.523,434,EDFSMode.RANDOM
Completed,0.91,1,1610,71,0.116,0.91,445,EDFSMode.RANDOM
Completed,0.91,1,4057,100,0.041,0.472,465,EDFSMode.RANDOM
Completed,0.91,0,1,84,0.001,0.001,378,EDFSMode.RANDOM
Completed,0.91,0,3787,80,0.036,0.551,438,EDFSMode.RANDOM
Completed,0.91,1,3566,100,0.042,0.47,382,EDFSMode.RANDOM
Completed,0.91,0,4691,26,0.037,0.518,1000,EDFSMode.RANDOM
Completed,0.91,0,2081,1,0.127,0.959,901,EDFSMode.RANDOM
Completed,0.91,0,3856,56,0.036,0.476,601,EDFSMode.RANDOM
Completed,0.91,1,2146,68,0.123,0.94,350,EDFSMode.RANDOM
Completed,0.91,0,1909,1,0.136,0.952,716,EDFSMode.RANDOM
Completed,0.91,1,4414,100,0.036,0.531,424,EDFSMode.RANDOM
Completed,0.91,0,3651,1,0.032,0.518,780,EDFSMode.RANDOM
Completed,0.91,1,2073,70,0.135,0.999,428,EDFSMode.RANDOM
Completed,0.91,0,1684,68,0.001,0.001,393,EDFSMode.RANDOM
Completed,0.91,0,3696,41,0.036,0.455,822,EDFSMode.RANDOM
Completed,0.91,0,1,100,0.001,0.999,433,EDFSMode.RANDOM
Completed,0.91,1,1674,73,0.128,0.857,380,EDFSMode.RANDOM
Completed,0.91,0,4849,1,0.999,0.999,515,EDFSMode.RANDOM
Completed,0.91,0,1,58,0.001,0.999,438,EDFSMode.RANDOM
Completed,0.91,0,3658,36,0.035,0.512,1000,EDFSMode.RANDOM
Completed,0.91,0,1946,21,0.118,0.99,452,EDFSMode.RANDOM
Completed,0.91,0,4899,84,0.028,0.518,445,EDFSMode.RANDOM
Completed,0.91,0,1645,1,0.119,0.957,418,EDFSMode.RANDOM
Completed,0.91,1,560,46,0.001,0.936,169,EDFSMode.RANDOM
Completed,0.91,0,1,41,0.001,0.936,228,EDFSMode.RANDOM
Completed,0.92,2,1893,49,0.001,0.936,143,EDFSMode.RANDOM
Completed,0.91,0,5000,26,0.001,0.001,519,EDFSMode.RANDOM
Completed,0.91,0,4775,22,0.001,0.377,526,EDFSMode.RANDOM
Completed,0.91,0,4222,47,0.001,0.184,454,EDFSMode.RANDOM
Completed,0.91,0,431,1,0.001,0.001,405,EDFSMode.RANDOM
Completed,0.91,2,679,48,0.001,0.936,133,EDFSMode.RANDOM
Completed,0.9,0,1,44,0.001,0.936,183,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.478,0.754,536,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.001,0.158,479,EDFSMode.RANDOM
Completed,0.91,0,4054,1,0.132,0.001,850,EDFSMode.RANDOM
Completed,0.91,0,338,22,0.001,0.001,860,EDFSMode.RANDOM
Completed,0.91,0,1,32,0.001,0.939,270,EDFSMode.RANDOM
Completed,0.91,0,3505,24,0.001,0.836,591,EDFSMode.RANDOM
Completed,0.91,3,1678,49,0.001,0.937,104,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.216,336,EDFSMode.RANDOM
Completed,0.91,0,4889,1,0.001,0.001,993,EDFSMode.RANDOM
Completed,0.91,0,3014,3,0.001,0.052,829,EDFSMode.RANDOM
Completed,0.91,0,4974,1,0.001,0.236,636,EDFSMode.RANDOM
Completed,0.91,0,2740,1,0.499,0.87,528,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.001,0.999,869,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.214,0.805,1000,EDFSMode.RANDOM
Completed,0.91,0,4586,42,0.001,0.999,878,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.001,0.001,470,EDFSMode.RANDOM
Completed,0.91,0,1069,17,0.001,0.139,973,EDFSMode.RANDOM
Completed,0.91,0,120,45,0.001,0.936,167,EDFSMode.RANDOM
Completed,0.91,0,4943,27,0.001,0.882,547,EDFSMode.RANDOM
Completed,0.91,0,3242,1,0.001,0.835,1000,EDFSMode.RANDOM
Completed,0.91,1,1417,47,0.001,0.936,150,EDFSMode.RANDOM
Completed,0.91,2,3062,81,0.001,0.999,221,EDFSMode.RANDOM
Completed,0.91,2,2718,1,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.91,0,2986,72,0.001,0.999,282,EDFSMode.RANDOM
Completed,0.91,1,3063,99,0.001,0.999,154,EDFSMode.RANDOM
