Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.93,1221,4847,70,0.247,0.477,255,EDFSMode.RANDOM
Completed,0.92,1088,4238,30,0.284,0.357,202,EDFSMode.RANDOM
Completed,0.9,245,1282,11,0.037,0.018,713,EDFSMode.RANDOM
Completed,0.89,319,2823,48,0.103,0.672,591,EDFSMode.RANDOM
Completed,0.86,217,193,17,0.356,0.948,300,EDFSMode.RANDOM
Completed,0.93,975,802,82,0.174,0.821,134,EDFSMode.RANDOM
Completed,0.85,1936,2207,34,0.596,0.401,379,EDFSMode.RANDOM
Completed,0.91,6719,3445,51,0.427,0.552,757,EDFSMode.RANDOM
Completed,0.84,155,2444,54,0.091,0.891,859,EDFSMode.RANDOM
Completed,0.86,4489,721,7,0.633,0.315,612,EDFSMode.RANDOM
Completed,0.93,1004,4459,86,0.343,0.731,454,EDFSMode.RANDOM
Completed,0.92,450,3840,13,0.128,0.602,401,EDFSMode.RANDOM
Completed,0.91,1002,3162,21,0.546,0.808,475,EDFSMode.RANDOM
Completed,0.91,778,424,80,0.238,0.421,285,EDFSMode.RANDOM
Completed,0.87,2174,2752,7,0.449,0.427,787,EDFSMode.RANDOM
Completed,0.92,3111,3074,65,0.58,0.183,167,EDFSMode.RANDOM
Completed,0.91,785,1832,44,0.382,0.77,912,EDFSMode.RANDOM
Completed,0.93,2968,1490,77,0.528,0.526,293,EDFSMode.RANDOM
Completed,0.87,389,425,26,0.203,0.197,495,EDFSMode.RANDOM
Completed,0.92,731,1043,74,0.268,0.076,330,EDFSMode.RANDOM
Completed,0.89,278,3364,93,0.023,0.298,952,EDFSMode.RANDOM
Completed,0.92,734,3284,38,0.375,0.158,426,EDFSMode.RANDOM
Completed,0.87,176,963,20,0.121,0.466,942,EDFSMode.RANDOM
Completed,0.92,2713,4087,13,0.61,0.741,252,EDFSMode.RANDOM
Completed,0.93,1013,1174,74,0.331,0.696,286,EDFSMode.RANDOM
Completed,0.86,1313,1014,30,0.336,0.692,1000,EDFSMode.RANDOM
Completed,0.92,820,2848,81,0.269,0.625,270,EDFSMode.RANDOM
Completed,0.92,1838,1656,82,0.068,0.658,100,EDFSMode.RANDOM
Completed,0.92,1294,4947,32,0.073,0.468,134,EDFSMode.RANDOM
Completed,0.92,1718,1657,77,0.001,0.631,100,EDFSMode.RANDOM
Completed,0.84,3011,797,15,0.414,0.803,1000,EDFSMode.RANDOM
Completed,0.91,5610,1904,88,0.493,0.145,661,EDFSMode.RANDOM
Completed,0.92,539,1435,100,0.143,0.999,414,EDFSMode.RANDOM
Completed,0.89,1299,3521,1,0.359,0.999,100,EDFSMode.RANDOM
Completed,0.9,260,3969,52,0.001,0.001,1000,EDFSMode.RANDOM
Completed,0.91,427,4516,83,0.15,0.001,832,EDFSMode.RANDOM
Completed,0.91,361,5000,76,0.083,0.001,751,EDFSMode.RANDOM
Completed,0.92,445,5000,100,0.001,0.999,606,EDFSMode.RANDOM
Completed,0.92,299,4449,40,0.094,0.999,725,EDFSMode.RANDOM
Completed,0.91,273,4385,43,0.001,0.001,823,EDFSMode.RANDOM
