Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.58,6993,4590,38,0.999,0.999,979,EDFSMode.RANDOM
Completed,0.6,4345,4017,65,0.83,0.489,669,EDFSMode.RANDOM
Completed,0.5,138,328,32,0.297,0.292,480,EDFSMode.RANDOM
Completed,0.61,5553,1915,54,0.722,0.004,440,EDFSMode.RANDOM
Completed,0.6,5264,1415,29,0.955,0.245,342,EDFSMode.RANDOM
Completed,0.6,100,3627,69,0.194,0.505,852,EDFSMode.RANDOM
Completed,0.59,430,4260,15,0.58,0.274,552,EDFSMode.RANDOM
Completed,0.62,366,856,77,0.319,0.975,162,EDFSMode.RANDOM
Completed,0.56,548,1088,50,0.503,0.573,760,EDFSMode.RANDOM
Completed,0.62,263,3876,60,0.273,0.178,249,EDFSMode.RANDOM
Completed,0.59,887,3239,8,0.877,0.914,550,EDFSMode.RANDOM
Completed,0.58,124,1642,96,0.149,0.336,940,EDFSMode.RANDOM
Completed,0.47,171,2471,22,0.413,0.421,813,EDFSMode.RANDOM
Completed,0.59,3333,2806,83,0.674,0.829,422,EDFSMode.RANDOM
Completed,0.62,335,4610,35,0.038,0.076,152,EDFSMode.RANDOM
Completed,0.53,3727,584,75,0.799,0.675,662,EDFSMode.RANDOM
Completed,0.61,80,475,24,0.053,0.678,239,EDFSMode.RANDOM
Completed,0.54,96,3050,48,0.392,0.819,962,EDFSMode.RANDOM
Completed,0.59,2533,2657,55,0.673,0.717,348,EDFSMode.RANDOM
Completed,0.61,540,5000,1,0.632,0.642,100,EDFSMode.RANDOM
Completed,0.59,169,4882,93,0.393,0.033,1000,EDFSMode.RANDOM
Completed,0.62,306,4253,33,0.114,0.108,166,EDFSMode.RANDOM
Completed,0.6,320,4397,72,0.558,0.958,991,EDFSMode.RANDOM
Completed,0.51,49,2554,24,0.172,0.196,692,EDFSMode.RANDOM
Completed,0.61,894,1740,11,0.635,0.701,202,EDFSMode.RANDOM
Completed,0.59,494,3298,100,0.405,0.049,593,EDFSMode.RANDOM
Completed,0.6,1693,3974,47,0.76,0.793,865,EDFSMode.RANDOM
Completed,0.61,107,1146,58,0.031,0.457,354,EDFSMode.RANDOM
Completed,0.5,1364,759,18,0.839,0.125,896,EDFSMode.RANDOM
Completed,0.61,135,4200,80,0.079,0.627,505,EDFSMode.RANDOM
Completed,0.62,1924,3529,26,0.714,0.403,234,EDFSMode.RANDOM
Completed,0.58,513,1357,66,0.453,0.847,744,EDFSMode.RANDOM
Completed,0.41,54,5000,1,0.001,0.756,1000,EDFSMode.RANDOM
Completed,0.59,84,5000,100,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.6,124,5000,82,0.168,0.001,687,EDFSMode.RANDOM
Completed,0.31,49,1,68,0.154,0.001,539,EDFSMode.RANDOM
Completed,0.56,592,2059,76,0.252,0.324,100,EDFSMode.RANDOM
Completed,0.6,99,5000,51,0.001,0.001,578,EDFSMode.RANDOM
Completed,0.39,49,5000,1,0.001,0.999,589,EDFSMode.RANDOM
Completed,0.6,2151,5000,12,0.251,0.001,100,EDFSMode.RANDOM
Completed,0.63,131,240,100,0.001,0.062,100,EDFSMode.RANDOM
