Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.55,2682,1684,4336,3.891,0.006,True,True
Completed,0.52,5,4146,1016,5.172,0.048,False,False
Completed,0.57,1603,2024,1804,1.548,0.034,True,True
Completed,0.52,95,3443,264,9.941,0.002,True,False
Completed,0.52,4,1359,1539,3.041,0.006,False,False
Completed,0.5,8,4756,1307,0.64,0.025,False,False
Completed,0.58,1003,1085,1712,8.961,0.015,False,True
Completed,0.58,1012,1666,1227,0.298,0.044,False,True
Completed,0.52,4,3632,3281,1.106,0.041,False,False
Completed,0.57,1776,3392,1867,7.39,0.039,True,True
Completed,0.53,2989,3352,4247,7.991,0.037,False,True
Completed,0.52,26,818,1084,1.697,0.017,True,False
Completed,0.52,19,1872,3673,6.292,0.05,True,False
Completed,0.56,1467,4329,1603,2.771,0.005,False,True
Completed,0.58,2364,4990,2979,1.115,0.01,False,True
Completed,0.52,22,2443,2315,9.824,0.043,True,False
Completed,0.54,2704,983,4444,0.998,0.047,False,True
Completed,0.56,2051,2443,3490,9.119,0.045,False,True
Completed,0.47,21,3783,632,1.889,0.01,True,False
Completed,0.52,24,3192,1429,8.228,0.03,True,False
Completed,0.52,20,4786,2716,4.016,0.004,True,False
Completed,0.63,319,1441,507,7.497,0.039,False,True
Completed,0.52,5,4817,4875,8.674,0.041,False,False
Completed,0.63,260,2284,461,2.264,0.012,True,True
Completed,0.57,1978,56,3065,7.014,0.029,True,True
Completed,0.52,4,2514,2246,3.299,0.024,False,False
Completed,0.52,21,2869,3888,6.409,0.007,True,False
Completed,0.59,554,324,802,2.654,0.04,False,True
Completed,0.56,2074,2005,3173,7.874,0.02,False,True
Completed,0.52,27,4470,1494,1.815,0.028,True,False
Completed,0.52,24,3868,2620,4.533,0.034,True,False
Completed,0.6,1510,626,1693,9.137,0.036,True,True
Completed,0.57,23,5000,2973,0.001,0.05,True,False
Completed,0.52,17,1,5000,10.0,0.0,True,False
Completed,0.52,17,1,3391,10.0,0.0,True,False
Completed,0.62,7116,1,2,0.001,0.019,False,True
Completed,0.52,5,1,5000,10.0,0.05,False,False
Completed,0.52,5,1,5000,10.0,0.0,False,False
Completed,0.52,15,5000,5000,10.0,0.0,True,False
Completed,0.52,127,5000,2,0.001,0.0,False,False
Completed,0.67,5097,1,2,10.0,0.038,False,True
Completed,0.52,4,5000,2659,0.001,0.05,False,False
Completed,0.52,5,5000,5000,10.0,0.0,False,False
Completed,0.52,111,5000,2,10.0,0.0,False,False
Completed,0.52,5,5000,5000,10.0,0.05,False,False
Completed,0.5,23,1,697,0.001,0.0,True,False
Completed,0.49,8,5000,896,0.001,0.0,False,False
Completed,0.52,19,1,5000,0.001,0.0,True,False
Completed,0.52,298,3633,85,9.051,0.031,True,False
Completed,0.48,379,3699,2,2.518,0.034,True,False
Completed,0.52,4206,5000,2,3.749,0.038,True,False
Completed,0.67,154,2121,297,5.063,0.047,True,True
Completed,0.7,5612,2016,2,1.715,0.047,False,True
Completed,0.52,2105,5000,4,2.552,0.036,True,False
Completed,0.62,137,5000,2,0.952,0.036,True,False
Completed,0.7,149,4969,57,8.672,0.023,True,True
Completed,0.69,4990,1,2,8.393,0.05,True,True
Completed,0.52,75,4976,398,8.038,0.033,True,False
Completed,0.71,115,3276,132,5.368,0.034,True,True
Completed,0.5,11,5000,2246,0.001,0.0,False,False
Completed,0.52,5,5000,3809,10.0,0.0,False,False
Completed,0.52,5,1,3171,0.001,0.05,False,False
Completed,0.69,4801,1,2,0.001,0.05,True,True
Completed,0.68,85,5000,4,0.001,0.025,False,False
Completed,0.73,163,2484,19,5.356,0.037,True,True
Completed,0.68,5057,2017,2,1.548,0.05,True,True
Completed,0.52,8,2689,61,8.741,0.035,False,False
Completed,0.52,114,5000,2,5.789,0.031,False,False
Completed,0.52,112,5000,2,6.934,0.035,False,False
Completed,0.52,111,5000,2,6.338,0.033,False,False
Completed,0.52,113,3699,2,2.465,0.032,False,False
Completed,0.72,139,910,32,1.951,0.05,False,True
Completed,0.66,5695,5000,2,8.16,0.029,True,True
Completed,0.72,166,2484,19,5.199,0.043,False,True
Completed,0.52,138,5000,2,3.294,0.04,False,False
Completed,0.52,117,5000,2,7.914,0.039,False,False
Completed,0.52,128,5000,2,1.187,0.034,False,False
Completed,0.52,112,3278,2,1.545,0.033,False,False
Completed,0.68,5648,1,2,7.988,0.05,False,True
Completed,0.52,133,5000,2,9.333,0.036,False,False
Completed,0.53,29,2745,315,2.303,0.03,True,False
Completed,0.74,183,2616,15,4.936,0.035,True,True
Completed,0.52,105,5000,2,3.792,0.037,False,False
Completed,0.66,5063,3278,2,1.413,0.033,True,True
Completed,0.7,5024,641,2,4.871,0.05,True,True
Completed,0.52,7,3633,85,9.295,0.034,False,False
Completed,0.69,5373,1,2,1.914,0.05,True,True
Completed,0.64,6190,5000,2,5.22,0.024,True,True
Completed,0.52,10,3706,60,7.224,0.034,False,False
Completed,0.73,169,2616,15,4.753,0.04,False,True
Completed,0.52,56,5000,4,2.433,0.034,False,False
Completed,0.52,55,5000,4,2.812,0.035,False,False
Completed,0.52,77,4253,291,8.001,0.031,True,False
Completed,0.59,110,3278,2,1.282,0.035,True,False
Completed,0.58,110,5000,2,1.383,0.04,True,False
Completed,0.52,105,5000,2,4.608,0.038,False,False
Completed,0.51,11,1,1227,0.001,0.05,False,False
Completed,0.55,17,1,778,0.001,0.05,True,False
Completed,0.69,5430,3070,2,4.896,0.05,True,True
Completed,0.51,14,3813,323,0.001,0.05,False,False
Completed,0.7,127,2481,2,0.001,0.05,True,False
Completed,0.52,105,1,2,0.001,0.05,False,False
Completed,0.62,353,3053,525,5.885,0.05,True,True
Completed,0.57,18,1728,445,0.001,0.05,True,False
Completed,0.57,665,2973,864,10.0,0.05,False,True
Completed,0.46,12,3214,613,0.001,0.05,False,False
Completed,0.7,122,1,2,0.001,0.05,True,False
Completed,0.52,105,2540,2,0.001,0.05,False,False
Completed,0.59,709,2873,824,10.0,0.05,True,True
Completed,0.69,5043,1657,2,4.85,0.05,False,True
Completed,0.52,4715,5000,2,5.561,0.034,True,False
Completed,0.7,113,3539,2,0.001,0.036,True,False
Completed,0.52,19,5000,3932,10.0,0.05,True,False
Completed,0.53,15,1867,823,0.001,0.05,True,False
Completed,0.56,759,2242,1099,10.0,0.05,False,True
Completed,0.68,168,3005,250,5.682,0.042,True,True
Completed,0.52,15,2469,5000,10.0,0.05,True,False
