Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.91,86,1903,1277,4.874,0.042,False,True
Completed,0.91,0,4202,2890,8.521,0.017,True,False
Completed,0.91,1,2556,162,0.496,0.029,True,False
Completed,0.91,83,1029,4269,6.652,0.004,False,True
Completed,0.91,6,1197,39,3.182,0.05,True,False
Completed,0.91,102,823,2316,0.85,0.015,True,True
Completed,0.91,72,1919,2933,9.407,0.021,True,True
Completed,0.91,77,1369,1839,5.531,0.017,True,True
Completed,0.91,2,5000,2,0.001,0.05,False,False
Completed,0.91,44,5000,2,10.0,0.0,True,False
Completed,0.91,1,5000,5000,10.0,0.05,True,False
Completed,0.91,3,5000,2,0.001,0.0,False,False
Completed,0.91,1,5000,5000,0.001,0.0,True,False
Completed,0.91,2,1,2,0.001,0.0,False,False
Completed,0.91,53,5000,2,10.0,0.05,True,False
Completed,0.91,2,1,2,10.0,0.05,False,False
Completed,0.91,74,4957,613,8.183,0.014,True,True
Completed,0.91,0,3055,3208,7.007,0.04,False,False
Completed,0.91,86,4355,1417,1.294,0.037,False,True
Completed,0.91,1,2042,3013,5.312,0.011,True,False
Completed,0.91,1,1271,1876,8.206,0.001,True,False
Completed,0.91,78,4833,3492,4.569,0.026,False,True
Completed,0.91,77,3177,810,6.347,0.014,False,True
Completed,0.91,86,2720,4129,9.671,0.024,False,True
Completed,0.91,0,2554,3924,4.534,0.004,True,False
Completed,0.91,86,1095,861,9.057,0.028,False,True
Completed,0.91,0,4674,1722,7.489,0.044,True,False
Completed,0.91,1,1800,1712,7.884,0.033,True,False
Completed,0.91,1,426,303,4.967,0.022,True,False
Completed,0.91,0,2348,3118,7.055,0.031,True,False
Completed,0.91,97,3519,1402,4.046,0.025,True,True
Completed,0.91,76,1426,3661,1.609,0.046,False,True
Completed,0.91,0,2839,5000,0.001,0.0,False,False
Completed,0.91,0,5000,2649,0.001,0.0,False,False
Completed,0.91,0,1,5000,10.0,0.024,False,False
Completed,0.91,0,5000,2526,10.0,0.0,False,False
Completed,0.91,0,1,1870,0.001,0.05,False,False
Completed,0.91,0,1,5000,10.0,0.025,True,False
Completed,0.91,3,5000,2,4.12,0.05,False,False
Completed,0.91,2,5000,2,0.001,0.026,False,False
Completed,0.91,0,1,5000,0.001,0.016,False,False
Completed,0.91,0,5000,5000,10.0,0.031,False,False
Completed,0.91,3,2812,2,0.001,0.0,False,False
Completed,0.91,3,1,2,4.917,0.05,False,False
Completed,0.91,1,1,2090,10.0,0.05,True,False
Completed,0.91,0,1,2743,0.001,0.0,False,False
Completed,0.91,1,1819,5000,0.001,0.05,True,False
Completed,0.91,0,5000,5000,10.0,0.015,False,False
Completed,0.91,0,2601,5000,10.0,0.05,False,False
Completed,0.91,0,5000,5000,0.001,0.027,True,False
Completed,0.91,1,1,2350,10.0,0.0,True,False
Completed,0.91,0,1,2090,10.0,0.05,False,False
Completed,0.91,0,5000,2464,0.001,0.0,True,False
Completed,0.91,1,2364,5000,0.001,0.0,True,False
Completed,0.91,1,1,1628,0.001,0.05,True,False
Completed,0.91,0,1,1628,0.001,0.0,False,False
Completed,0.91,0,5000,1313,0.001,0.0,False,False
Completed,0.91,1,5000,2681,10.0,0.05,True,False
Completed,0.91,3,5000,2,4.994,0.0,False,False
Completed,0.91,0,1,3494,0.001,0.05,False,False
Completed,0.91,0,1,2743,0.001,0.0,True,False
Completed,0.91,0,5000,1591,0.001,0.05,False,False
Completed,0.91,0,5000,2236,10.0,0.05,False,False
Completed,0.91,4,1197,2,4.612,0.0,False,False
Completed,0.91,1,1,5000,6.106,0.0,True,False
Completed,0.91,0,5000,5000,6.218,0.0,True,False
Completed,0.91,1,5000,2649,0.001,0.05,True,False
Completed,0.91,0,1863,5000,0.001,0.0,False,False
Completed,0.91,1,1,5000,5.175,0.05,True,False
Completed,0.91,0,5000,5000,6.636,0.05,False,False
Completed,0.91,3,2977,2,0.001,0.05,False,False
Completed,0.91,0,5000,1020,10.0,0.0,False,False
Completed,0.91,0,1,5000,7.234,0.0,False,False
Completed,0.91,0,5000,5000,5.004,0.05,True,False
Completed,0.91,0,5000,5000,2.161,0.05,False,False
Completed,0.91,0,5000,5000,0.001,0.012,False,False
Completed,0.91,0,5000,5000,0.001,0.038,False,False
Completed,0.91,0,5000,5000,3.348,0.0,False,False
Completed,0.91,0,1400,5000,0.001,0.05,False,False
Completed,0.91,0,1,5000,3.369,0.05,False,False
Completed,0.91,0,5000,3759,10.0,0.05,False,False
Completed,0.91,0,1,5000,7.781,0.05,False,False
Completed,0.91,0,1,2994,0.001,0.0,True,False
Completed,0.91,0,1,4067,0.001,0.0,False,False
Completed,0.91,0,5000,5000,8.345,0.0,False,False
Completed,0.91,0,1,3325,0.001,0.0,False,False
Completed,0.91,2,1895,2,0.001,0.05,False,False
Completed,0.91,0,1,5000,0.001,0.008,False,False
Completed,0.91,0,5000,3837,10.0,0.0,False,False
Completed,0.91,0,1,2823,0.001,0.05,False,False
Completed,0.91,3,711,2,0.001,0.0,False,False
Completed,0.91,0,1,5000,10.0,0.037,False,False
Completed,0.91,0,3819,5000,0.001,0.0,False,False
Completed,0.91,0,5000,2291,0.001,0.05,False,False
Completed,0.91,0,1,5000,1.973,0.05,False,False
Completed,0.91,0,1,5000,0.001,0.04,False,False
Completed,0.91,0,3928,5000,0.001,0.05,False,False
Completed,0.91,0,1,3665,10.0,0.0,False,False
Completed,0.91,4,5000,2,6.551,0.05,False,False
Completed,0.91,0,1933,3809,10.0,0.05,False,False
Completed,0.91,1,523,3330,10.0,0.05,True,False
Completed,0.91,1,5000,3439,10.0,0.0,True,False
Completed,0.91,4,1333,2,0.001,0.0,True,False
Completed,0.91,1,650,3461,10.0,0.0,True,False
Completed,0.91,1,2044,5000,10.0,0.0,True,False
Completed,0.91,112,5000,5000,0.001,0.05,True,True
Completed,0.91,4,1391,2,0.001,0.05,True,False
Completed,0.91,0,5000,3816,10.0,0.05,True,False
Completed,0.91,1,2167,5000,10.0,0.05,True,False
Completed,0.91,1,256,2822,5.156,0.05,True,False
Completed,0.91,1,26,3159,4.381,0.0,True,False
Completed,0.91,1,1,3604,10.0,0.05,True,False
Completed,0.91,0,5000,3023,4.752,0.0,True,False
Completed,0.91,0,1179,3849,10.0,0.05,True,False
Completed,0.91,1,1,3585,10.0,0.0,True,False
Completed,0.91,1,1,3494,2.394,0.05,True,False
Completed,0.91,1,5000,1392,0.001,0.0,True,False
Completed,0.91,0,2500,2519,0.001,0.05,False,False
Completed,0.91,74,5000,5000,0.001,0.0,True,True
Completed,0.91,1,319,3061,7.349,0.05,True,False
Completed,0.91,0,5000,4213,10.0,0.0,True,False
Completed,0.91,0,5000,3759,5.642,0.05,True,False
Completed,0.91,0,1,3494,0.577,0.05,True,False
Completed,0.91,0,1799,5000,3.842,0.0,True,False
Completed,0.91,0,5000,1347,0.001,0.05,True,False
Completed,0.91,1,5000,3791,2.091,0.0,True,False
Completed,0.91,0,3088,5000,10.0,0.05,True,False
Completed,0.91,0,4046,4996,10.0,0.0,False,False
Completed,0.91,1,1295,3732,10.0,0.0,True,False
Completed,0.91,1,518,2818,10.0,0.0,True,False
Completed,0.91,1,1,5000,0.001,0.023,True,False
Completed,0.91,0,5000,3955,0.001,0.0,False,False
Completed,0.91,0,3315,5000,0.001,0.05,True,False
Completed,0.91,0,5000,5000,0.001,0.019,False,False
Completed,0.91,0,1,5000,0.001,0.025,False,False
Completed,0.91,0,1,5000,10.0,0.012,False,False
Completed,0.91,0,5000,5000,4.242,0.05,False,False
Completed,0.91,0,1,5000,2.471,0.0,False,False
Completed,0.91,0,1,5000,5.761,0.0,False,False
Completed,0.91,0,5000,5000,4.553,0.0,False,False
Completed,0.91,0,1307,5000,10.0,0.05,False,False
Completed,0.91,0,1,5000,8.568,0.0,False,False
Completed,0.91,0,3994,5000,10.0,0.05,False,False
Completed,0.91,0,5000,5000,0.001,0.044,False,False
Completed,0.91,0,2211,5000,0.001,0.05,False,False
Completed,0.91,0,5000,3906,0.001,0.05,False,False
Completed,0.91,0,1,3604,10.0,0.05,False,False
Completed,0.91,0,682,5000,0.001,0.05,False,False
Completed,0.91,0,5000,3236,0.001,0.0,True,False
Completed,0.91,0,920,5000,0.001,0.0,False,False
Completed,0.91,0,5000,3393,0.001,0.0,False,False
Completed,0.91,1,1,5000,5.751,0.05,True,False
Completed,0.91,1,1,5000,0.001,0.011,True,False
Completed,0.91,0,5000,5000,0.001,0.032,False,False
Completed,0.91,0,1,848,0.001,0.0,False,False
Completed,0.91,0,5000,864,0.001,0.05,False,False
Completed,0.91,0,5000,5000,8.383,0.05,False,False
Completed,0.91,0,5000,5000,5.026,0.035,False,False
Completed,0.91,0,3088,5000,4.765,0.025,False,False
Completed,0.91,0,5000,3484,0.001,0.05,False,False
Completed,0.91,0,5000,1988,0.001,0.0,False,False
Completed,0.91,0,1010,5000,10.0,0.0,False,False
Completed,0.91,0,5000,5000,1.116,0.05,False,False
Completed,0.91,0,5000,1392,0.001,0.024,False,False
Completed,0.91,1,1,5000,2.876,0.05,True,False
Completed,0.91,1,4997,4029,0.001,0.0,True,False
Completed,0.91,0,5000,5000,10.0,0.041,False,False
Completed,0.91,0,1,1344,10.0,0.05,False,False
Completed,0.91,0,5000,5000,7.291,0.023,False,False
Completed,0.91,0,5000,5000,5.477,0.05,False,False
Completed,0.91,1,5000,5000,0.001,0.011,True,False
Completed,0.91,1,3819,5000,0.001,0.0,True,False
Completed,0.91,0,5000,4370,0.001,0.05,False,False
Completed,0.91,0,3164,5000,10.0,0.0,False,False
Completed,0.91,0,3378,5000,0.001,0.05,False,False
Completed,0.91,0,1,4000,0.001,0.05,False,False
Completed,0.91,0,5000,5000,1.606,0.0,False,False
Completed,0.91,0,1,1078,2.217,0.05,True,False
Completed,0.91,1,5000,1046,1.901,0.05,True,False
Completed,0.91,1,4089,1656,3.325,0.0,True,False
Completed,0.91,0,5000,4537,8.154,0.05,True,False
Completed,0.91,0,1,2102,2.708,0.05,False,False
Completed,0.91,0,4865,1405,8.056,0.0,False,False
Completed,0.91,1,5000,2329,7.519,0.0,True,False
Completed,0.91,1,1,1463,2.754,0.0,True,False
Completed,0.91,0,5000,1392,10.0,0.023,False,False
Completed,0.91,0,319,3061,7.102,0.0,False,False
Completed,0.91,0,1231,1365,10.0,0.026,False,False
Completed,0.91,0,5000,1850,2.864,0.05,False,False
Completed,0.91,0,1,4619,10.0,0.024,True,False
Completed,0.91,0,5000,1392,0.001,0.03,True,False
Completed,0.91,0,1,954,1.452,0.05,False,False
Completed,0.91,0,1,1230,8.345,0.0,False,False
Completed,0.91,0,5000,4261,0.001,0.05,True,False
Completed,0.91,0,5000,2860,6.758,0.0,False,False
Completed,0.91,1,5000,1690,3.879,0.0,True,False
Completed,0.91,1,1,4195,0.001,0.05,True,False
Completed,0.91,1,5000,1064,2.583,0.0,True,False
Completed,0.91,0,1,954,1.59,0.036,True,False
Completed,0.91,0,5000,1391,1.865,0.026,True,False
Completed,0.91,0,1,1874,0.001,0.022,True,False
Completed,0.91,0,1,4590,9.982,0.0,True,False
Completed,0.91,1,1,3325,0.001,0.028,True,False
Completed,0.91,0,5000,2898,3.791,0.05,False,False
Completed,0.91,1,1,950,1.293,0.05,True,False
Completed,0.91,1,5000,4335,7.489,0.0,True,False
Completed,0.91,0,4980,890,1.458,0.039,True,False
Completed,0.91,1,95,2131,7.873,0.05,True,False
Completed,0.91,0,5000,1221,1.87,0.0,False,False
Completed,0.91,1,4614,4666,5.466,0.026,True,False
Completed,0.91,0,5000,4693,5.415,0.024,True,False
Completed,0.91,0,1068,2329,8.847,0.03,True,False
Completed,0.91,0,1,1900,7.031,0.05,True,False
Completed,0.91,1,1,718,0.494,0.0,True,False
Completed,0.91,0,4980,890,1.189,0.047,False,False
Completed,0.91,1,1,5000,1.8,0.0,True,False
Completed,0.91,1,1,2444,1.044,0.0,True,False
Completed,0.91,1,5000,4389,10.0,0.032,True,False
Completed,0.91,1,5000,4689,4.97,0.0,True,False
Completed,0.91,0,1271,1876,9.447,0.0,False,False
Completed,0.91,0,5000,2210,2.88,0.0,False,False
Completed,0.91,0,2464,425,10.0,0.05,False,False
Completed,0.91,11,5000,2,1.481,0.0,True,False
Completed,0.91,1,5000,5000,6.454,0.05,True,False
Completed,0.91,0,1985,2215,7.844,0.05,True,False
Completed,0.91,1,1,2306,8.963,0.05,True,False
Completed,0.91,0,2557,2452,2.963,0.0,False,False
Completed,0.91,0,3613,652,1.144,0.0,False,False
Completed,0.91,1,5000,94,0.879,0.05,True,False
Completed,0.91,1,3613,652,0.941,0.0,True,False
Completed,0.91,0,5000,2368,10.0,0.0,True,False
Completed,0.91,2,1,2,8.281,0.05,False,False
Completed,0.91,0,5000,387,1.624,0.0,False,False
Completed,0.91,0,1,3097,4.063,0.0,False,False
Completed,0.91,0,4980,890,1.353,0.017,False,False
Completed,0.91,0,2148,2259,0.404,0.019,True,False
Completed,0.91,0,1,2444,1.513,0.0,False,False
Completed,0.91,1,5000,2236,10.0,0.014,True,False
Completed,0.91,138,5000,2537,10.0,0.05,True,True
Completed,0.91,0,1,381,10.0,0.026,False,False
Completed,0.91,0,1,2090,10.0,0.015,True,False
Completed,0.91,0,1,848,0.001,0.014,True,False
Completed,0.91,0,1622,3242,10.0,0.021,False,False
Completed,0.91,1,5000,864,0.001,0.014,True,False
Completed,0.91,99,1,2923,10.0,0.05,True,True
Completed,0.91,1,5000,5000,2.677,0.038,True,False
Completed,0.91,0,5000,2236,9.997,0.014,False,False
Completed,0.91,85,1,2467,10.0,0.05,True,True
Completed,0.91,0,5000,2236,10.0,0.023,True,False
Completed,0.91,0,5000,3236,0.001,0.03,False,False
Completed,0.91,114,1,2229,10.0,0.05,True,True
Completed,0.91,0,4699,3050,10.0,0.027,False,False
Completed,0.91,0,1,2817,0.001,0.029,False,False
Completed,0.91,0,1,2350,10.0,0.021,False,False
Completed,0.91,0,1,954,9.845,0.01,False,False
Completed,0.91,0,1,905,7.801,0.05,False,False
Completed,0.91,1,5000,2236,10.0,0.007,True,False
Completed,0.91,0,5000,2329,7.16,0.05,False,False
Completed,0.91,102,4954,2236,10.0,0.05,True,True
Completed,0.91,0,1,4119,10.0,0.037,False,False
Completed,0.91,0,1,4743,10.0,0.01,True,False
Completed,0.91,0,1,2743,0.001,0.012,False,False
Completed,0.91,0,5000,4464,7.99,0.0,False,False
Completed,0.91,0,1,4346,6.784,0.0,False,False
Completed,0.91,0,5000,5000,10.0,0.012,True,False
Completed,0.91,0,5000,5000,4.24,0.018,True,False
Completed,0.91,0,4672,177,9.336,0.022,False,False
Completed,0.89,80,1,2,10.0,0.05,False,True
Completed,0.9,74,5000,2,10.0,0.05,False,True
Completed,0.91,102,1,1800,0.001,0.0,False,True
Completed,0.9,59,1,2,0.001,0.05,False,True
Completed,0.91,159,5000,945,10.0,0.0,True,True
Completed,0.91,132,5000,1858,0.001,0.05,False,True
Completed,0.91,1,1127,103,0.001,0.05,True,False
Completed,0.91,0,1,130,10.0,0.0,False,False
Completed,0.91,103,1,957,0.001,0.0,True,True
Completed,0.91,0,1,140,0.001,0.05,False,False
Completed,0.91,86,1,3303,10.0,0.0,True,True
Completed,0.91,103,5000,894,0.001,0.05,True,True
Completed,0.91,103,1,1714,0.001,0.05,True,True
Completed,0.91,102,5000,5000,0.001,0.0,False,True
Completed,0.9,69,1,2,0.001,0.05,True,True
Completed,0.91,97,1,5000,10.0,0.0,False,True
Completed,0.91,136,5000,1843,10.0,0.0,False,True
Completed,0.91,124,1,5000,0.001,0.0,False,True
Completed,0.91,125,1,3290,0.001,0.05,True,True
Completed,0.9,1,1,110,0.001,0.05,True,False
Completed,0.91,0,5000,729,10.0,0.05,True,False
Completed,0.9,55,5000,2,0.001,0.05,True,True
Completed,0.91,113,5000,1792,10.0,0.0,True,True
Completed,0.91,86,1,3163,0.001,0.0,False,True
Completed,0.91,93,5000,4108,0.001,0.0,True,True
Completed,0.91,1,5000,1911,0.001,0.05,True,False
Completed,0.91,1,5000,1194,10.0,0.05,True,False
Completed,0.91,1,5000,517,1.517,0.05,True,False
Completed,0.91,0,1,4594,0.001,0.0,False,False
Completed,0.91,1,1,1487,10.0,0.05,True,False
Completed,0.91,0,5000,420,10.0,0.05,False,False
Completed,0.91,1,4648,663,8.127,0.0,True,False
Completed,0.91,0,2605,959,10.0,0.0,True,False
Completed,0.91,1,2310,1151,10.0,0.0,True,False
Completed,0.91,85,5000,3947,0.001,0.0,True,True
Completed,0.91,85,5000,4218,0.001,0.0,True,True
Completed,0.91,0,1,1212,10.0,0.05,True,False
Completed,0.91,0,3088,1393,10.0,0.05,True,False
Completed,0.91,126,5000,3948,10.0,0.0,True,True
Completed,0.91,0,1,3777,0.001,0.0,True,False
Completed,0.91,1,1707,3780,0.001,0.05,True,False
Completed,0.91,98,1,3926,10.0,0.0,True,True
Completed,0.91,0,1,4696,0.001,0.05,False,False
Completed,0.91,0,5000,4093,10.0,0.05,False,False
Completed,0.91,0,5000,1556,10.0,0.05,True,False
Completed,0.91,1,5000,1760,0.001,0.05,True,False
Completed,0.91,1,5000,2059,0.001,0.05,True,False
Completed,0.91,1,5000,539,0.001,0.05,True,False
Completed,0.91,100,1,4141,0.001,0.0,True,True
Completed,0.91,85,5000,4037,0.001,0.0,True,True
Completed,0.91,1,1227,809,10.0,0.0,True,False
Completed,0.91,0,1,2129,0.001,0.0,False,False
Completed,0.91,93,5000,3907,5.527,0.0,True,True
Completed,0.91,1,1,4523,0.001,0.05,True,False
Completed,0.91,130,1,687,0.001,0.05,True,True
Completed,0.91,80,3613,667,0.001,0.0,True,True
Completed,0.91,0,5000,589,10.0,0.0,False,False
Completed,0.91,106,5000,2933,0.001,0.0,False,True
Completed,0.91,1,5000,432,10.0,0.0,True,False
Completed,0.91,109,1,746,0.001,0.05,False,True
Completed,0.91,108,1,683,0.001,0.0,True,True
Completed,0.91,104,5000,4477,0.001,0.0,False,True
Completed,0.91,98,1,3938,5.296,0.05,False,True
Completed,0.91,0,5000,659,10.0,0.05,False,False
Completed,0.91,127,1,3624,10.0,0.0,False,True
Completed,0.91,138,3646,715,0.001,0.0,False,True
Completed,0.91,0,5000,3416,10.0,0.05,False,False
Completed,0.91,0,1,679,10.0,0.05,False,False
Completed,0.91,0,1,4486,10.0,0.05,False,False
Completed,0.91,92,1,1470,10.0,0.0,True,True
Completed,0.91,0,1,4083,10.0,0.0,True,False
Completed,0.91,0,1,2683,10.0,0.0,False,False
Completed,0.91,0,1,4177,10.0,0.05,True,False
Completed,0.91,96,1,4511,0.001,0.0,False,True
Completed,0.91,105,1,2510,0.001,0.0,False,True
Completed,0.91,0,5000,4201,0.001,0.0,False,False
Completed,0.91,105,5000,649,0.001,0.05,True,True
Completed,0.91,104,5000,4465,0.001,0.0,True,True
Completed,0.91,95,5000,2959,0.001,0.0,True,True
Completed,0.91,95,5000,1429,10.0,0.0,True,True
Completed,0.91,0,5000,3569,0.001,0.0,True,False
Completed,0.91,94,5000,2986,0.001,0.05,False,True
Completed,0.91,0,5000,622,0.001,0.05,False,False
Completed,0.91,0,5000,466,10.0,0.0,False,False
Completed,0.91,1,5000,292,10.0,0.0,True,False
Completed,0.91,0,2640,53,10.0,0.05,False,False
Completed,0.91,1,3582,311,10.0,0.05,True,False
Completed,0.91,1,5000,4443,0.001,0.0,True,False
Completed,0.91,1,4095,2572,6.816,0.0,True,False
Completed,0.91,1,5000,2850,0.001,0.0,True,False
Completed,0.91,1,2497,577,10.0,0.05,True,False
Completed,0.91,1,1477,2542,10.0,0.05,True,False
Completed,0.91,81,1,3769,0.001,0.05,True,True
Completed,0.91,0,2098,546,10.0,0.05,False,False
Completed,0.91,0,4999,4630,10.0,0.0,False,False
Completed,0.91,0,2739,3652,0.001,0.05,False,False
Completed,0.91,1,1,2592,10.0,0.0,True,False
Completed,0.91,1,1688,4404,0.001,0.0,True,False
Completed,0.91,1,5000,4841,10.0,0.05,True,False
