Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.17,29,829,598,4.772,0.02,False,False
Completed,0.57,36,624,4258,2.201,0.018,False,False
Completed,0.19,30,2370,2360,8.487,0.045,False,False
Completed,0.92,2316,5000,219,7.264,0.039,True,True
Completed,0.91,5898,3334,384,10.0,0.042,True,True
Completed,0.19,26,2285,4009,9.746,0.046,False,False
Completed,0.6,28,2904,791,1.173,0.004,False,False
Completed,0.19,26,3876,3512,9.58,0.05,False,False
Completed,0.19,22,3525,1834,9.659,0.042,False,False
Completed,0.67,35,4505,3877,1.095,0.012,False,False
Completed,0.36,29,4801,130,3.694,0.033,False,False
Completed,0.19,6908,1,2,9.2,0.05,False,False
Completed,0.93,1437,2063,15,9.28,0.042,False,True
Completed,0.55,33,2363,3523,2.209,0.05,False,False
Completed,0.19,30,2553,1404,7.162,0.015,False,False
Completed,0.75,53,3406,3693,0.958,0.015,False,False
Completed,0.56,27,106,916,3.667,0.03,False,False
Completed,0.92,2671,1190,246,8.132,0.012,True,True
Completed,0.19,22,4454,4510,3.371,0.048,False,False
Completed,0.19,30,3393,2336,5.651,0.036,False,False
Completed,0.19,26,3966,4195,4.442,0.001,False,False
Completed,0.55,28,4972,348,2.024,0.011,False,False
Completed,0.19,28,2972,3457,8.237,0.026,False,False
Completed,0.92,2502,2058,189,5.056,0.007,False,True
Completed,0.92,2467,3705,135,7.835,0.013,False,True
Completed,0.69,37,5000,3515,1.181,0.05,False,False
Completed,0.91,5928,1,439,3.299,0.05,False,True
Completed,0.19,25,813,4142,9.455,0.029,False,False
Completed,0.6,44,3044,2393,3.554,0.022,False,False
Completed,0.72,38,4093,658,0.792,0.04,False,False
Completed,0.19,29,3577,2514,9.577,0.024,False,False
Completed,0.19,25,1500,3745,6.064,0.043,False,False
Completed,0.92,2782,5000,215,10.0,0.015,True,True
Completed,0.92,1017,5000,29,4.354,0.05,False,True
Completed,0.92,3971,5000,215,10.0,0.025,False,True
Completed,0.63,30,5000,328,1.752,0.0,False,False
Completed,0.62,39,956,4564,1.157,0.045,False,False
Completed,0.8,65,3656,1985,0.001,0.03,False,False
Completed,0.92,873,5000,29,4.242,0.021,True,True
Completed,0.91,5634,4972,348,2.155,0.019,False,True
Completed,0.92,1852,5000,162,8.721,0.05,False,True
Completed,0.61,31,3989,1567,2.539,0.05,False,False
Completed,0.92,1989,1,138,6.488,0.05,True,True
Completed,0.19,31,5000,5000,8.728,0.0,False,False
Completed,0.19,25,1,5000,8.274,0.0,False,False
Completed,0.47,30,1706,1574,4.104,0.05,False,False
Completed,0.92,1612,675,112,4.143,0.05,True,True
