Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.06,140,2228,3967,9.047,0.039,False,False
Completed,0.07,288,1451,2160,2.182,0.038,False,False
Completed,0.06,107,4489,4782,5.678,0.017,False,False
Completed,0.1,477,20,1309,0.562,0.05,False,False
Completed,0.1,371,4995,1828,0.481,0.05,False,False
Completed,0.1,596,1,830,0.324,0.05,False,False
Completed,0.1,395,5000,2521,0.65,0.05,False,False
Completed,0.11,556,1,568,0.133,0.025,False,False
Completed,0.09,470,1,568,0.668,0.05,False,False
Completed,0.12,550,5000,1335,0.001,0.0,False,False
Completed,0.1,410,5000,4806,0.001,0.0,False,False
Completed,0.11,352,14,4812,0.001,0.0,False,False
Completed,0.11,424,1,2490,0.001,0.0,False,False
Completed,0.11,394,2843,4116,0.001,0.0,False,False
Completed,0.1,405,5000,5000,0.001,0.05,False,False
Completed,0.11,389,5000,2685,0.001,0.0,False,False
Completed,0.07,98,1972,5000,3.881,0.0,False,False
Completed,0.09,409,1371,1430,0.472,0.05,False,False
Completed,0.11,466,2648,711,0.718,0.043,False,False
Completed,0.06,136,3154,3698,3.017,0.047,False,False
Completed,0.06,105,3813,2146,8.056,0.019,False,False
Completed,0.06,116,2167,1957,6.081,0.004,False,False
Completed,0.09,325,248,3531,0.963,0.031,False,False
Completed,0.05,303,827,893,2.804,0.034,False,False
Completed,0.06,101,1409,4947,7.688,0.008,False,False
Completed,0.1,368,2195,1732,0.802,0.007,False,False
Completed,0.06,93,354,2662,5.92,0.034,False,False
Completed,0.06,186,1033,336,7.849,0.03,False,False
Completed,0.07,133,1693,3785,2.965,0.005,False,False
Completed,0.09,258,4912,3913,1.191,0.02,False,False
Completed,0.06,162,2993,486,6.151,0.046,False,False
Completed,0.05,248,319,539,3.93,0.015,False,False
Completed,0.06,104,365,991,9.318,0.04,False,False
Completed,0.06,90,5000,5000,8.256,0.0,False,False
Completed,0.06,101,2062,1700,5.308,0.036,False,False
Completed,0.06,113,346,3248,3.472,0.016,False,False
Completed,0.1,455,793,1135,0.483,0.024,False,False
Completed,0.06,97,1577,3972,8.256,0.026,False,False
Completed,0.06,91,2793,3761,5.555,0.046,False,False
Completed,0.06,235,4820,973,3.172,0.006,False,False
Completed,0.11,291,4063,3391,0.224,0.007,False,False
Completed,0.06,95,3590,1814,8.544,0.041,False,False
Completed,0.06,96,2921,4396,3.735,0.042,False,False
Completed,0.06,153,4644,319,5.024,0.007,False,False
Completed,0.06,89,4151,2737,8.284,0.005,False,False
Completed,0.1,346,3375,2449,0.433,0.046,False,False
Completed,0.07,114,2246,2316,3.378,0.027,False,False
Completed,0.06,94,212,2653,5.37,0.023,False,False
Completed,0.06,133,4347,2076,3.621,0.045,False,False
Completed,0.1,361,4526,4814,0.319,0.044,False,False
Completed,0.11,359,1481,4587,0.118,0.037,False,False
Completed,0.06,111,1423,2467,7.058,0.013,False,False
Completed,0.04,537,192,376,2.467,0.048,False,False
Completed,0.06,90,2226,4423,8.756,0.002,False,False
Completed,0.06,92,3431,4565,7.394,0.022,False,False
Completed,0.04,209,4212,489,3.839,0.03,False,False
Completed,0.07,226,4661,2592,2.141,0.031,False,False
Completed,0.06,97,2942,2304,9.133,0.017,False,False
Completed,0.06,92,3533,3911,4.256,0.016,False,False
Completed,0.06,105,4002,1124,7.029,0.032,False,False
Completed,0.06,90,4803,3227,9.039,0.031,False,False
Completed,0.06,321,2772,1650,2.204,0.021,False,False
Completed,0.05,119,1635,1871,3.946,0.001,False,False
Completed,0.06,93,852,3418,7.266,0.048,False,False
