Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.73,93,947,3526,531,141,82
Completed,0.71,130,3139,4607,907,246,175
Completed,0.73,151,1514,4590,486,142,76
Completed,0.73,128,327,2550,554,50,6
Completed,0.71,26,4956,930,304,198,153
Completed,0.7,59,2138,2203,138,187,120
Completed,0.76,60,58,1607,566,49,5
Completed,0.74,50,1950,1858,673,223,51
Completed,0.74,455,3073,4628,604,67,1
Completed,0.73,74,661,2494,220,177,8
Completed,0.73,91,969,2667,513,199,2
Completed,0.73,187,2755,543,186,61,6
Completed,0.74,188,4535,4176,996,162,10
Completed,0.73,422,1655,1378,327,82,3
Completed,0.74,162,2380,4690,77,101,5
Completed,0.73,200,3853,1941,746,144,8
Completed,0.74,803,3133,3386,436,13,7
Completed,0.74,144,3720,3771,240,196,8
Completed,0.73,306,4283,294,925,93,7
Completed,0.69,81,2028,3053,256,167,1
Completed,0.74,88,1460,838,6,157,2
Completed,0.73,401,4808,3625,675,103,7
Completed,0.71,86,2313,3408,956,213,189
Completed,0.74,137,4507,4711,607,171,32
Completed,0.73,162,3881,2088,773,130,24
Completed,0.75,1850,4500,1539,101,23,1
Completed,0.73,157,1778,4335,704,221,8
Completed,0.73,63,2336,2098,954,211,6
Completed,0.75,1147,3966,4847,351,33,2
Completed,0.71,62,3402,1058,532,182,4
Completed,0.73,154,366,3232,148,78,9
Completed,0.74,139,249,3930,469,129,6
Completed,0.69,5,1,1,913,59,7
Completed,0.72,149,1,5000,850,100,1
Completed,0.69,4,1,1,734,47,9
Completed,0.72,138,1,5000,818,133,1
Completed,0.73,33,461,1,619,46,10
Completed,0.69,4,1,1,682,39,7
Completed,0.71,3,1,1,1000,250,10
Completed,0.72,183,1,5000,647,75,4
Completed,0.69,5,1,1,608,61,8
Completed,0.73,17,1,459,668,58,7
Completed,0.73,260,1790,1,704,55,9
Completed,0.73,102,3306,1,114,250,9
Completed,0.71,5,1,1,138,220,10
Completed,0.68,7,1,1,657,53,6
Completed,0.73,165,1363,1,792,57,10
Completed,0.73,91,1,3741,704,77,4
Completed,0.74,176,4254,1,1000,205,10
Completed,0.72,58,1,2122,651,71,6
Completed,0.71,4,1,1,686,30,10
Completed,0.74,385,1866,5000,815,89,3
Completed,0.73,92,2884,1,11,189,10
Completed,0.73,157,1,5000,951,88,2
Completed,0.72,101,1,3562,539,69,5
Completed,0.71,4,1,1,223,250,10
Completed,0.69,4,1,1,761,49,8
Completed,0.69,4,1,1,597,35,9
Completed,0.73,177,5000,5000,847,250,10
Completed,0.69,4,1,1,168,61,8
Completed,0.74,169,4709,1,325,199,10
Completed,0.72,105,1,3613,814,79,3
Completed,0.74,64,2403,129,1000,89,10
Completed,0.73,56,2449,1,1000,90,1
Completed,0.73,121,875,1,1000,80,10
Completed,0.71,135,1,4239,473,244,1
Completed,0.7,51,1,1610,553,236,1
Completed,0.74,131,2286,3839,2,250,1
Completed,0.72,42,1900,176,1000,182,10
Completed,0.74,62,2316,222,1000,98,10
Completed,0.71,16,1,474,2,131,1
Completed,0.72,126,161,4390,428,250,10
Completed,0.73,21,2310,93,1000,250,8
Completed,0.73,141,2590,3782,2,206,1
Completed,0.73,66,2521,1,1000,87,10
Completed,0.74,77,2210,313,1000,22,10
Completed,0.73,108,3080,1,1000,213,1
Completed,0.73,42,1078,371,2,250,1
Completed,0.74,209,1958,4007,2,250,1
Completed,0.69,13,2060,137,1000,162,10
Completed,0.73,202,2667,5000,2,205,1
Completed,0.74,50,2372,1,1000,98,6
Completed,0.73,60,2386,411,1000,101,1
Completed,0.72,30,1681,248,2,202,1
Completed,0.72,26,2754,205,1000,250,1
Completed,0.74,180,2972,5000,1000,200,1
Completed,0.72,37,1424,249,448,250,1
Completed,0.74,141,2339,3741,1000,94,5
Completed,0.73,36,2338,1,1000,103,10
Completed,0.71,48,229,1608,303,238,8
Completed,0.72,60,252,1724,782,232,1
Completed,0.73,139,2963,3658,1000,204,1
Completed,0.73,29,541,472,2,225,1
Completed,0.71,118,1,1571,1000,158,6
Completed,0.72,120,2454,905,1000,84,1
Completed,0.73,24,483,396,1000,214,10
Completed,0.73,23,2391,129,483,250,1
Completed,0.7,5,2002,27,526,250,10
Completed,0.71,173,2191,4063,968,250,1
Completed,0.74,146,4636,5000,2,218,1
Completed,0.58,141,1,4366,1000,232,4
Completed,0.73,169,1791,3852,140,188,1
Completed,0.73,57,1849,749,1000,175,10
Completed,0.73,91,793,513,211,131,4
Completed,0.72,62,561,1,202,118,1
Completed,0.73,88,781,1,1000,125,5
Completed,0.74,96,690,902,378,130,2
Completed,0.75,75,162,1558,145,86,4
Completed,0.73,79,809,1,1000,135,2
Completed,0.73,111,707,1403,1000,129,3
Completed,0.73,69,440,261,1000,116,2
Completed,0.72,150,829,1087,1000,135,4
Completed,0.73,69,1100,1,298,250,10
Completed,0.73,146,5000,1,1000,250,1
Completed,0.74,98,609,1583,2,132,2
Completed,0.72,168,697,120,1000,124,1
Completed,0.74,94,576,851,595,113,4
Completed,0.72,143,688,1189,2,122,1
Completed,0.73,109,548,792,1000,120,1
Completed,0.73,74,606,1,1000,101,6
Completed,0.73,60,981,1,1000,250,8
Completed,0.73,62,999,1,1000,220,5
Completed,0.73,125,568,1687,25,116,1
Completed,0.73,74,518,650,246,131,4
Completed,0.73,84,276,1670,1000,97,4
Completed,0.73,91,835,1,1000,135,4
Completed,0.73,91,588,267,1000,107,5
Completed,0.72,122,2215,3710,2,131,2
Completed,0.74,46,715,602,1000,162,3
Completed,0.73,95,495,148,1000,96,5
Completed,0.75,25,2222,1,2,159,1
Completed,0.73,122,1703,1,1000,232,10
Completed,0.7,6,2037,1,1000,225,1
Completed,0.73,151,1258,1,1000,175,10
Completed,0.73,130,2998,1,662,143,1
Completed,0.73,145,3948,1,1000,250,10
Completed,0.72,44,1,1447,176,108,10
Completed,0.74,24,2246,1,2,184,1
Completed,0.73,139,4347,1,726,250,10
Completed,0.73,44,1523,259,1000,221,10
Completed,0.72,19,1,471,746,106,10
Completed,0.74,453,4239,5000,266,125,1
Completed,0.73,106,4526,1948,1000,250,10
Completed,0.74,359,4229,5000,1000,123,10
Completed,0.73,221,4369,1,882,131,1
Completed,0.73,222,4359,1,474,130,10
Completed,0.74,259,3246,5000,703,160,1
Completed,0.74,124,4180,1,2,250,1
Completed,0.72,141,3060,1,1000,147,10
Completed,0.73,142,1782,1,1000,233,1
Completed,0.74,178,1247,5000,1000,244,1
Completed,0.73,124,3757,1,2,250,1
Completed,0.74,189,2196,5000,111,43,10
Completed,0.71,7,2060,1,2,224,1
Completed,0.71,36,1764,322,1000,233,10
Completed,0.73,369,4142,5000,191,121,8
Completed,0.74,194,2200,5000,608,41,1
Completed,0.74,21,2185,1,554,147,1
Completed,0.73,96,2883,1,2,127,1
Completed,0.73,100,1128,1,2,179,1
Completed,0.73,117,3095,1,2,157,1
Completed,0.73,296,4336,2889,2,127,1
Completed,0.73,16,199,1,577,229,1
Completed,0.74,138,4547,3845,1000,250,10
Completed,0.73,106,1093,1,624,171,10
Completed,0.74,34,2356,1,2,214,1
Completed,0.73,239,1933,1,2,164,1
Completed,0.72,4,1,1,2,103,1
Completed,0.72,232,3781,1,446,93,10
Completed,0.79,11,1,1,1000,2,1
Completed,0.73,43,490,1,1000,196,1
Completed,0.73,136,3748,1,2,186,1
Completed,0.74,58,1297,1120,2,226,1
Completed,0.74,31,199,1,423,28,1
Completed,0.74,35,236,1,1000,33,10
Completed,0.73,207,3626,1,1000,84,10
Completed,0.67,25,2013,689,1000,180,1
Completed,0.72,142,2927,4969,2,250,1
Completed,0.73,215,1923,1,1000,139,5
Completed,0.71,4,1,1,1000,208,1
Completed,0.8,159,1,5000,410,2,1
Completed,0.74,28,2182,1,2,39,1
Completed,0.73,115,3684,1,1000,211,10
Completed,0.72,85,2985,2329,2,250,1
Completed,0.75,32,208,1,1000,46,3
Completed,0.68,36,2100,1053,1000,209,6
Completed,0.8,23,8,1,2,2,1
Completed,0.73,32,2301,1,1000,162,1
Completed,0.74,29,2308,1,1000,161,8
Completed,0.72,4,1,1,1000,21,1
Completed,0.74,197,43,1283,978,2,1
