Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.7,163,2852,2378,2,90,1
Completed,0.69,220,1591,3357,317,202,2
Completed,0.69,229,4911,4645,185,153,7
Completed,0.7,421,3654,4110,299,53,1
Completed,0.58,123,2002,4799,529,183,10
Completed,0.61,127,2892,1551,70,4,3
Completed,0.65,85,178,1702,725,36,5
Completed,0.68,143,333,2900,204,96,6
Completed,0.68,158,4444,911,648,212,4
Completed,0.68,270,743,3948,892,21,3
Completed,0.61,20,242,794,718,217,149
Completed,0.7,305,4566,2992,386,31,10
Completed,0.64,138,3471,1990,544,238,8
Completed,0.67,238,1325,4360,116,74,5
Completed,0.68,57,2125,1290,252,122,3
Completed,0.67,154,3100,4862,839,192,6
Completed,0.67,243,3885,80,251,42,9
Completed,0.65,162,4151,2207,448,169,7
Completed,0.67,175,2736,2736,610,65,9
Completed,0.65,75,2470,1072,55,244,1
Completed,0.68,154,3185,337,776,117,10
Completed,0.69,85,542,699,957,164,2
Completed,0.64,126,72,4387,494,225,8
Completed,0.68,169,1434,2042,854,139,8
Completed,0.69,218,3992,3509,973,235,5
Completed,0.67,139,1214,182,433,87,7
Completed,0.64,105,874,2455,139,206,9
Completed,0.56,81,1877,1,1000,211,9
Completed,0.68,216,4846,4824,1000,199,3
Completed,0.69,230,4412,5000,1000,89,8
Completed,0.64,43,673,102,160,215,10
Completed,0.66,178,1621,4510,1000,220,2
Completed,0.6,249,1,562,1000,181,7
Completed,0.58,249,1,708,2,113,1
Completed,0.66,126,674,4584,1000,235,1
Completed,0.67,278,5000,4504,1000,37,9
Completed,0.66,176,1214,154,1000,156,6
Completed,0.68,110,1451,590,851,171,8
Completed,0.54,6,1,1,2,179,1
Completed,0.52,5,1,1,1000,160,8
Completed,0.65,144,3231,4399,1000,199,1
Completed,0.68,165,4281,5000,330,185,1
Completed,0.58,23,1,1600,2,87,1
Completed,0.6,30,1,1366,1000,113,6
Completed,0.57,23,1,1834,1000,93,10
Completed,0.6,86,4162,1,1000,157,4
Completed,0.6,100,1125,1,1000,250,1
Completed,0.66,191,5000,3183,1000,250,10
Completed,0.66,85,935,412,1000,250,10
Completed,0.63,162,5000,1,1000,250,1
Completed,0.71,133,1182,1838,1000,250,1
Completed,0.65,197,4466,4380,1000,250,10
Completed,0.66,134,5000,1950,2,250,1
Completed,0.6,65,3009,1,2,250,1
Completed,0.65,122,346,5000,1000,250,10
Completed,0.69,93,1191,2020,2,250,1
Completed,0.71,604,1145,1381,1000,2,1
Completed,0.6,51,703,1,2,250,1
Completed,0.66,206,5000,3198,2,250,1
Completed,0.58,39,668,1,1000,250,6
Completed,0.6,51,867,1,1000,121,10
Completed,0.63,67,2832,1,1000,250,1
Completed,0.58,77,5000,1,1000,250,10
Completed,0.67,228,4649,3062,1000,250,1
Completed,0.7,174,1194,1611,1000,143,1
Completed,0.68,88,2649,2244,1000,250,1
Completed,0.65,149,3917,5000,1000,250,10
Completed,0.68,158,5000,2093,1000,250,1
Completed,0.6,25,483,1,1000,250,10
Completed,0.69,98,1356,507,2,250,1
Completed,0.66,102,894,2231,1000,250,10
Completed,0.62,50,3098,1,1000,250,10
Completed,0.61,151,5000,1,2,250,1
Completed,0.8,901,1090,1,1000,2,1
Completed,0.72,227,1284,1310,2,77,1
Completed,0.66,153,1407,1340,2,167,1
Completed,0.72,710,1150,1316,2,2,1
Completed,0.72,188,1324,1834,1000,99,1
Completed,0.69,125,1207,1957,1000,153,5
Completed,0.57,55,1292,1,280,198,6
Completed,0.67,135,907,3052,1000,140,10
Completed,0.66,123,605,5000,2,250,1
Completed,0.68,147,1417,931,2,179,1
Completed,0.65,127,1590,1076,1000,250,1
Completed,0.66,267,4032,2723,1000,21,10
Completed,0.68,180,1413,1276,2,120,1
Completed,0.68,258,1255,1813,1000,42,1
Completed,0.69,151,569,3508,1000,78,10
Completed,0.67,587,3697,2479,1000,161,10
Completed,0.67,562,1188,1351,211,196,1
Completed,0.69,193,4591,3523,1000,136,10
Completed,0.67,149,1537,1882,1000,180,1
Completed,0.67,79,1239,698,337,250,4
Completed,0.6,60,3776,1,179,223,10
Completed,0.68,137,985,1637,348,63,8
Completed,0.69,895,4617,5000,2,2,1
Completed,0.7,326,5000,3305,1000,133,1
Completed,0.67,156,1049,1567,1000,51,6
Completed,0.6,57,619,1,1000,146,5
Completed,0.68,280,4450,3753,2,125,1
Completed,0.69,168,1114,1885,1000,104,5
Completed,0.66,97,1115,2529,1000,250,5
Completed,0.7,354,5000,3388,1000,50,4
Completed,0.61,66,930,1,1000,105,6
Completed,0.69,134,398,5000,1000,72,7
Completed,0.68,174,1152,2756,1000,250,1
Completed,0.7,190,3247,597,1000,116,1
Completed,0.65,146,1752,2596,2,250,1
Completed,0.57,92,1,5000,1000,198,5
Completed,0.68,177,3019,2471,1000,162,1
Completed,0.7,450,4839,3296,2,87,1
Completed,0.67,235,5000,5000,2,141,1
Completed,0.71,341,1310,415,1000,47,1
Completed,0.67,260,3675,4026,943,26,9
Completed,0.7,240,5000,3322,1000,87,10
Completed,0.72,354,4234,3311,1000,82,1
Completed,0.64,108,1152,1102,1000,170,4
Completed,0.56,71,1059,1,1000,195,4
Completed,0.68,80,2504,1,211,74,1
Completed,0.66,124,1066,1,1000,31,8
Completed,0.68,210,3233,5000,1000,114,1
Completed,0.71,148,1131,2445,1000,103,3
Completed,0.69,234,4235,3324,1000,147,1
Completed,0.72,283,1235,2208,1000,72,1
Completed,0.71,306,5000,2521,1000,94,5
Completed,0.65,112,1105,1068,1000,250,6
Completed,0.66,226,1898,2814,1000,186,10
Completed,0.61,45,2018,1768,1000,127,1
Completed,0.71,296,994,1748,1000,26,1
Completed,0.69,347,4087,3522,1000,99,5
Completed,0.69,308,3974,4744,1000,51,10
Completed,0.69,109,1061,1186,1000,109,6
Completed,0.7,155,1389,2448,2,125,1
Completed,0.72,518,5000,2843,1000,60,1
Completed,0.64,44,387,1,1000,37,10
Completed,0.72,270,1073,1419,2,39,1
Completed,0.68,222,3982,3993,1000,250,1
Completed,0.67,204,3168,5000,1000,21,10
Completed,0.69,317,5000,3703,1000,100,1
Completed,0.71,200,1078,2648,1000,100,1
Completed,0.67,119,1118,2635,2,155,1
Completed,0.71,432,4376,3137,2,61,1
Completed,0.71,176,1070,2530,2,108,1
Completed,0.6,79,4460,1,1000,250,6
Completed,0.55,6,1,1,1000,77,8
Completed,0.69,456,919,1820,1000,2,1
Completed,0.75,390,5000,911,1000,61,1
Completed,0.69,180,3622,5000,1000,136,9
Completed,0.69,174,884,2307,1000,50,9
Completed,0.67,309,5000,1743,1000,26,7
Completed,0.66,215,3051,1324,309,20,5
Completed,0.67,322,1600,3508,683,170,6
Completed,0.68,100,826,735,182,92,10
Completed,0.68,186,4522,4176,806,222,1
Completed,0.68,191,4026,354,566,218,2
Completed,0.68,90,77,4420,441,96,9
Completed,0.69,78,2350,2271,939,143,7
Completed,0.71,227,3546,2580,65,47,4
Completed,0.68,189,3365,1197,904,120,7
Completed,0.69,194,1914,4006,30,193,4
Completed,0.72,139,515,1780,531,54,1
Completed,0.69,237,4211,3346,406,136,10
Completed,0.68,187,4965,2121,225,179,9
Completed,0.68,283,1016,3063,849,11,2
Completed,0.68,84,1414,211,352,244,3
Completed,0.68,171,2610,4895,726,70,8
Completed,0.61,67,2771,34,33,155,1
Completed,0.66,201,1252,4725,907,34,10
Completed,0.66,96,1166,2030,410,206,6
Completed,0.69,290,4814,2964,535,109,5
Completed,0.69,228,4372,1571,837,82,4
Completed,0.66,106,354,3130,213,233,7
Completed,0.61,33,2066,1059,714,30,9
Completed,0.68,181,3213,3875,340,159,2
Completed,0.67,124,3708,2485,633,242,9
Completed,0.72,138,2189,2801,258,73,2
Completed,0.67,32,228,497,755,182,5
Completed,0.67,254,3876,4556,131,8,6
Completed,0.71,302,4683,917,500,58,7
Completed,0.68,164,665,4351,625,131,4
Completed,0.7,218,1752,1420,123,116,3
Completed,0.64,157,2899,3612,997,199,8
Completed,0.69,82,2852,627,503,164,4
Completed,0.69,309,1871,4068,378,26,7
Completed,0.64,62,712,1373,876,228,9
Completed,0.69,306,4564,3557,2,86,2
Completed,0.68,279,3751,2223,371,105,1
Completed,0.64,70,270,2532,745,209,10
Completed,0.7,74,2313,461,244,38,6
Completed,0.69,199,3665,4527,868,152,5
Completed,0.65,92,3166,1847,162,202,8
Completed,0.67,117,2185,3414,786,112,3
Completed,0.72,65,400,1110,289,128,3
Completed,0.68,341,4253,3919,663,62,8
Completed,0.67,196,1209,4983,91,186,1
Completed,0.73,181,1377,2053,593,77,4
Completed,0.69,116,2729,2994,468,237,6
Completed,0.7,117,2578,1922,774,43,2
Completed,0.67,173,1528,2856,150,147,9
Completed,0.66,87,1047,83,652,101,7
Completed,0.67,197,4851,4774,277,214,4
Completed,0.69,118,4102,1011,95,226,5
Completed,0.67,132,552,3827,970,89,6
Completed,0.57,50,2024,1678,472,166,10
Completed,0.7,380,3327,3237,597,23,1
Completed,0.69,229,3514,565,437,66,8
Completed,0.67,104,2464,4624,562,248,3
Completed,0.66,57,109,2397,60,14,3
Completed,0.68,160,3913,2714,934,175,8
Completed,0.67,151,4413,1509,694,140,6
Completed,0.68,186,863,3700,320,49,5
Completed,0.67,123,1710,848,817,190,1
Completed,0.67,157,3013,4282,193,125,9
Completed,0.68,74,3008,407,855,249,7
Completed,0.69,249,1645,4466,231,65,4
Completed,0.69,99,930,2239,728,174,2
Completed,0.65,197,4422,2554,354,16,9
Completed,0.69,206,3984,1350,20,51,10
Completed,0.64,112,122,3541,894,139,1
Completed,0.7,67,2453,690,393,123,5
Completed,0.68,182,3444,4124,517,190,6
Completed,0.68,123,3319,2077,451,148,3
Completed,0.69,316,1956,3010,576,42,8
Completed,0.65,42,616,236,78,213,8
Completed,0.69,359,4108,4928,952,101,3
Completed,0.7,322,4921,1164,677,89,1
Completed,0.67,207,1059,3980,303,225,10
Completed,0.66,232,1514,1833,804,23,7
Completed,0.67,141,2505,3391,180,168,5
Completed,0.69,84,2657,1695,611,113,9
Completed,0.66,175,1363,3260,486,202,2
Completed,0.71,183,1220,955,988,61,4
Completed,0.7,272,4760,3764,114,128,7
Completed,0.64,140,4259,145,260,186,6
Completed,0.62,36,2118,1900,137,237,1
Completed,0.7,217,3157,2841,761,78,10
Completed,0.68,325,3596,786,211,27,3
Completed,0.65,124,2302,4228,835,162,8
Completed,0.67,85,283,1532,334,85,8
Completed,0.65,175,3823,3715,709,230,3
Completed,0.64,112,4573,2381,921,211,5
Completed,0.67,121,779,2690,47,104,6
Completed,0.69,132,1806,620,545,150,10
Completed,0.7,247,2846,4687,420,39,2
Completed,0.71,128,2967,2327,82,74,6
Completed,0.67,121,1760,2643,956,240,5
Completed,0.71,345,659,338,454,7,1
Completed,0.67,254,4619,4397,579,183,10
Completed,0.68,138,3864,758,792,133,9
Completed,0.68,105,159,4191,168,58,2
Completed,0.6,60,2261,1263,665,197,4
Completed,0.69,239,3721,3453,290,117,7
Completed,0.66,185,3278,188,739,35,4
Completed,0.64,90,2072,4880,365,155,7
Completed,0.67,67,345,2184,866,108,10
Completed,0.7,204,4305,3117,242,206,1
Completed,0.67,134,4800,1725,388,233,2
Completed,0.71,221,1095,3283,513,81,9
Completed,0.66,107,1322,1213,15,159,8
Completed,0.68,350,2782,4030,890,31,3
Completed,0.67,72,2621,1044,322,195,10
Completed,0.68,246,1483,3853,696,120,1
Completed,0.71,117,943,1626,199,135,5
Completed,0.7,306,4952,3191,823,54,6
