Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.74,15,3224,463,69,241,2
Completed,0.74,38,3107,3761,262,218,1
Completed,0.74,20,2104,1056,867,67,6
Completed,0.74,24,848,2639,159,185,10
Completed,0.71,333,4373,2219,717,34,5
Completed,0.72,126,3975,4815,247,94,8
Completed,0.74,47,4891,4351,673,175,2
Completed,0.73,12,2200,1113,150,186,6
Completed,0.73,16,4544,1623,491,198,184
Completed,0.73,13,1353,1281,740,229,226
Completed,0.72,85,4717,659,426,118,10
Completed,0.73,37,113,4203,953,230,4
Completed,0.7,406,1351,1996,25,22,1
Completed,0.73,66,3469,2826,599,135,6
Completed,0.74,33,2727,1399,793,157,7
Completed,0.72,72,2484,3459,337,61,3
Completed,0.74,15,1246,2,626,191,4
Completed,0.73,37,291,787,208,48,8
Completed,0.74,34,1528,2995,755,204,9
Completed,0.72,171,3644,2185,369,77,3
Completed,0.73,59,2511,3611,56,101,5
Completed,0.74,17,2270,1532,575,243,9
Completed,0.72,212,1033,4990,404,9,6
Completed,0.73,53,3758,196,970,152,1
Completed,0.75,32,4160,2792,440,223,7
Completed,0.73,50,631,2352,935,120,3
Completed,0.73,86,1888,3936,105,132,4
Completed,0.71,135,2893,1250,523,28,8
Completed,0.72,144,3400,4547,838,52,10
Completed,0.73,31,1771,591,288,171,5
Completed,0.72,70,513,3426,737,81,1
Completed,0.72,105,1596,4399,557,106,8
Completed,0.73,36,5000,1148,1000,168,10
Completed,0.74,25,5000,1999,1000,178,10
Completed,0.74,25,5000,909,858,250,10
Completed,0.73,2,1,1,126,225,8
Completed,0.73,2,1,1,1000,220,10
Completed,0.73,5,1,316,1000,250,6
Completed,0.74,30,5000,2362,1000,250,3
Completed,0.74,25,5000,1264,2,223,1
Completed,0.73,45,1561,1,2,216,1
Completed,0.74,51,4351,5000,1000,196,6
Completed,0.73,10,1,942,2,247,1
Completed,0.74,27,5000,1,1000,236,4
Completed,0.73,31,1,3588,1000,161,1
Completed,0.74,21,5000,732,1000,193,10
Completed,0.74,13,1802,1,1000,224,10
Completed,0.71,2,1,1,2,249,1
Completed,0.74,15,1145,762,2,223,1
Completed,0.74,11,3512,1,1000,191,10
Completed,0.73,28,1,3552,496,165,10
Completed,0.74,34,2944,2619,1000,250,1
Completed,0.74,29,5000,764,1000,231,2
Completed,0.74,16,2884,800,1000,206,1
Completed,0.75,17,5000,697,2,202,1
Completed,0.74,30,710,2567,1000,247,10
Completed,0.73,49,5000,1,2,224,1
Completed,0.74,31,2903,2529,1000,190,1
Completed,0.74,25,3653,1060,1000,250,6
Completed,0.74,5,54,248,1000,176,10
Completed,0.74,23,3688,1714,1000,239,7
Completed,0.73,22,2874,1821,1000,186,10
Completed,0.74,16,231,1202,1000,227,5
Completed,0.74,9,2989,1,1000,250,7
Completed,0.74,29,3666,2723,2,192,1
Completed,0.74,32,1661,2397,1000,191,1
Completed,0.74,15,1216,18,1000,190,10
Completed,0.74,31,3624,2181,1000,240,10
Completed,0.74,48,3520,5000,1000,248,10
Completed,0.74,24,3316,1674,1000,190,6
Completed,0.73,16,1473,694,1000,181,10
Completed,0.74,32,3410,2555,1000,200,3
Completed,0.73,20,2402,1772,1000,180,1
Completed,0.73,29,1,2433,1000,206,1
Completed,0.73,38,232,5000,1000,203,1
Completed,0.74,9,1573,1,1000,250,10
Completed,0.74,47,1346,3884,1000,200,1
Completed,0.74,55,2911,3986,1000,169,10
Completed,0.74,46,3494,2976,1000,250,10
Completed,0.73,16,2042,1487,1000,230,5
Completed,0.74,48,1719,4960,1000,186,5
Completed,0.73,3,2091,1,1000,161,10
Completed,0.72,2,1,1,1000,165,10
Completed,0.74,21,1082,991,1000,230,6
Completed,0.75,27,3413,1945,1000,206,10
Completed,0.74,11,3640,1,1000,243,10
Completed,0.74,36,4288,2942,2,203,1
Completed,0.73,15,1,1063,1000,219,4
Completed,0.74,7,2366,1,1000,250,4
Completed,0.74,48,4783,5000,777,234,10
Completed,0.74,27,3017,2454,2,188,1
Completed,0.72,1,1,1,1000,122,10
Completed,0.74,20,1666,783,1000,200,10
Completed,0.73,19,1,1528,1000,226,8
Completed,0.73,2,1,1,1000,241,10
Completed,0.74,30,3265,2441,1000,189,3
Completed,0.74,44,5000,5000,2,250,1
Completed,0.74,28,1615,1,1000,136,10
Completed,0.73,1,1,1,1000,183,1
Completed,0.74,46,3204,5000,2,250,1
Completed,0.74,62,5000,5000,1000,250,1
Completed,0.73,45,1,5000,1000,210,10
Completed,0.74,28,3219,1846,2,231,2
Completed,0.74,39,502,5000,2,234,1
Completed,0.73,35,1835,1,1000,125,10
Completed,0.75,38,3941,1812,919,230,4
Completed,0.74,47,1389,5000,1000,225,10
Completed,0.74,41,5000,5000,1000,183,10
Completed,0.73,51,1,5000,1000,195,10
Completed,0.74,58,1537,5000,884,250,1
Completed,0.73,73,5000,2886,1000,149,1
Completed,0.72,134,5000,4789,1000,130,1
Completed,0.74,58,4059,5000,1000,250,1
Completed,0.74,18,4056,1,1000,182,7
Completed,0.74,28,1453,1,1000,241,7
Completed,0.74,12,3161,1,1000,233,8
Completed,0.74,17,5000,1,1000,196,7
Completed,0.74,4,2338,1,1000,238,8
Completed,0.74,22,3737,702,1000,232,9
Completed,0.74,40,4456,2812,2,239,1
Completed,0.74,20,5000,1,1000,239,8
Completed,0.73,2,1,1,1000,144,10
Completed,0.73,46,1548,1,1000,250,1
Completed,0.74,25,3867,1507,1000,229,10
Completed,0.74,11,3250,1,1000,179,9
Completed,0.75,14,5000,1,1000,232,10
Completed,0.74,49,5000,5000,2,223,1
Completed,0.73,2,1,1,1000,154,6
Completed,0.74,33,5000,1,670,168,6
Completed,0.73,2,1,1,1000,173,6
Completed,0.73,15,367,1,2,164,1
Completed,0.74,32,5000,2186,1000,213,10
Completed,0.74,17,4092,1,1000,250,6
Completed,0.74,15,3169,1,1000,164,10
Completed,0.74,28,3560,1,1000,151,10
Completed,0.74,10,2986,1,1000,250,10
Completed,0.75,26,3550,2021,1000,221,7
Completed,0.74,6,598,1,1000,236,10
