Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.6,1208,462,5,0.851,3981
Completed,0.57,40,476,2,0.4,1378
Completed,0.61,1496,353,4,0.376,1458
Completed,0.57,42,1,4,0.312,5000
Completed,0.61,431,65,4,0.275,931
Completed,0.59,49,1,4,0.001,3093
Completed,0.61,523,162,4,0.41,1405
Completed,0.62,2291,222,4,0.001,4175
Completed,0.62,1114,2139,4,0.209,1960
Completed,0.57,37,411,4,0.618,2990
Completed,0.58,44,1,4,0.222,2310
Completed,0.59,1712,4667,4,0.464,2714
Completed,0.57,35,2805,4,0.862,1115
Completed,0.57,36,1087,4,0.721,2950
Completed,0.6,904,2704,4,0.471,2173
Completed,0.57,42,1,4,0.2,5000
Completed,0.61,4757,694,4,0.239,2040
Completed,0.62,4561,456,4,0.018,4621
Completed,0.57,36,835,1,0.4,4369
Completed,0.57,304,2359,7,0.929,889
Completed,0.71,2679,2916,3,0.176,2764
Completed,0.57,39,2568,4,0.946,3755
Completed,0.57,1756,2160,0,0.194,1891
Completed,0.71,7,1,3,0.001,1
Completed,0.72,6566,5000,3,0.001,5000
Completed,0.63,30,1,3,0.418,5000
Completed,0.71,8,1,3,0.381,1
Completed,0.6,24,1,3,0.791,1001
Completed,0.57,35,1,2,0.999,2995
Completed,0.57,36,5000,5,0.999,4300
Completed,0.61,7660,2974,5,0.541,2651
Completed,0.57,44,4178,1,0.98,3037
Completed,0.57,34,5000,5,0.999,1674
Completed,0.74,1166,2220,3,0.198,1
Completed,0.61,6716,3088,5,0.562,2093
Completed,0.58,1430,2129,5,0.001,2809
Completed,0.64,37,1,5,0.812,1665
Completed,0.57,34,4498,5,0.999,1832
Completed,0.69,188,2155,3,0.504,155
Completed,0.71,2383,1658,3,0.532,561
Completed,0.7,941,660,3,0.483,585
Completed,0.71,3430,3620,3,0.433,254
Completed,0.7,104,2072,3,0.441,415
Completed,0.63,1765,5000,3,0.685,521
Completed,0.69,549,416,3,0.465,600
Completed,0.74,71,2017,3,0.599,1
Completed,0.74,2994,404,3,0.487,1
Completed,0.74,1084,2218,3,0.506,1
Completed,0.71,1879,3644,3,0.57,413
Completed,0.71,7,1,3,0.215,1
Completed,0.74,6890,874,3,0.222,1
Completed,0.68,30,1,3,0.302,2656
Completed,0.57,27,1,1,0.001,1
Completed,0.65,1157,722,3,0.323,5000
Completed,0.57,36,4007,7,0.999,5000
Completed,0.71,8,1,3,0.999,1
Completed,0.58,24,1,6,0.999,1
Completed,0.66,33,1,3,0.267,5000
Completed,0.57,39,1,7,0.999,5000
Completed,0.57,36,3913,2,0.999,5000
Completed,0.61,28,5000,3,0.999,5000
Completed,0.57,44,1,0,0.001,5000
Completed,0.71,8,1,3,0.124,1
Completed,0.57,36,4841,1,0.999,5000
Completed,0.57,36,1667,7,0.999,5000
Completed,0.7,29,1,3,0.205,2459
Completed,0.57,47,1,7,0.105,5000
Completed,0.63,1310,1136,3,0.507,4495
Completed,0.57,54,1,7,0.702,5000
Completed,0.61,35,1652,3,0.999,5000
Completed,0.57,34,5000,7,0.999,2493
Completed,0.57,29,1,5,0.999,533
Completed,0.73,3978,1075,3,0.001,1818
Completed,0.57,36,1,7,0.999,2755
Completed,0.57,49,1,1,0.001,5000
Completed,0.57,37,1,4,0.999,5000
Completed,0.57,38,1,7,0.001,263
Completed,0.57,25,1,7,0.999,1
Completed,0.74,6776,872,3,0.999,1
Completed,0.57,49,5000,2,0.999,3338
Completed,0.61,28,2968,3,0.999,4447
Completed,0.57,51,1,1,0.001,2361
Completed,0.57,26,1,2,0.001,1
Completed,0.72,28,1,3,0.001,1191
Completed,0.57,54,1,7,0.001,3044
Completed,0.73,2687,2703,3,0.001,964
Completed,0.63,30,1,3,0.603,5000
Completed,0.58,26,1,6,0.473,1
Completed,0.57,24,1,0,0.001,1
Completed,0.61,29,5000,3,0.999,4288
Completed,0.58,46,1,6,0.001,3971
Completed,0.57,37,1,6,0.999,5000
Completed,0.57,6581,2644,0,0.001,3169
Completed,0.57,39,1,2,0.398,5000
Completed,0.58,25,1,5,0.683,1
Completed,0.73,1543,2434,3,0.001,1601
Completed,0.57,51,1,2,0.001,5000
Completed,0.57,46,1,0,0.001,3189
Completed,0.57,25,1,7,0.525,1
Completed,0.58,45,1,6,0.001,2141
Completed,0.57,33,1,1,0.326,132
Completed,0.57,35,4922,1,0.553,1338
Completed,0.72,6894,4664,3,0.001,3303
Completed,0.74,2117,492,3,0.401,1
Completed,0.74,6631,818,3,0.07,104
Completed,0.73,7006,4351,3,0.001,1960
Completed,0.71,8,1,3,0.049,1
Completed,0.74,1270,2237,3,0.999,1
Completed,0.62,830,4830,3,0.897,183
Completed,0.74,1322,2270,3,0.001,1
Completed,0.62,872,3553,3,0.872,254
Completed,0.74,4341,2581,3,0.999,1
Completed,0.73,558,155,3,0.001,2054
Completed,0.74,631,151,3,0.001,1
Completed,0.74,277,2073,3,0.872,1
Completed,0.72,751,231,3,0.169,2603
Completed,0.62,1371,3972,3,0.777,890
Completed,0.74,1989,2337,3,0.999,1
Completed,0.74,6241,2815,3,0.001,1
Completed,0.74,2719,2381,3,0.165,1
Completed,0.74,2612,2599,3,0.001,1
Completed,0.73,5347,1091,3,0.229,453
Completed,0.73,6722,4066,3,0.001,2191
Completed,0.73,850,2236,3,0.001,2271
Completed,0.73,6552,1862,3,0.001,2125
Completed,0.74,2993,2418,3,0.38,1
Completed,0.74,611,2123,3,0.001,1
Completed,0.73,1534,434,3,0.001,1330
Completed,0.72,2398,724,3,0.001,2915
Completed,0.72,1957,580,3,0.073,2473
Completed,0.74,511,142,3,0.999,1
Completed,0.72,6619,4089,3,0.001,5000
Completed,0.74,624,2168,3,0.001,205
Completed,0.73,1838,524,3,0.003,1801
Completed,0.74,329,2084,3,0.433,1
Completed,0.74,279,2077,3,0.639,1
Completed,0.72,2946,908,3,0.001,3454
Completed,0.72,1819,557,3,0.101,2155
Completed,0.73,515,2144,3,0.001,853
Completed,0.73,199,2089,3,0.682,65
Completed,0.68,104,2105,3,0.661,207
Completed,0.74,518,2115,3,0.248,1
Completed,0.57,270,2027,0,0.999,5000
Completed,0.74,548,2152,3,0.001,1
Completed,0.74,545,2150,3,0.001,405
Completed,0.57,6313,2699,0,0.999,4999
Completed,0.73,707,2195,3,0.001,1516
Completed,0.72,149,2038,3,0.001,5000
Completed,0.73,781,2188,3,0.001,1953
Completed,0.73,2039,2608,3,0.001,2294
Completed,0.74,776,2172,3,0.001,594
Completed,0.74,659,2171,3,0.001,758
Completed,0.72,531,2142,3,0.001,5000
