Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.2,6284,3255,40,0.254,232
Completed,0.17,14,1481,97,0.636,2739
Completed,0.25,502,127,1,0.116,2229
Completed,0.17,14,4595,72,0.997,4804
Completed,0.17,13,3288,30,0.675,1553
Completed,0.17,13,3520,3,0.999,1373
Completed,0.2,6098,1979,120,0.313,2111
Completed,0.17,14,801,24,0.939,2855
Completed,0.28,2759,4414,6,0.481,717
Completed,0.17,19,652,46,0.556,3409
Completed,0.27,4319,1267,2,0.289,1902
Completed,0.17,13,4836,101,0.653,3803
Completed,0.17,15,349,95,0.853,2661
Completed,0.17,15,3333,90,0.521,4901
Completed,0.19,5789,3968,118,0.262,1055
Completed,0.17,16,3011,43,0.819,4310
Completed,0.3,976,2585,27,0.799,20
Completed,0.17,15,248,79,0.598,3189
Completed,0.17,15,4318,38,0.897,2384
Completed,0.18,3019,945,111,0.031,4960
Completed,0.17,590,2461,15,0.72,75
Completed,0.17,14,2827,70,0.354,2581
Completed,0.2,2966,3534,17,0.2,3541
Completed,0.17,13,1753,88,0.816,990
Completed,0.17,14,393,56,0.431,3995
Completed,0.17,14,4870,113,0.548,1474
Completed,0.17,12,603,118,0.917,584
Completed,0.17,15,1631,22,0.335,4453
Completed,0.17,13,3716,95,0.717,1956
Completed,0.29,11,3017,8,0.867,1670
Completed,0.17,15,927,57,0.874,4881
Completed,0.17,2097,2556,127,0.162,1148
Completed,0.17,21,1,0,0.219,406
Completed,0.3,3129,2572,0,0.001,915
Completed,0.17,14,74,0,0.468,2316
Completed,0.17,15,1,0,0.467,171
Completed,0.2,88,13,127,0.001,206
Completed,0.17,16,1,0,0.243,2811
Completed,0.17,18,1,0,0.001,1911
Completed,0.13,3006,2565,105,0.001,1139
Completed,0.15,731,194,0,0.001,4334
Completed,0.17,18,1,0,0.125,242
Completed,0.17,14,13,0,0.999,5000
Completed,0.17,602,2504,0,0.272,3770
Completed,0.17,14,1,47,0.001,1
Completed,0.31,1123,2190,0,0.001,1
Completed,0.38,7100,1194,68,0.69,1
Completed,0.12,2268,2522,0,0.001,3393
Completed,0.17,14,1,75,0.248,1
Completed,0.19,338,2362,0,0.254,4877
Completed,0.3,2009,2367,0,0.349,1
Completed,0.17,14,1104,127,0.698,5000
Completed,0.17,13,4940,127,0.849,1576
Completed,0.31,2805,2582,0,0.001,2272
Completed,0.17,15,5000,0,0.999,5000
Completed,0.18,1198,5000,0,0.292,4040
Completed,0.17,14,4871,0,0.617,4646
Completed,0.17,15,1,127,0.999,5000
Completed,0.15,1914,2435,0,0.001,4764
Completed,0.17,14,2001,0,0.455,5000
Completed,0.17,18,1,127,0.001,3024
Completed,0.2,836,140,55,0.999,1
Completed,0.17,14,495,127,0.999,4651
Completed,0.19,6235,979,127,0.673,1
Completed,0.17,14,4563,127,0.999,2254
Completed,0.17,18,1079,78,0.487,1692
Completed,0.17,20,58,99,0.677,1204
Completed,0.17,13,665,23,0.849,133
Completed,0.17,13,1889,55,0.945,829
Completed,0.17,13,4296,34,0.604,975
Completed,0.17,11,4905,86,0.931,206
Completed,0.17,13,2013,115,0.746,1362
Completed,0.17,14,3628,118,0.773,745
Completed,0.17,17,104,39,0.876,1610
Completed,0.18,210,2995,2,0.695,573
Completed,0.17,15,1501,21,0.731,724
Completed,0.17,14,2113,97,0.809,594
Completed,0.11,14,910,65,0.891,992
Completed,0.19,344,283,53,0.564,189
Completed,0.17,14,2859,16,0.757,1378
Completed,0.19,343,566,40,0.472,1060
Completed,0.17,15,193,113,0.864,2001
Completed,0.17,15,805,5,0.662,1817
Completed,0.17,13,3539,32,0.971,355
Completed,0.17,14,4837,0,0.826,1222
Completed,0.17,14,1474,81,0.96,1461
Completed,0.17,14,1736,0,0.674,1268
Completed,0.17,139,558,85,0.695,482
Completed,0.17,15,1533,0,0.826,1480
Completed,0.21,52,2283,1,0.526,496
Completed,0.17,96,2551,0,0.443,1794
Completed,0.18,131,2693,113,0.878,30
Completed,0.17,14,3501,0,0.532,1537
Completed,0.17,14,2550,0,0.553,1813
Completed,0.17,13,2356,94,0.975,604
Completed,0.29,138,2019,0,0.112,1022
Completed,0.17,17,2042,37,0.589,1643
Completed,0.17,15,2945,48,0.999,1565
Completed,0.17,14,5000,38,0.704,1454
Completed,0.16,162,2634,77,0.519,702
Completed,0.17,14,1229,49,0.858,1219
Completed,0.17,15,1154,21,0.999,500
Completed,0.17,17,1618,76,0.733,4735
Completed,0.17,16,1147,0,0.873,4782
Completed,0.17,18,1209,74,0.985,4973
Completed,0.17,6407,4107,22,0.414,104
Completed,0.17,21,5000,0,0.797,4669
Completed,0.17,14,3390,43,0.563,4918
Completed,0.17,16,1335,78,0.362,4648
Completed,0.21,1280,3921,42,0.402,1676
Completed,0.17,20,2437,0,0.999,4929
Completed,0.17,20,4632,0,0.872,3982
Completed,0.32,889,2105,0,0.071,102
Completed,0.16,270,2082,0,0.349,984
Completed,0.26,4755,3400,0,0.232,2315
Completed,0.17,13,1,71,0.697,458
Completed,0.18,645,3300,0,0.372,2419
Completed,0.29,612,3744,0,0.593,986
Completed,0.29,144,4223,0,0.752,652
Completed,0.17,23,2983,0,0.47,2429
Completed,0.15,140,2396,0,0.619,738
Completed,0.18,59,3670,0,0.445,3123
Completed,0.19,3497,4530,127,0.174,4018
Completed,0.25,1541,2670,0,0.393,1286
Completed,0.3,5379,2724,0,0.008,1
Completed,0.17,13,4033,0,0.487,2336
Completed,0.26,5327,1347,60,0.212,495
Completed,0.17,16,3603,0,0.522,2183
Completed,0.32,791,2135,0,0.001,1257
Completed,0.3,2604,2430,0,0.001,1
Completed,0.26,2619,337,77,0.768,1
Completed,0.27,592,2131,0,0.154,1463
Completed,0.17,15,2083,127,0.999,4439
Completed,0.17,15,5000,127,0.999,3676
Completed,0.33,501,2085,0,0.001,696
Completed,0.32,170,2025,0,0.001,1
Completed,0.17,22,2559,127,0.363,4722
Completed,0.17,14,4268,127,0.602,2889
Completed,0.32,655,2120,0,0.14,846
Completed,0.17,15,1106,0,0.485,2500
Completed,0.17,15,1008,0,0.486,4186
Completed,0.17,12,542,0,0.999,446
Completed,0.17,15,1858,6,0.999,5000
Completed,0.17,15,1,127,0.283,5000
Completed,0.17,16,4084,127,0.526,5000
Completed,0.17,15,3691,0,0.999,2898
