Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.69,955,139,3,0.001,1191
Completed,0.68,21,4973,4,0.778,4931
Completed,0.68,18,1387,0,0.163,1419
Completed,0.68,20,1050,0,0.332,1280
Completed,0.68,23,2125,6,0.772,3708
Completed,0.69,1150,3053,2,0.125,670
Completed,0.69,17,1854,3,0.707,3121
Completed,0.68,1031,148,5,0.143,1943
Completed,0.66,16,4826,1,0.991,4941
Completed,0.68,18,4559,6,0.213,2588
Completed,0.68,16,507,2,0.922,547
Completed,0.68,19,1262,4,0.489,4518
Completed,0.68,19,3440,0,0.653,2360
Completed,0.68,18,2543,5,0.841,1773
Completed,0.66,28,2241,1,0.056,3854
Completed,0.68,18,855,7,0.611,1133
Completed,0.68,18,3832,2,0.501,4054
Completed,0.68,19,1396,5,0.532,3760
Completed,0.69,18,2457,3,0.809,4755
Completed,0.68,19,3911,0,0.658,3657
Completed,0.68,17,328,7,0.413,650
Completed,0.68,821,2194,4,0.275,309
Completed,0.68,3866,3305,6,0.152,583
Completed,0.68,23,780,6,0.655,4658
Completed,0.7,1361,1023,3,0.44,3587
Completed,0.68,17,4623,4,0.694,892
Completed,0.68,19,1745,7,0.837,1992
Completed,0.66,17,1951,1,0.567,1682
Completed,0.68,19,3654,6,0.314,3987
Completed,0.68,17,301,0,0.587,242
Completed,0.68,19,4211,7,0.342,2936
Completed,0.68,18,4206,7,0.877,2119
Completed,0.69,18,519,3,0.709,1201
Completed,0.68,20,3910,7,0.135,3516
Completed,0.68,21,1136,5,0.423,3314
Completed,0.69,4273,956,3,0.301,3108
Completed,0.68,20,3686,7,0.443,3826
Completed,0.68,20,2710,0,0.121,2619
Completed,0.69,19,5000,3,0.999,2379
Completed,0.7,26,1,3,0.001,2850
Completed,0.69,18,1,3,0.669,5000
Completed,0.68,19,2185,7,0.821,547
Completed,0.68,19,263,7,0.176,3313
Completed,0.68,20,3643,7,0.648,2363
Completed,0.68,20,1,2,0.001,1
