Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.96,1,2177,47,0.851,1470
Completed,0.96,1,3361,13,0.297,2995
Completed,0.96,1,4161,67,0.536,721
Completed,0.96,1,438,29,0.122,4817
Completed,0.96,1,724,61,0.406,3969
Completed,0.96,1,4500,18,0.944,494
Completed,0.96,1,3114,36,0.207,3221
Completed,0.96,1,5000,0,0.001,703
Completed,0.96,1,1900,16,0.25,4097
Completed,0.96,289,1506,66,0.164,206
Completed,0.96,1,1221,71,0.511,4251
Completed,0.96,1,3083,48,0.61,979
Completed,0.96,1,3517,22,0.976,326
Completed,0.96,1,84,2,0.658,2119
Completed,0.96,1,3706,44,0.382,3606
Completed,0.96,1,2216,26,0.581,1579
Completed,0.96,1,2633,61,0.912,4759
Completed,0.96,1,2193,58,0.706,3395
Completed,0.96,1,3500,24,0.137,2493
Completed,0.96,1,3949,42,0.905,3790
Completed,0.96,1,182,4,0.445,322
Completed,0.96,1,1136,53,0.037,896
Completed,0.96,1,4870,10,0.621,4994
Completed,0.96,1,5000,71,0.999,911
Completed,0.96,1,4961,58,0.047,842
Completed,0.96,1,2528,20,0.687,3741
Completed,0.96,1,1518,38,0.355,1715
Completed,0.96,1,3296,51,0.789,3071
Completed,0.96,1,489,66,0.606,4413
Completed,0.96,1,613,35,0.863,3395
Completed,0.96,1,4132,53,0.158,1358
Completed,0.96,1,2469,26,0.317,1078
Completed,0.96,1,2091,71,0.999,5000
Completed,0.96,27,3863,0,0.001,511
Completed,0.96,1,1059,71,0.999,1166
Completed,0.96,1,2474,0,0.001,1986
Completed,0.96,1,1,0,0.999,3039
Completed,0.96,1,1,0,0.001,3302
Completed,0.96,1,5000,0,0.999,3937
Completed,0.96,1,1,71,0.001,293
Completed,0.96,1,990,0,0.001,4391
Completed,0.96,1,2873,71,0.001,5000
Completed,0.96,1,1512,71,0.001,2649
Completed,0.96,1,1784,71,0.999,1912
Completed,0.96,1,1,71,0.001,3499
Completed,0.96,1,3018,0,0.999,4899
Completed,0.96,1,5000,71,0.001,2287
Completed,0.96,1,1400,0,0.999,1176
Completed,0.96,1,1010,71,0.999,4396
Completed,0.96,1,1,0,0.999,3764
Completed,0.96,1,2114,0,0.999,3765
Completed,0.96,43,3767,71,0.001,496
Completed,0.96,1,1113,0,0.001,3134
Completed,0.96,1,3074,71,0.999,4782
Completed,0.96,1,4329,71,0.001,4085
Completed,0.96,1,3659,0,0.999,495
Completed,0.96,1,1552,0,0.999,2809
Completed,0.96,1,1323,71,0.001,1186
Completed,0.96,1,4415,0,0.999,628
Completed,0.96,1,5000,71,0.999,1339
Completed,0.96,1,5000,0,0.001,1382
Completed,0.96,1,3878,71,0.999,2149
Completed,0.96,1,4166,71,0.001,4824
Completed,0.96,1,3895,0,0.001,2159
Completed,0.96,1,4475,71,0.999,639
Completed,0.96,1,4217,71,0.001,3291
Completed,0.96,1,3888,71,0.001,2131
Completed,0.96,1,4153,0,0.001,4810
Completed,0.96,1,3090,0,0.001,3632
Completed,0.96,1,1,0,0.001,1437
Completed,0.96,1,3613,0,0.999,2163
Completed,0.96,1,4283,71,0.001,1203
Completed,0.96,1,1,71,0.999,1385
Completed,0.96,1,739,71,0.001,1872
Completed,0.96,1,2560,71,0.001,2576
Completed,0.96,1,4221,71,0.999,4874
Completed,0.96,1,1076,0,0.999,5000
Completed,0.96,1,703,0,0.999,2452
Completed,0.96,1,2548,0,0.001,2669
Completed,0.96,1,1,0,0.999,4133
Completed,0.96,1,2615,0,0.001,4512
Completed,0.96,1,632,71,0.001,2423
Completed,0.96,1,5000,0,0.001,1665
Completed,0.96,1,5000,71,0.999,1614
Completed,0.96,1,4474,0,0.999,4782
Completed,0.96,1,3157,0,0.001,1580
Completed,0.96,1,3293,0,0.98,3555
Completed,0.96,1,5000,0,0.999,1333
Completed,0.96,1,3453,71,0.999,947
Completed,0.96,1,3614,0,0.001,990
Completed,0.96,1,1,71,0.999,442
Completed,0.96,1,3164,0,0.999,873
Completed,0.96,1,5000,0,0.999,3584
Completed,0.96,1,1,0,0.001,438
Completed,0.96,1,2982,71,0.001,3984
Completed,0.96,1,1,0,0.999,426
Completed,0.96,1,3489,71,0.425,974
Completed,0.96,1,5000,71,0.001,3534
Completed,0.96,1,3661,0,0.999,979
Completed,0.96,1,690,71,0.999,4605
Completed,0.96,1,1,71,0.999,2342
Completed,0.96,1,1,71,0.001,3919
Completed,0.96,1,4353,71,0.001,2848
Completed,0.96,1,3034,38,0.41,855
Completed,0.96,1,5000,0,0.001,3524
Completed,0.96,1,784,71,0.001,2880
Completed,0.96,1,1,0,0.001,2370
Completed,0.96,1,3997,71,0.999,5000
Completed,0.96,1,3591,71,0.001,1015
Completed,0.96,1,5000,71,0.999,3533
Completed,0.96,1,551,27,0.999,882
Completed,0.96,1,2083,0,0.001,1706
Completed,0.96,1,2976,71,0.999,3946
Completed,0.96,1,1978,0,0.999,4813
Completed,0.96,1,2320,71,0.001,1723
Completed,0.96,1,4396,0,0.001,2815
Completed,0.96,1,5000,60,0.999,4829
Completed,0.96,1,1731,71,0.999,4302
Completed,0.96,1,5000,0,0.49,596
Completed,0.96,1,1,71,0.44,5000
Completed,0.96,1,1,0,0.499,5000
Completed,0.96,276,5000,71,0.001,352
Completed,0.96,577,3309,45,0.001,1
Completed,0.96,1,1,71,0.288,1
Completed,0.96,1,1,43,0.001,5000
Completed,0.96,1,271,40,0.358,314
Completed,0.96,1,5000,0,0.001,5000
Completed,0.96,1,5000,71,0.619,5000
Completed,0.96,1,1,71,0.999,1
Completed,0.96,1,5000,71,0.568,461
Completed,0.96,1,1,34,0.999,1
Completed,0.96,1,1,40,0.999,5000
Completed,0.96,1,1,25,0.001,1
Completed,0.96,47,5000,38,0.001,495
Completed,0.96,1,1,25,0.001,5000
Completed,0.96,1,5000,31,0.428,5000
Completed,0.96,1,5000,0,0.999,5000
Completed,0.96,1,1,0,0.999,164
Completed,0.96,1,5000,40,0.368,388
Completed,0.96,1,5000,0,0.324,5000
Completed,0.96,1,5000,31,0.808,5000
Completed,0.96,1,5000,28,0.999,5000
Completed,0.96,1,1,0,0.001,5000
Completed,0.96,1,397,71,0.001,665
Completed,0.96,1,4461,71,0.999,4316
Completed,0.96,1,1,25,0.624,146
Completed,0.96,1,626,0,0.001,3340
Completed,0.96,1,5000,34,0.001,5000
Completed,0.96,1,5000,71,0.001,659
Completed,0.96,1,1,71,0.602,1
Completed,0.96,1,5000,71,0.001,3785
Completed,0.96,1,1,71,0.999,3710
Completed,0.96,1,1,0,0.999,1929
Completed,0.96,1,1,0,0.999,5000
Completed,0.96,1,1,71,0.001,1
Completed,0.96,1,4635,71,0.281,5000
Completed,0.96,1,5000,0,0.001,4163
Completed,0.96,1,1,30,0.476,5000
Completed,0.96,1,1,34,0.999,5000
Completed,0.96,1,1482,0,0.663,5000
Completed,0.96,289,5000,0,0.001,320
Completed,0.96,1,5000,0,0.424,388
Completed,0.96,1,2257,71,0.001,714
Completed,0.96,1,5000,71,0.999,372
Completed,0.96,1,2710,71,0.999,658
Completed,0.96,1,5000,0,0.999,375
Completed,0.96,1,1,0,0.534,1
Completed,0.96,1,1,71,0.716,4455
Completed,0.96,1,5000,36,0.76,280
Completed,0.96,1,5000,0,0.999,1993
Completed,0.96,1,5000,71,0.377,5000
Completed,0.96,1,5000,57,0.999,642
Completed,0.96,1,1,0,0.999,1684
Completed,0.96,1,419,71,0.001,3690
Completed,0.96,1,5000,26,0.378,652
Completed,0.96,1,5000,41,0.532,356
Completed,0.96,1,1,0,0.599,3459
Completed,0.96,1,1,30,0.001,1188
Completed,0.96,1,1,71,0.29,489
Completed,0.96,1,4991,0,0.265,524
Completed,0.96,1,4757,16,0.357,4510
Completed,0.96,1,4,71,0.616,917
Completed,0.96,1,924,0,0.679,1900
Completed,0.96,1,4955,0,0.423,1460
Completed,0.96,1,4942,71,0.625,4012
Completed,0.96,1,1,0,0.493,925
Completed,0.96,1,1,0,0.648,4742
Completed,0.96,1,5000,71,0.603,1521
Completed,0.96,1,5000,71,0.591,2529
Completed,0.96,1,1,0,0.66,3072
Completed,0.96,1,4789,71,0.366,4652
Completed,0.96,1,1,0,0.27,628
Completed,0.96,1,5000,0,0.669,1711
Completed,0.96,1,256,71,0.552,1968
Completed,0.96,1,556,71,0.37,4355
Completed,0.96,1,1,71,0.529,4688
Completed,0.96,1,5000,0,0.802,2422
Completed,0.96,1,2947,71,0.28,558
Completed,0.96,1,878,71,0.373,2075
Completed,0.96,1,5000,0,0.678,2845
Completed,0.96,1,4569,71,0.727,1796
Completed,0.96,1,306,35,0.681,3782
Completed,0.96,1,1,71,0.626,1322
Completed,0.96,1,1,32,0.399,1285
Completed,0.96,1,4430,0,0.44,4304
Completed,0.96,1,4546,57,0.296,1520
Completed,0.96,1,4283,0,0.547,4713
Completed,0.96,1,1668,71,0.721,1857
Completed,0.96,1,4918,71,0.388,495
Completed,0.96,1,359,0,0.287,3674
Completed,0.96,1,1,71,0.437,189
Completed,0.96,1,1,0,0.331,3186
Completed,0.96,1,4421,71,0.271,3962
Completed,0.96,1,1,0,0.203,868
Completed,0.96,1,5000,71,0.51,3423
Completed,0.96,1,4855,0,0.447,3397
Completed,0.96,1,4362,71,0.321,2218
Completed,0.96,1,430,71,0.274,2769
Completed,0.96,1,368,71,0.714,4083
Completed,0.96,1,2896,0,0.999,3141
Completed,0.96,1,5000,0,0.268,3976
Completed,0.96,1,5000,71,0.816,371
Completed,0.96,1,1903,71,0.305,3575
Completed,0.96,1,436,0,0.329,2479
Completed,0.96,1,518,0,0.819,2783
Completed,0.96,1,2205,71,0.887,3180
Completed,0.96,1,5000,71,0.552,3174
Completed,0.96,1,546,71,0.388,2444
Completed,0.96,1,4225,0,0.714,3130
Completed,0.96,1,5000,0,0.822,375
Completed,0.96,1,4751,0,0.394,2264
Completed,0.96,1,246,0,0.784,2491
Completed,0.96,1,4715,71,0.704,3582
Completed,0.96,1,5000,71,0.218,1137
Completed,0.96,1,1868,71,0.794,2628
Completed,0.96,1,5000,71,0.204,2040
Completed,0.96,1,4572,71,0.604,2204
Completed,0.96,1,1,71,0.323,3234
Completed,0.96,1,5000,71,0.7,881
Completed,0.96,1,1851,71,0.822,313
Completed,0.96,1,3797,0,0.001,626
Completed,0.96,1,5000,0,0.001,3093
Completed,0.96,1,1,0,0.001,4163
Completed,0.96,1,2504,71,0.999,1675
Completed,0.96,1,2183,0,0.334,5000
Completed,0.96,1,1,71,0.001,4141
Completed,0.96,1,3137,71,0.193,4357
Completed,0.96,1,5000,0,0.764,4408
Completed,0.96,1,295,0,0.659,694
Completed,0.96,1,3418,0,0.999,2462
Completed,0.96,1,5000,71,0.001,3055
Completed,0.96,1,5000,71,0.783,1151
Completed,0.96,1,5000,71,0.715,4330
Completed,0.96,1,1059,71,0.692,754
Completed,0.96,1,1857,71,0.685,937
Completed,0.96,1,103,71,0.999,4846
Completed,0.96,1,632,0,0.284,1811
Completed,0.96,1,3503,0,0.706,331
Completed,0.96,1,1,0,0.999,3960
Completed,0.96,1,2123,0,0.739,894
