Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.5,1572,648,8,0.73,3880
Completed,0.5,1398,3762,6,0.788,3169
Completed,0.56,1390,4514,7,0.945,2182
Completed,0.5,1621,2367,6,0.999,3405
Completed,0.5,1386,4996,6,0.925,1912
Completed,0.5,1474,4069,8,0.999,2831
Completed,0.56,1297,1430,7,0.965,2385
Completed,0.56,1234,1038,7,0.992,1108
Completed,0.56,1285,278,7,0.99,1855
Completed,0.5,1311,4843,9,0.999,2103
Completed,0.56,1476,1,7,0.999,5000
Completed,0.56,1320,5000,7,0.999,3183
Completed,0.56,2238,1,7,0.001,1216
Completed,0.56,1382,1,5,0.062,5000
Completed,0.5,1242,5000,4,0.999,5000
Completed,0.56,1222,1,7,0.999,770
Completed,0.51,1476,1796,5,0.923,2996
Completed,0.5,1422,2800,6,0.828,4833
Completed,0.5,1549,4055,8,0.415,2272
Completed,0.5,1718,77,9,0.8,1648
Completed,0.5,1399,4421,6,0.749,957
Completed,0.56,1537,2317,7,0.929,2495
Completed,0.4,2293,2952,9,0.613,530
Completed,0.5,1715,3651,6,0.287,1869
Completed,0.5,1457,4887,8,0.964,4309
Completed,0.56,1479,4423,7,0.995,1256
Completed,0.54,833,1,5,0.999,768
Completed,0.5,1198,2800,4,0.993,1741
Completed,0.56,1269,3299,7,0.99,1983
Completed,0.5,1191,3062,4,0.71,2592
Completed,0.54,917,4168,5,0.996,1242
Completed,0.5,1398,2507,8,0.468,646
Completed,0.5,1439,3440,4,0.999,4475
Completed,0.5,1388,2569,6,0.076,3984
Completed,0.5,1338,1224,9,0.973,1225
Completed,0.52,796,1,3,0.194,3440
Completed,0.52,385,1,3,0.435,1
Completed,0.52,382,1,3,0.001,1
Completed,0.52,631,1,3,0.331,663
Completed,0.5,1431,1248,8,0.148,847
Completed,0.5,1543,3246,8,0.161,4827
Completed,0.44,2025,1,1,0.747,3095
Completed,0.56,1423,3746,7,0.998,4125
Completed,0.56,1412,3528,7,0.894,5000
Completed,0.52,378,1,3,0.185,1
Completed,0.54,1054,4412,5,0.999,5000
Completed,0.52,368,1,3,0.098,1
Completed,0.54,935,843,5,0.999,1960
Completed,0.47,2285,1,1,0.052,5000
Completed,0.54,955,393,5,0.999,5000
Completed,0.56,1313,968,7,0.999,5000
Completed,0.52,399,1,3,0.322,1
Completed,0.56,1711,1,7,0.999,1
Completed,0.52,511,1,3,0.512,126
Completed,0.54,989,3005,5,0.999,5000
