Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.1,277,1428,7,0.765,2876
Completed,0.1,272,523,7,0.678,2394
Completed,0.1,179,2769,6,0.901,3467
Completed,0.11,180,1971,9,0.635,4133
Completed,0.1,232,4733,17,0.472,2451
Completed,0.1,7102,4801,5,0.146,1020
Completed,0.1,190,1941,21,0.995,3025
Completed,0.11,168,1862,1,0.562,3130
Completed,0.1,186,4119,8,0.508,2401
Completed,0.1,190,1337,19,0.346,4141
Completed,0.19,135,2909,26,0.976,2292
Completed,0.19,114,3079,26,0.744,2249
Completed,0.19,133,2724,26,0.903,2267
Completed,0.19,118,2835,26,0.589,3192
Completed,0.19,117,3102,26,0.999,2466
Completed,0.1,181,3504,23,0.999,3137
Completed,0.14,693,2834,0,0.45,2735
Completed,0.1,179,2097,5,0.269,2269
Completed,0.1,184,404,17,0.854,3598
Completed,0.1,184,795,13,0.709,2554
Completed,0.1,182,1707,24,0.172,1539
Completed,0.14,164,3786,3,0.944,4379
Completed,0.1,182,4276,19,0.226,2892
Completed,0.1,273,2603,7,0.099,2871
Completed,0.1,251,4963,7,0.945,3114
Completed,0.1,225,4887,7,0.575,328
Completed,0.1,248,90,7,0.188,4409
Completed,0.1,257,1175,7,0.91,1136
Completed,0.19,111,2991,26,0.783,1933
Completed,0.11,199,4511,10,0.339,3418
Completed,0.1,176,4666,15,0.925,1252
Completed,0.1,278,4938,7,0.529,4727
Completed,0.19,109,1,26,0.967,767
Completed,0.19,115,541,26,0.377,3170
Completed,0.22,144,1,26,0.151,3334
Completed,0.23,143,1,26,0.648,1
Completed,0.19,118,1,26,0.684,1195
Completed,0.11,159,5000,1,0.999,1666
Completed,0.21,115,1,26,0.684,449
Completed,0.22,146,1,26,0.257,1812
Completed,0.19,118,1,26,0.999,1467
Completed,0.19,114,5000,26,0.999,1882
Completed,0.19,105,1,26,0.826,544
Completed,0.2,584,2679,26,0.244,5000
Completed,0.19,3306,3636,26,0.228,4238
Completed,0.17,632,1871,26,0.299,5000
Completed,0.19,116,1302,26,0.999,5000
Completed,0.19,125,5000,26,0.855,5000
Completed,0.11,102,1991,0,0.377,5000
Completed,0.14,187,1866,3,0.301,5000
Completed,0.11,102,1,0,0.786,5000
Completed,0.19,119,1015,26,0.999,1871
Completed,0.13,426,2879,0,0.999,270
Completed,0.1,207,1858,15,0.268,5000
Completed,0.11,115,5000,0,0.899,5000
Completed,0.14,235,4048,3,0.461,5000
Completed,0.14,172,5000,3,0.815,3971
Completed,0.19,117,5000,26,0.813,3578
Completed,0.19,121,85,26,0.831,4407
Completed,0.19,108,2222,26,0.999,907
Completed,0.19,113,1,26,0.999,2500
Completed,0.1,206,5000,4,0.865,3858
Completed,0.23,178,1,26,0.001,427
Completed,0.14,167,416,3,0.394,3757
Completed,0.14,166,4896,3,0.247,5000
Completed,0.19,3006,1138,26,0.427,1695
Completed,0.19,109,1362,26,0.999,540
Completed,0.19,111,3519,26,0.999,1122
Completed,0.14,153,338,3,0.999,108
Completed,0.14,941,1163,26,0.68,975
Completed,0.19,150,203,26,0.549,3939
Completed,0.17,291,1,3,0.001,2346
Completed,0.2,108,1,0,0.095,1
Completed,0.19,126,5000,26,0.999,3738
Completed,0.19,153,5000,26,0.51,5000
Completed,0.19,133,1,26,0.714,2269
Completed,0.19,129,5000,26,0.592,3406
Completed,0.26,5766,2087,26,0.001,1103
Completed,0.26,4436,2062,26,0.001,1627
Completed,0.27,1765,2025,26,0.001,780
Completed,0.21,3663,2067,0,0.001,880
Completed,0.26,3116,2055,26,0.425,402
Completed,0.26,5746,2086,26,0.001,3361
Completed,0.26,813,2010,26,0.16,1
Completed,0.2,277,1,9,0.172,2284
Completed,0.1,176,67,8,0.179,2377
Completed,0.1,175,1,7,0.127,2179
Completed,0.1,181,1,11,0.077,1026
Completed,0.1,174,7,24,0.999,1135
Completed,0.13,174,1,10,0.253,4294
Completed,0.1,185,1,25,0.692,3227
Completed,0.07,162,1,25,0.999,117
Completed,0.11,271,1,25,0.739,1
Completed,0.1,226,5000,24,0.204,2936
Completed,0.1,185,600,8,0.22,2748
Completed,0.11,1265,330,22,0.252,5000
Completed,0.11,307,1,22,0.001,334
Completed,0.2,313,1,9,0.001,5000
Completed,0.23,183,1,26,0.001,2694
Completed,0.14,5421,52,14,0.118,1690
Completed,0.11,308,1,25,0.001,2543
Completed,0.11,310,1,25,0.001,2082
Completed,0.26,813,2010,26,0.001,96
Completed,0.27,2652,2040,26,0.001,42
Completed,0.1,200,2277,14,0.999,4567
Completed,0.19,3332,5000,26,0.335,2653
Completed,0.1,189,5000,16,0.999,2912
Completed,0.19,112,5000,26,0.402,2908
Completed,0.23,188,1,26,0.001,2498
Completed,0.1,194,3714,14,0.696,2509
Completed,0.1,191,3546,12,0.999,1486
Completed,0.23,149,1,26,0.22,1
Completed,0.21,130,1,26,0.283,2640
Completed,0.1,187,2492,16,0.97,3939
Completed,0.2,149,1,0,0.001,447
Completed,0.1,192,1755,7,0.999,4265
Completed,0.1,200,1110,14,0.768,4383
Completed,0.1,190,3914,12,0.999,2287
Completed,0.1,195,1,19,0.999,874
Completed,0.23,170,1,26,0.228,428
Completed,0.27,4983,75,26,0.118,311
Completed,0.1,186,1891,12,0.999,4500
Completed,0.08,204,1,12,0.569,2120
Completed,0.23,181,1,26,0.341,378
Completed,0.19,125,3213,26,0.999,3839
Completed,0.19,123,5000,26,0.492,2924
Completed,0.1,199,4168,16,0.47,5000
Completed,0.23,195,1,26,0.001,4845
Completed,0.23,184,1,26,0.001,221
Completed,0.17,253,2232,26,0.294,4367
Completed,0.23,216,1,26,0.001,4388
Completed,0.23,202,1,26,0.001,3309
Completed,0.23,2507,2217,26,0.232,2867
Completed,0.18,1438,1861,26,0.687,809
Completed,0.19,3274,4395,26,0.517,1287
Completed,0.22,6458,709,26,0.239,2954
Completed,0.23,182,1,26,0.001,2700
Completed,0.14,165,4212,3,0.725,3104
Completed,0.14,158,1,3,0.718,1291
Completed,0.11,124,5000,0,0.544,3467
Completed,0.14,168,1,3,0.999,2592
Completed,0.14,210,5000,3,0.764,2871
Completed,0.14,184,1748,3,0.999,2110
Completed,0.19,170,1290,26,0.729,5000
Completed,0.14,166,1,3,0.999,4441
Completed,0.14,167,2486,3,0.749,5000
Completed,0.14,185,3763,3,0.811,2653
Completed,0.14,203,1071,3,0.577,5000
Completed,0.14,176,3333,3,0.687,3456
Completed,0.19,115,1,26,0.999,3497
Completed,0.11,100,1,0,0.538,3774
Completed,0.14,163,446,3,0.999,3309
Completed,0.17,273,1,3,0.001,4180
Completed,0.14,133,5000,3,0.999,48
Completed,0.14,167,1,3,0.612,5000
Completed,0.19,114,4506,26,0.999,2625
Completed,0.19,111,1647,26,0.999,2383
Completed,0.14,162,1,3,0.677,3124
Completed,0.19,125,3268,26,0.999,5000
Completed,0.14,160,3190,3,0.999,2012
Completed,0.19,113,1,26,0.816,3228
Completed,0.11,88,1169,0,0.999,1034
Completed,0.19,117,4394,26,0.631,3830
Completed,0.11,99,2522,0,0.999,2259
Completed,0.19,114,5000,26,0.843,2903
Completed,0.14,162,5000,3,0.18,4099
Completed,0.11,95,1,0,0.999,1636
Completed,0.19,165,2651,26,0.604,5000
Completed,0.1,209,4010,2,0.898,1864
Completed,0.19,109,5000,26,0.999,399
Completed,0.19,114,4241,26,0.804,2612
Completed,0.17,1740,5000,26,0.261,4058
Completed,0.19,118,5000,26,0.389,4231
Completed,0.19,128,1741,26,0.802,3102
Completed,0.23,215,1,26,0.001,3894
Completed,0.19,164,1,26,0.723,5000
Completed,0.19,124,777,26,0.999,3516
Completed,0.19,120,4033,26,0.576,3464
Completed,0.2,321,1,9,0.001,3353
Completed,0.21,342,1,9,0.001,3962
Completed,0.1,179,1360,2,0.888,2134
Completed,0.11,182,1,9,0.349,4185
Completed,0.19,158,1,0,0.001,5000
Completed,0.1,184,4872,2,0.999,5000
Completed,0.19,114,3302,26,0.725,3763
Completed,0.1,191,1312,5,0.826,5000
Completed,0.19,124,5000,26,0.524,3905
Completed,0.1,186,1860,2,0.999,5000
Completed,0.19,128,2092,26,0.998,5000
Completed,0.17,215,722,9,0.305,5000
Completed,0.1,206,2312,2,0.773,3356
Completed,0.2,130,1,26,0.185,5000
Completed,0.19,133,1,0,0.118,4439
Completed,0.14,156,1,3,0.999,1263
Completed,0.19,112,550,26,0.889,2103
Completed,0.19,119,756,26,0.999,5000
Completed,0.2,113,1,0,0.001,1
Completed,0.19,117,1966,26,0.847,4134
Completed,0.1,184,1575,8,0.87,3610
Completed,0.19,130,1,26,0.733,1732
Completed,0.19,120,1975,26,0.658,4323
Completed,0.17,239,1,3,0.468,1
Completed,0.19,107,1,26,0.999,606
Completed,0.1,186,4096,8,0.999,5000
Completed,0.19,118,3570,26,0.999,1805
Completed,0.19,117,2305,26,0.684,4881
Completed,0.19,116,4092,26,0.604,5000
Completed,0.19,117,4307,26,0.999,5000
Completed,0.19,114,1,26,0.717,3552
Completed,0.19,117,1413,26,0.999,3735
Completed,0.19,115,1286,26,0.72,4021
Completed,0.1,195,4162,8,0.999,3232
Completed,0.19,115,4558,26,0.71,3328
Completed,0.11,164,3998,10,0.809,5000
Completed,0.19,115,772,26,0.923,4064
Completed,0.19,124,1,26,0.999,4352
Completed,0.11,163,2440,10,0.999,3902
Completed,0.1,356,1,20,0.001,3478
Completed,0.1,198,3,22,0.689,3670
Completed,0.2,276,1,9,0.082,4792
Completed,0.19,267,1,13,0.001,1
Completed,0.18,2724,5000,13,0.186,5000
Completed,0.17,282,1,1,0.026,5000
Completed,0.1,267,1,20,0.098,1
Completed,0.1,191,1,7,0.626,2421
Completed,0.1,187,1,13,0.349,5000
Completed,0.16,211,1,1,0.739,267
Completed,0.23,146,1,26,0.547,414
Completed,0.1,177,4603,4,0.524,3158
Completed,0.1,181,1021,4,0.413,5000
Completed,0.1,183,1,21,0.431,4378
Completed,0.1,190,4830,6,0.491,3842
Completed,0.19,155,1,0,0.001,3477
Completed,0.1,186,1,6,0.495,4112
Completed,0.18,315,1,13,0.001,5000
Completed,0.11,172,1898,9,0.873,2500
Completed,0.1,185,722,4,0.999,1484
Completed,0.13,330,1,17,0.001,4041
Completed,0.19,120,3427,26,0.622,5000
Completed,0.1,187,5000,21,0.519,3402
Completed,0.17,381,1,4,0.001,3513
Completed,0.23,142,1,26,0.33,1
Completed,0.17,227,1,1,0.794,1
Completed,0.19,115,3723,26,0.61,2917
Completed,0.11,166,1919,1,0.803,4854
Completed,0.19,114,1505,26,0.812,2067
Completed,0.1,197,1,5,0.573,4541
Completed,0.19,124,4817,26,0.688,4439
Completed,0.14,170,2660,3,0.568,5000
Completed,0.14,182,3635,3,0.681,4866
Completed,0.19,113,5000,26,0.832,2022
Completed,0.19,114,2299,26,0.999,3110
Completed,0.19,115,1942,26,0.932,3615
