Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Completed,0.78,551,20,57,83,93,0.063
Completed,0.74,3566,4527,54,1,1000,0.35
Completed,0.71,47,3413,1,1,1,0.693
Completed,0.71,1743,1,1,1,1000,0.092
Completed,0.71,3456,5000,786,64,1,0.001
Completed,0.71,4032,1,1301,1,1,0.527
Completed,0.71,47,1,1,1,1,0.124
Completed,0.71,906,1,1,1,538,0.999
Completed,0.71,1934,1977,386,98,1,0.826
Completed,0.73,4911,471,296,92,91,0.863
Completed,0.71,239,4964,252,1,1,0.709
Completed,0.71,2058,1817,448,82,1,0.055
Completed,0.71,5533,3532,881,82,1,0.906
Completed,0.73,1943,4601,290,51,6,0.05
Completed,0.74,1887,2460,62,90,271,0.468
Completed,0.75,6210,1243,76,72,913,0.123
Completed,0.73,5552,4614,139,8,434,0.956
Completed,0.73,542,829,197,18,2,0.166
Completed,0.74,4097,5000,65,65,778,0.001
Completed,0.73,595,2284,52,71,34,0.001
Completed,0.73,2168,2391,121,70,153,0.357
Completed,0.74,12523,4476,236,85,472,0.04
Completed,0.75,5067,3056,12,21,952,0.651
Completed,0.7,5112,2164,931,8,6,0.085
Completed,0.76,13661,63,209,33,678,0.966
Completed,0.74,1799,979,76,80,117,0.53
Completed,0.74,5676,3387,193,68,265,0.839
Completed,0.74,10498,1930,196,73,495,0.226
Completed,0.75,3191,4826,54,92,151,0.352
Completed,0.74,12073,4414,788,18,15,0.126
Completed,0.74,2885,273,85,4,540,0.656
Completed,0.74,2703,3592,145,69,111,0.596
Completed,0.75,3735,1506,31,31,688,0.396
Completed,0.73,2551,1864,257,24,67,0.318
Completed,0.71,11990,2866,369,71,185,0.003
Completed,0.74,3795,3960,111,44,286,0.198
Completed,0.75,4870,943,64,56,897,0.809
Completed,0.73,2952,617,171,48,169,0.578
Completed,0.73,11191,4108,450,95,83,0.76
Completed,0.71,921,2701,9,17,450,0.937
Completed,0.73,8393,2203,129,79,873,0.055
Completed,0.74,6444,4537,124,23,646,0.849
Completed,0.73,4346,2353,188,54,230,0.685
Completed,0.73,12313,3195,179,25,757,0.697
Completed,0.73,7774,1981,221,64,292,0.593
Completed,0.73,4508,567,97,19,577,0.195
Completed,0.74,2807,214,171,39,163,0.125
Completed,0.73,6870,3407,360,81,82,0.378
Completed,0.74,11521,2256,147,93,941,0.725
Completed,0.74,2329,1415,244,2,76,0.795
Completed,0.74,5160,3546,100,46,483,0.61
Completed,0.76,7227,38,120,3,889,0.039
