Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Completed,0.8,2758,3916,185,92,314,0.556
Completed,0.81,449,2349,89,68,13,0.75
Completed,0.76,3730,3557,327,26,212,0.704
Completed,0.77,5676,841,245,48,684,0.193
Completed,0.52,18,848,1,1,1,0.999
Completed,0.52,2861,2953,903,93,1,0.582
Completed,0.52,110,103,112,25,1,0.001
Completed,0.8,1723,2928,162,86,110,0.688
Completed,0.81,2233,1176,134,55,445,0.863
Completed,0.78,5094,148,208,38,831,0.566
Completed,0.82,2042,3406,84,19,725,0.99
Completed,0.72,5600,4112,657,34,60,0.176
Completed,0.73,4509,776,452,11,98,0.125
Completed,0.77,4917,3815,269,61,209,0.357
Completed,0.76,539,2083,62,80,347,0.212
Completed,0.77,4280,2461,192,68,696,0.097
Completed,0.71,4800,23,861,81,17,0.788
Completed,0.78,4074,4146,141,99,875,0.461
Completed,0.76,4343,3618,287,32,328,0.824
Completed,0.84,671,332,7,1,243,0.744
Completed,0.81,5552,845,238,93,608,0.95
Completed,0.7,2200,3505,1000,5,4,0.4
Completed,0.82,1530,2550,55,74,963,0.62
Completed,0.76,4203,4679,221,7,480,0.22
Completed,0.8,771,1374,111,26,92,0.333
Completed,0.79,2133,4501,99,69,281,0.686
Completed,0.52,155,2968,1,1,264,0.999
Completed,0.79,881,1706,92,1,51,0.999
Completed,0.78,1841,3788,102,68,435,0.524
Completed,0.75,6969,3427,416,37,239,0.744
Completed,0.8,1721,1581,172,95,125,0.887
Completed,0.8,1224,224,64,39,944,0.485
Completed,0.73,6927,3657,908,71,26,0.759
Completed,0.75,2860,4260,344,7,103,0.442
Completed,0.77,2167,734,237,75,222,0.175
Completed,0.76,3171,2463,155,19,840,0.702
Completed,0.8,4267,4670,197,46,650,0.837
Completed,0.78,1249,4941,53,6,211,0.91
Completed,0.77,3252,2149,299,32,271,0.549
Completed,0.76,2092,1063,93,77,669,0.077
Completed,0.8,4520,3270,183,63,858,0.462
Completed,0.79,525,2688,127,26,73,0.152
Completed,0.75,2859,481,228,12,384,0.266
Completed,0.81,1656,1243,52,60,270,0.791
Completed,0.74,13828,4013,461,31,440,0.619
Completed,0.74,9713,1789,580,22,171,0.956
Completed,0.8,1680,3309,168,94,125,0.628
Completed,0.73,10252,1536,1046,55,36,0.529
Completed,0.79,1464,4562,86,9,620,0.074
Completed,0.76,9325,537,340,82,665,0.277
Completed,0.71,13982,4781,1414,47,25,0.314
Completed,0.78,8682,2489,282,44,772,0.471
Completed,0.79,2230,1314,150,99,457,0.153
Completed,0.75,4361,3471,363,15,254,0.45
Completed,0.75,5846,768,482,36,109,0.1
Completed,0.78,2414,4175,266,52,187,0.302
Completed,0.84,5308,2917,27,49,681,0.997
Completed,0.71,5575,3764,737,25,52,0.246
Completed,0.67,5780,73,223,1,958,0.583
Completed,0.71,13335,3420,603,17,203,0.651
Completed,0.83,2467,1027,90,89,47,0.929
Completed,0.79,2269,3841,163,61,322,0.607
Completed,0.77,6963,1858,354,32,416,0.826
Completed,0.67,11749,3751,2588,88,3,0.043
Completed,0.73,6084,2107,240,4,842,0.177
Completed,0.73,3269,4088,474,31,58,0.155
Completed,0.77,1052,1461,41,52,213,0.435
Completed,0.71,11872,551,1517,64,12,0.613
Completed,0.76,6756,3650,290,100,434,0.103
Completed,0.79,1589,1028,44,24,800,0.852
Completed,0.79,8757,2198,330,82,625,0.9
Completed,0.79,5824,2513,272,44,632,0.523
Completed,0.77,1792,4816,113,88,378,0.283
Completed,0.69,9580,4019,1438,23,16,0.541
Completed,0.75,10415,3490,453,6,204,0.457
