Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Completed,0.73,19,1,1,1,1,0.999
Completed,0.73,7083,1,2886,34,1,0.999
Completed,0.73,598,1,1,1,965,0.355
Completed,0.73,1751,1,1493,1,1,0.361
Completed,0.71,1369,1794,41,44,921,0.289
Completed,0.73,96,4835,142,27,1,0.001
Completed,0.73,198,3124,243,36,1,0.001
Completed,0.73,147,3638,204,30,1,0.001
Completed,0.73,1285,489,702,19,1,0.999
Completed,0.73,153,5000,1,1,228,0.999
Completed,0.74,5332,4675,369,1,261,0.688
Completed,0.73,329,5000,562,1,1,0.999
Completed,0.73,20,5000,1,1,1,0.001
Completed,0.73,605,2012,1,1,1000,0.999
Completed,0.73,1927,5000,1222,33,1,0.001
Completed,0.73,184,5000,1,1,276,0.001
Completed,0.73,424,1,1,1,688,0.999
Completed,0.71,1771,4147,89,51,495,0.54
Completed,0.73,4383,3034,486,26,83,0.737
Completed,0.7,1482,715,172,89,194,0.958
Completed,0.73,1523,365,1173,20,1,0.01
Completed,0.73,6076,5000,3243,1,1,0.244
Completed,0.73,390,5000,1,1,560,0.999
Completed,0.73,612,5000,1,1,1000,0.999
Completed,0.73,2995,5000,114,1,1000,0.001
Completed,0.73,311,1,1,1,488,0.001
Completed,0.71,494,1,146,47,84,0.001
Completed,0.72,414,1,131,15,102,0.001
Completed,0.73,329,1,1,1,520,0.001
Completed,0.73,494,1,174,86,35,0.001
Completed,0.73,427,5000,1,1,420,0.999
Completed,0.73,3122,1174,1025,26,1,0.277
Completed,0.73,199,2087,284,1,1,0.462
Completed,0.73,1466,952,588,13,1,0.756
Completed,0.73,444,4337,570,1,1,0.709
Completed,0.73,2169,4132,642,57,1,0.734
Completed,0.73,1803,3203,617,24,1,0.988
Completed,0.73,128,3163,180,1,1,0.481
Completed,0.73,1619,27,630,77,1,0.001
Completed,0.72,1497,4449,195,17,132,0.673
Completed,0.7,1033,1016,58,36,254,0.835
Completed,0.71,2166,3680,82,51,876,0.494
Completed,0.72,1723,3053,246,26,117,0.236
Completed,0.71,2667,1475,149,20,488,0.274
Completed,0.72,6163,393,202,61,740,0.579
Completed,0.74,950,1155,722,15,3,0.125
Completed,0.72,6535,4304,286,65,447,0.844
Completed,0.73,6046,3544,426,32,163,0.907
Completed,0.71,437,226,109,82,75,0.633
Completed,0.7,5031,1642,164,49,823,0.438
Completed,0.72,1162,2575,66,4,703,0.041
Completed,0.71,3673,3200,234,80,306,0.283
Completed,0.74,2267,3964,325,23,85,0.47
Completed,0.71,2571,4928,122,38,562,0.603
Completed,0.7,3847,778,130,65,801,0.075
Completed,0.74,597,2350,222,6,53,0.753
Completed,0.71,3089,1725,78,81,942,0.511
Completed,0.7,3766,2804,176,75,571,0.97
Completed,0.71,1278,4064,102,9,315,0.168
Completed,0.73,675,5000,836,1,1,0.999
Completed,0.73,1943,1,844,77,1,0.001
Completed,0.71,4323,4053,157,65,777,0.161
Completed,0.74,666,732,390,59,4,0.634
Completed,0.7,1547,3610,154,48,220,0.842
Completed,0.75,6473,2292,297,10,315,0.508
Completed,0.71,3875,1304,97,72,575,0.973
Completed,0.71,228,4862,76,5,20,0.315
Completed,0.71,3686,1044,217,41,430,0.025
Completed,0.72,3463,926,130,16,957,0.127
Completed,0.73,383,2916,31,61,386,0.536
Completed,0.71,925,1734,181,98,40,0.87
Completed,0.7,1120,2175,51,35,788,0.654
Completed,0.71,4648,3181,202,22,631,0.944
Completed,0.71,1557,4170,112,92,374,0.058
Completed,0.74,3817,2605,497,40,62,0.177
Completed,0.72,3010,488,264,54,217,0.347
Completed,0.74,9477,1085,317,6,598,0.987
Completed,0.72,8574,3192,293,54,627,0.691
Completed,0.71,3486,2194,139,78,845,0.857
Completed,0.74,6973,634,2465,33,2,0.672
Completed,0.73,13951,2586,432,90,409,0.485
Completed,0.73,1907,327,174,44,321,0.195
Completed,0.71,701,3821,24,18,164,0.357
Completed,0.74,6459,1709,625,65,66,0.089
Completed,0.71,4854,4841,210,83,617,0.113
Completed,0.75,12520,506,796,16,56,0.762
Completed,0.71,1558,722,65,59,899,0.461
Completed,0.73,9899,4080,359,72,333,0.818
Completed,0.72,4152,1329,247,24,424,0.611
Completed,0.7,672,2952,107,50,80,0.963
Completed,0.74,5213,2713,182,1,915,0.841
Completed,0.71,1776,4637,64,59,863,0.093
Completed,0.71,7390,1441,283,100,564,0.259
Completed,0.75,9703,4307,1023,12,34,0.94
Completed,0.7,523,499,149,44,65,0.787
Completed,0.73,7701,3946,400,86,184,0.707
Completed,0.71,2111,4669,119,21,582,0.343
Completed,0.75,12533,4197,2737,18,4,0.119
Completed,0.72,5714,1584,205,26,790,0.01
Completed,0.74,1201,2180,409,6,35,0.73
Completed,0.7,3018,3389,242,52,189,0.796
Completed,0.7,1053,2698,40,36,662,0.693
Completed,0.69,909,2319,81,61,326,0.472
Completed,0.71,1860,4882,48,84,840,0.605
Completed,0.71,5793,1203,233,67,528,0.801
Completed,0.72,6207,3766,522,59,44,0.229
Completed,0.71,639,2466,98,42,214,0.281
Completed,0.72,3947,3638,245,9,401,0.065
Completed,0.75,5629,1078,1898,33,3,0.918
Completed,0.74,8109,92,376,92,356,0.427
Completed,0.7,3293,3037,120,72,935,0.393
Completed,0.74,12094,4414,314,22,511,0.306
Completed,0.7,184,562,26,2,58,0.726
Completed,0.71,2493,4234,172,49,370,0.929
Completed,0.71,1828,3933,92,14,689,0.76
Completed,0.74,7640,1519,1058,41,21,0.793
Completed,0.71,4336,3626,188,74,513,0.475
Completed,0.74,1967,2032,99,91,786,0.112
Completed,0.72,3370,1404,223,23,393,0.31
Completed,0.74,3106,761,355,79,69,0.454
Completed,0.71,1052,2939,155,40,182,0.168
Completed,0.71,9774,3962,247,97,723,0.721
Completed,0.74,2002,2778,759,54,5,0.331
Completed,0.73,9054,386,242,19,853,0.429
Completed,0.71,3521,1544,138,75,301,0.999
Completed,0.74,9775,4992,369,7,451,0.629
Completed,0.71,848,3099,227,89,27,0.602
Completed,0.71,2286,3466,116,25,671,0.786
Completed,0.74,10194,38,316,58,580,0.592
Completed,0.71,6353,1892,184,39,882,0.674
Completed,0.74,993,1823,536,1,12,0.023
Completed,0.71,3611,4645,286,68,239,0.357
Completed,0.73,10499,480,2928,61,2,0.479
Completed,0.71,3850,4714,132,84,920,0.404
Completed,0.72,4522,644,200,55,631,0.011
Completed,0.72,2173,4001,405,71,32,0.806
Completed,0.7,364,2428,29,11,219,0.565
Completed,0.71,8311,3397,273,28,492,0.958
Completed,0.73,14013,576,474,92,258,0.67
Completed,0.7,1554,2543,69,60,816,0.649
Completed,0.71,11436,1634,295,77,605,0.765
Completed,0.74,5780,3746,343,99,203,0.06
Completed,0.72,221,296,84,33,48,0.32
Completed,0.72,1567,4347,172,4,274,0.204
Completed,0.75,10698,4668,1438,77,12,0.684
Completed,0.72,5925,4236,264,14,493,0.796
Completed,0.71,5491,2821,178,68,891,0.259
Completed,0.72,472,1223,281,55,3,0.178
Completed,0.7,1776,2521,150,78,333,0.456
Completed,0.71,3616,1907,54,36,918,0.991
Completed,0.73,6491,4337,224,9,748,0.642
Completed,0.72,2247,614,86,5,763,0.306
Completed,0.73,9063,3144,268,28,589,0.093
Completed,0.7,1317,1258,171,86,162,0.62
Completed,0.71,923,4334,32,34,161,0.054
Completed,0.73,1073,26,346,71,18,0.402
Completed,0.73,3022,3064,482,25,21,0.96
Completed,0.72,2717,1924,165,11,490,0.329
Completed,0.7,1828,1202,92,80,591,0.518
Completed,0.73,6262,557,288,30,331,0.905
Completed,0.72,8839,2557,264,54,760,0.863
Completed,0.7,1191,2394,101,99,389,0.229
Completed,0.72,5957,734,196,17,536,0.916
Completed,0.74,9257,3247,414,12,310,0.317
Completed,0.72,626,88,78,67,292,0.537
Completed,0.71,1363,3671,200,90,122,0.812
Completed,0.72,10674,1787,296,49,629,0.348
Completed,0.72,14338,2019,511,2,202,0.731
Completed,0.7,2362,1584,118,70,625,0.658
Completed,0.72,4704,4471,136,22,959,0.004
Completed,0.7,658,3469,61,18,127,0.131
Completed,0.74,1682,2132,373,79,48,0.29
Completed,0.73,3748,275,212,38,461,0.472
Completed,0.75,8512,4387,1836,12,7,0.801
Completed,0.74,10772,4752,328,3,603,0.441
Completed,0.71,742,4052,113,50,38,0.573
Completed,0.74,3321,2206,236,20,361,0.793
Completed,0.71,6595,1539,271,66,441,0.953
Completed,0.73,12781,4014,334,58,714,0.312
Completed,0.71,423,1448,32,7,87,0.437
Completed,0.71,1825,4796,164,37,264,0.213
Completed,0.71,4987,3406,172,23,811,0.489
Completed,0.74,9830,4491,626,34,111,0.892
Completed,0.7,1532,1033,143,26,250,0.859
Completed,0.71,2222,3331,89,56,664,0.901
Completed,0.74,5571,2725,284,6,416,0.522
Completed,0.73,6207,445,2758,1,1,0.895
Completed,0.72,11006,413,260,76,986,0.747
Completed,0.71,1917,4151,47,87,501,0.333
Completed,0.72,3780,4538,457,65,77,0.716
Completed,0.74,4421,632,690,100,27,0.585
Completed,0.72,4305,3850,253,72,215,0.391
Completed,0.74,7550,2108,227,57,835,0.05
Completed,0.71,1958,3736,127,32,476,0.297
Completed,0.71,2482,1868,67,80,775,0.761
Completed,0.73,2797,13,307,12,173,0.072
Completed,0.72,345,2469,184,31,23,0.631
