Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,1098,3077,13,557,0.311
Failed,,,4091,2037,76,460,0.992
Failed,,,3346,4689,43,918,0.634
Failed,,,1291,102,56,70,0.078
Failed,,,2129,4209,97,137,0.155
Failed,,,2611,670,9,851,0.587
Failed,,,4993,3635,74,276,0.79
Failed,,,445,1546,35,742,0.483
Failed,,,171,4670,65,768,0.884
Failed,,,4412,512,29,248,0.327
Failed,,,3045,2549,91,626,0.062
Failed,,,2237,2330,5,357,0.743
Failed,,,1806,3225,46,407,0.541
Failed,,,3540,1566,57,576,0.234
Failed,,,4230,15,6,517,0.798
Failed,,,3178,2987,64,108,0.564
Failed,,,1276,589,80,628,0.574
Failed,,,3814,3210,1,238,0.162
Failed,,,3353,1562,60,945,0.254
Failed,,,818,4797,34,430,0.98
Failed,,,718,1399,98,595,0.036
Failed,,,3257,4961,21,18,0.698
Failed,,,4026,435,68,786,0.855
Failed,,,1492,3363,38,334,0.379
Failed,,,1878,1234,4,469,0.35
Failed,,,4423,2604,77,921,0.883
Failed,,,2715,2167,37,152,0.545
Failed,,,167,4153,57,729,0.19
Failed,,,400,142,29,999,0.639
Failed,,,2930,3698,53,391,0.096
Failed,,,4973,1698,12,683,0.444
Failed,,,4119,3865,46,548,0.285
Failed,,,1484,2146,26,877,0.132
Failed,,,1974,3742,23,827,0.086
Failed,,,2742,1459,86,158,0.642
Failed,,,4813,4119,46,716,0.969
Failed,,,610,779,59,298,0.288
Failed,,,25,2655,42,211,0.813
Failed,,,4534,2243,54,808,0.381
Failed,,,2855,4581,16,319,0.241
Failed,,,2412,620,78,667,0.548
Failed,,,422,3665,15,841,0.051
Failed,,,2753,1683,69,414,0.973
Failed,,,3184,3069,93,309,0.791
Failed,,,1141,2201,48,944,0.249
Failed,,,1399,3850,62,193,0.368
Failed,,,4356,795,5,563,0.671
Failed,,,4011,3359,54,920,0.46
Failed,,,1646,1374,8,336,0.501
Failed,,,816,4766,96,583,0.879
Failed,,,3450,592,38,171,0.082
Failed,,,3112,4170,24,51,0.155
Failed,,,121,1109,67,702,0.822
