Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.73,18,4117,1343,0.291,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,14,4484,3817,0.247,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,41,437,2276,0.995,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,54,4455,359,0.117,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,13,166,436,0.339,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,13,1,3878,0.409,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,16,601,221,0.904,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,26,1021,322,0.318,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,36,1,1,0.942,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,15,5000,3277,0.387,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,13,5000,3377,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.65,11,1,2649,0.258,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,16,2621,561,0.22,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,4712,919,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,14,5000,2903,0.207,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,23,1546,244,0.839,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,58,1643,215,0.38,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,22,2231,872,0.795,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,12,545,3930,0.276,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,19,4532,2478,0.526,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.65,57,4361,4864,0.945,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,44,4905,2592,0.636,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,11,1,835,0.3,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,243,4356,54,0.295,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,19,2765,510,0.13,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,16,3420,4348,0.419,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,40,338,1718,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,17,4583,1810,0.142,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,33,2157,33,0.851,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,40,565,152,0.184,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,128,3382,117,0.957,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,15,647,4754,0.541,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,48,4819,3506,0.998,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,2263,922,2,0.658,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,241,4860,54,0.932,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,26,1308,1430,0.703,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,67,3254,127,0.745,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,101,4325,144,0.632,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,2904,2448,1,0.108,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,107,3391,102,0.45,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,36,1,1,0.392,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,16,62,59,0.17,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,42,3189,2953,0.975,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,67,367,43,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,168,981,34,0.764,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,25,4860,1134,0.727,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,14,14,569,0.548,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,40,4638,2580,0.97,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,155,4995,85,0.069,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,66,1327,163,0.68,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,23,4821,770,0.678,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,25,2469,177,0.528,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,43,549,3066,0.985,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,24,4143,1497,0.573,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,21,4264,641,0.709,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,28,74,3721,0.681,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.62,38,5000,3704,0.76,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,49,1,3693,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,25,5000,722,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,29,5000,2256,0.601,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,18,1,3548,0.563,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.63,37,5000,2144,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,17,5000,1648,0.252,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,12,5000,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,13,1,5000,0.453,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,52,4943,3874,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,11,1,1315,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,10,1,885,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,22,3337,3631,0.577,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.63,37,1,3590,0.787,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,23,5000,870,0.316,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.56,11,1,4713,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,13,5000,4656,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,33,5000,487,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
