Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.61,390,2102,4888,0.533,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,459,2789,3927,0.418,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,1315,4693,1484,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,1158,249,235,0.814,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,974,1407,1677,0.059,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,394,1538,3905,0.164,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,1039,1968,1197,0.377,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,617,3358,4778,0.791,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,587,4513,2495,0.107,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,480,789,3561,0.694,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,1155,1125,516,0.004,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,598,4820,4131,0.664,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,877,3636,1731,0.483,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,457,2294,2841,0.818,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,746,1865,2107,0.597,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,308,2816,3169,0.196,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,315,522,2048,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,406,4140,4652,0.046,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,611,3107,1978,0.851,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,528,1570,3377,0.441,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,333,2390,1689,0.225,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,541,3537,3117,0.576,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,1501,4882,401,0.259,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,641,1069,4325,0.909,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,438,771,2214,0.351,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,773,4535,3608,0.949,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,796,3219,1009,0.136,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,360,2480,2306,0.248,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,446,283,968,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,509,874,1970,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,351,522,1378,0.456,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,480,1948,3476,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,282,1285,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,270,568,2562,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,407,139,2509,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,232,627,4392,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,617,3093,3466,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,836,2882,792,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,541,594,2175,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,717,1499,2438,0.86,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,1202,2832,310,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,377,612,1053,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,317,2687,2256,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,433,4362,3627,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,396,2783,2181,0.353,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,344,1774,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.78,797,588,519,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,265,3483,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,311,544,1384,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,480,4579,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,453,2413,562,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,198,2532,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,350,2771,1614,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,232,374,3951,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,348,709,5000,0.398,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,258,1024,3965,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,734,1643,5000,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,1003,4128,5000,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,264,512,1736,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,375,3725,4045,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,454,4122,3468,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,404,4519,4117,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,1036,584,259,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
