Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.69,54,2718,236,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.6,25,852,1268,0.878,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.59,15,3645,3236,0.067,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.61,26,3570,1516,0.64,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.59,12,777,3299,0.321,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,148,2209,18,0.786,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,15,4377,4486,0.221,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.63,41,4216,835,0.46,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,13,1384,4062,0.517,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.6,10,313,2027,0.124,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.56,13,2520,2549,0.931,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.66,45,3089,489,0.05,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.54,16,296,4928,0.989,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.64,28,3233,1215,0.949,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.54,20,4288,3800,0.777,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,94,4615,266,0.54,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,49,2122,70,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,13,1026,4286,0.012,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,25,1921,2253,0.6,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,21,4753,2932,0.408,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.61,22,3840,1740,0.146,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
