Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.55,0,4008,3513,0.444,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,4138,2429,0.696,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,2291,4079,0.402,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,1007,1240,0.789,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,2912,2890,0.12,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,3,3609,168,0.264,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,589,3205,0.59,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,1736,1479,0.234,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,1,4157,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.56,2,1,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,4544,1107,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,5,5000,96,0.299,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,1,5000,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,1,1,337,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.57,5,697,42,0.254,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,5000,5000,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,3,5000,190,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,1368,2583,0.968,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,15,2100,0.332,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.55,0,3249,3889,0.502,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
