Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.91,0,2763,4480,0.411,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,487,2464,0.697,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1368,3693,0.032,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,4072,752,0.827,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,4501,888,0.22,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,4936,4190,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,716,4940,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,2442,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.9,1,1,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,3749,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,3828,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,4210,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,4862,5000,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,79,4805,0.763,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,2658,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2137,4778,0.554,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2976,3909,0.85,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,4195,2149,0.477,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1705,3685,0.592,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2170,1494,0.877,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,4660,3071,0.052,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,3127,1113,0.683,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,656,4564,0.264,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1141,2386,0.748,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,3671,3346,0.321,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,4588,2851,0.615,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,1,2488,206,0.277,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,674,3940,0.984,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,3593,1619,0.157,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,3242,3375,0.924,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2563,2310,0.951,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,5,3759,107,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,697,4340,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,13,3930,46,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,1,2951,213,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,3,3494,161,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,25,3946,28,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,10,3893,62,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,5,3807,92,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,1602,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,3472,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,5,3695,121,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,2,3418,175,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,663,4617,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,1,2658,223,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,3,3567,149,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,1841,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,719,4105,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,3022,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,3984,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,1,3165,204,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,684,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,1521,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,200,3795,3,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,8,3871,70,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,2873,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,11,3913,54,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,5,5000,128,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,2,5000,195,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.93,513,3528,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,9,5000,73,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,11,3482,45,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,2,5000,256,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,3,5000,154,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,3,4309,175,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,6,5000,90,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,655,3840,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,17,5000,40,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,461,3431,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,513,3681,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,4,5000,159,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,7,3764,80,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,5,5000,115,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,649,5000,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,2,5000,210,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,648,4019,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,324,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,416,3282,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,1129,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2265,3175,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,3,4473,149,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,798,4165,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,627,3610,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,12,5000,55,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,11,5000,57,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,2,4336,186,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,1935,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,30,5000,24,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,51,5000,14,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,6,5000,91,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,5,5000,107,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,3213,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,4,3731,114,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
