Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.77,298,2635,3744,0.085,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,256,461,2338,0.459,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.88,415,1356,2605,0.681,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,1793,2863,123,0.191,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,329,3733,3479,0.369,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,271,2051,958,0.752,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,251,1135,3828,0.108,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,652,4648,1269,0.521,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.89,295,4951,3111,0.005,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,640,832,555,0.624,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,237,2354,4662,0.269,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,553,3430,2143,0.852,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,346,2540,4257,0.706,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,438,1679,1777,0.165,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,770,138,3282,0.941,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,394,4745,3597,0.398,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.93,493,4081,842,0.437,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,992,783,3715,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,359,4185,4163,0.268,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,270,2349,1750,0.346,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,266,101,571,0.734,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,372,2466,1623,0.675,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,316,401,4329,0.454,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,303,2204,1168,0.698,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,381,3227,2501,0.583,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,522,4040,1207,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,311,257,4003,0.281,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,276,1925,4202,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,332,1466,3877,0.348,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,259,175,3000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,277,130,460,0.206,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.83,396,3512,5000,0.588,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
