Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.71,45,664,1799,0.379,0.333,str('intersection'),0.014,True
Completed,0.71,43,2803,3988,0.443,0.92,str('intersection'),0.037,True
Completed,0.71,49,2123,3660,0.843,0.093,str('intersection'),0.072,True
Completed,0.71,31,1861,3809,0.152,0.73,str('intersection'),0.013,False
Completed,0.71,56,203,2083,0.868,0.013,str('intersection'),0.033,True
Completed,0.71,78,4136,3236,0.348,0.752,str('kl'),0.084,False
Completed,0.71,57,4995,1568,0.03,0.957,str('kl'),0.076,True
Completed,0.71,29,750,3107,0.501,0.215,str('intersection'),0.025,False
Completed,0.71,56,2635,271,0.632,0.471,str('kl'),0.064,True
Completed,0.71,46,1388,2770,0.412,0.257,str('intersection'),0.09,True
Completed,0.71,31,360,737,0.569,0.974,str('intersection'),0.07,False
Completed,0.71,162,3976,4583,0.09,0.227,str('kl'),0.031,True
Completed,0.71,44,4523,607,0.284,0.063,str('kl'),0.039,False
Completed,0.71,47,1220,4068,0.812,0.798,str('intersection'),0.078,True
Completed,0.71,30,2092,2351,0.216,0.455,str('intersection'),0.058,False
Completed,0.71,523,3495,3583,0.688,0.718,str('kl'),0.019,True
Completed,0.71,45,3104,1309,0.929,0.509,str('kl'),0.051,False
Completed,0.71,31,1263,1540,0.538,0.135,str('intersection'),0.079,False
Completed,0.71,53,2830,1253,0.868,0.448,str('intersection'),0.058,True
Completed,0.71,38,426,4506,0.443,0.602,str('intersection'),0.059,True
Completed,0.71,29,3858,4542,0.152,0.791,str('intersection'),0.083,False
Completed,0.71,78,1973,2398,0.03,0.519,str('kl'),0.054,True
Completed,0.71,47,2251,1084,0.473,0.558,str('intersection'),0.044,True
Completed,0.71,306,3338,4850,0.997,0.303,str('kl'),0.095,False
Completed,0.71,42,3658,2316,0.379,0.144,str('intersection'),0.081,True
Completed,0.71,88,1927,3628,0.904,0.902,str('kl'),0.042,False
Completed,0.71,73,1090,350,0.124,0.372,str('kl'),0.016,True
Completed,0.71,28,4652,4355,0.594,0.612,str('intersection'),0.056,False
Completed,0.71,48,3792,850,0.774,0.661,str('intersection'),0.092,True
Completed,0.71,110,543,4459,0.255,0.417,str('kl'),0.052,False
Completed,0.71,195,1536,1489,0.726,0.823,str('kl'),0.027,True
Completed,0.71,48,3389,1161,0.123,0.183,str('kl'),0.085,True
Completed,0.71,63,2686,2160,0.095,0.695,str('kl'),0.048,False
Completed,0.71,57,1575,3159,0.622,0.447,str('intersection'),0.099,True
Completed,0.71,35,117,194,0.405,0.79,str('intersection'),0.074,False
Completed,0.71,675,4300,3885,0.878,0.039,str('kl'),0.023,True
Completed,0.71,46,4690,1007,0.744,0.236,str('kl'),0.038,False
Completed,0.71,53,820,4928,0.227,0.998,str('intersection'),0.089,True
Completed,0.71,31,2434,1645,0.754,0.28,str('intersection'),0.063,False
Completed,0.71,212,3232,3030,0.276,0.516,str('kl'),0.012,True
Completed,0.71,34,3534,426,0.848,0.929,str('intersection'),0.032,False
Completed,0.71,314,2130,4278,0.369,0.182,str('kl'),0.072,True
Completed,0.71,54,1102,2239,0.651,0.587,str('kl'),0.091,False
Completed,0.71,36,4405,3705,0.133,0.335,str('intersection'),0.052,True
Completed,0.71,38,4014,1411,0.499,0.376,str('intersection'),0.02,False
Completed,0.71,350,399,2638,0.971,0.639,str('kl'),0.06,True
Completed,0.71,45,1270,927,0.001,0.109,str('kl'),0.08,False
Completed,0.71,47,2986,4383,0.529,0.843,str('intersection'),0.04,True
Completed,0.67,40,3022,485,0.054,0.177,str('intersection'),0.01,True
Completed,0.71,103,1315,4219,0.543,0.932,str('kl'),0.061,False
Completed,0.71,141,434,2493,0.446,0.338,str('kl'),0.087,True
Completed,0.71,30,4059,3451,0.957,0.582,str('intersection'),0.036,False
Completed,0.71,63,4450,1353,0.668,0.628,str('intersection'),0.022,True
Completed,0.71,67,1137,2697,0.174,0.388,str('kl'),0.073,False
Completed,0.71,75,2175,673,0.83,0.856,str('kl'),0.098,True
Completed,0.71,28,3569,4637,0.328,0.098,str('intersection'),0.047,False
Completed,0.71,261,3265,1946,0.798,0.442,str('kl'),0.039,True
Completed,0.71,29,2477,3374,0.297,0.698,str('intersection'),0.079,False
Completed,0.71,50,853,96,0.7,0.042,str('intersection'),0.059,True
Completed,0.71,118,4733,3983,0.205,0.785,str('kl'),0.019,False
Completed,0.71,99,4342,1222,0.415,0.987,str('kl'),0.05,True
Completed,0.71,34,150,4713,0.927,0.248,str('intersection'),0.089,False
Completed,0.71,48,1618,1743,0.086,0.528,str('intersection'),0.07,True
Completed,0.71,94,2719,2932,0.574,0.269,str('kl'),0.03,False
Completed,0.71,31,2550,1720,0.26,0.841,str('intersection'),0.092,False
Completed,0.71,284,1786,2985,0.77,0.079,str('kl'),0.053,True
Completed,0.71,51,274,952,0.242,0.672,str('kl'),0.028,False
Completed,0.71,43,4217,4992,0.728,0.436,str('intersection'),0.067,True
Completed,0.71,33,4920,198,0.893,0.353,str('intersection'),0.08,False
Completed,0.71,268,665,3852,0.389,0.6,str('kl'),0.041,True
Completed,0.71,120,2332,2137,0.607,0.133,str('kl'),0.016,False
Completed,0.71,37,3409,3173,0.11,0.884,str('intersection'),0.055,True
Completed,0.71,40,3733,874,0.513,0.545,str('kl'),0.075,False
Completed,0.71,41,2012,4445,0.017,0.282,str('intersection'),0.024,True
Completed,0.71,36,1009,1484,0.987,0.938,str('intersection'),0.044,False
Completed,0.71,196,4580,2596,0.483,0.203,str('kl'),0.094,True
Completed,0.71,65,3877,2213,0.149,0.026,str('kl'),0.064,False
Completed,0.71,54,618,3721,0.635,0.772,str('intersection'),0.014,True
Completed,0.71,32,1465,433,0.354,0.492,str('intersection'),0.034,False
Completed,0.71,609,2873,4242,0.863,0.743,str('kl'),0.084,True
Completed,0.71,32,2912,2413,0.704,0.891,str('intersection'),0.096,False
Completed,0.71,114,1503,3531,0.2,0.156,str('kl'),0.045,True
Completed,0.71,50,500,565,0.796,0.625,str('kl'),0.026,False
Completed,0.71,35,3759,4140,0.3,0.361,str('intersection'),0.077,True
Completed,0.71,34,4619,752,0.075,0.413,str('intersection'),0.086,False
Completed,0.71,544,1047,4557,0.584,0.664,str('kl'),0.035,True
Completed,0.71,82,1894,1274,0.427,0.072,str('kl'),0.015,False
Completed,0.71,53,3615,2777,0.914,0.818,str('intersection'),0.066,True
Completed,0.62,65,3292,17,0.459,0.72,str('kl'),0.069,False
Completed,0.71,52,2216,4062,0.945,0.484,str('intersection'),0.029,True
Completed,0.71,30,704,2024,0.043,0.765,str('intersection'),0.054,False
Completed,0.71,211,4960,3294,0.553,0.003,str('kl'),0.094,True
Completed,0.71,48,4101,1822,0.827,0.21,str('kl'),0.057,False
Completed,0.71,37,158,2853,0.331,0.96,str('intersection'),0.017,True
Completed,0.71,31,1825,1142,0.673,0.306,str('intersection'),0.042,False
Completed,0.71,173,2589,4792,0.169,0.554,str('kl'),0.082,True
Completed,0.71,59,2757,1031,0.982,0.121,str('intersection'),0.021,True
Completed,0.71,125,1656,4913,0.488,0.864,str('kl'),0.06,False
Completed,0.71,89,33,1640,0.516,0.396,str('kl'),0.08,True
Completed,0.71,30,4225,3064,0.014,0.651,str('intersection'),0.041,False
Completed,0.71,39,4771,2058,0.364,0.575,str('intersection'),0.032,True
Completed,0.71,80,892,3252,0.852,0.316,str('kl'),0.071,False
Completed,0.71,50,2359,277,0.136,0.908,str('kl'),0.09,True
Completed,0.71,29,3148,3773,0.648,0.169,str('intersection'),0.051,False
Completed,0.71,73,3452,1563,0.23,0.262,str('kl'),0.037,True
Completed,0.71,30,2059,2516,0.741,0.506,str('intersection'),0.088,False
Completed,0.71,39,1177,795,0.27,0.224,str('intersection'),0.062,True
Completed,0.71,184,4490,4524,0.759,0.979,str('kl'),0.012,False
Completed,0.71,62,3943,353,0.61,0.809,str('kl'),0.049,True
Completed,0.71,28,318,4321,0.108,0.05,str('intersection'),0.1,False
Completed,0.71,52,1355,2293,0.888,0.705,str('intersection'),0.074,True
Completed,0.71,97,3062,3642,0.395,0.465,str('kl'),0.024,False
Completed,0.71,52,3073,1174,0.604,0.642,str('intersection'),0.083,True
Completed,0.71,123,1342,4751,0.117,0.406,str('kl'),0.043,False
Completed,0.71,404,348,1786,0.894,0.873,str('kl'),0.018,True
Completed,0.71,30,3910,2899,0.385,0.111,str('intersection'),0.058,False
Completed,0.7,39,4457,1915,0.236,0.163,str('intersection'),0.094,True
Completed,0.71,82,1207,3414,0.731,0.914,str('kl'),0.054,False
Completed,0.71,62,2045,132,0.265,0.321,str('kl'),0.029,True
Completed,0.71,29,3463,3938,0.769,0.568,str('intersection'),0.068,False
Completed,0.71,55,3142,1393,0.358,0.969,str('kl'),0.065,True
Completed,0.71,30,2368,2667,0.862,0.235,str('intersection'),0.015,False
Completed,0.71,40,866,628,0.142,0.515,str('intersection'),0.034,True
Completed,0.71,116,4800,4672,0.638,0.252,str('kl'),0.085,False
Completed,0.71,96,4252,523,0.988,0.46,str('kl'),0.077,True
Completed,0.71,28,7,4172,0.478,0.711,str('intersection'),0.026,False
Completed,0.71,51,1665,2460,0.51,0.056,str('intersection'),0.046,True
Completed,0.71,89,2751,3494,0.024,0.802,str('kl'),0.097,False
Completed,0.71,31,2607,2251,0.833,0.371,str('intersection'),0.023,False
Completed,0.71,125,1809,3674,0.321,0.614,str('kl'),0.073,True
Completed,0.71,34,195,400,0.667,0.147,str('kl'),0.099,False
Completed,0.71,40,4065,4285,0.179,0.901,str('intersection'),0.048,True
Completed,0.71,34,4925,915,0.453,0.824,str('intersection'),0.013,False
Completed,0.71,832,743,4415,0.955,0.065,str('kl'),0.063,True
Completed,0.71,41,2200,1438,0.049,0.659,str('kl'),0.088,False
Completed,0.71,49,3311,2631,0.544,0.419,str('intersection'),0.038,True
Completed,0.71,40,3612,167,0.081,0.012,str('kl'),0.052,False
