Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.6,712,4368,250,0.651,0.717,str('kl'),0.035,False
Completed,0.58,691,549,2494,0.947,0.757,str('intersection'),0.062,False
Completed,0.58,4743,3362,3057,0.338,0.184,str('kl'),0.032,True
Completed,0.58,774,2695,1771,0.182,0.035,str('kl'),0.054,False
Completed,0.58,923,1132,3623,0.541,0.9,str('intersection'),0.085,True
Completed,0.58,464,1455,817,0.48,0.496,str('intersection'),0.071,False
Completed,0.58,501,4386,2154,0.382,0.989,str('intersection'),0.026,False
Completed,0.58,521,685,575,0.211,0.543,str('kl'),0.099,False
Completed,0.58,1114,2873,4972,0.567,0.399,str('intersection'),0.041,True
Completed,0.6,538,3573,1102,0.913,0.26,str('intersection'),0.018,False
Completed,0.58,6281,136,4288,0.301,0.674,str('kl'),0.076,True
Completed,0.58,815,2293,1471,0.74,0.204,str('kl'),0.08,False
Completed,0.58,647,3856,3293,0.1,0.855,str('intersection'),0.048,True
Completed,0.58,756,3817,941,0.369,0.593,str('kl'),0.039,False
Completed,0.58,2508,2254,4140,0.978,0.473,str('intersection'),0.097,True
Completed,0.03,6607,3887,4198,0.467,0.916,str('kl'),0.065,False
Completed,0.58,493,18,1315,0.041,0.881,str('intersection'),0.056,False
Completed,0.58,478,2421,3208,0.433,0.615,str('intersection'),0.02,False
Completed,0.57,744,164,1036,0.618,0.021,str('intersection'),0.046,True
Completed,0.58,2056,3602,4203,0.23,0.921,str('kl'),0.082,False
Completed,0.58,753,3077,353,0.26,0.798,str('kl'),0.06,True
Completed,0.58,599,890,4731,0.9,0.136,str('intersection'),0.024,False
Completed,0.58,600,1838,1932,0.087,0.726,str('intersection'),0.043,True
Completed,0.58,1086,4650,2524,0.699,0.332,str('kl'),0.097,False
Completed,0.58,543,4785,726,0.053,0.225,str('intersection'),0.088,True
Completed,0.58,1845,1347,3884,0.662,0.841,str('kl'),0.051,False
Completed,0.58,6806,1084,1681,0.349,0.313,str('kl'),0.015,True
Completed,0.58,792,2646,3552,0.99,0.629,str('intersection'),0.068,False
Completed,0.58,949,3176,2248,0.52,0.525,str('intersection'),0.091,True
Completed,0.58,1255,364,2830,0.133,0.408,str('kl'),0.038,False
Completed,0.58,495,4084,4450,0.459,0.118,str('intersection'),0.066,False
Completed,0.03,3596,4671,1018,0.711,0.189,str('kl'),0.03,False
Completed,0.58,1535,2912,1998,0.836,0.16,str('kl'),0.047,False
Completed,0.58,785,724,2616,0.449,0.773,str('intersection'),0.079,True
Completed,0.58,559,1690,414,0.509,0.37,str('intersection'),0.075,False
Completed,0.58,4724,4503,4824,0.151,0.688,str('kl'),0.017,True
Completed,0.58,694,4932,1619,0.598,0.863,str('intersection'),0.03,False
Completed,0.58,3486,1494,3459,0.242,0.203,str('kl'),0.061,True
Completed,0.58,547,1249,661,0.801,0.669,str('kl'),0.093,False
Completed,0.58,1153,2812,3792,0.413,0.273,str('intersection'),0.033,True
Completed,0.58,1185,2063,2342,0.27,0.08,str('kl'),0.084,False
Completed,0.58,1603,4251,2893,0.882,0.978,str('intersection'),0.053,True
Completed,0.58,1932,4201,2413,0.199,0.325,str('kl'),0.067,True
Completed,0.58,572,2014,2983,0.587,0.741,str('intersection'),0.014,False
